SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-50.654	-50.654	-50.723	-50.686	-50.687	-50.751	-50.542	-50.582	-50.511	-50.753	-50.719	-50.689	-50.472	-50.721	-50.653	-50.505	-50.617	-50.552	-50.583	-50.688	-50.515	-50.619	-50.656	-50.619	-50.477	-50.649	-50.400	-50.716	-50.651	-50.659	-50.580	-50.585	129.906	129.832	129.833	129.799	129.831	129.943	129.904	129.975	129.904	129.867	129.904	129.866	129.902	129.834	129.834	129.898	129.942	130.010	129.973	129.939	129.938	130.041	129.867	129.973	129.870	130.047	130.078	130.012	130.041	129.766	129.973	130.049	111.369	111.380	111.407	111.398	111.394	111.401	111.327	111.332	111.315	111.413	111.395	111.389	111.300	111.406	111.380	111.313	111.350	111.315	111.332	111.378	111.311	111.336	111.376	111.346	111.307	111.347	111.247	111.377	111.348	111.392	111.331	111.322	2016_7_19_17_05_05
FLQS30KBGRWV____	-50.564	-50.567	-50.668	-50.637	-50.635	-50.667	-50.453	-50.494	-50.422	-50.704	-50.633	-50.599	-50.380	-50.636	-50.569	-50.413	-50.531	-50.460	-50.496	-50.636	-50.424	-50.527	-50.596	-50.529	-50.383	-50.568	-50.314	-50.634	-50.563	-50.565	-50.496	-50.494	129.946	129.876	129.875	129.840	129.875	129.982	129.955	130.018	129.948	129.910	129.947	129.912	129.957	129.876	129.875	129.950	129.981	130.052	130.015	129.981	129.980	130.088	129.912	130.017	129.924	130.086	130.121	130.054	130.086	129.809	130.016	130.096	111.233	111.244	111.283	111.277	111.271	111.267	111.189	111.195	111.178	111.292	111.259	111.251	111.161	111.271	111.245	111.174	111.215	111.177	111.197	111.255	111.174	111.198	111.250	111.209	111.167	111.213	111.111	111.243	111.212	111.254	111.196	111.184	2016_7_19_17_05_05
FLQS30CWGRWV____	-50.429	-50.432	-50.500	-50.465	-50.504	-50.564	-50.317	-50.358	-50.287	-50.562	-50.498	-50.465	-50.246	-50.499	-50.431	-50.276	-50.394	-50.361	-50.358	-50.470	-50.289	-50.396	-50.429	-50.429	-50.247	-50.430	-50.177	-50.500	-50.463	-50.431	-50.358	-50.394	129.968	129.896	129.897	129.860	129.893	130.003	130.005	130.038	129.967	129.930	129.967	129.931	129.975	129.896	129.898	129.972	130.004	130.071	130.038	130.002	130.002	130.105	129.930	130.036	129.944	130.108	130.140	130.072	130.107	129.861	130.038	130.147	111.212	111.224	111.250	111.242	111.252	111.258	111.163	111.174	111.157	111.269	111.238	111.231	111.141	111.250	111.223	111.152	111.193	111.171	111.174	111.222	111.153	111.179	111.217	111.202	111.146	111.192	111.090	111.223	111.204	111.229	111.174	111.172	2016_7_19_17_05_05
FLQS30C7GRWV____	-50.609	-50.609	-50.676	-50.676	-50.643	-50.707	-50.496	-50.572	-50.466	-50.709	-50.672	-50.644	-50.425	-50.675	-50.605	-50.458	-50.570	-50.506	-50.534	-50.641	-50.504	-50.573	-50.610	-50.574	-50.431	-50.603	-50.357	-50.670	-50.602	-50.616	-50.535	-50.542	129.893	129.821	129.822	129.789	129.818	129.928	129.898	129.966	129.893	129.855	129.895	129.858	129.898	129.822	129.823	129.888	129.928	129.997	129.961	129.927	129.931	130.033	129.856	129.962	129.862	130.034	130.064	130.001	130.029	129.752	129.963	130.038	111.214	111.225	111.250	111.255	111.238	111.247	111.170	111.189	111.159	111.258	111.238	111.233	111.143	111.250	111.223	111.157	111.194	111.159	111.175	111.221	111.168	111.179	111.220	111.190	111.151	111.191	111.092	111.221	111.191	111.238	111.175	111.167	2016_7_19_17_05_05
FLQS29JFGRX5____	-50.298	-50.300	-50.363	-50.366	-50.366	-50.430	-50.183	-50.263	-50.193	-50.427	-50.363	-50.333	-50.113	-50.363	-50.329	-50.182	-50.296	-50.232	-50.258	-50.367	-50.194	-50.298	-50.337	-50.298	-50.118	-50.293	-50.083	-50.361	-50.296	-50.299	-50.264	-50.265	130.026	129.955	129.957	129.920	129.955	130.063	130.036	130.096	130.026	129.991	130.025	129.989	130.036	129.955	129.958	130.034	130.062	130.129	130.097	130.062	130.060	130.165	129.990	130.096	130.030	130.167	130.200	130.133	130.167	129.885	130.095	130.204	111.275	111.286	111.310	111.316	111.311	111.320	111.229	111.251	111.234	111.329	111.300	111.293	111.202	111.310	111.297	111.229	111.269	111.234	111.249	111.296	111.230	111.254	111.295	111.264	111.205	111.252	111.166	111.283	111.253	111.296	111.251	111.236	2016_7_19_17_05_06
FLQS22XEGRX2____	-50.419	-50.417	-50.485	-50.450	-50.451	-50.518	-50.306	-50.348	-50.277	-50.518	-50.482	-50.488	-50.235	-50.484	-50.419	-50.266	-50.382	-50.348	-50.345	-50.451	-50.280	-50.382	-50.418	-50.417	-50.240	-50.417	-50.169	-50.480	-50.414	-50.424	-50.345	-50.352	129.923	129.852	129.852	129.817	129.850	129.961	129.957	129.992	129.923	129.886	129.922	129.920	129.923	129.850	129.885	129.916	129.959	130.028	129.993	129.957	129.956	130.061	129.887	129.994	129.889	130.095	130.126	130.031	130.060	129.782	129.991	130.098	111.056	111.066	111.092	111.084	111.079	111.088	111.008	111.019	111.002	111.099	111.080	111.083	110.985	111.092	111.062	110.998	111.036	111.013	111.017	111.063	110.998	111.021	111.061	111.045	110.992	111.030	110.930	111.063	111.034	111.079	111.018	111.004	2016_7_19_17_05_06
FLQS22TQGRX2____	-50.622	-50.620	-50.694	-50.692	-50.657	-50.762	-50.506	-50.547	-50.476	-50.755	-50.690	-50.691	-50.438	-50.728	-50.622	-50.468	-50.585	-50.514	-50.548	-50.659	-50.478	-50.583	-50.620	-50.585	-50.438	-50.619	-50.367	-50.724	-50.619	-50.626	-50.546	-50.543	129.943	129.872	129.872	129.839	129.870	129.981	129.950	130.015	129.941	129.879	129.945	129.905	129.948	129.874	129.872	129.944	129.982	130.050	129.981	129.979	129.979	130.083	129.908	130.013	129.919	130.053	130.116	130.019	130.079	129.804	130.013	130.090	111.405	111.415	111.443	111.447	111.429	111.453	111.359	111.365	111.349	111.465	111.430	111.437	111.333	111.455	111.415	111.346	111.385	111.348	111.371	111.414	111.344	111.369	111.409	111.380	111.338	111.387	111.281	111.432	111.383	111.427	111.365	111.353	2016_7_19_17_05_06
FLQS21YXGRX2____	-50.176	-50.175	-50.239	-50.208	-50.208	-50.274	-50.064	-50.105	-50.035	-50.272	-50.239	-50.209	-50.033	-50.239	-50.173	-50.027	-50.177	-50.075	-50.100	-50.209	-50.036	-50.144	-50.175	-50.180	-50.038	-50.172	-49.925	-50.237	-50.175	-50.186	-50.105	-50.111	130.022	129.951	129.923	129.916	129.949	130.057	130.029	130.062	130.021	129.957	129.993	129.986	130.030	129.921	129.952	130.023	130.028	130.125	130.064	130.027	130.028	130.129	129.956	130.091	129.998	130.163	130.195	130.129	130.162	129.883	130.092	130.167	111.016	111.026	111.055	111.044	111.039	111.049	110.972	110.983	110.962	111.063	111.045	111.034	110.960	111.055	111.025	110.959	111.016	110.962	110.981	111.028	110.962	110.988	111.026	111.008	110.967	110.994	110.894	111.024	110.995	111.041	110.979	110.970	2016_7_19_17_05_06
FLQS2AVTGRX5____	-50.476	-50.475	-50.546	-50.506	-50.509	-50.572	-50.363	-50.404	-50.331	-50.567	-50.538	-50.514	-50.292	-50.540	-50.515	-50.326	-50.438	-50.374	-50.401	-50.511	-50.333	-50.446	-50.480	-50.442	-50.292	-50.473	-50.222	-50.541	-50.474	-50.479	-50.402	-50.401	129.953	129.853	129.881	129.819	129.852	129.961	129.959	129.993	129.924	129.888	129.927	129.914	129.958	129.855	129.881	129.954	129.962	130.054	129.996	129.961	129.959	130.089	129.915	129.991	129.927	130.065	130.096	130.031	130.090	129.814	129.994	130.103	111.070	111.085	111.108	111.102	111.098	111.105	111.026	111.036	111.019	111.115	111.097	111.090	110.999	111.109	111.096	111.013	111.054	111.016	111.035	111.082	111.014	111.038	111.077	111.051	111.003	111.052	110.952	111.083	111.049	111.092	111.036	111.019	2016_7_19_17_05_06
FLQS3087GRWV____	-50.874	-50.914	-50.942	-50.913	-50.913	-50.980	-50.763	-50.803	-50.732	-50.978	-50.943	-50.913	-50.687	-50.943	-50.878	-50.721	-50.841	-50.768	-50.808	-50.910	-50.731	-50.834	-50.870	-50.834	-50.688	-50.875	-50.626	-50.945	-50.909	-50.874	-50.806	-50.806	129.973	129.870	129.904	129.869	129.931	130.037	130.015	130.046	130.003	129.938	129.974	129.967	130.017	129.902	129.905	130.014	130.010	130.082	130.074	130.009	130.038	130.143	129.941	130.047	129.982	130.114	130.177	130.108	130.116	129.830	130.073	130.154	111.375	111.405	111.411	111.405	111.396	111.406	111.326	111.337	111.316	111.420	111.401	111.390	111.297	111.412	111.386	111.310	111.356	111.318	111.334	111.383	111.310	111.334	111.378	111.348	111.302	111.354	111.250	111.382	111.367	111.396	111.334	111.322	2016_7_19_17_05_06
