SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-67.423	-67.321	-67.245	-67.357	-67.392	-67.426	-67.323	-67.355	-67.288	-67.391	-67.423	-67.320	-67.211	-67.423	-67.353	-67.425	-67.320	-67.355	-67.316	-67.288	-67.321	-67.357	-67.358	-67.251	-67.326	-67.245	-67.219	-67.217	-67.185	-67.149	-67.253	-67.219	144.018	144.021	144.019	144.091	144.091	144.051	144.055	144.113	144.023	144.054	144.016	143.951	144.096	144.052	144.045	144.016	144.054	144.020	144.082	144.082	144.148	144.055	144.124	144.200	144.329	144.246	144.287	144.241	144.255	144.227	144.202	144.368	115.154	115.120	115.096	115.121	115.133	115.150	115.116	115.117	115.109	115.138	115.154	115.131	115.073	115.149	115.127	115.155	115.115	115.132	115.110	115.100	115.101	115.127	115.117	115.070	115.075	115.061	115.047	115.053	115.040	115.033	115.071	115.034	2016_7_19_17_03_08
FLQS30KBGRWV____	-67.394	-67.291	-67.217	-67.325	-67.362	-67.396	-67.291	-67.323	-67.256	-67.358	-67.393	-67.287	-67.181	-67.394	-67.321	-67.396	-67.288	-67.323	-67.284	-67.256	-67.288	-67.328	-67.325	-67.219	-67.292	-67.215	-67.188	-67.186	-67.155	-67.117	-67.220	-67.188	143.949	143.956	143.960	144.021	144.022	143.981	143.982	144.050	143.951	143.986	143.947	143.883	144.027	143.986	143.983	143.948	143.987	143.952	144.020	144.020	144.085	143.982	144.053	144.169	144.287	144.190	144.250	144.204	144.218	144.188	144.151	144.312	115.059	115.024	115.000	115.025	115.037	115.055	115.021	115.020	115.014	115.042	115.059	115.034	114.978	115.053	115.030	115.060	115.019	115.035	115.012	115.003	115.004	115.032	115.021	114.969	114.974	114.964	114.946	114.952	114.940	114.932	114.971	114.937	2016_7_19_17_03_08
FLQS30CWGRWV____	-67.118	-67.012	-66.951	-67.048	-67.083	-67.118	-67.013	-67.054	-66.976	-67.082	-67.117	-67.013	-66.914	-67.118	-67.052	-67.118	-67.012	-67.047	-67.019	-66.981	-67.015	-67.050	-67.048	-66.947	-67.014	-66.946	-66.910	-66.914	-66.876	-66.840	-66.946	-66.909	144.019	144.023	144.029	144.091	144.092	144.049	144.054	144.146	144.021	144.056	144.017	143.951	144.093	144.056	144.076	144.017	144.056	144.019	144.099	144.108	144.177	144.049	144.122	144.279	144.371	144.273	144.339	144.312	144.306	144.266	144.269	144.377	114.992	114.957	114.936	114.958	114.970	114.988	114.953	114.952	114.945	114.975	114.992	114.968	114.914	114.987	114.962	114.993	114.952	114.969	114.948	114.934	114.934	114.965	114.954	114.897	114.905	114.898	114.876	114.881	114.870	114.864	114.898	114.870	2016_7_19_17_03_08
FLQS30C7GRWV____	-67.282	-67.179	-67.120	-67.215	-67.250	-67.284	-67.179	-67.221	-67.144	-67.251	-67.283	-67.181	-67.084	-67.283	-67.221	-67.283	-67.178	-67.213	-67.188	-67.148	-67.183	-67.216	-67.215	-67.118	-67.189	-67.115	-67.077	-67.082	-67.045	-67.007	-67.114	-67.073	143.955	143.956	143.962	144.022	144.027	143.985	143.988	144.076	143.952	143.957	143.956	143.883	144.030	143.992	144.004	143.955	143.989	143.955	144.034	144.038	144.109	143.982	144.056	144.160	144.295	144.214	144.257	144.235	144.221	144.189	144.193	144.312	114.978	114.944	114.924	114.946	114.956	114.974	114.939	114.939	114.933	114.967	114.978	114.956	114.902	114.973	114.950	114.978	114.939	114.955	114.935	114.921	114.922	114.952	114.940	114.893	114.896	114.884	114.865	114.870	114.860	114.852	114.887	114.855	2016_7_19_17_03_08
FLQS29JFGRX5____	-67.268	-67.219	-67.089	-67.238	-67.275	-67.324	-67.219	-67.198	-67.184	-67.289	-67.324	-67.219	-67.056	-67.324	-67.254	-67.324	-67.219	-67.254	-67.219	-67.184	-67.164	-67.254	-67.254	-67.149	-67.219	-67.149	-67.114	-67.061	-67.079	-67.044	-67.149	-67.114	144.060	144.015	144.064	144.128	144.133	144.050	144.050	144.157	144.015	143.980	144.015	143.945	144.140	144.050	144.050	144.015	144.050	144.015	144.085	144.085	144.196	144.050	144.120	144.225	144.260	144.260	144.295	144.230	144.260	144.225	144.225	144.365	115.157	115.147	115.098	115.136	115.148	115.176	115.142	115.119	115.136	115.176	115.182	115.158	115.075	115.176	115.154	115.182	115.142	115.159	115.137	115.125	115.102	115.154	115.143	115.093	115.110	115.087	115.071	115.063	115.064	115.058	115.093	115.060	2016_7_19_17_03_08
FLQS22XEGRX2____	-67.268	-67.163	-67.088	-67.198	-67.235	-67.270	-67.214	-67.195	-67.129	-67.232	-67.267	-67.162	-67.051	-67.267	-67.192	-67.269	-67.162	-67.196	-67.158	-67.179	-67.162	-67.249	-67.198	-67.144	-67.214	-67.087	-67.109	-67.109	-67.027	-66.988	-67.144	-67.098	143.958	143.960	143.963	144.029	144.031	143.990	143.932	144.055	143.958	143.995	143.957	143.892	144.034	143.998	143.988	143.957	143.996	143.962	144.026	143.967	144.090	143.932	144.063	144.107	144.212	144.199	144.177	144.142	144.227	144.203	144.107	144.315	114.892	114.857	114.832	114.858	114.870	114.888	114.878	114.853	114.846	114.874	114.892	114.867	114.809	114.886	114.863	114.892	114.852	114.868	114.845	114.861	114.837	114.890	114.853	114.829	114.836	114.796	114.807	114.812	114.772	114.763	114.829	114.782	2016_7_19_17_03_08
FLQS22TQGRX2____	-67.375	-67.272	-67.194	-67.307	-67.342	-67.377	-67.274	-67.301	-67.237	-67.341	-67.376	-67.272	-67.158	-67.376	-67.299	-67.377	-67.273	-67.306	-67.264	-67.237	-67.270	-67.310	-67.308	-67.195	-67.270	-67.190	-67.164	-67.159	-67.130	-67.095	-67.197	-67.165	143.952	143.955	143.941	144.025	144.023	143.985	143.988	144.045	143.954	143.986	143.949	143.884	144.017	143.988	143.981	143.948	143.986	143.954	144.011	144.011	144.084	143.987	144.055	144.134	144.267	144.176	144.221	144.173	144.185	144.166	144.133	144.303	115.202	115.168	115.144	115.169	115.180	115.197	115.163	115.163	115.156	115.185	115.202	115.178	115.121	115.196	115.173	115.203	115.163	115.179	115.156	115.147	115.147	115.175	115.164	115.115	115.119	115.107	115.092	115.097	115.086	115.078	115.116	115.080	2016_7_19_17_03_08
FLQS21YXGRX2____	-66.956	-66.889	-66.818	-66.925	-66.962	-66.958	-66.890	-66.886	-66.816	-66.921	-66.955	-66.890	-66.747	-66.955	-66.886	-66.955	-66.890	-66.884	-66.855	-66.857	-66.852	-66.927	-66.887	-66.783	-66.892	-66.780	-66.749	-66.781	-66.750	-66.675	-66.819	-66.786	144.007	144.004	144.013	144.071	144.074	144.041	144.030	144.122	144.006	144.042	144.007	143.912	144.090	144.047	144.049	144.010	144.042	144.011	144.085	144.078	144.158	144.008	144.112	144.235	144.305	144.268	144.304	144.233	144.271	144.235	144.182	144.335	114.850	114.829	114.804	114.830	114.842	114.846	114.825	114.810	114.805	114.834	114.850	114.843	114.769	114.844	114.821	114.850	114.823	114.826	114.806	114.807	114.794	114.841	114.812	114.759	114.784	114.753	114.738	114.759	114.743	114.724	114.779	114.745	2016_7_19_17_03_08
FLQS2AVTGRX5____	-67.363	-67.260	-67.182	-67.296	-67.330	-67.367	-67.261	-67.292	-67.225	-67.328	-67.364	-67.258	-67.164	-67.364	-67.304	-67.366	-67.259	-67.295	-67.253	-67.226	-67.258	-67.297	-67.296	-67.186	-67.259	-67.177	-67.152	-67.149	-67.119	-67.084	-67.186	-67.156	144.036	144.041	144.072	144.110	144.108	144.067	144.071	144.130	144.041	144.072	144.035	143.970	144.107	144.073	144.072	144.033	144.074	144.038	144.097	144.098	144.162	144.071	144.142	144.202	144.334	144.263	144.293	144.244	144.264	144.240	144.210	144.385	114.908	114.873	114.843	114.874	114.886	114.904	114.869	114.870	114.862	114.891	114.908	114.883	114.832	114.902	114.883	114.909	114.868	114.885	114.863	114.853	114.854	114.881	114.870	114.825	114.828	114.812	114.800	114.806	114.793	114.786	114.823	114.787	2016_7_19_17_03_09
FLQS3087GRWV____	-67.723	-67.619	-67.609	-67.714	-67.690	-67.714	-67.620	-67.714	-67.584	-67.688	-67.723	-67.609	-67.574	-67.724	-67.714	-67.714	-67.619	-67.653	-67.679	-67.644	-67.679	-67.655	-67.655	-67.609	-67.679	-67.551	-67.574	-67.574	-67.483	-67.446	-67.550	-67.574	143.960	143.995	143.955	143.955	144.032	143.990	143.989	144.060	143.957	143.995	143.959	143.885	144.025	143.995	143.990	143.955	143.994	143.960	144.025	144.025	144.095	143.991	144.065	144.165	144.200	144.196	144.235	144.200	144.210	144.172	144.163	144.305	115.192	115.153	115.156	115.190	115.170	115.184	115.154	115.174	115.147	115.175	115.192	115.166	115.133	115.187	115.184	115.190	115.153	115.169	115.168	115.156	115.157	115.165	115.154	115.123	115.141	115.100	115.101	115.107	115.076	115.069	115.105	115.091	2016_7_19_17_03_09
