SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-12.036	-11.841	-11.719	-11.544	-11.637	-11.601	-11.759	-11.984	-11.915	-11.583	-11.809	-11.655	-11.815	-11.643	-11.935	-11.710	-11.645	-11.828	-11.856	-11.708	-11.686	-11.936	-11.782	-11.570	-11.562	-11.772	-11.881	-11.421	-11.553	-11.784	-11.638	-11.649	-117.639	-117.420	-117.223	-117.226	-117.828	-117.945	-117.216	-117.292	-117.303	-117.540	-117.939	-117.110	-117.510	-117.422	-117.597	-117.846	-117.989	-117.171	-117.446	-117.619	-117.435	-117.664	-117.240	-118.036	-117.338	-117.981	-117.369	-118.277	-117.267	-117.247	-117.134	-117.330	264.495	264.579	264.628	264.713	264.697	264.720	264.608	264.503	264.537	264.709	264.619	264.654	264.596	264.674	264.542	264.662	264.701	264.573	264.572	264.652	264.654	264.545	264.598	264.739	264.710	264.639	264.557	264.821	264.711	264.598	264.663	264.667	2016_7_19_17_02_31
FLQS30KBGRWV____	-11.828	-11.832	-11.377	-11.397	-11.627	-11.675	-11.352	-11.829	-11.369	-11.641	-11.667	-11.866	-11.808	-11.302	-11.665	-11.499	-11.444	-11.622	-11.831	-11.645	-11.405	-11.726	-11.629	-11.503	-11.679	-11.771	-11.478	-11.560	-11.406	-11.434	-11.357	-11.423	-117.503	-117.478	-117.153	-117.347	-117.414	-116.956	-117.476	-117.804	-117.823	-117.582	-117.678	-117.397	-116.763	-117.617	-117.525	-117.850	-117.598	-116.551	-117.561	-116.551	-117.294	-118.194	-117.487	-117.701	-117.129	-117.589	-117.559	-117.538	-117.786	-117.499	-117.576	-117.705	264.589	264.586	264.790	264.790	264.682	264.637	264.817	264.603	264.825	264.683	264.675	264.566	264.562	264.848	264.669	264.764	264.779	264.643	264.590	264.631	264.783	264.671	264.684	264.755	264.643	264.621	264.760	264.720	264.806	264.779	264.820	264.794	2016_7_19_17_02_32
FLQS30CWGRWV____	-12.127	-11.706	-11.585	-11.731	-11.636	-11.606	-11.577	-11.989	-11.792	-11.515	-11.753	-11.753	-11.819	-11.657	-11.743	-11.715	-11.784	-12.075	-11.841	-11.574	-11.814	-11.813	-11.645	-11.777	-11.683	-11.787	-11.748	-11.566	-11.682	-11.643	-11.694	-11.834	-116.528	-117.353	-117.157	-117.734	-117.690	-117.608	-117.095	-117.160	-117.305	-117.465	-117.411	-117.402	-117.113	-117.040	-117.655	-117.374	-117.662	-117.231	-118.510	-117.543	-117.360	-117.925	-117.628	-117.572	-117.522	-117.586	-117.366	-117.996	-117.458	-117.561	-117.573	-117.764	263.722	263.967	264.016	263.973	264.016	264.027	264.016	263.820	263.923	264.064	263.946	263.946	263.900	263.975	263.963	263.963	263.944	263.782	263.957	264.039	263.915	263.943	264.009	263.943	263.986	263.939	263.947	264.065	263.983	264.007	263.983	263.925	2016_7_19_17_02_32
FLQS30C7GRWV____	-11.497	-11.629	-11.631	-11.588	-11.765	-11.734	-11.357	-11.641	-11.574	-11.565	-11.674	-11.599	-11.665	-11.371	-11.600	-11.699	-11.565	-11.737	-11.480	-11.432	-11.662	-11.594	-11.630	-11.690	-11.402	-11.757	-11.540	-11.359	-11.603	-11.557	-11.288	-11.770	-116.970	-116.864	-116.924	-116.998	-116.672	-116.728	-116.538	-116.864	-117.141	-117.642	-116.733	-117.314	-117.213	-116.413	-117.171	-117.162	-117.307	-117.069	-117.285	-117.125	-117.200	-117.648	-117.138	-117.147	-117.902	-117.177	-117.145	-117.516	-117.171	-117.680	-117.432	-116.445	264.049	263.980	263.982	264.006	263.905	263.923	264.097	263.974	264.020	264.048	263.952	264.016	263.979	264.084	264.009	263.961	264.032	263.938	264.073	264.088	263.980	264.035	263.993	263.964	264.139	263.933	264.037	264.142	264.007	264.054	264.173	263.891	2016_7_19_17_02_32
FLQS29JFGRX5____	-11.906	-12.030	-11.781	-11.663	-11.632	-11.474	-11.567	-11.785	-11.914	-11.715	-11.688	-11.670	-11.684	-11.373	-11.611	-11.844	-11.781	-12.015	-11.706	-11.480	-11.868	-11.611	-11.701	-11.581	-11.676	-11.915	-11.946	-11.577	-11.683	-11.711	-11.694	-11.890	-117.028	-116.793	-116.588	-117.070	-117.949	-117.070	-116.734	-116.734	-116.672	-116.979	-116.540	-117.590	-116.683	-116.408	-116.651	-116.833	-116.713	-116.680	-117.675	-117.355	-117.004	-117.724	-117.877	-117.489	-117.707	-116.711	-116.744	-116.795	-117.100	-116.683	-116.892	-117.559	264.528	264.456	264.567	264.648	264.705	264.740	264.678	264.572	264.506	264.618	264.610	264.669	264.619	264.757	264.653	264.548	264.573	264.458	264.656	264.750	264.545	264.704	264.668	264.708	264.672	264.508	264.495	264.676	264.640	264.606	264.624	264.562	2016_7_19_17_02_32
FLQS22XEGRX2____	-11.844	-11.839	-11.965	-11.602	-11.637	-11.603	-11.712	-11.760	-11.784	-12.106	-11.837	-12.191	-11.831	-11.550	-11.746	-11.847	-11.717	-11.772	-11.851	-11.501	-11.759	-11.749	-11.709	-11.511	-11.707	-11.850	-11.895	-11.440	-11.747	-11.905	-11.642	-12.051	-117.853	-117.953	-118.080	-117.952	-118.037	-117.824	-117.310	-117.075	-117.900	-117.536	-116.841	-117.866	-115.663	-118.685	-118.007	-118.117	-118.003	-116.780	-118.031	-117.959	-117.328	-118.142	-118.040	-117.978	-117.016	-117.996	-117.454	-117.885	-117.929	-118.297	-117.597	-117.291	264.598	264.605	264.551	264.719	264.706	264.713	264.636	264.601	264.629	264.456	264.552	264.432	264.497	264.779	264.653	264.610	264.667	264.581	264.603	264.768	264.614	264.658	264.672	264.764	264.624	264.602	264.554	264.794	264.648	264.590	264.683	264.471	2016_7_19_17_02_32
FLQS22TQGRX2____	-11.435	-11.632	-11.498	-11.256	-11.682	-11.460	-11.200	-11.560	-11.585	-11.455	-11.668	-11.541	-11.538	-11.200	-11.664	-11.522	-11.554	-11.406	-11.507	-11.627	-11.468	-11.402	-11.759	-11.497	-11.468	-11.441	-11.531	-11.233	-11.482	-11.297	-11.551	-11.558	-117.730	-117.628	-117.499	-118.023	-118.020	-118.571	-118.475	-118.149	-116.970	-116.951	-117.688	-117.561	-117.462	-118.685	-117.616	-116.854	-118.533	-117.763	-117.651	-117.633	-117.768	-117.883	-117.643	-117.605	-117.865	-117.732	-117.962	-117.825	-116.869	-118.044	-117.583	-117.664	264.789	264.689	264.748	264.889	264.684	264.817	264.937	264.749	264.681	264.743	264.675	264.730	264.727	264.946	264.674	264.706	264.770	264.805	264.751	264.692	264.775	264.813	264.629	264.754	264.780	264.786	264.754	264.891	264.726	264.870	264.727	264.727	2016_7_19_17_02_32
FLQS21YXGRX2____	-11.718	-11.690	-11.844	-11.731	-11.579	-11.930	-11.552	-11.916	-11.790	-11.447	-11.813	-11.809	-11.677	-11.574	-11.615	-11.846	-11.581	-11.883	-11.582	-11.631	-11.682	-11.608	-11.648	-11.584	-11.933	-11.708	-11.815	-11.710	-11.822	-11.577	-11.573	-12.020	-117.192	-116.865	-117.281	-117.538	-117.295	-117.602	-117.743	-116.960	-117.298	-117.646	-117.542	-117.723	-118.097	-117.415	-117.270	-117.182	-118.063	-117.092	-117.768	-118.143	-117.359	-117.924	-117.231	-117.316	-118.037	-118.124	-117.169	-117.412	-117.201	-117.698	-117.393	-117.496	263.953	263.951	263.896	263.963	264.025	263.871	264.060	263.846	263.924	264.106	263.924	263.935	264.016	264.033	264.007	263.891	264.061	263.868	264.046	264.040	263.978	264.041	263.989	264.024	263.890	264.002	263.905	263.967	263.903	264.045	264.033	263.822	2016_7_19_17_02_32
FLQS2AVTGRX5____	-11.912	-12.040	-11.783	-11.674	-11.776	-11.613	-11.897	-11.790	-11.852	-11.781	-12.020	-11.677	-11.683	-11.577	-11.740	-11.712	-11.652	-11.685	-11.849	-11.642	-11.877	-11.747	-11.778	-11.709	-11.878	-11.844	-11.753	-11.434	-11.680	-11.576	-11.567	-11.770	-117.174	-116.883	-117.069	-117.273	-117.222	-117.142	-116.417	-117.079	-117.229	-117.313	-116.624	-117.582	-117.024	-117.028	-117.318	-117.370	-117.456	-117.218	-117.427	-117.279	-117.416	-117.264	-117.288	-117.359	-117.443	-117.647	-117.356	-117.661	-117.319	-117.361	-117.247	-117.109	263.858	263.781	263.915	263.978	263.926	264.002	263.828	263.912	263.890	263.928	263.779	263.992	263.962	264.014	263.949	263.965	263.998	263.970	263.901	263.994	263.887	263.943	263.928	263.965	263.888	263.914	263.944	264.113	263.977	264.030	264.029	263.924	2016_7_19_17_02_32
FLQS3087GRWV____	-11.435	-11.836	-11.689	-11.409	-11.360	-11.270	-11.480	-11.657	-11.437	-11.578	-11.679	-11.683	-11.407	-11.374	-11.537	-11.703	-11.705	-11.410	-11.380	-11.298	-11.724	-11.461	-11.741	-11.370	-11.483	-11.508	-11.476	-11.369	-11.332	-11.743	-11.541	-11.554	-117.726	-116.694	-117.546	-117.168	-117.901	-117.297	-117.747	-117.038	-118.032	-117.406	-117.693	-117.348	-117.786	-117.312	-117.739	-117.589	-117.479	-117.687	-117.785	-117.759	-118.025	-118.207	-117.894	-117.781	-117.800	-117.730	-117.770	-117.555	-118.257	-118.163	-117.523	-118.042	264.789	264.546	264.658	264.775	264.833	264.849	264.769	264.649	264.802	264.705	264.670	264.652	264.805	264.799	264.740	264.654	264.647	264.799	264.819	264.857	264.664	264.799	264.650	264.823	264.770	264.754	264.772	264.813	264.864	264.661	264.728	264.747	2016_7_19_17_02_33
