SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-43.131	-43.563	-43.016	-43.158	-43.083	-42.978	-42.736	-43.187	-42.802	-43.268	-43.209	-43.087	-43.013	-42.981	-43.230	-43.348	-43.052	-43.252	-43.215	-43.086	-43.401	-43.068	-43.237	-43.207	-43.384	-43.146	-43.009	-43.226	-43.087	-43.111	-43.417	-43.180	-125.991	-126.043	-125.327	-125.873	-125.740	-125.796	-125.803	-125.795	-125.416	-125.979	-125.484	-125.476	-125.556	-125.852	-125.658	-125.498	-125.758	-125.813	-125.927	-125.957	-125.721	-125.947	-125.647	-126.096	-126.057	-125.701	-125.979	-126.097	-126.007	-125.643	-126.066	-125.850	251.028	250.860	250.982	251.001	251.013	251.064	251.163	250.978	251.082	250.971	250.926	250.974	251.016	251.070	250.941	250.871	251.028	250.954	250.985	251.042	250.880	251.048	250.937	251.012	250.934	250.981	251.076	251.005	251.048	250.988	250.922	250.989	2016_7_19_17_02_01
FLQS30KBGRWV____	-43.107	-43.183	-43.043	-43.207	-43.007	-43.025	-42.847	-43.032	-42.863	-43.287	-43.175	-43.060	-42.941	-43.102	-43.236	-43.358	-43.039	-43.174	-43.026	-43.212	-43.430	-43.099	-43.142	-43.213	-43.325	-43.077	-42.940	-43.033	-43.241	-43.161	-43.156	-43.181	-125.515	-125.668	-125.318	-125.381	-125.585	-125.648	-125.721	-125.505	-125.329	-125.500	-125.443	-125.504	-125.280	-125.540	-125.371	-125.338	-125.406	-125.653	-125.450	-125.833	-125.570	-125.996	-125.424	-125.742	-125.630	-125.482	-125.813	-125.454	-125.612	-125.487	-125.454	-125.981	250.860	250.850	250.858	250.800	250.910	250.912	250.994	250.889	250.933	250.784	250.821	250.877	250.894	250.865	250.787	250.732	250.872	250.851	250.884	250.861	250.735	250.930	250.832	250.848	250.787	250.867	250.969	250.881	250.818	250.833	250.831	250.894	2016_7_19_17_02_01
FLQS30CWGRWV____	-43.391	-43.573	-43.502	-43.499	-43.103	-43.380	-43.134	-43.222	-43.136	-43.602	-43.471	-43.415	-43.220	-43.137	-43.680	-43.674	-43.446	-43.391	-43.420	-43.548	-43.675	-43.467	-43.619	-43.403	-43.817	-43.295	-43.280	-43.259	-43.481	-43.558	-43.618	-43.565	-125.413	-125.628	-125.406	-125.281	-125.478	-125.721	-125.606	-125.336	-125.355	-125.632	-125.282	-125.279	-125.295	-125.237	-125.517	-125.362	-125.485	-125.496	-125.470	-125.605	-125.575	-125.606	-125.505	-125.878	-125.791	-125.506	-125.698	-125.474	-125.671	-125.507	-125.526	-125.586	250.922	250.879	250.876	250.860	251.049	250.970	251.054	250.981	251.018	250.867	250.871	250.894	250.976	251.001	250.819	250.800	250.910	250.934	250.919	250.886	250.830	250.919	250.843	250.983	250.802	250.975	251.008	250.985	250.922	250.868	250.846	250.876	2016_7_19_17_02_01
FLQS30C7GRWV____	-42.654	-43.101	-42.669	-42.714	-42.488	-42.630	-42.638	-42.679	-42.640	-42.311	-42.819	-42.714	-42.418	-42.637	-42.701	-42.959	-42.642	-42.727	-42.675	-42.694	-42.993	-42.467	-42.714	-42.733	-42.994	-42.664	-42.159	-42.682	-42.889	-42.761	-42.821	-42.820	-125.097	-125.420	-124.842	-124.841	-125.166	-125.124	-125.188	-124.911	-124.870	-125.065	-124.981	-124.981	-124.862	-124.815	-124.917	-124.946	-124.878	-125.016	-125.046	-125.112	-125.278	-125.181	-124.946	-125.333	-125.506	-125.071	-125.138	-124.995	-125.121	-125.014	-125.041	-125.225	251.130	250.993	251.089	251.070	251.208	251.144	251.150	251.094	251.105	251.267	251.046	251.090	251.195	251.098	251.086	250.984	251.105	251.089	251.115	251.116	251.017	251.219	251.085	251.131	251.048	251.123	251.340	251.105	251.037	251.075	251.054	251.080	2016_7_19_17_02_01
FLQS29JFGRX5____	-42.980	-43.121	-42.865	-43.110	-42.629	-42.518	-42.514	-42.790	-42.787	-43.221	-43.114	-42.992	-42.485	-42.780	-43.184	-43.320	-43.016	-42.987	-42.937	-42.902	-43.367	-43.110	-43.020	-42.985	-43.250	-42.764	-42.672	-43.059	-42.875	-43.093	-42.968	-42.969	-124.957	-125.058	-124.771	-125.291	-125.082	-125.078	-125.033	-124.968	-124.781	-125.267	-124.842	-124.882	-124.713	-124.842	-125.010	-124.855	-124.859	-125.045	-125.083	-125.089	-125.329	-125.423	-125.007	-125.584	-125.333	-124.987	-125.063	-125.095	-125.153	-125.050	-124.960	-125.137	250.851	250.807	250.872	250.845	251.013	251.058	251.053	250.931	250.906	250.796	250.780	250.836	251.020	250.917	250.775	250.697	250.823	250.861	250.887	250.902	250.745	250.864	250.842	250.937	250.794	250.944	250.993	250.838	250.922	250.818	250.856	250.881	2016_7_19_17_02_02
FLQS22XEGRX2____	-43.077	-43.106	-42.927	-43.112	-42.875	-42.777	-42.917	-42.843	-42.850	-43.187	-43.121	-43.042	-42.868	-42.968	-43.266	-43.260	-42.970	-43.217	-43.004	-43.082	-43.257	-43.077	-43.152	-43.357	-43.252	-43.130	-42.798	-43.077	-42.952	-43.213	-43.146	-43.223	-126.022	-126.122	-125.808	-125.952	-126.018	-126.137	-126.149	-125.793	-125.824	-126.050	-125.882	-125.952	-125.776	-125.774	-126.002	-125.899	-125.961	-126.022	-126.072	-126.079	-126.187	-126.092	-125.993	-126.512	-126.197	-126.048	-126.054	-126.092	-126.193	-126.041	-126.066	-126.180	251.008	251.010	251.039	250.984	251.090	251.146	251.091	251.071	251.073	250.967	250.971	251.013	251.059	251.018	250.928	250.916	251.043	250.951	251.045	251.014	250.958	251.018	250.974	250.962	250.961	250.990	251.126	251.018	251.083	250.955	250.986	250.970	2016_7_19_17_02_02
FLQS22TQGRX2____	-43.029	-43.261	-43.191	-43.008	-42.806	-42.887	-42.713	-42.765	-42.837	-43.420	-43.107	-42.860	-42.791	-43.035	-43.128	-43.251	-43.078	-43.034	-42.937	-43.017	-43.210	-42.971	-43.192	-43.241	-43.351	-43.070	-42.984	-43.140	-43.114	-43.257	-43.137	-43.017	-126.074	-126.315	-126.060	-125.769	-126.082	-126.144	-126.218	-125.977	-125.905	-126.340	-126.012	-125.931	-125.779	-126.130	-125.895	-125.791	-125.974	-126.151	-125.896	-126.137	-126.060	-126.224	-126.048	-126.368	-126.329	-126.270	-126.380	-126.165	-126.161	-126.044	-126.007	-125.955	251.057	250.996	250.989	251.023	251.149	251.125	251.205	251.151	251.112	250.935	251.017	251.106	251.113	251.062	250.992	250.927	251.023	251.066	251.070	251.071	250.981	251.102	250.987	251.012	250.962	251.067	251.118	251.024	251.034	250.960	251.004	251.045	2016_7_19_17_02_02
FLQS21YXGRX2____	-43.099	-43.326	-43.225	-43.177	-42.864	-42.890	-42.593	-43.002	-42.900	-43.371	-43.212	-43.056	-42.932	-42.967	-43.198	-43.255	-43.017	-43.045	-43.062	-43.197	-43.318	-42.977	-43.177	-43.115	-43.421	-42.944	-42.932	-43.126	-43.053	-43.138	-43.137	-43.093	-125.592	-125.948	-125.386	-125.457	-125.722	-125.781	-125.725	-125.667	-125.419	-125.959	-125.457	-125.773	-125.492	-125.842	-125.645	-125.547	-125.608	-125.854	-125.591	-125.786	-125.769	-125.858	-125.702	-125.950	-125.905	-125.752	-125.912	-125.610	-125.799	-125.625	-125.536	-125.651	250.880	250.837	250.799	250.829	250.994	250.991	251.105	250.930	250.937	250.820	250.815	250.922	250.934	250.968	250.847	250.810	250.915	250.938	250.895	250.867	250.815	250.966	250.863	250.923	250.792	250.965	250.992	250.871	250.927	250.869	250.856	250.890	2016_7_19_17_02_02
FLQS2AVTGRX5____	-43.327	-43.297	-43.268	-43.365	-43.027	-43.044	-42.925	-43.193	-43.119	-43.469	-43.361	-43.287	-43.019	-43.287	-43.238	-43.542	-43.294	-43.318	-43.162	-43.215	-43.624	-43.297	-43.174	-43.371	-43.374	-43.217	-43.075	-43.351	-43.215	-43.464	-43.297	-43.305	-125.155	-125.327	-124.959	-125.026	-125.173	-125.295	-125.294	-125.091	-124.996	-125.338	-125.026	-125.025	-124.985	-124.882	-124.970	-124.929	-124.943	-125.304	-125.101	-125.394	-125.399	-125.188	-124.968	-125.283	-125.419	-125.023	-125.325	-125.174	-125.534	-125.134	-125.102	-125.224	250.798	250.835	250.795	250.765	250.924	250.934	250.982	250.844	250.861	250.766	250.766	250.797	250.900	250.776	250.809	250.679	250.782	250.823	250.858	250.878	250.712	250.816	250.835	250.799	250.817	250.825	250.926	250.792	250.898	250.740	250.804	250.817	2016_7_19_17_02_02
FLQS3087GRWV____	-43.195	-43.538	-43.366	-43.423	-42.902	-43.103	-42.553	-43.013	-42.998	-43.465	-43.503	-43.210	-42.952	-43.109	-43.546	-43.590	-43.114	-43.252	-43.156	-43.223	-43.534	-43.223	-43.523	-43.335	-43.620	-43.144	-43.123	-43.415	-42.968	-43.356	-43.356	-43.297	-125.601	-125.802	-125.729	-125.755	-125.555	-125.568	-125.496	-125.277	-125.366	-125.725	-125.697	-125.539	-125.372	-125.257	-125.811	-125.648	-125.843	-125.815	-125.541	-125.837	-125.790	-125.697	-125.641	-125.973	-125.929	-125.517	-125.597	-126.035	-125.559	-125.985	-125.948	-125.921	251.139	251.028	251.088	251.068	251.253	251.172	251.387	251.168	251.187	251.047	251.027	251.125	251.207	251.126	251.026	250.985	251.206	251.146	251.147	251.161	251.028	251.142	251.011	251.135	251.012	251.148	251.168	251.110	251.226	251.127	251.122	251.142	2016_7_19_17_02_02
