SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-53.524	-53.490	-53.490	-53.559	-53.523	-53.558	-53.522	-53.557	-53.522	-53.558	-53.487	-53.523	-53.455	-53.383	-53.419	-53.487	-53.487	-53.454	-53.492	-53.455	-53.422	-53.455	-53.453	-53.457	-53.489	-53.455	-53.421	-53.455	-53.453	-53.487	-53.453	-53.493	-93.774	-93.811	-93.846	-93.950	-93.883	-93.845	-93.882	-93.954	-93.986	-93.880	-94.020	-94.023	-93.952	-94.053	-94.091	-94.020	-94.020	-94.054	-93.985	-94.021	-94.052	-94.021	-93.991	-94.019	-94.021	-94.021	-93.986	-93.987	-93.991	-94.020	-93.984	-93.988	240.559	240.584	240.593	240.589	240.588	240.562	240.588	240.591	240.616	240.571	240.640	240.625	240.638	240.697	240.690	240.640	240.640	240.664	240.629	240.655	240.679	240.655	240.649	240.654	240.640	240.655	240.662	240.647	240.649	240.640	240.647	240.629	2016_7_19_17_00_29
FLQS30KBGRWV____	-53.429	-53.394	-53.393	-53.461	-53.424	-53.468	-53.429	-53.456	-53.426	-53.419	-53.389	-53.424	-53.353	-53.283	-53.276	-53.389	-53.389	-53.353	-53.354	-53.353	-53.321	-53.353	-53.353	-53.354	-53.390	-53.353	-53.277	-53.355	-53.353	-53.389	-53.354	-53.391	-93.710	-93.746	-93.782	-93.890	-93.819	-93.784	-93.821	-93.851	-93.887	-93.817	-93.921	-93.922	-93.886	-93.951	-93.989	-93.921	-93.921	-93.953	-93.887	-93.920	-93.952	-93.920	-93.888	-93.917	-93.924	-93.920	-93.889	-93.887	-93.888	-93.921	-93.884	-93.887	240.194	240.219	240.229	240.226	240.224	240.195	240.222	240.218	240.241	240.226	240.268	240.252	240.275	240.324	240.337	240.268	240.268	240.292	240.274	240.283	240.307	240.283	240.275	240.282	240.268	240.283	240.311	240.274	240.275	240.268	240.274	240.257	2016_7_19_17_00_29
FLQS30CWGRWV____	-53.466	-53.428	-53.429	-53.498	-53.463	-53.502	-53.464	-53.495	-53.461	-53.499	-53.425	-53.463	-53.394	-53.326	-53.359	-53.425	-53.425	-53.395	-53.393	-53.393	-53.360	-53.393	-53.393	-53.393	-53.427	-53.393	-53.360	-53.393	-53.393	-53.425	-53.391	-53.430	-93.774	-93.815	-93.851	-93.924	-93.886	-93.852	-93.888	-93.883	-93.959	-93.886	-93.991	-93.992	-93.956	-94.023	-94.060	-93.991	-93.991	-94.022	-93.956	-93.988	-94.022	-93.988	-93.958	-93.987	-93.992	-93.988	-93.958	-93.957	-93.958	-93.991	-93.954	-93.955	240.128	240.156	240.165	240.153	240.158	240.132	240.159	240.143	240.179	240.142	240.204	240.186	240.209	240.258	240.252	240.204	240.204	240.226	240.209	240.218	240.242	240.218	240.210	240.218	240.203	240.218	240.225	240.210	240.210	240.204	240.210	240.192	2016_7_19_17_00_29
FLQS30C7GRWV____	-53.100	-53.066	-53.065	-53.135	-53.098	-53.138	-53.102	-53.131	-53.102	-53.135	-53.066	-53.099	-53.029	-52.958	-52.994	-53.066	-53.066	-53.030	-53.029	-53.029	-52.996	-53.029	-53.028	-53.028	-53.065	-53.029	-52.994	-52.988	-53.028	-53.066	-52.987	-53.064	-93.838	-93.875	-93.910	-93.980	-93.947	-93.910	-93.946	-93.982	-94.014	-93.944	-94.050	-94.052	-94.013	-94.082	-94.117	-94.050	-94.050	-94.083	-94.017	-94.049	-94.079	-94.049	-94.018	-94.047	-94.047	-94.049	-94.019	-94.015	-94.018	-94.050	-94.013	-94.016	240.231	240.256	240.266	240.252	240.260	240.232	240.258	240.254	240.276	240.242	240.302	240.287	240.309	240.360	240.353	240.302	240.302	240.327	240.310	240.319	240.342	240.319	240.311	240.319	240.301	240.319	240.327	240.329	240.311	240.302	240.329	240.294	2016_7_19_17_00_29
FLQS29JFGRX5____	-53.513	-53.475	-53.475	-53.547	-53.510	-53.549	-53.513	-53.545	-53.512	-53.503	-53.478	-53.513	-53.443	-53.373	-53.408	-53.478	-53.478	-53.443	-53.444	-53.442	-53.408	-53.442	-53.442	-53.441	-53.478	-53.442	-53.410	-53.441	-53.442	-53.478	-53.440	-53.480	-93.712	-93.749	-93.783	-93.856	-93.822	-93.783	-93.820	-93.854	-93.890	-93.819	-93.923	-93.925	-93.891	-93.960	-93.996	-93.923	-93.923	-93.957	-93.889	-93.923	-93.959	-93.923	-93.893	-93.921	-93.924	-93.923	-93.892	-93.893	-93.893	-93.923	-93.887	-93.889	240.018	240.046	240.055	240.041	240.049	240.021	240.047	240.041	240.066	240.051	240.090	240.074	240.098	240.148	240.142	240.090	240.090	240.115	240.097	240.107	240.132	240.107	240.099	240.106	240.091	240.107	240.113	240.099	240.099	240.090	240.098	240.080	2016_7_19_17_00_30
FLQS22XEGRX2____	-53.326	-53.286	-53.286	-53.403	-53.364	-53.359	-53.322	-53.353	-53.324	-53.358	-53.330	-53.367	-53.295	-53.224	-53.216	-53.330	-53.330	-53.253	-53.253	-53.252	-53.215	-53.252	-53.251	-53.251	-53.285	-53.252	-53.262	-53.292	-53.251	-53.330	-53.249	-53.332	-93.761	-93.795	-93.832	-93.957	-93.873	-93.838	-93.872	-93.906	-93.943	-93.871	-93.975	-93.978	-93.944	-94.011	-94.047	-93.975	-93.975	-94.007	-93.941	-93.971	-93.968	-93.971	-93.942	-93.971	-93.976	-93.971	-93.942	-93.942	-93.942	-93.975	-93.939	-93.943	240.086	240.114	240.124	240.102	240.098	240.091	240.118	240.112	240.135	240.101	240.141	240.125	240.149	240.199	240.212	240.141	240.141	240.185	240.167	240.176	240.192	240.176	240.169	240.176	240.162	240.176	240.164	240.150	240.169	240.141	240.169	240.131	2016_7_19_17_00_30
FLQS22TQGRX2____	-53.354	-53.277	-53.276	-53.348	-53.308	-53.348	-53.313	-53.344	-53.311	-53.347	-53.275	-53.310	-53.241	-53.171	-53.208	-53.275	-53.275	-53.243	-53.241	-53.241	-53.207	-53.241	-53.240	-53.239	-53.276	-53.241	-53.207	-53.240	-53.240	-53.275	-53.238	-53.276	-93.774	-93.808	-93.843	-93.917	-93.881	-93.845	-93.882	-93.914	-93.953	-93.882	-93.984	-93.987	-93.951	-94.020	-94.056	-93.984	-93.984	-94.018	-93.950	-93.984	-94.019	-93.984	-93.953	-93.981	-93.986	-93.984	-93.954	-93.954	-93.953	-93.984	-93.950	-93.951	240.052	240.097	240.107	240.093	240.102	240.074	240.100	240.094	240.119	240.084	240.144	240.129	240.151	240.201	240.194	240.144	240.144	240.167	240.151	240.160	240.184	240.160	240.152	240.160	240.144	240.160	240.167	240.152	240.152	240.144	240.152	240.135	2016_7_19_17_00_30
FLQS21YXGRX2____	-53.259	-53.221	-53.221	-53.294	-53.253	-53.291	-53.257	-53.288	-53.257	-53.292	-53.220	-53.257	-53.185	-53.116	-53.151	-53.220	-53.220	-53.186	-53.186	-53.186	-53.153	-53.186	-53.184	-53.183	-53.219	-53.186	-53.152	-53.143	-53.184	-53.220	-53.143	-53.221	-93.650	-93.687	-93.721	-93.798	-93.762	-93.726	-93.762	-93.792	-93.832	-93.760	-93.867	-93.868	-93.828	-93.896	-93.934	-93.867	-93.867	-93.896	-93.831	-93.863	-93.897	-93.863	-93.833	-93.862	-93.867	-93.863	-93.835	-93.830	-93.833	-93.867	-93.824	-93.830	240.216	240.244	240.253	240.239	240.248	240.221	240.247	240.241	240.265	240.230	240.291	240.275	240.298	240.347	240.341	240.291	240.291	240.315	240.298	240.306	240.330	240.306	240.299	240.307	240.292	240.306	240.314	240.317	240.299	240.291	240.316	240.281	2016_7_19_17_00_30
FLQS2AVTGRX5____	-53.586	-53.507	-53.506	-53.620	-53.581	-53.580	-53.584	-53.575	-53.583	-53.577	-53.548	-53.542	-53.555	-53.488	-53.438	-53.548	-53.548	-53.511	-53.514	-53.513	-53.479	-53.513	-53.513	-53.514	-53.549	-53.513	-53.522	-53.512	-53.513	-53.548	-53.511	-53.551	-93.780	-93.816	-93.850	-93.929	-93.890	-93.853	-93.892	-93.923	-93.963	-93.888	-93.995	-93.994	-93.966	-94.077	-94.061	-93.995	-93.995	-94.028	-93.962	-93.995	-94.029	-93.995	-94.013	-93.991	-93.994	-93.995	-94.010	-93.964	-94.013	-93.995	-93.960	-93.960	239.999	240.044	240.054	240.022	240.029	240.020	240.029	240.041	240.048	240.031	240.073	240.075	240.062	240.121	240.140	240.073	240.073	240.098	240.080	240.088	240.113	240.088	240.093	240.087	240.072	240.088	240.088	240.081	240.093	240.073	240.080	240.062	2016_7_19_17_00_30
FLQS3087GRWV____	-53.734	-53.697	-53.698	-53.770	-53.734	-53.768	-53.731	-53.770	-53.733	-53.768	-53.698	-53.735	-53.668	-53.598	-53.631	-53.698	-53.698	-53.665	-53.665	-53.663	-53.629	-53.663	-53.662	-53.620	-53.656	-53.663	-53.633	-53.622	-53.662	-53.698	-53.661	-53.701	-93.821	-93.855	-93.891	-93.965	-93.927	-93.893	-93.894	-93.962	-94.001	-93.893	-94.033	-94.035	-94.001	-94.068	-94.105	-94.033	-94.033	-94.068	-94.001	-94.033	-94.067	-94.033	-94.002	-94.033	-94.034	-94.033	-94.002	-93.999	-94.002	-94.033	-93.996	-93.999	240.446	240.472	240.481	240.468	240.475	240.450	240.467	240.467	240.494	240.450	240.519	240.502	240.524	240.574	240.568	240.519	240.519	240.543	240.526	240.535	240.559	240.535	240.527	240.555	240.538	240.535	240.540	240.545	240.527	240.519	240.526	240.508	2016_7_19_17_00_30
