SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-64.374	-64.340	-64.264	-64.344	-64.269	-64.269	-64.232	-64.305	-64.269	-64.305	-64.269	-64.265	-64.304	-64.264	-64.264	-64.264	-64.265	-64.230	-64.264	-64.307	-64.264	-64.268	-64.264	-64.303	-64.264	-64.264	-64.307	-64.264	-64.269	-64.307	-64.310	-64.230	-94.295	-94.293	-94.264	-94.334	-94.264	-94.298	-94.268	-94.296	-94.298	-94.296	-94.264	-94.301	-94.262	-94.297	-94.334	-94.297	-94.301	-94.300	-94.334	-94.301	-94.297	-94.336	-94.334	-94.298	-94.264	-94.264	-94.301	-94.264	-94.264	-94.301	-94.335	-94.300	235.478	235.491	235.515	235.501	235.513	235.522	235.529	235.507	235.522	235.507	235.513	235.524	235.497	235.524	235.534	235.524	235.524	235.539	235.534	235.507	235.524	235.533	235.534	235.508	235.515	235.515	235.507	235.515	235.513	235.507	235.516	235.539	2016_7_19_17_00_00
FLQS30KBGRWV____	-64.224	-64.230	-64.118	-64.192	-64.121	-64.121	-64.085	-64.193	-64.121	-64.193	-64.121	-64.153	-64.153	-64.120	-64.155	-64.120	-64.153	-64.083	-64.155	-64.119	-64.120	-64.118	-64.155	-64.193	-64.118	-64.118	-64.119	-64.118	-64.121	-64.119	-64.120	-64.083	-94.283	-94.251	-94.255	-94.324	-94.255	-94.285	-94.224	-94.284	-94.285	-94.284	-94.255	-94.252	-94.216	-94.284	-94.323	-94.284	-94.252	-94.285	-94.323	-94.288	-94.284	-94.322	-94.323	-94.292	-94.255	-94.255	-94.288	-94.255	-94.255	-94.288	-94.322	-94.285	235.458	235.447	235.495	235.483	235.494	235.502	235.499	235.472	235.502	235.472	235.494	235.479	235.469	235.502	235.498	235.502	235.479	235.518	235.498	235.504	235.502	235.513	235.498	235.474	235.495	235.495	235.504	235.495	235.494	235.504	235.513	235.518	2016_7_19_17_00_00
FLQS30CWGRWV____	-64.294	-64.262	-64.188	-64.226	-64.189	-64.189	-64.152	-64.225	-64.189	-64.225	-64.189	-64.188	-64.224	-64.187	-64.187	-64.187	-64.188	-64.151	-64.187	-64.189	-64.187	-64.151	-64.187	-64.225	-64.188	-64.188	-64.189	-64.188	-64.189	-64.189	-64.188	-64.151	-94.292	-94.294	-94.260	-94.334	-94.263	-94.297	-94.266	-94.295	-94.297	-94.295	-94.263	-94.296	-94.260	-94.295	-94.333	-94.295	-94.296	-94.298	-94.333	-94.299	-94.295	-94.334	-94.333	-94.298	-94.260	-94.260	-94.299	-94.260	-94.263	-94.299	-94.335	-94.298	235.456	235.469	235.491	235.496	235.491	235.500	235.507	235.485	235.500	235.485	235.491	235.501	235.475	235.501	235.512	235.501	235.501	235.516	235.512	235.501	235.501	235.527	235.512	235.486	235.491	235.491	235.501	235.491	235.491	235.501	235.512	235.516	2016_7_19_17_00_00
FLQS30C7GRWV____	-63.880	-63.849	-63.772	-63.812	-63.815	-63.774	-63.739	-63.810	-63.774	-63.810	-63.815	-63.774	-63.810	-63.774	-63.774	-63.774	-63.774	-63.739	-63.774	-63.815	-63.774	-63.739	-63.774	-63.812	-63.772	-63.772	-63.815	-63.772	-63.815	-63.815	-63.775	-63.739	-94.377	-94.377	-94.344	-94.415	-94.345	-94.378	-94.350	-94.377	-94.378	-94.377	-94.345	-94.377	-94.342	-94.371	-94.409	-94.371	-94.377	-94.377	-94.409	-94.384	-94.371	-94.413	-94.409	-94.380	-94.344	-94.344	-94.384	-94.344	-94.345	-94.384	-94.418	-94.377	235.607	235.620	235.643	235.646	235.625	235.651	235.658	235.636	235.651	235.636	235.625	235.651	235.626	235.650	235.660	235.650	235.651	235.666	235.660	235.636	235.650	235.676	235.660	235.636	235.643	235.643	235.636	235.643	235.625	235.636	235.662	235.666	2016_7_19_17_00_01
FLQS29JFGRX5____	-64.285	-64.253	-64.142	-64.217	-64.180	-64.181	-64.108	-64.180	-64.181	-64.180	-64.180	-64.142	-64.217	-64.142	-64.141	-64.142	-64.142	-64.141	-64.141	-64.180	-64.142	-64.141	-64.141	-64.219	-64.142	-64.142	-64.180	-64.142	-64.180	-64.180	-64.182	-64.141	-94.246	-94.209	-94.174	-94.246	-94.178	-94.214	-94.178	-94.207	-94.214	-94.207	-94.178	-94.209	-94.177	-94.207	-94.244	-94.207	-94.209	-94.212	-94.244	-94.215	-94.207	-94.245	-94.244	-94.212	-94.174	-94.174	-94.215	-94.174	-94.178	-94.215	-94.247	-94.212	235.978	235.980	236.017	236.005	236.002	236.012	236.032	236.010	236.012	236.010	236.002	236.026	235.986	236.026	236.037	236.026	236.026	236.028	236.037	236.012	236.026	236.037	236.037	235.995	236.017	236.017	236.012	236.017	236.002	236.012	236.021	236.028	2016_7_19_17_00_01
FLQS22XEGRX2____	-64.146	-64.113	-64.041	-64.078	-64.040	-64.042	-64.006	-64.076	-64.042	-64.076	-64.040	-64.040	-64.076	-64.041	-64.040	-64.041	-64.040	-64.052	-64.040	-64.085	-64.041	-64.052	-64.040	-64.078	-64.041	-64.041	-64.085	-64.041	-64.040	-64.085	-64.043	-64.052	-94.282	-94.280	-94.247	-94.316	-94.251	-94.283	-94.254	-94.278	-94.283	-94.278	-94.251	-94.281	-94.247	-94.280	-94.317	-94.280	-94.281	-94.327	-94.317	-94.328	-94.280	-94.359	-94.317	-94.283	-94.247	-94.247	-94.328	-94.247	-94.251	-94.328	-94.319	-94.327	236.068	236.081	236.101	236.105	236.102	236.111	236.118	236.095	236.111	236.095	236.102	236.111	236.087	236.111	236.121	236.111	236.111	236.119	236.121	236.106	236.111	236.128	236.121	236.096	236.101	236.101	236.106	236.101	236.102	236.106	236.121	236.119	2016_7_19_17_00_01
FLQS22TQGRX2____	-64.150	-64.075	-63.997	-64.074	-64.039	-64.038	-63.966	-64.036	-64.038	-64.036	-64.039	-63.999	-64.036	-63.999	-63.999	-63.999	-63.999	-64.002	-63.999	-64.040	-63.999	-64.004	-63.999	-64.039	-63.997	-63.997	-64.040	-63.997	-64.039	-64.040	-64.042	-64.002	-94.336	-94.301	-94.273	-94.376	-94.305	-94.337	-94.275	-94.335	-94.337	-94.335	-94.305	-94.306	-94.301	-94.336	-94.340	-94.336	-94.306	-94.339	-94.340	-94.343	-94.336	-94.342	-94.340	-94.307	-94.273	-94.273	-94.343	-94.273	-94.305	-94.343	-94.374	-94.339	235.463	235.484	235.508	235.505	235.500	235.509	235.522	235.509	235.509	235.509	235.500	235.517	235.500	235.525	235.526	235.525	235.517	235.525	235.526	235.510	235.525	235.525	235.526	235.500	235.508	235.508	235.510	235.508	235.500	235.510	235.518	235.525	2016_7_19_17_00_01
FLQS21YXGRX2____	-64.083	-64.013	-63.934	-64.016	-63.939	-63.939	-63.899	-64.012	-63.939	-64.012	-63.939	-63.934	-63.974	-63.933	-63.932	-63.933	-63.934	-63.898	-63.932	-63.940	-63.933	-63.897	-63.932	-64.017	-63.934	-63.934	-63.940	-63.934	-63.939	-63.940	-63.940	-63.898	-94.151	-94.149	-94.118	-94.190	-94.123	-94.153	-94.124	-94.151	-94.153	-94.151	-94.123	-94.155	-94.116	-94.151	-94.191	-94.151	-94.155	-94.159	-94.191	-94.155	-94.151	-94.196	-94.191	-94.155	-94.118	-94.118	-94.155	-94.118	-94.123	-94.155	-94.187	-94.159	235.470	235.498	235.522	235.508	235.521	235.530	235.539	235.499	235.530	235.499	235.521	235.533	235.505	235.532	235.544	235.532	235.533	235.548	235.544	235.530	235.532	235.559	235.544	235.498	235.522	235.522	235.530	235.522	235.521	235.530	235.539	235.548	2016_7_19_17_00_01
FLQS2AVTGRX5____	-64.405	-64.332	-64.258	-64.336	-64.261	-64.260	-64.225	-64.298	-64.260	-64.298	-64.261	-64.260	-64.298	-64.257	-64.257	-64.257	-64.260	-64.261	-64.257	-64.261	-64.257	-64.261	-64.257	-64.299	-64.258	-64.258	-64.261	-64.258	-64.261	-64.261	-64.299	-64.261	-94.286	-94.281	-94.248	-94.324	-94.247	-94.283	-94.213	-94.279	-94.283	-94.279	-94.247	-94.285	-94.246	-94.280	-94.317	-94.280	-94.285	-94.284	-94.317	-94.285	-94.280	-94.319	-94.317	-94.247	-94.248	-94.248	-94.285	-94.248	-94.247	-94.285	-94.325	-94.284	235.325	235.354	235.375	235.364	235.373	235.384	235.379	235.367	235.384	235.367	235.373	235.385	235.358	235.385	235.395	235.385	235.385	235.384	235.395	235.384	235.385	235.394	235.395	235.358	235.375	235.375	235.384	235.375	235.373	235.384	235.380	235.384	2016_7_19_17_00_01
FLQS3087GRWV____	-64.777	-64.698	-64.618	-64.660	-64.624	-64.625	-64.584	-64.659	-64.625	-64.659	-64.624	-64.619	-64.659	-64.619	-64.619	-64.619	-64.619	-64.632	-64.619	-64.624	-64.619	-64.630	-64.619	-64.661	-64.618	-64.618	-64.624	-64.618	-64.624	-64.624	-64.625	-64.632	-94.329	-94.321	-94.269	-94.332	-94.264	-94.294	-94.266	-94.294	-94.294	-94.294	-94.264	-94.302	-94.261	-94.297	-94.334	-94.297	-94.302	-94.330	-94.334	-94.297	-94.297	-94.333	-94.334	-94.298	-94.269	-94.269	-94.297	-94.269	-94.264	-94.297	-94.331	-94.330	235.248	235.278	235.297	235.298	235.293	235.301	235.310	235.287	235.301	235.287	235.293	235.306	235.278	235.304	235.315	235.304	235.306	235.308	235.315	235.302	235.304	235.310	235.315	235.287	235.297	235.297	235.302	235.297	235.293	235.302	235.312	235.308	2016_7_19_17_00_01
FLQS2044GRWY____	-64.242	-64.252	-64.137	-64.176	-64.175	-64.178	-64.142	-64.175	-64.178	-64.175	-64.175	-64.137	-64.174	-64.138	-64.137	-64.138	-64.137	-64.100	-64.137	-64.175	-64.138	-64.101	-64.137	-64.176	-64.137	-64.137	-64.175	-64.137	-64.175	-64.175	-64.176	-64.100	-94.217	-94.256	-94.188	-94.253	-94.191	-94.257	-94.193	-94.216	-94.257	-94.216	-94.191	-94.223	-94.184	-94.219	-94.256	-94.219	-94.223	-94.222	-94.256	-94.226	-94.219	-94.258	-94.256	-94.220	-94.188	-94.188	-94.226	-94.188	-94.191	-94.226	-94.261	-94.222	235.466	235.472	235.501	235.503	235.486	235.504	235.500	235.493	235.504	235.493	235.486	235.511	235.484	235.509	235.520	235.509	235.511	235.526	235.520	235.496	235.509	235.536	235.520	235.494	235.501	235.501	235.496	235.501	235.486	235.496	235.505	235.526	2016_7_19_17_00_02
