SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-57.955	-57.884	-57.883	-57.852	-57.884	-57.887	-57.884	-57.883	-57.918	-57.918	-57.884	-57.952	-57.849	-57.885	-57.920	-57.851	-57.813	-57.918	-57.883	-57.850	-57.954	-57.954	-57.920	-57.882	-57.814	-57.954	-57.850	-57.919	-57.883	-57.951	-57.922	-57.955	-57.944	-57.873	-57.948	-57.978	-57.909	-57.978	-57.948	-57.943	-58.050	-57.944	-57.909	-57.943	-57.979	-57.909	-58.050	-57.909	-57.948	-57.877	-58.014	-57.873	-58.012	-57.910	-58.015	-57.909	-57.871	-57.908	-57.913	-57.909	-57.944	-57.838	-57.979	-57.944	225.332	225.332	225.369	225.400	225.350	225.382	225.369	225.367	225.402	225.350	225.350	225.332	225.401	225.349	225.401	225.366	225.404	225.317	225.402	225.348	225.366	225.315	225.384	225.351	225.365	225.314	225.368	225.332	225.367	225.281	225.365	225.332	2016_7_19_16_59_26
FLQS30KBGRWV____	-57.859	-57.817	-57.785	-57.821	-57.821	-57.858	-57.819	-57.820	-57.856	-57.855	-57.821	-57.889	-57.752	-57.821	-57.894	-57.787	-57.749	-57.851	-57.822	-57.753	-57.891	-57.857	-57.857	-57.817	-57.749	-57.857	-57.754	-57.852	-57.785	-57.854	-57.893	-57.859	-57.871	-57.802	-57.906	-57.863	-57.835	-57.904	-57.908	-57.827	-57.976	-57.869	-57.835	-57.867	-57.863	-57.840	-57.975	-57.837	-57.907	-57.799	-57.940	-57.798	-57.935	-57.838	-57.942	-57.838	-57.798	-57.836	-57.829	-57.836	-57.871	-57.724	-57.906	-57.871	225.343	225.330	225.397	225.358	225.344	225.360	225.381	225.340	225.396	225.344	225.344	225.326	225.392	225.347	225.377	225.362	225.415	225.311	225.395	225.359	225.359	225.327	225.379	225.347	225.361	225.327	225.374	225.329	225.380	225.273	225.343	225.343	2016_7_19_16_59_26
FLQS30CWGRWV____	-57.894	-57.819	-57.788	-57.820	-57.820	-57.859	-57.821	-57.822	-57.857	-57.816	-57.820	-57.887	-57.755	-57.821	-57.892	-57.787	-57.749	-57.854	-57.822	-57.787	-57.893	-57.856	-57.860	-57.819	-57.749	-57.894	-57.754	-57.820	-57.823	-57.890	-57.895	-57.894	-57.930	-57.819	-57.969	-57.924	-57.854	-57.965	-57.968	-57.929	-58.037	-57.789	-57.854	-57.845	-57.924	-57.856	-58.037	-57.855	-57.969	-57.807	-58.000	-57.818	-57.995	-57.857	-58.003	-57.900	-57.815	-57.897	-57.843	-57.853	-57.935	-57.784	-57.967	-57.930	224.681	224.663	224.753	224.714	224.680	224.716	224.736	224.716	224.752	224.650	224.680	224.642	224.747	224.680	224.735	224.696	224.771	224.639	224.751	224.679	224.714	224.663	224.733	224.703	224.696	224.664	224.707	224.679	224.719	224.611	224.698	224.681	2016_7_19_16_59_27
FLQS30C7GRWV____	-57.724	-57.723	-57.652	-57.690	-57.689	-57.685	-57.688	-57.649	-57.721	-57.688	-57.689	-57.755	-57.618	-57.648	-57.687	-57.614	-57.618	-57.721	-57.689	-57.618	-57.757	-57.722	-57.726	-57.686	-57.614	-57.757	-57.619	-57.718	-57.653	-57.758	-57.722	-57.724	-57.950	-57.872	-57.984	-57.980	-57.909	-58.020	-57.983	-57.943	-58.046	-57.950	-57.909	-57.942	-57.983	-57.871	-58.055	-57.870	-57.978	-57.905	-58.015	-57.875	-58.009	-57.875	-58.018	-57.913	-57.833	-57.910	-57.947	-57.871	-57.949	-57.840	-57.982	-57.950	224.775	224.737	224.828	224.806	224.772	224.829	224.809	224.809	224.824	224.793	224.772	224.756	224.844	224.774	224.845	224.790	224.841	224.754	224.824	224.790	224.788	224.739	224.808	224.776	224.772	224.739	224.826	224.739	224.810	224.704	224.792	224.775	2016_7_19_16_59_27
FLQS29JFGRX5____	-57.850	-57.813	-57.779	-57.813	-57.813	-57.812	-57.812	-57.812	-57.851	-57.815	-57.813	-57.886	-57.747	-57.815	-57.815	-57.746	-57.743	-57.852	-57.814	-57.748	-57.850	-57.849	-57.816	-57.812	-57.749	-57.849	-57.748	-57.850	-57.813	-57.927	-57.848	-57.850	-57.829	-57.762	-57.902	-57.900	-57.833	-57.865	-57.902	-57.865	-57.932	-57.828	-57.833	-57.829	-57.863	-57.795	-57.931	-57.793	-57.899	-57.834	-57.897	-57.760	-57.895	-57.793	-57.897	-57.831	-57.857	-57.832	-57.830	-57.796	-57.863	-57.870	-57.905	-57.829	225.327	225.312	225.398	225.380	225.347	225.364	225.382	225.363	225.377	225.344	225.347	225.309	225.395	225.327	225.394	225.360	225.414	225.328	225.378	225.343	225.359	225.309	225.377	225.347	225.391	225.328	225.378	225.310	225.362	225.309	225.366	225.327	2016_7_19_16_59_27
FLQS22XEGRX2____	-57.853	-57.813	-57.781	-57.778	-57.813	-57.815	-57.777	-57.813	-57.847	-57.816	-57.813	-57.881	-57.748	-57.782	-57.817	-57.749	-57.707	-57.846	-57.778	-57.749	-57.883	-57.852	-57.817	-57.811	-57.711	-57.853	-57.749	-57.815	-57.782	-57.852	-57.851	-57.853	-57.874	-57.802	-57.909	-57.871	-57.837	-57.871	-57.907	-57.836	-57.979	-57.875	-57.837	-57.873	-57.873	-57.839	-57.980	-57.838	-57.905	-57.839	-57.941	-57.802	-57.941	-57.840	-57.946	-57.837	-57.799	-57.838	-57.838	-57.837	-57.875	-57.768	-57.873	-57.874	225.347	225.331	225.400	225.383	225.349	225.365	225.401	225.348	225.402	225.366	225.349	225.333	225.399	225.365	225.418	225.381	225.435	225.333	225.418	225.363	225.366	225.331	225.401	225.350	225.381	225.330	225.381	225.348	225.383	225.295	225.348	225.347	2016_7_19_16_59_27
FLQS22TQGRX2____	-57.747	-57.674	-57.677	-57.674	-57.674	-57.710	-57.674	-57.674	-57.711	-57.711	-57.674	-57.746	-57.643	-57.676	-57.712	-57.642	-57.606	-57.710	-57.675	-57.642	-57.747	-57.745	-57.712	-57.674	-57.606	-57.746	-57.645	-57.710	-57.678	-57.746	-57.745	-57.747	-58.000	-57.897	-58.034	-58.001	-57.931	-58.003	-58.032	-57.965	-58.105	-57.997	-57.931	-57.998	-58.002	-57.932	-58.072	-57.930	-58.032	-57.928	-58.069	-57.895	-58.067	-57.933	-58.070	-57.965	-57.894	-57.964	-57.998	-57.932	-58.000	-57.895	-58.004	-58.000	225.462	225.448	225.514	225.499	225.464	225.482	225.514	225.481	225.532	225.478	225.464	225.462	225.515	225.464	225.515	225.480	225.548	225.445	225.532	225.463	225.496	225.430	225.514	225.481	225.480	225.445	225.512	225.447	225.497	225.411	225.465	225.462	2016_7_19_16_59_27
FLQS21YXGRX2____	-57.633	-57.594	-57.562	-57.592	-57.555	-57.594	-57.592	-57.592	-57.632	-57.598	-57.555	-57.666	-57.528	-57.563	-57.598	-57.529	-57.489	-57.593	-57.591	-57.530	-57.668	-57.633	-57.598	-57.592	-57.493	-57.633	-57.529	-57.628	-57.562	-57.633	-57.629	-57.633	-57.872	-57.803	-57.872	-57.906	-57.803	-57.906	-57.907	-57.870	-57.939	-57.837	-57.803	-57.873	-57.905	-57.836	-57.974	-57.842	-57.869	-57.801	-57.939	-57.800	-57.940	-57.836	-57.941	-57.835	-57.763	-57.837	-57.837	-57.837	-57.837	-57.766	-57.908	-57.872	224.782	224.767	224.816	224.819	224.786	224.818	224.819	224.801	224.815	224.782	224.786	224.766	224.850	224.798	224.849	224.818	224.852	224.766	224.835	224.797	224.798	224.764	224.833	224.784	224.797	224.764	224.816	224.767	224.799	224.729	224.801	224.782	2016_7_19_16_59_27
FLQS2AVTGRX5____	-57.842	-57.768	-57.771	-57.729	-57.768	-57.765	-57.768	-57.799	-57.834	-57.806	-57.768	-57.835	-57.737	-57.771	-57.806	-57.737	-57.699	-57.802	-57.767	-57.738	-57.869	-57.842	-57.806	-57.767	-57.701	-57.842	-57.737	-57.804	-57.771	-57.841	-57.839	-57.842	-57.967	-57.900	-58.002	-58.000	-57.935	-58.000	-58.003	-57.969	-58.070	-57.969	-57.935	-57.968	-58.000	-57.934	-58.071	-57.932	-58.002	-57.936	-58.033	-57.898	-58.036	-57.966	-58.038	-57.967	-57.897	-57.933	-57.967	-57.932	-57.968	-57.864	-58.002	-57.967	224.725	224.728	224.777	224.797	224.746	224.780	224.779	224.747	224.780	224.744	224.746	224.729	224.793	224.743	224.794	224.759	224.813	224.730	224.795	224.742	224.745	224.725	224.778	224.762	224.760	224.708	224.777	224.727	224.761	224.675	224.744	224.725	2016_7_19_16_59_28
FLQS3087GRWV____	-58.022	-58.054	-57.953	-57.911	-58.055	-58.030	-57.990	-58.050	-57.994	-57.989	-58.055	-58.131	-57.920	-57.955	-58.036	-57.921	-57.919	-58.039	-58.051	-57.921	-58.076	-58.024	-58.036	-57.987	-57.803	-58.070	-57.921	-58.027	-57.953	-58.023	-58.062	-58.022	-58.097	-58.015	-58.132	-58.164	-58.049	-58.134	-58.132	-58.099	-58.204	-58.096	-58.049	-58.149	-58.132	-58.062	-58.203	-58.061	-58.130	-58.066	-58.167	-58.026	-58.168	-58.064	-58.167	-58.061	-58.019	-58.061	-58.096	-58.063	-58.096	-57.992	-58.132	-58.097	225.374	225.318	225.426	225.462	225.334	225.388	225.407	225.361	225.440	225.390	225.334	225.346	225.442	225.390	225.419	225.406	225.441	225.351	225.394	225.389	225.382	225.357	225.402	225.374	225.444	225.333	225.424	225.355	225.407	225.322	225.372	225.374	2016_7_19_16_59_28
