SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-23.412	-23.263	-23.344	-23.373	-23.477	-23.441	-23.406	-23.370	-23.406	-23.371	-23.375	-23.410	-23.334	-23.336	-23.336	-23.336	-23.335	-23.371	-23.335	-23.337	-23.410	-23.372	-23.410	-23.371	-23.304	-23.376	-23.373	-23.373	-23.304	-23.301	-23.303	-23.335	-138.390	-138.512	-138.531	-138.390	-138.572	-138.532	-138.498	-138.496	-138.502	-138.465	-138.430	-138.396	-138.467	-138.466	-138.428	-138.428	-138.391	-138.427	-138.431	-138.394	-138.396	-138.357	-138.396	-138.321	-138.356	-138.396	-138.435	-138.320	-138.394	-138.429	-138.358	-138.430	260.053	260.121	260.090	260.069	260.039	260.051	260.063	260.077	260.063	260.074	260.070	260.054	260.089	260.089	260.086	260.086	260.084	260.072	260.087	260.083	260.054	260.067	260.054	260.065	260.094	260.068	260.072	260.064	260.097	260.100	260.094	260.086	2016_7_19_16_58_18
FLQS30KBGRWV____	-23.482	-23.370	-23.414	-23.447	-23.551	-23.516	-23.480	-23.443	-23.480	-23.445	-23.450	-23.484	-23.375	-23.410	-23.410	-23.410	-23.410	-23.446	-23.374	-23.411	-23.484	-23.411	-23.484	-23.450	-23.413	-23.450	-23.448	-23.449	-23.377	-23.377	-23.377	-23.410	-138.324	-138.446	-138.464	-138.323	-138.505	-138.467	-138.434	-138.431	-138.437	-138.397	-138.365	-138.331	-138.400	-138.398	-138.364	-138.364	-138.360	-138.363	-138.365	-138.329	-138.331	-138.293	-138.331	-138.255	-138.290	-138.331	-138.366	-138.253	-138.328	-138.364	-138.294	-138.363	260.016	260.070	260.053	260.030	260.001	260.012	260.024	260.039	260.024	260.036	260.032	260.015	260.064	260.050	260.048	260.048	260.047	260.033	260.062	260.045	260.015	260.042	260.015	260.024	260.041	260.029	260.033	260.024	260.059	260.061	260.056	260.048	2016_7_19_16_58_19
FLQS30CWGRWV____	-23.365	-23.236	-23.296	-23.305	-23.415	-23.376	-23.342	-23.306	-23.342	-23.307	-23.310	-23.374	-23.273	-23.272	-23.274	-23.274	-23.276	-23.337	-23.302	-23.273	-23.374	-23.307	-23.374	-23.284	-23.276	-23.310	-23.308	-23.307	-23.239	-23.240	-23.236	-23.273	-138.440	-138.534	-138.580	-138.441	-138.629	-138.579	-138.547	-138.545	-138.560	-138.523	-138.480	-138.443	-138.527	-138.524	-138.477	-138.477	-138.442	-138.476	-138.491	-138.442	-138.443	-138.406	-138.443	-138.373	-138.408	-138.446	-138.492	-138.372	-138.443	-138.479	-138.408	-138.489	260.079	260.137	260.117	260.103	260.072	260.084	260.096	260.110	260.097	260.108	260.104	260.076	260.122	260.122	260.119	260.119	260.115	260.093	260.108	260.116	260.076	260.100	260.076	260.107	260.113	260.102	260.106	260.098	260.130	260.132	260.129	260.120	2016_7_19_16_58_19
FLQS30C7GRWV____	-23.136	-23.022	-23.086	-23.098	-23.203	-23.164	-23.128	-23.095	-23.130	-23.094	-23.100	-23.132	-23.059	-23.059	-23.061	-23.061	-23.063	-23.125	-23.059	-23.026	-23.132	-23.095	-23.132	-23.094	-23.060	-23.100	-23.097	-23.099	-23.026	-23.026	-23.025	-23.060	-138.331	-138.456	-138.506	-138.330	-138.516	-138.500	-138.467	-138.444	-138.473	-138.436	-138.378	-138.363	-138.440	-138.436	-138.377	-138.377	-138.331	-138.394	-138.405	-138.362	-138.363	-138.325	-138.363	-138.300	-138.335	-138.344	-138.377	-138.260	-138.361	-138.398	-138.328	-138.402	260.168	260.222	260.200	260.183	260.154	260.168	260.180	260.192	260.180	260.192	260.186	260.172	260.206	260.206	260.201	260.201	260.197	260.177	260.204	260.214	260.172	260.184	260.172	260.183	260.199	260.184	260.187	260.178	260.214	260.217	260.213	260.204	2016_7_19_16_58_19
FLQS29JFGRX5____	-23.395	-23.282	-23.318	-23.355	-23.465	-23.427	-23.393	-23.356	-23.415	-23.358	-23.362	-23.396	-23.324	-23.345	-23.292	-23.292	-23.322	-23.358	-23.324	-23.293	-23.396	-23.358	-23.396	-23.356	-23.294	-23.361	-23.361	-23.359	-23.259	-23.258	-23.288	-23.292	-138.377	-138.495	-138.551	-138.377	-138.565	-138.515	-138.483	-138.483	-138.565	-138.459	-138.420	-138.383	-138.466	-138.460	-138.416	-138.416	-138.378	-138.416	-138.431	-138.379	-138.383	-138.344	-138.383	-138.308	-138.344	-138.385	-138.428	-138.307	-138.379	-138.416	-138.345	-138.425	260.063	260.116	260.106	260.079	260.047	260.059	260.071	260.086	260.068	260.083	260.079	260.063	260.098	260.089	260.107	260.107	260.092	260.080	260.095	260.104	260.063	260.076	260.063	260.074	260.101	260.077	260.080	260.073	260.118	260.121	260.104	260.108	2016_7_19_16_58_19
FLQS22XEGRX2____	-23.260	-23.149	-23.184	-23.226	-23.324	-23.286	-23.251	-23.217	-23.254	-23.219	-23.221	-23.256	-23.185	-23.184	-23.184	-23.184	-23.188	-23.218	-23.185	-23.183	-23.256	-23.218	-23.256	-23.218	-23.183	-23.224	-23.220	-23.227	-23.148	-23.148	-23.147	-23.185	-138.333	-138.456	-138.510	-138.332	-138.539	-138.500	-138.466	-138.465	-138.473	-138.433	-138.402	-138.366	-138.437	-138.434	-138.380	-138.380	-138.332	-138.398	-138.402	-138.363	-138.366	-138.328	-138.366	-138.302	-138.336	-138.347	-138.403	-138.262	-138.363	-138.400	-138.329	-138.374	260.114	260.167	260.157	260.128	260.103	260.115	260.127	260.141	260.126	260.138	260.135	260.118	260.152	260.152	260.148	260.148	260.143	260.136	260.149	260.147	260.118	260.131	260.118	260.129	260.145	260.130	260.135	260.123	260.161	260.164	260.160	260.147	2016_7_19_16_58_19
FLQS22TQGRX2____	-23.219	-23.111	-23.153	-23.181	-23.285	-23.248	-23.212	-23.178	-23.243	-23.178	-23.181	-23.215	-23.144	-23.143	-23.143	-23.143	-23.149	-23.179	-23.141	-23.143	-23.215	-23.178	-23.215	-23.183	-23.149	-23.210	-23.180	-23.182	-23.110	-23.110	-23.109	-23.141	-138.470	-138.596	-138.611	-138.469	-138.688	-138.642	-138.609	-138.604	-138.617	-138.580	-138.540	-138.504	-138.583	-138.581	-138.516	-138.516	-138.505	-138.537	-138.547	-138.502	-138.504	-138.466	-138.504	-138.436	-138.472	-138.505	-138.549	-138.399	-138.503	-138.539	-138.468	-138.545	260.136	260.188	260.172	260.151	260.124	260.136	260.148	260.162	260.136	260.160	260.156	260.140	260.174	260.174	260.169	260.169	260.167	260.156	260.172	260.169	260.140	260.152	260.140	260.148	260.164	260.142	260.157	260.146	260.182	260.184	260.180	260.172	2016_7_19_16_58_19
FLQS21YXGRX2____	-23.496	-23.394	-23.455	-23.503	-23.569	-23.533	-23.498	-23.461	-23.526	-23.463	-23.499	-23.499	-23.428	-23.455	-23.424	-23.424	-23.457	-23.493	-23.425	-23.424	-23.499	-23.459	-23.499	-23.467	-23.460	-23.499	-23.494	-23.497	-23.390	-23.393	-23.392	-23.455	-138.378	-138.469	-138.518	-138.339	-138.520	-138.513	-138.479	-138.450	-138.448	-138.442	-138.384	-138.374	-138.413	-138.441	-138.385	-138.385	-138.380	-138.383	-138.375	-138.351	-138.374	-138.316	-138.374	-138.310	-138.346	-138.350	-138.379	-138.310	-138.351	-138.409	-138.339	-138.377	260.018	260.065	260.044	260.013	259.998	260.013	260.024	260.037	260.011	260.036	260.017	260.017	260.048	260.039	260.048	260.048	260.034	260.020	260.046	260.046	260.017	260.029	260.017	260.025	260.031	260.015	260.019	260.013	260.059	260.062	260.057	260.035	2016_7_19_16_58_19
FLQS2AVTGRX5____	-23.347	-23.249	-23.278	-23.316	-23.420	-23.384	-23.349	-23.316	-23.349	-23.315	-23.341	-23.350	-23.280	-23.280	-23.281	-23.281	-23.282	-23.317	-23.280	-23.281	-23.350	-23.317	-23.350	-23.317	-23.283	-23.314	-23.314	-23.315	-23.246	-23.247	-23.247	-23.280	-138.454	-138.579	-138.596	-138.455	-138.644	-138.596	-138.565	-138.566	-138.575	-138.539	-138.494	-138.461	-138.541	-138.538	-138.495	-138.495	-138.457	-138.496	-138.505	-138.460	-138.461	-138.423	-138.461	-138.387	-138.422	-138.461	-138.504	-138.385	-138.458	-138.494	-138.424	-138.502	260.079	260.127	260.116	260.092	260.063	260.074	260.086	260.099	260.087	260.098	260.084	260.078	260.112	260.112	260.108	260.108	260.106	260.094	260.110	260.106	260.078	260.089	260.078	260.087	260.103	260.093	260.096	260.087	260.120	260.122	260.117	260.109	2016_7_19_16_58_20
FLQS3087GRWV____	-23.249	-23.149	-23.226	-23.188	-23.325	-23.291	-23.259	-23.221	-23.255	-23.221	-23.226	-23.257	-23.189	-23.186	-23.149	-23.149	-23.188	-23.221	-23.189	-23.150	-23.257	-23.223	-23.257	-23.222	-23.184	-23.261	-23.222	-23.222	-23.153	-23.118	-23.152	-23.151	-138.414	-138.461	-138.513	-138.335	-138.543	-138.504	-138.475	-138.469	-138.476	-138.440	-138.384	-138.369	-138.444	-138.439	-138.384	-138.384	-138.374	-138.402	-138.409	-138.367	-138.369	-138.331	-138.369	-138.306	-138.340	-138.369	-138.408	-138.304	-138.368	-138.405	-138.334	-138.378	260.112	260.155	260.127	260.131	260.089	260.101	260.112	260.127	260.113	260.125	260.119	260.105	260.138	260.139	260.150	260.150	260.134	260.122	260.135	260.148	260.105	260.116	260.105	260.115	260.133	260.104	260.122	260.115	260.147	260.164	260.145	260.148	2016_7_19_16_58_20
