SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-54.637	-54.779	-54.814	-54.744	-54.641	-54.675	-54.643	-54.749	-54.571	-54.922	-54.576	-54.668	-54.475	-54.398	-54.050	-54.073	-53.357	-53.739	-53.863	-54.108	-53.703	-54.493	-53.653	-53.659	-53.758	-53.688	-53.569	-53.618	-53.548	-53.758	-53.828	-53.898	-131.526	-131.495	-131.453	-131.600	-131.629	-131.739	-131.810	-131.916	-131.488	-131.661	-131.911	-132.000	-132.088	-132.017	-132.156	-132.175	-132.482	-132.263	-131.895	-132.525	-132.550	-131.685	-132.630	-132.583	-132.560	-132.700	-132.720	-132.840	-132.840	-132.560	-132.420	-132.560	247.240	247.183	247.163	247.212	247.255	247.259	247.282	247.259	247.259	247.155	247.322	247.301	247.387	247.404	247.555	247.549	247.861	247.686	247.584	247.589	247.743	247.318	247.774	247.764	247.724	247.771	247.818	247.818	247.844	247.724	247.677	247.672	2016_7_19_16_57_47
FLQS30KBGRWV____	-54.564	-54.706	-54.773	-54.670	-54.566	-54.599	-54.566	-54.702	-54.552	-54.876	-54.504	-54.607	-54.447	-54.328	-54.027	-54.062	-53.327	-53.712	-53.726	-54.027	-53.660	-54.427	-53.572	-53.577	-53.658	-53.607	-53.519	-53.519	-53.467	-53.677	-53.747	-53.802	-131.512	-131.480	-131.439	-131.586	-131.614	-131.725	-131.797	-131.932	-131.467	-131.678	-131.896	-131.934	-132.062	-132.000	-132.132	-132.167	-132.482	-132.237	-131.827	-132.517	-132.495	-131.617	-132.622	-132.570	-132.524	-132.692	-132.703	-132.814	-132.832	-132.552	-132.412	-132.498	247.187	247.129	247.098	247.159	247.202	247.207	247.230	247.201	247.184	247.097	247.269	247.236	247.315	247.350	247.481	247.474	247.795	247.614	247.547	247.540	247.673	247.254	247.724	247.715	247.678	247.722	247.756	247.773	247.795	247.675	247.628	247.621	2016_7_19_16_57_48
FLQS30CWGRWV____	-54.595	-54.735	-54.771	-54.700	-54.647	-54.631	-54.598	-54.702	-54.577	-54.927	-54.577	-54.682	-54.472	-54.402	-54.045	-54.087	-53.352	-53.737	-53.807	-54.046	-53.696	-54.461	-53.597	-53.649	-53.699	-53.628	-53.560	-53.562	-53.491	-53.702	-53.767	-53.837	-131.563	-131.531	-131.489	-131.636	-131.679	-131.775	-131.845	-131.950	-131.539	-131.714	-131.959	-131.994	-132.134	-132.064	-132.191	-132.169	-132.484	-132.309	-131.889	-132.509	-132.545	-131.635	-132.624	-132.577	-132.542	-132.686	-132.721	-132.829	-132.831	-132.554	-132.409	-132.547	247.207	247.150	247.130	247.179	247.205	247.226	247.249	247.227	247.210	247.107	247.274	247.241	247.340	247.355	247.507	247.488	247.809	247.640	247.550	247.555	247.690	247.268	247.739	247.713	247.689	247.737	247.767	247.783	247.810	247.690	247.643	247.638	2016_7_19_16_57_48
FLQS30C7GRWV____	-54.357	-54.497	-54.532	-54.461	-54.358	-54.392	-54.392	-54.497	-54.289	-54.670	-54.297	-54.397	-54.220	-54.119	-53.831	-53.836	-53.066	-53.451	-53.520	-53.765	-53.481	-54.220	-53.310	-53.370	-53.481	-53.411	-53.316	-53.341	-53.271	-53.414	-53.551	-53.621	-131.625	-131.591	-131.553	-131.697	-131.728	-131.835	-131.903	-132.009	-131.557	-131.760	-131.980	-132.045	-132.182	-132.083	-132.269	-132.217	-132.539	-132.357	-131.941	-132.570	-132.619	-131.697	-132.676	-132.636	-132.619	-132.759	-132.777	-132.899	-132.899	-132.606	-132.479	-132.619	247.260	247.203	247.184	247.233	247.276	247.280	247.290	247.267	247.275	247.165	247.337	247.310	247.397	247.419	247.554	247.545	247.880	247.709	247.620	247.624	247.737	247.323	247.809	247.781	247.737	247.784	247.822	247.831	247.857	247.760	247.690	247.685	2016_7_19_16_57_48
FLQS29JFGRX5____	-54.507	-54.647	-54.683	-54.612	-54.575	-54.542	-54.509	-54.616	-54.438	-54.855	-54.447	-54.551	-54.400	-54.275	-53.980	-54.015	-53.226	-53.607	-53.673	-53.980	-53.571	-54.370	-53.525	-53.529	-53.613	-53.504	-53.490	-53.474	-53.420	-53.573	-53.700	-53.770	-131.491	-131.462	-131.417	-131.569	-131.663	-131.705	-131.780	-131.884	-131.454	-131.628	-131.875	-131.917	-132.048	-131.981	-132.188	-132.083	-132.419	-132.232	-131.809	-132.503	-132.480	-131.599	-132.538	-132.519	-132.506	-132.621	-132.713	-132.760	-132.748	-132.480	-132.398	-132.468	247.760	247.703	247.683	247.733	247.761	247.780	247.804	247.780	247.780	247.652	247.841	247.809	247.885	247.921	248.062	248.033	248.377	248.208	248.119	248.110	248.258	247.827	248.284	248.280	248.247	248.304	248.323	248.336	248.355	248.257	248.198	248.183	2016_7_19_16_57_48
FLQS22XEGRX2____	-54.411	-54.553	-54.587	-54.514	-54.413	-54.446	-54.411	-54.514	-54.342	-54.689	-54.348	-54.451	-54.240	-54.173	-53.820	-53.852	-53.117	-53.504	-53.573	-53.816	-53.466	-54.273	-53.360	-53.384	-53.467	-53.393	-53.326	-53.327	-53.257	-53.468	-53.538	-53.605	-131.622	-131.591	-131.550	-131.697	-131.692	-131.834	-131.906	-132.010	-131.552	-131.759	-132.005	-132.043	-132.180	-132.112	-132.246	-132.213	-132.532	-132.356	-131.930	-132.567	-132.600	-131.727	-132.670	-132.635	-132.596	-132.740	-132.771	-132.881	-132.884	-132.603	-132.463	-132.601	247.838	247.780	247.761	247.811	247.848	247.857	247.881	247.859	247.853	247.756	247.920	247.887	247.987	248.001	248.153	248.136	248.457	248.287	248.197	248.202	248.338	247.905	248.387	248.373	248.337	248.385	248.415	248.431	248.458	248.337	248.290	248.286	2016_7_19_16_57_48
FLQS22TQGRX2____	-54.357	-54.497	-54.533	-54.461	-54.360	-54.392	-54.360	-54.465	-54.287	-54.637	-54.292	-54.396	-54.189	-54.119	-53.769	-53.801	-53.066	-53.453	-53.519	-53.762	-53.416	-54.184	-53.309	-53.365	-53.419	-53.347	-53.278	-53.282	-53.208	-53.415	-53.488	-53.555	-131.689	-131.662	-131.621	-131.767	-131.758	-131.903	-131.942	-132.045	-131.618	-131.795	-132.043	-132.079	-132.219	-132.180	-132.286	-132.287	-132.603	-132.387	-132.004	-132.634	-132.630	-131.764	-132.739	-132.697	-132.629	-132.771	-132.840	-132.914	-132.951	-132.669	-132.531	-132.669	247.249	247.193	247.174	247.223	247.259	247.269	247.287	247.264	247.265	247.162	247.328	247.294	247.393	247.413	247.559	247.547	247.868	247.692	247.609	247.614	247.742	247.325	247.798	247.771	247.741	247.789	247.824	247.834	247.867	247.748	247.700	247.696	2016_7_19_16_57_48
FLQS21YXGRX2____	-54.619	-54.722	-54.760	-54.686	-54.620	-54.654	-54.620	-54.724	-54.517	-54.898	-54.558	-54.660	-54.474	-54.378	-54.054	-54.089	-53.298	-53.681	-53.745	-54.028	-53.682	-54.445	-53.599	-53.603	-53.688	-53.614	-53.548	-53.548	-53.494	-53.643	-53.774	-53.844	-131.488	-131.460	-131.382	-131.566	-131.590	-131.704	-131.775	-131.879	-131.419	-131.624	-131.876	-131.913	-132.061	-131.977	-132.131	-132.096	-132.415	-132.189	-131.807	-132.438	-132.473	-131.598	-132.551	-132.514	-132.465	-132.613	-132.644	-132.756	-132.761	-132.478	-132.341	-132.481	247.153	247.110	247.084	247.140	247.168	247.173	247.196	247.174	247.180	247.070	247.235	247.203	247.295	247.317	247.461	247.443	247.785	247.608	247.527	247.517	247.651	247.234	247.694	247.687	247.647	247.697	247.726	247.743	247.764	247.666	247.597	247.592	2016_7_19_16_57_48
FLQS2AVTGRX5____	-54.548	-54.650	-54.756	-54.614	-54.549	-54.581	-54.510	-54.652	-54.477	-54.826	-54.485	-54.587	-54.376	-54.307	-53.960	-53.993	-53.261	-53.643	-53.713	-53.957	-53.606	-54.408	-53.503	-53.561	-53.610	-53.540	-53.472	-53.472	-53.401	-53.609	-53.679	-53.746	-131.569	-131.538	-131.493	-131.643	-131.671	-131.781	-131.856	-131.958	-131.530	-131.703	-131.952	-131.992	-132.129	-132.058	-132.194	-132.164	-132.489	-132.301	-131.951	-132.516	-132.548	-131.674	-132.626	-132.582	-132.547	-132.693	-132.726	-132.834	-132.837	-132.551	-132.414	-132.551	247.142	247.100	247.053	247.129	247.158	247.163	247.201	247.163	247.163	247.060	247.225	247.193	247.292	247.307	247.457	247.440	247.761	247.590	247.511	247.506	247.641	247.211	247.691	247.663	247.640	247.688	247.718	247.734	247.761	247.641	247.594	247.590	2016_7_19_16_57_49
FLQS3087GRWV____	-54.783	-54.923	-54.958	-54.888	-54.783	-54.819	-54.785	-54.891	-54.714	-55.062	-54.727	-54.831	-54.613	-54.551	-54.258	-54.293	-53.488	-53.943	-54.013	-54.258	-53.908	-54.646	-53.803	-53.803	-53.908	-53.838	-53.768	-53.768	-53.698	-53.908	-53.978	-54.048	-131.657	-131.625	-131.585	-131.729	-131.818	-131.868	-131.939	-132.042	-131.622	-131.793	-132.042	-132.078	-132.222	-132.148	-132.343	-132.308	-132.623	-132.518	-132.028	-132.658	-132.693	-131.761	-132.763	-132.728	-132.693	-132.833	-132.868	-132.973	-132.973	-132.693	-132.553	-132.693	247.134	247.077	247.058	247.106	247.159	247.153	247.176	247.153	247.154	247.051	247.214	247.181	247.284	247.295	247.433	247.415	247.761	247.577	247.477	247.481	247.616	247.201	247.666	247.660	247.616	247.663	247.694	247.710	247.736	247.616	247.569	247.564	2016_7_19_16_57_49
