SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-63.697	-63.546	-63.717	-63.795	-63.725	-63.700	-63.760	-63.700	-63.687	-63.610	-63.752	-63.581	-63.653	-63.658	-63.691	-63.754	-63.692	-63.796	-63.700	-64.276	-63.716	-63.760	-64.060	-64.033	-63.689	-63.722	-63.700	-63.723	-63.739	-63.963	-63.680	-63.677	-120.351	-120.038	-119.827	-119.931	-119.861	-119.980	-119.962	-119.770	-120.312	-120.372	-120.374	-119.825	-119.827	-119.969	-119.931	-120.412	-119.899	-119.825	-119.875	-120.178	-120.373	-119.932	-120.313	-120.283	-119.998	-119.930	-119.910	-119.931	-119.908	-120.210	-120.272	-120.347	242.446	242.441	242.336	242.327	242.339	242.372	242.346	242.331	242.443	242.483	242.431	242.386	242.359	242.386	242.366	242.437	242.359	242.306	242.351	242.197	242.444	242.340	242.304	242.308	242.380	242.354	242.358	242.354	242.343	242.320	242.437	242.453	2016_7_19_16_57_18
FLQS30KBGRWV____	-63.595	-63.392	-63.568	-63.595	-63.525	-63.560	-63.575	-63.560	-63.595	-63.490	-63.630	-63.455	-63.525	-63.525	-63.560	-63.560	-63.504	-63.665	-63.490	-64.129	-63.595	-63.630	-63.881	-63.882	-63.490	-63.595	-63.560	-63.542	-63.592	-63.813	-63.498	-63.527	-120.330	-120.028	-119.816	-119.945	-119.875	-119.980	-119.923	-119.770	-120.365	-120.400	-120.400	-119.840	-119.840	-119.980	-119.945	-120.400	-119.849	-119.840	-119.875	-120.174	-120.400	-119.945	-120.306	-120.231	-120.015	-119.945	-119.910	-119.885	-119.893	-120.196	-120.262	-120.338	242.480	242.497	242.389	242.404	242.417	242.424	242.407	242.383	242.487	242.533	242.481	242.436	242.410	242.437	242.417	242.507	242.419	242.358	242.430	242.251	242.494	242.391	242.369	242.354	242.457	242.404	242.411	242.412	242.395	242.373	242.503	242.507	2016_7_19_16_57_18
FLQS30CWGRWV____	-63.740	-63.588	-63.762	-63.875	-63.735	-63.694	-63.771	-63.700	-63.730	-63.630	-63.762	-63.588	-63.665	-63.667	-63.770	-63.761	-63.702	-63.807	-63.700	-64.322	-63.733	-63.774	-64.076	-64.074	-63.703	-63.735	-63.699	-63.735	-63.751	-64.002	-63.700	-63.693	-120.390	-120.073	-119.870	-120.015	-119.875	-119.966	-119.973	-119.770	-120.353	-120.400	-120.384	-119.833	-119.840	-119.977	-120.015	-120.454	-119.902	-119.831	-119.869	-120.223	-120.396	-119.938	-120.326	-120.287	-120.009	-119.945	-119.902	-119.945	-119.914	-120.251	-120.330	-120.356	241.764	241.758	241.653	241.640	241.664	241.697	241.670	241.657	241.761	241.807	241.755	241.711	241.683	241.710	241.679	241.769	241.682	241.629	241.676	241.515	241.768	241.662	241.627	241.620	241.703	241.678	241.683	241.678	241.666	241.639	241.767	241.775	2016_7_19_16_57_19
FLQS30C7GRWV____	-63.602	-63.457	-63.631	-63.674	-63.636	-63.561	-63.673	-63.532	-63.593	-63.489	-63.631	-63.458	-63.538	-63.534	-63.567	-63.631	-63.572	-63.678	-63.570	-64.186	-63.597	-63.646	-63.940	-63.945	-63.568	-63.607	-63.568	-63.606	-63.651	-63.868	-63.559	-63.556	-120.446	-120.103	-119.891	-119.996	-119.923	-119.986	-120.031	-119.788	-120.376	-120.410	-120.411	-119.857	-119.859	-120.033	-119.994	-120.482	-119.926	-119.856	-119.893	-120.277	-120.413	-119.964	-120.383	-120.365	-120.066	-119.963	-119.958	-119.960	-119.967	-120.305	-120.341	-120.382	241.827	241.813	241.706	241.711	241.711	241.751	241.718	241.723	241.816	241.861	241.809	241.764	241.734	241.770	241.750	241.823	241.735	241.682	241.730	241.576	241.822	241.715	241.688	241.683	241.764	241.730	241.743	241.729	241.714	241.700	241.822	241.831	2016_7_19_16_57_19
FLQS29JFGRX5____	-63.643	-63.460	-63.633	-63.706	-63.611	-63.570	-63.700	-63.616	-63.634	-63.494	-63.636	-63.465	-63.540	-63.541	-63.577	-63.700	-63.576	-63.677	-63.575	-64.190	-63.601	-63.645	-63.949	-63.949	-63.630	-63.665	-63.575	-63.608	-63.650	-63.876	-63.630	-63.563	-120.294	-119.954	-119.743	-119.842	-119.742	-119.842	-119.910	-119.687	-120.256	-120.261	-120.263	-119.708	-119.710	-119.849	-119.814	-120.400	-119.778	-119.706	-119.745	-120.098	-120.263	-119.814	-120.204	-120.162	-119.945	-119.875	-119.776	-119.813	-119.819	-120.125	-120.260	-120.234	242.455	242.456	242.350	242.343	242.359	242.393	242.358	242.345	242.451	242.504	242.452	242.406	242.379	242.405	242.385	242.455	242.378	242.327	242.372	242.214	242.465	242.360	242.324	242.316	242.391	242.364	242.379	242.373	242.359	242.335	242.454	242.473	2016_7_19_16_57_19
FLQS22XEGRX2____	-63.665	-63.521	-63.700	-63.738	-63.669	-63.624	-63.704	-63.639	-63.655	-63.554	-63.695	-63.521	-63.635	-63.601	-63.637	-63.693	-63.634	-63.743	-63.632	-64.259	-63.656	-63.710	-64.008	-64.005	-63.635	-63.670	-63.663	-63.673	-63.690	-63.936	-63.623	-63.622	-120.500	-120.158	-119.951	-120.052	-119.947	-120.046	-120.058	-119.845	-120.461	-120.465	-120.467	-119.914	-119.946	-120.057	-120.019	-120.539	-119.984	-119.914	-119.951	-120.310	-120.498	-120.021	-120.411	-120.371	-120.124	-120.020	-120.015	-120.019	-119.999	-120.336	-120.399	-120.441	242.488	242.474	242.366	242.373	242.378	242.414	242.386	242.368	242.484	242.522	242.470	242.426	242.390	242.424	242.403	242.485	242.398	242.343	242.392	242.230	242.491	242.376	242.343	242.336	242.425	242.391	242.393	242.390	242.380	242.355	242.483	242.492	2016_7_19_16_57_19
FLQS22TQGRX2____	-63.499	-63.320	-63.491	-63.537	-63.498	-63.423	-63.499	-63.425	-63.459	-63.350	-63.493	-63.318	-63.395	-63.399	-63.430	-63.491	-63.431	-63.533	-63.433	-64.052	-63.460	-63.502	-63.807	-63.805	-63.428	-63.463	-63.464	-63.464	-63.511	-63.736	-63.421	-63.423	-120.593	-120.283	-120.075	-120.146	-120.071	-120.174	-120.178	-119.968	-120.559	-120.587	-120.592	-120.038	-120.039	-120.181	-120.146	-120.660	-120.109	-120.038	-120.076	-120.427	-120.559	-120.146	-120.529	-120.495	-120.214	-120.143	-120.106	-120.143	-120.118	-120.422	-120.521	-120.561	242.568	242.573	242.469	242.466	242.465	242.514	242.486	242.472	242.576	242.622	242.570	242.526	242.498	242.524	242.506	242.584	242.498	242.446	242.491	242.330	242.576	242.479	242.441	242.435	242.520	242.493	242.485	242.492	242.470	242.446	242.583	242.590	2016_7_19_16_57_19
FLQS21YXGRX2____	-63.661	-63.513	-63.691	-63.736	-63.664	-63.585	-63.700	-63.624	-63.649	-63.545	-63.685	-63.516	-63.595	-63.596	-63.630	-63.700	-63.629	-63.737	-63.624	-64.249	-63.654	-63.696	-63.998	-63.992	-63.628	-63.657	-63.628	-63.666	-63.680	-63.925	-63.617	-63.614	-120.363	-120.026	-119.813	-119.886	-119.812	-119.911	-119.980	-119.740	-120.297	-120.359	-120.363	-119.778	-119.778	-119.920	-119.883	-120.470	-119.847	-119.778	-119.846	-120.173	-120.335	-119.914	-120.302	-120.264	-119.988	-119.913	-119.845	-119.883	-119.860	-120.197	-120.261	-120.305	241.788	241.777	241.668	241.666	241.678	241.727	241.698	241.679	241.780	241.830	241.779	241.727	241.697	241.725	241.705	241.795	241.698	241.645	241.700	241.532	241.785	241.687	241.651	241.646	241.727	241.701	241.698	241.692	241.682	241.657	241.784	241.794	2016_7_19_16_57_19
FLQS2AVTGRX5____	-63.603	-63.451	-63.630	-63.674	-63.598	-63.551	-63.636	-63.560	-63.591	-63.488	-63.631	-63.455	-63.535	-63.530	-63.566	-63.630	-63.565	-63.676	-63.563	-64.190	-63.592	-63.641	-63.940	-63.937	-63.568	-63.601	-63.565	-63.601	-63.655	-63.868	-63.560	-63.551	-120.451	-120.134	-119.929	-119.999	-119.924	-120.024	-120.031	-119.840	-120.409	-120.411	-120.411	-119.893	-119.893	-120.033	-119.995	-120.482	-119.961	-119.890	-119.929	-120.286	-120.442	-119.997	-120.389	-120.348	-120.065	-119.996	-119.959	-119.996	-119.970	-120.310	-120.400	-120.415	241.827	241.822	241.714	241.711	241.725	241.762	241.732	241.723	241.823	241.862	241.809	241.772	241.743	241.772	241.751	241.823	241.745	241.689	241.739	241.576	241.829	241.723	241.690	241.683	241.764	241.738	241.744	241.738	241.713	241.701	241.833	241.839	2016_7_19_16_57_20
FLQS3087GRWV____	-63.875	-63.671	-63.851	-63.945	-63.875	-63.769	-63.851	-63.790	-63.875	-63.708	-63.850	-63.663	-63.805	-63.742	-63.840	-63.849	-63.778	-63.896	-63.776	-64.408	-63.805	-63.910	-64.155	-64.155	-63.840	-63.875	-63.840	-63.822	-63.871	-64.084	-63.774	-63.772	-120.680	-120.307	-120.093	-120.225	-120.155	-120.188	-120.199	-119.987	-120.645	-120.615	-120.614	-120.057	-120.120	-120.232	-120.225	-120.685	-120.124	-120.055	-120.091	-120.453	-120.680	-120.225	-120.553	-120.506	-120.295	-120.225	-120.190	-120.160	-120.170	-120.471	-120.542	-120.584	242.445	242.448	242.339	242.330	242.342	242.388	242.359	242.340	242.438	242.494	242.441	242.401	242.361	242.407	242.369	242.456	242.372	242.314	242.366	242.203	242.471	242.343	242.316	242.307	242.382	242.356	242.362	242.362	242.346	242.326	242.455	242.465	2016_7_19_16_57_20
