SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30KVGRWV____	0.203	0.143	0.143	0.171	0.142	0.142	0.171	0.141	0.142	0.114	0.114	0.169	0.142	0.143	0.144	0.142	0.143	0.141	0.142	0.170	0.142	0.170	0.170	0.143	0.142	0.142	0.142	0.142	0.142	0.142	0.143	0.142	-0.018	-0.017	0.014	0.008	-0.019	-0.018	0.008	-0.018	-0.019	-0.051	-0.051	-0.017	-0.019	-0.044	-0.018	-0.019	-0.016	-0.018	-0.017	-0.019	-0.018	-0.018	-0.018	-0.044	0.010	-0.019	-0.043	-0.018	-0.016	-0.043	-0.042	-0.043	0.757	0.732	0.731	0.743	0.731	0.732	0.743	0.732	0.732	0.722	0.722	0.743	0.731	0.734	0.733	0.733	0.732	0.732	0.732	0.743	0.732	0.744	0.744	0.734	0.731	0.733	0.733	0.732	0.732	0.733	0.734	0.733	0.148	-0.021	0.735	2016_7_19_16_59_06
FLQS30KBGRWV____	-0.065	-0.065	-0.066	-0.065	-0.065	-0.065	-0.065	-0.067	-0.064	-0.065	-0.065	-0.067	-0.065	-0.036	-0.065	-0.066	-0.035	-0.067	-0.066	-0.065	-0.036	-0.066	-0.066	-0.036	-0.065	-0.066	-0.066	-0.036	-0.065	-0.066	-0.065	-0.066	0.060	0.063	0.060	0.025	0.061	0.061	0.025	0.028	0.087	0.025	0.025	0.059	0.061	0.063	0.039	0.061	0.063	0.028	0.063	0.059	0.062	0.040	0.040	0.063	0.060	0.061	0.124	0.062	0.061	0.062	0.063	0.124	-0.029	-0.029	-0.029	-0.028	-0.028	-0.029	-0.028	-0.029	-0.029	-0.027	-0.027	-0.029	-0.028	-0.017	-0.028	-0.028	-0.017	-0.029	-0.029	-0.029	-0.016	-0.028	-0.028	-0.017	-0.029	-0.028	-0.031	-0.016	-0.029	-0.029	-0.029	-0.031	-0.061	0.057	-0.027	2016_7_19_16_59_06
FLQS30CWGRWV____	0.055	0.028	0.056	0.056	0.055	0.028	0.056	0.055	0.056	0.055	0.055	0.025	0.055	0.027	0.028	0.056	0.056	0.055	0.056	0.028	0.055	0.055	0.055	0.027	0.055	0.056	0.057	0.055	0.057	0.056	0.027	0.057	-0.018	-0.018	-0.017	0.008	-0.018	-0.018	0.008	-0.017	-0.017	-0.016	-0.016	-0.045	-0.018	-0.017	-0.018	0.008	-0.007	-0.017	-0.017	-0.020	-0.018	-0.041	-0.041	-0.017	0.047	0.008	-0.045	-0.018	-0.050	-0.018	-0.049	-0.045	0.023	0.012	0.023	0.022	0.023	0.012	0.022	0.023	0.023	0.022	0.022	0.012	0.023	0.012	0.012	0.022	0.022	0.023	0.023	0.012	0.023	0.024	0.024	0.012	0.020	0.022	0.025	0.023	0.025	0.023	0.013	0.025	0.049	-0.018	0.020	2016_7_19_16_59_06
FLQS30C7GRWV____	0.051	0.022	0.021	0.051	0.050	0.022	0.051	0.050	0.022	0.051	0.051	0.021	0.050	0.021	0.021	0.023	0.023	0.050	0.021	0.052	0.022	0.051	0.051	0.021	0.051	0.023	0.051	0.022	0.051	0.020	0.050	0.051	-0.001	-0.001	-0.002	0.001	0.000	-0.001	0.001	0.027	-0.026	-0.031	-0.031	0.001	0.000	0.001	-0.000	-0.034	-0.035	0.027	-0.000	0.099	0.001	0.000	0.000	0.001	0.032	-0.034	0.002	0.001	-0.001	-0.000	-0.000	0.002	0.021	0.009	0.008	0.021	0.021	0.009	0.021	0.019	0.010	0.021	0.021	0.008	0.021	0.008	0.009	0.011	0.011	0.019	0.009	0.017	0.009	0.020	0.020	0.008	0.020	0.011	0.020	0.009	0.020	0.008	0.021	0.020	0.037	-0.000	0.015	2016_7_19_16_59_06
FLQS29JFGRX5____	-0.021	-0.020	-0.081	-0.050	-0.023	-0.082	-0.050	-0.080	-0.024	-0.050	-0.050	-0.022	-0.023	-0.024	-0.051	-0.023	-0.051	-0.080	-0.051	-0.051	-0.023	-0.050	-0.050	-0.024	-0.021	-0.023	-0.050	-0.023	-0.023	-0.024	-0.020	-0.050	0.086	0.057	0.001	0.007	0.086	0.027	0.007	0.056	0.116	0.028	0.028	0.031	0.086	0.085	0.058	0.086	0.029	0.056	0.054	0.034	0.056	0.031	0.031	0.085	0.033	0.086	0.056	0.056	0.030	0.058	0.057	0.056	-0.012	-0.010	-0.033	-0.021	-0.012	-0.034	-0.021	-0.034	-0.014	-0.021	-0.021	-0.010	-0.012	-0.013	-0.023	-0.012	-0.022	-0.034	-0.022	-0.022	-0.012	-0.021	-0.021	-0.013	-0.010	-0.012	-0.022	-0.012	-0.011	-0.012	-0.010	-0.022	-0.040	0.052	-0.018	2016_7_19_16_59_06
FLQS22XEGRX2____	-0.043	-0.015	-0.044	-0.043	-0.044	-0.015	-0.043	-0.042	-0.015	-0.044	-0.044	-0.015	-0.044	-0.044	-0.044	-0.044	-0.015	-0.042	-0.043	-0.015	-0.016	-0.043	-0.043	-0.044	-0.015	-0.044	-0.042	-0.016	-0.015	-0.015	-0.015	-0.042	-0.056	-0.000	-0.001	-0.065	-0.025	-0.001	-0.065	-0.033	-0.001	-0.002	-0.002	0.028	-0.025	-0.001	-0.024	-0.000	-0.002	-0.033	0.023	-0.002	0.025	0.001	0.001	-0.001	-0.024	-0.000	-0.026	0.025	-0.024	-0.000	-0.023	-0.026	0.659	0.669	0.657	0.660	0.658	0.668	0.660	0.658	0.668	0.657	0.657	0.667	0.658	0.656	0.657	0.657	0.669	0.658	0.655	0.669	0.667	0.656	0.656	0.656	0.669	0.657	0.658	0.667	0.669	0.668	0.669	0.658	-0.033	-0.011	0.661	2016_7_19_16_59_07
FLQS22TQGRX2____	-0.040	-0.009	-0.010	-0.010	-0.040	-0.041	-0.010	-0.011	-0.009	-0.040	-0.040	-0.010	-0.040	-0.010	-0.040	-0.010	-0.010	-0.011	-0.040	-0.009	-0.039	-0.010	-0.010	-0.010	-0.010	-0.010	-0.010	-0.039	-0.010	-0.010	-0.010	-0.010	-0.067	-0.036	-0.010	-0.008	-0.035	-0.069	-0.008	-0.007	-0.037	-0.039	-0.039	-0.010	-0.035	-0.007	-0.035	-0.007	-0.008	-0.007	-0.039	-0.009	-0.066	-0.010	-0.010	-0.007	-0.007	-0.007	-0.011	-0.066	-0.010	-0.007	-0.009	-0.011	-0.014	-0.003	-0.003	-0.004	-0.014	-0.014	-0.004	-0.004	-0.002	-0.014	-0.014	-0.004	-0.014	-0.004	-0.015	-0.004	-0.004	-0.004	-0.015	-0.003	-0.013	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.013	-0.004	-0.004	-0.004	-0.004	-0.019	-0.023	-0.007	2016_7_19_16_59_07
FLQS21YXGRX2____	0.017	0.017	0.017	0.045	0.046	0.016	0.045	0.046	0.017	0.045	0.045	0.046	0.046	0.045	0.018	0.016	0.016	0.046	0.046	0.017	0.013	0.017	0.017	0.045	0.046	0.016	0.017	0.013	0.016	0.016	0.016	0.017	-0.030	-0.058	-0.061	-0.030	-0.058	-0.031	-0.030	-0.030	-0.030	-0.030	-0.030	-0.060	-0.058	-0.063	-0.030	-0.031	-0.062	-0.030	-0.061	-0.061	-0.028	-0.061	-0.061	-0.063	-0.031	-0.031	-0.060	-0.028	-0.028	-0.030	-0.031	-0.060	0.008	0.009	0.009	0.019	0.020	0.008	0.019	0.020	0.008	0.020	0.020	0.021	0.020	0.021	0.008	0.008	0.009	0.020	0.021	0.009	0.006	0.009	0.009	0.021	0.020	0.008	0.009	0.006	0.008	0.008	0.008	0.009	0.028	-0.043	0.013	2016_7_19_16_59_07
FLQS2AVTGRX5____	-0.002	-0.002	-0.003	-0.003	-0.003	-0.002	-0.003	-0.003	-0.003	-0.002	-0.002	-0.002	-0.003	-0.002	-0.003	-0.003	-0.002	-0.003	-0.003	-0.002	-0.002	-0.002	-0.002	-0.002	-0.003	-0.003	-0.002	-0.002	-0.002	-0.003	-0.002	-0.002	-0.005	-0.005	-0.034	-0.005	-0.005	-0.005	-0.005	-0.034	-0.005	-0.005	-0.005	-0.033	-0.005	-0.005	-0.005	-0.004	-0.005	-0.034	-0.005	-0.005	-0.006	-0.004	-0.004	-0.005	-0.006	-0.004	-0.006	-0.006	-0.006	-0.005	-0.005	-0.006	-0.675	-0.675	-0.674	-0.674	-0.675	-0.675	-0.674	-0.674	-0.675	-0.675	-0.675	-0.674	-0.675	-0.675	-0.674	-0.675	-0.674	-0.674	-0.675	-0.674	-0.675	-0.675	-0.675	-0.675	-0.674	-0.675	-0.675	-0.675	-0.674	-0.675	-0.675	-0.675	-0.002	-0.009	-0.675	2016_7_19_16_59_07
FLQS3087GRWV____	0.248	0.285	0.289	0.248	0.248	0.285	0.248	0.230	0.246	0.279	0.279	0.249	0.248	0.279	0.247	0.248	0.277	0.230	0.201	0.203	0.277	0.249	0.249	0.279	0.248	0.248	0.286	0.277	0.246	0.247	0.287	0.286	-0.076	-0.075	-0.076	-0.077	-0.098	-0.073	-0.077	-0.104	-0.074	-0.075	-0.075	-0.074	-0.098	-0.072	-0.076	-0.077	-0.101	-0.104	-0.131	-0.100	-0.076	-0.079	-0.079	-0.072	-0.076	-0.077	-0.076	-0.076	-0.073	-0.098	-0.094	-0.076	0.776	0.792	0.793	0.777	0.778	0.792	0.777	0.771	0.777	0.790	0.790	0.778	0.778	0.790	0.777	0.777	0.790	0.771	0.760	0.760	0.789	0.777	0.777	0.790	0.777	0.777	0.793	0.789	0.776	0.777	0.793	0.793	0.258	-0.083	0.781	2016_7_19_16_59_07
