SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2510642074	-0.2490528946	-0.2580684764	-0.2490568434	-0.2500527879	-0.2490531081	-0.2610662352	-0.2510603653	-0.2510642074	-0.251063994	-0.25006901	-0.2490567367	-0.2500642074	-0.2400573771	-0.2510642074	-0.2520723185	-0.2510642074	-0.2510642074	-0.2490680495	-0.2510718916	-0.2510646343	-0.2490680495	-0.25006901	-0.2510683697	-0.2430604721	-0.2500760538	-0.2570800026	-0.25006901	-0.2490766942	-0.2510645276	-0.2500683697	-0.2510645276	-0.135070682	-0.133086935	-0.105011381	-0.164057504	-0.134039494	-0.13405355	-0.108058382	-0.135039494	-0.136086935	-0.135070242	-0.132072878	-0.135102309	-0.135087374	-0.163072	-0.136086935	-0.133075514	-0.136086935	-0.136086935	-0.161087374	-0.133055747	-0.135099234	-0.13510143	-0.132072878	-0.135130422	-0.164086056	-0.133091327	-0.098027194	-0.132072878	-0.135075074	-0.135082981	-0.135074196	-0.135082981	0.062	0.061	0.061	0.066	0.062	0.061	0.062	0.063	0.062	0.062	0.062	0.062	0.063	0.062	0.062	0.062	0.062	0.062	0.065	0.062	0.063	0.062	0.062	0.063	0.064	0.062	0.06	0.062	0.062	0.062	0.062	0.062
FLQS30KBGRWV	0.0858726981	0.0429470844	0.00578915649999	0.0049081746	0.00695280640001	-0.0330437603	0.0418269219	0.0428704093	0.0078303551	0.0038337883	0.0017891565	0.0439081746	0.0038280663	0.041909319	0.0078303551	-0.00025318649999	0.0078303551	0.0078303551	0.0007868677	0.0787914453	0.0408280663	-0.00421542109999	0.0017891565	0.0037880121	0.0098704093	0.0417090481	0.0556712827	0.0017891565	0.0407101925	0.0408269219	0.000783434499994	0.0408269219	0.004636667	0.00763794399998	-0.019367685	0.053635269	0.014633593	-0.030363213	0.010636467	0.011633593	-0.017362136	0.013636268	0.014637665	0.009639222	-0.020362056	0.009636667	-0.017362136	-0.015362056	-0.017362136	-0.017362136	-0.017362016	0.030634192	0.011638982	0.053637585	0.014637665	-0.023358143	-0.019362136	0.00763958100001	-0.034366128	0.014637665	-0.035361577	0.010637465	0.012638104	0.010637465	-0.052	-0.038	-0.022	-0.031	-0.026	-0.006	-0.038	-0.038	-0.022	-0.025	-0.024	-0.038	-0.02	-0.038	-0.022	-0.02	-0.022	-0.022	-0.02	-0.054	-0.038	-0.028	-0.024	-0.02	-0.023	-0.038	-0.037	-0.024	-0.032	-0.038	-0.024	-0.038
FLQS30CWGRWV	0.0137399347	0.0137733774	0.0097300611	0.0157622298	0.00476923689999	0.0257740144	0.0487389792	0.0107514008	0.0117405717	0.0177418457	0.0147284686	0.0167622298	0.0137405717	0.0087619113	0.0117405717	0.0127176395	0.0117405717	0.0117405717	0.0127291056	0.010716684	0.0077392977	0.0127291056	0.0147284686	0.0497408902	0.0147517193	0.0127074475	0.0136975739	0.0147284686	0.015705855	0.0067396162	0.0107275131	0.0067396162	-0.02882069	-0.031831946	0.00621041299999	-0.033812692	0.00321041300001	-0.031810618	0.000179902999975	0.00619974899999	0.047168351	-0.027819505	-0.028830465	-0.029841721	-0.031832242	-0.031822171	0.047168351	-0.068843794	0.047168351	0.047168351	-0.029831946	0.000197674999981	-0.025839055	-0.028840536	-0.028830465	-0.00385297700001	-0.031831353	0.050156502	0.010198564	-0.028830465	-0.077836389	0.00417190499999	-0.000834018999967	0.00417190499999	0.147	0.147	0.143	0.147	0.146	0.143	0.13	0.143	0.137	0.145	0.146	0.146	0.147	0.149	0.137	0.152	0.137	0.137	0.147	0.143	0.148	0.147	0.146	0.13	0.146	0.136	0.141	0.146	0.152	0.144	0.143	0.144
FLQS30C7GRWV	-0.087766154	-0.0455045815	-0.0878213156	-0.0806344781	-0.0915971106	-0.0775686401	-0.0436878602	-0.0886931984	-0.0436896396	-0.0797536982	-0.0497590364	-0.0796326987	-0.0436878602	-0.0806309193	-0.0436896396	-0.044814198	-0.0436896396	-0.0436896396	-0.0457501394	-0.041814198	-0.081757257	-0.0457536982	-0.0497590364	-0.0467536982	-0.0806931984	-0.0849423151	-0.0800028149	-0.0497590364	-0.0799387563	-0.0917590364	-0.0377554776	-0.0917590364	-0.023830345	-0.024831714	-0.019826753	-0.050829045	-0.019826822	-0.053829216	-0.05783038	-0.020827882	-0.055831611	-0.052830243	-0.028831543	-0.051832672	-0.053831611	-0.052830345	-0.055831611	-0.054831611	-0.055831611	-0.055831611	-0.026831577	-0.054829353	-0.053832637	-0.02383274	-0.028831543	-0.052834964	-0.049831474	-0.05083274	-0.048827951	-0.028831543	-0.049830345	-0.023831474	-0.084831577	-0.023831474	0.076	0.062	0.076	0.077	0.077	0.076	0.066	0.076	0.065	0.077	0.063	0.077	0.065	0.077	0.065	0.065	0.065	0.065	0.062	0.064	0.078	0.061	0.063	0.066	0.077	0.078	0.077	0.063	0.077	0.078	0.067	0.078
FLQS29JFGRX5	0.0541635871	0.0591541237	0.049166539	0.0631569887	0.0671533423	0.0671533423	0.0601636739	0.0581596802	0.0631628925	0.0311625452	0.0591662785	0.0601571624	0.0571634134	0.0641569019	0.0631628925	0.0571696645	0.0631628925	0.0631628925	0.057166539	0.0611692304	0.0591636739	0.0571661917	0.0591662785	0.095163153	0.0581602879	0.0541727032	0.0541756551	0.0591662785	0.0611721823	0.0571627189	0.0561666258	0.0571627189	0.066393691	0.036391436	0.066401731	0.00139354000001	0.002396847	0.00539429200001	0.03739354	0.036396847	0.00638873099999	0.015391737	0.036391211	0.037386101	0.035390985	0.00439113600001	0.00638873099999	0.03539076	0.00638873099999	0.00638873099999	0.036390835	0.00539406600001	0.039388656	0.00538640100001	0.036391211	0.034383395	0.03639091	0.037388055	0.031398951	0.036391211	-0.000609015000009	0.035389633	0.035391286	0.035389633	0.222	0.224	0.223	0.228	0.226	0.226	0.224	0.225	0.227	0.237	0.224	0.223	0.225	0.227	0.227	0.225	0.227	0.227	0.224	0.227	0.224	0.229	0.224	0.211	0.224	0.225	0.226	0.224	0.228	0.225	0.225	0.225
FLQS22XEGRX2	-0.0013766309	0.0376119126	0.0056256447	0.0376148944	0.0406123049	0.0406123834	0.0116230552	0.0346177193	0.0336201519	0.0396200734	0.0346230552	0.0376147375	0.0406200734	0.0286152083	0.0336201519	0.0396255663	0.0336201519	0.0336201519	0.0406228198	0.0376256447	0.0056237615	0.0396228198	0.0346230552	0.0406228198	0.0316174839	-0.0023684701	0.0436308237	0.0346230552	0.0406287835	0.0166229768	0.0396230552	0.0166229768	0.010746108	0.00674883400001	-0.020260459	0.00574220499999	0.007739727	0.00874177100002	-0.01025445	0.00673966499997	0.035746541	0.00674418700001	0.032746294	0.00574846200001	0.00374654100003	0.035744435	0.035746541	0.032746789	0.035746541	0.035746541	0.004746665	0.033742453	0.01374809	0.010748152	0.032746294	0.00875273599999	0.035746479	0.045748524	0.000740408000013	0.032746294	0.00974449700001	-0.013252591	0.00874641799999	-0.013252591	-0.00500000000001	-0.018	-0.00300000000001	-0.018	-0.019	-0.019	-0.00700000000001	-0.017	-0.02	-0.018	-0.021	-0.018	-0.019	-0.018	-0.02	-0.022	-0.02	-0.02	-0.019	-0.022	-0.00800000000002	-0.019	-0.021	-0.018	-0.019	-0.00899999999999	-0.019	-0.021	-0.019	-0.00800000000001	-0.019	-0.00800000000001
FLQS22TQGRX2	0.0744608992	0.0274843279	0.0314352742	0.0234689528	0.0554905511	0.0354890868	0.0334473546	0.0324623635	0.0844634618	0.0394499171	0.0754473546	0.0334733457	0.0324462563	0.0364744439	0.0844634618	0.0324206313	0.0844634618	0.0844634618	0.0324330777	0.026419167	0.0884608992	0.0344338099	0.0754473546	0.0734488189	0.026459435	0.0294067205	0.0313957383	0.0754473546	0.0424074526	0.0324477206	-0.0125676544	0.0324477206	0.046422959	0.087424511	0.050418243	0.05042081	-0.021577459	0.009424631	0.050424332	0.050420034	0.02242666	0.022424272	-0.01257137	0.05242863	0.050424929	0.01542672	0.02242666	0.05142666	0.02242666	0.02242666	0.051424929	0.081420631	0.05042678	0.05442666	-0.01257137	0.08243078	0.08042475	0.081427198	0.053420511	-0.01257137	-0.014572862	0.050426004	0.085424631	0.050426004	0.235	0.246	0.25	0.252	0.252	0.254	0.249	0.249	0.235	0.251	0.243	0.249	0.25	0.253	0.235	0.249	0.235	0.235	0.25	0.246	0.23	0.248	0.243	0.231	0.248	0.246	0.25	0.243	0.255	0.25	0.26	0.25
FLQS21YXGRX2	-0.000335723299997	0.0036385825	0.0376625957	0.0396383424	0.0356299378	0.0356301779	0.0426546714	0.0366462668	0.040653951	0.0456537109	0.0476625957	0.042637622	0.040653951	0.0476388227	0.040653951	0.04267028	0.040653951	0.040653951	0.0826621155	0.0406707602	0.0506546714	0.0436623556	0.0476625957	0.041663076	0.0456460266	0.0436784444	0.0476868491	0.0476625957	0.0446791648	0.0456525102	0.0406635563	0.0456525102	0.00221517399999	0.010216429	-0.00478859200001	-0.00478574899998	-0.00378722600001	0.046213882	-0.012784604	-0.002787337	-0.00478331200003	-0.031784752	-0.03078346	-0.00478198300002	-0.00278327499998	-0.032784567	-0.00478331200003	-0.037782168	-0.00478331200003	-0.00478331200003	-0.039782094	-0.00578589699998	-0.032782168	-0.00278227800001	-0.03078346	-0.00177984200002	-0.032783349	-0.033780617	-0.0337873	-0.03078346	-0.000784603999989	-0.0407825	-0.00378312800001	-0.0407825	-0.224	-0.227	-0.237	-0.238	-0.235	-0.243	-0.238	-0.237	-0.237	-0.235	-0.237	-0.238	-0.237	-0.236	-0.237	-0.233	-0.237	-0.237	-0.247	-0.238	-0.237	-0.238	-0.237	-0.238	-0.235	-0.235	-0.236	-0.237	-0.24	-0.235	-0.238	-0.235
FLQS2AVTGRX5	0.0091113428	0.0101076895	0.0121124591	0.0111088396	0.0161076556	0.017107385	0.0171110722	0.0081099897	0.0151110722	0.0131112075	0.0141124252	0.0101088734	0.015111106	0.0141087043	0.0151110722	0.00911367680001	0.0151110722	0.0151110722	0.0101124252	0.00911367680001	0.0231110045	0.0141123576	0.0141124252	0.0131123914	0.0161098206	0.0151147593	0.0141160109	0.0141124252	0.0151148608	0.0031114104	0.0121124591	0.0031114104	0.041157213	0.045156287	0.00515996299998	0.038158166	0.009159173	0.00715734899998	0.00715655899998	0.041159255	0.00715541599999	0.00615721299999	0.03315626	0.040155361	-0.02784472	-0.023843631	0.00715541599999	0.035156151	0.00715541599999	0.00715541599999	0.038156233	0.037158084	-0.016845265	0.037155361	0.03315626	0.00615340100001	0.00615544300001	0.012155253	0.010159037	0.03315626	0.040157104	0.033156314	0.04015626	0.033156314	-0.08	-0.081	-0.077	-0.081	-0.078	-0.079	-0.079	-0.081	-0.078	-0.078	-0.081	-0.08	-0.074	-0.073	-0.078	-0.08	-0.078	-0.078	-0.081	-0.08	-0.078	-0.082	-0.081	-0.077	-0.078	-0.079	-0.078	-0.081	-0.082	-0.077	-0.082	-0.077
FLQS3087GRWV	-0.1183056111	-0.0727562414	-0.0694730381	-0.0679341325	-0.0767457772	-0.1047405451	-0.0954991985	-0.0191067916	-0.0713160753	-0.0682846827	-0.0695044306	-0.1081486483	-0.071300379	-0.0991224879	-0.0713160753	-0.1096613934	-0.0713160753	-0.0713160753	-0.0694835022	-0.1096613934	-0.0673474678	-0.0684887343	-0.0695044306	-0.1134887343	-0.0751434162	-0.072865445	-0.0710171757	-0.0695044306	-0.0568497487	-0.0954887343	-0.0675096627	-0.0954887343	-0.034360803	-0.081360903	-0.07236053	-0.028360721	-0.035360624	-0.031360709	-0.071360796	-0.077360627	-0.042360818	-0.072360798	-0.042360816	-0.070360972	-0.043360821	-0.035360803	-0.042360818	-0.041360829	-0.042360818	-0.042360818	-0.044360824	-0.068360716	-0.044360895	-0.047360905	-0.042360816	-0.066361074	-0.00636081799999	-0.043360916	-0.008360568	-0.042360816	-0.033360816	-0.07036087	-0.042360824	-0.07036087	0.264	0.254	0.252	0.246	0.25	0.259	0.261	0.236	0.249	0.252	0.248	0.265	0.248	0.258	0.249	0.262	0.249	0.249	0.249	0.266	0.248	0.249	0.248	0.267	0.245	0.25	0.244	0.248	0.242	0.261	0.248	0.261
