SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2067118057	-0.2457239033	-0.214714382	-0.2107021724	-0.2117103495	-0.2117102375	-0.2087060929	-0.2117103495	-0.247714046	-0.2117101255	-0.2447021724	-0.2136947794	-0.21271427	-0.209721775	-0.2117335366	-0.246721775	-0.2097178545	-0.279714158	-0.2127179665	-0.2577259195	-0.2077194227	-0.210721775	-0.212721999	-0.210714158	-0.2097178545	-0.2117259195	-0.244721775	-0.246721775	-0.2097178545	-0.2127259195	-0.2087059809	-0.2127180785	-0.051500935	-0.098487805	-0.028544001	-0.023524044	-0.053516428	-0.056498046	0.086495651	-0.027525357	-0.023525882	-0.024534022	-0.058542951	-0.057570261	-0.08551564	0.083504842	-0.085476251	-0.089506712	0.057504842	-0.064525094	-0.086522993	-0.207522468	-0.051435548	0.095504842	-0.057534285	-0.025534022	0.057504842	-0.057532709	-0.120523256	-0.089515115	0.057504842	-0.087506975	-0.026524831	-0.060534022	0.046	0.066	0.048	0.045	0.049	0.048	0.035	0.047	0.06	0.046	0.062	0.049	0.051	0.037	0.051	0.065	0.039	0.076	0.052	0.08	0.047	0.036	0.049	0.046	0.039	0.049	0.067	0.066	0.039	0.052	0.045	0.05
FLQS30KBGRWV	0.0239682388	0.0628868572	0.0249430219	0.0600645213	0.0249831397	0.0229854321	0.0590221112	0.0259819934	0.0229441682	0.0269842859	0.0261034928	0.0591424643	0.0179395833	0.0218639327	0.0237447258	0.0198593479	0.0609040505	0.0269842859	0.0269074891	0.0208192302	0.0218880034	0.0208593479	0.0178593479	0.0279430219	0.0609040505	0.0198215226	0.0238662252	0.0258708101	0.0609040505	0.021823815	0.0230198187	0.0558994656	0.011677772	0.083664773	-0.026295736	0.006694514	0.005687916	-0.15531297	0.040697862	0.00669136299999	0.116691363	-0.023298986	-0.021299085	0.00770820299999	-0.053319569	-0.042306865	-0.026327447	0.075680431	-0.019306175	-0.020306274	-0.033305978	0.072680431	-0.030339265	0.072694219	0.016687325	-0.021299479	-0.019306175	-0.113306766	-0.044313561	-0.045296918	-0.019306175	-0.08531297	0.080687325	0.176680431	-0.041	-0.062	-0.039	-0.055	-0.04	-0.027	-0.058	-0.041	-0.049	-0.04	-0.039	-0.054	-0.033	-0.036	-0.037	-0.045	-0.053	-0.04	-0.038	-0.045	-0.037	-0.045	-0.039	-0.04	-0.053	-0.029	-0.037	-0.037	-0.053	-0.032	-0.047	-0.067
FLQS30CWGRWV	0.0473509385	0.0053154246	0.0433439625	0.0433775739	0.0423547435	0.0423553777	0.0423658416	0.0423547435	0.0433439625	0.0423550606	0.0423880378	0.0413988188	0.0423436454	0.0433214492	0.041288155	0.0413217663	0.0413325473	0.0063544264	0.0403322302	0.0053103511	0.0443284252	0.0423214492	0.0423214492	0.0413433283	0.0413325473	0.0433103511	0.0413220834	0.0053217663	0.0413325473	0.0413103511	0.0413655245	-0.0076674527	0.059743174	0.05875306	0.021697095	0.095715526	0.023720553	0.053732785	0.088709159	-0.013291176	-0.013291679	0.052709327	0.128715526	0.024680003	0.023726585	-0.010295365	0.091762443	0.018720721	0.025715694	-0.018284809	0.020721391	0.08673312	0.024772497	0.021697597	0.022709159	0.014703127	0.025715694	0.018710667	-0.046284139	-0.016284809	0.025715694	0.023732785	-0.015296203	-0.067284139	0.125	0.142	0.13	0.123	0.13	0.127	0.125	0.133	0.133	0.127	0.121	0.131	0.13	0.133	0.124	0.131	0.13	0.148	0.131	0.139	0.129	0.13	0.13	0.131	0.13	0.13	0.136	0.148	0.13	0.131	0.133	0.157
FLQS30C7GRWV	-0.1670995507	-0.1282419122	-0.1271505196	-0.1209642193	-0.0910274911	-0.0920274911	-0.1270292487	-0.0900292487	-0.0910890054	-0.0910274911	-0.1259044626	-0.1248447059	-0.0920854903	-0.084199731	-0.0873842738	-0.1272717906	-0.1262120339	-0.0910310062	-0.0911487621	-0.0862612453	-0.0912436698	-0.0922102763	-0.0912102763	-0.0910890054	-0.1262120339	-0.1253350624	-0.089199731	-0.1282735481	-0.1262120339	-0.1283350624	-0.1260257336	-0.0931505196	-0.026147524	0.012855771	0.018831785	-0.212163207	-0.016156881	-0.011154113	-0.115167754	0.055839033	-0.011161099	-0.082168018	0.018834486	-0.018172565	-0.006163603	0.110845557	0.00485708899998	-0.019156815	-0.04416301	-0.017161099	0.088846018	0.07485017	-0.012141	-0.015170126	-0.017165579	0.053836793	-0.04416301	0.010839495	0.04885017	-0.045160769	-0.04416301	0.050845491	0.011838901	0.057839231	0.095	0.077	0.076	0.093	0.065	0.064	0.087	0.059	0.064	0.07	0.076	0.078	0.065	0.052	0.062	0.08	0.081	0.065	0.056	0.056	0.064	0.065	0.065	0.059	0.081	0.077	0.059	0.082	0.081	0.074	0.076	0.06
FLQS29JFGRX5	0.0595510131	0.0615529998	0.0605523376	0.0955408311	0.060549523	0.0605494403	0.0615465429	0.0965464602	0.062552172	0.0965464602	0.096537851	0.0955349536	0.0985492747	0.060558215	0.0645666587	0.0275579667	0.0605552349	0.0975464602	0.0615551521	0.0955580495	0.0625531654	0.0955551521	0.0255581322	0.0955494403	0.0605552349	0.0635610296	0.0625578839	0.0605580495	0.0605552349	0.0605611124	0.0955436456	0.0615551521	0.00186596700001	0.073880071	0.035846975	0.034852665	0.00685546899999	-0.00414196600002	0.03485002	-0.067150541	-0.06815567	0.031849619	0.067855389	0.067846654	0.101866287	0.03385579	0.067874702	-0.028141566	0.064857713	0.102861159	0.00485867500001	0.003863803	0.03287975	0.035852424	0.031857793	0.00585018000001	0.064857713	0.03285579	0.036858675	0.003858114	0.064857713	0.175863563	0.035855389	0.033855469	0.227	0.221	0.224	0.21	0.227	0.228	0.224	0.219	0.232	0.21	0.208	0.208	0.203	0.224	0.22	0.242	0.222	0.204	0.226	0.213	0.224	0.21	0.239	0.213	0.222	0.223	0.224	0.227	0.222	0.213	0.21	0.224
FLQS22XEGRX2	0.034854516	0.0418593916	0.0338560442	0.0368481122	0.0368532789	0.0368532061	0.0368508047	0.0358533517	0.0358557531	0.0368532061	0.0358457836	0.0348432366	0.0358558986	0.0338611381	0.0348686334	0.0368609925	0.0348583728	0.0358533517	0.0338585183	0.0358634667	0.0408594644	0.0358609198	0.0338609198	0.0338558986	0.0348583728	0.034863685	0.0328609925	0.0348609198	0.0348583728	0.0348634667	0.0368506592	0.0358583728	0.00995161600002	0.047937561	0.04696798	0.041963864	0.04796025	-0.021042963	0.039967679	0.010964266	0.010964567	-0.027028707	-0.020029811	0.047977618	0.015956837	0.013963262	0.017941979	-0.021046677	0.041964165	-0.053036638	0.047953524	0.04995262	0.013933546	0.043971193	0.010964266	-0.020029409	0.041964165	0.044963061	0.049953323	0.050956736	0.041964165	0.013953624	-0.016033224	-0.030028707	-0.018	-0.024	-0.02	-0.021	-0.021	-0.016	-0.02	-0.019	-0.018	-0.015	-0.015	-0.021	-0.019	-0.018	-0.018	-0.016	-0.02	-0.013	-0.02	-0.021	-0.021	-0.02	-0.017	-0.015	-0.02	-0.02	-0.02	-0.022	-0.02	-0.018	-0.016	-0.014
FLQS22TQGRX2	0.0227549725	0.0207274236	0.0237466354	0.0577981084	0.0237593224	0.0227596849	0.0237720094	0.0237593224	0.0237469978	0.0597727344	0.0227977459	0.021810433	0.0257469978	0.0217208988	0.0186835627	0.0267223488	0.0597469978	0.0217589599	0.0577466354	0.0587216238	0.0237274236	0.0627350358	0.0567339483	0.0587593224	0.0597469978	0.0227085743	0.0587339483	0.0237219863	0.0597469978	0.0997357608	0.0567846964	0.0247339483	0.012031105	-0.019980086	0.056053833	0.055048988	-0.00895458899998	-0.02195805	0.052053256	0.055045411	0.052045873	0.052049449	0.058052795	0.027061563	-0.010958511	0.115041719	0.02502003	-0.043958511	0.022049218	0.099045065	0.099041142	-0.041959204	0.00901610700001	-0.00694247500002	0.121041835	0.084049565	0.022049218	0.053048411	-0.011962319	0.003056141	0.022049218	0.064029144	0.026045296	0.055045757	0.255	0.259	0.25	0.237	0.256	0.258	0.252	0.251	0.251	0.237	0.251	0.254	0.256	0.247	0.256	0.258	0.24	0.248	0.234	0.245	0.255	0.241	0.233	0.235	0.24	0.252	0.243	0.255	0.24	0.22	0.24	0.251
FLQS21YXGRX2	0.00906124320001	0.00407897	0.0100666794	0.0100416255	0.00905864320001	0.0100581705	0.0100501343	0.045049898	0.0450579341	0.0100581705	0.0100335893	0.0090255531	0.0080669157	0.0530728247	0.0121078057	0.0430744792	0.0090749519	0.0100584069	0.044066443	0.0460829881	0.0050794427	0.0080832244	0.0460742428	0.0100666794	0.0090749519	0.0080919697	0.0440740065	0.0420744792	0.0090749519	0.010091497	0.011049898	0.0090747156	0.015743326	-0.030262681	-0.024221314	0.011766559	-0.053233441	0.071747406	0.078767352	0.00775953199999	0.00276723900001	0.00877097899999	0.036767466	0.009782766	0.127745252	0.111750466	0.012737999	-0.055241601	-0.049230494	-0.023237181	-0.055242054	0.014757492	0.012732332	0.014770186	0.048758286	-0.020229701	-0.049230494	0.016761006	-0.021245794	0.101762026	-0.049230494	0.021758286	0.036763159	-0.022233894	-0.226	-0.22	-0.223	-0.226	-0.221	-0.231	-0.231	-0.24	-0.239	-0.226	-0.229	-0.226	-0.236	-0.252	-0.227	-0.234	-0.221	-0.223	-0.234	-0.241	-0.224	-0.226	-0.244	-0.223	-0.221	-0.226	-0.237	-0.247	-0.221	-0.227	-0.229	-0.223
FLQS2AVTGRX5	0.0469493734	0.0489519728	0.009950228	0.0109464535	0.0459489461	0.0459489461	0.0109477354	0.0129489817	0.0119501568	0.0109489817	0.0119452428	0.0099440321	0.0469501568	0.0119527562	0.0119563882	0.0129526137	0.0459514387	0.0119490173	0.0469514387	0.0109539313	0.0459520796	0.010952685	0.010952685	0.012950228	0.0459514387	0.0119539313	0.0129526494	0.0109526494	0.0459514387	0.0129538956	0.0139476642	0.0109514387	-0.00103307800001	0.035974324	0.030952928	-0.034044759	-0.00604504799998	-0.00503706799998	-4.67830000161e-05	-0.044046841	0.018956744	-0.072046957	0.026956802	-0.197052913	-0.044042909	0.022957323	-0.043032095	-0.00503897600001	-0.037044759	-0.00604285099999	-0.00604048	-0.00903857200001	-0.032025213	-0.037048807	-0.076044759	-0.035046899	-0.037044759	0.062959751	-0.127036721	0.058961197	-0.037044759	-0.039038745	-0.002044759	0.023957091	-0.09	-0.094	-0.078	-0.074	-0.089	-0.09	-0.076	-0.073	-0.078	-0.07	-0.079	-0.059	-0.086	-0.079	-0.072	-0.076	-0.087	-0.076	-0.089	-0.076	-0.087	-0.072	-0.069	-0.073	-0.087	-0.082	-0.066	-0.081	-0.087	-0.074	-0.077	-0.078
FLQS3087GRWV	-0.0360239264	0.005802683	-0.0341342659	-0.0345878229	-0.0349608753	-0.0349556211	-0.0377769762	-0.000776976199997	-0.0351342659	-0.0349556211	0.000785229499996	0.0019691286	-0.0361342659	-0.0365125726	-0.0410695241	-0.0013129107	-0.021318165	-0.0359608753	0.042086413	-0.0376912174	0.0108342086	0.0016923436	-0.0365073183	-0.0351395201	-0.021318165	-0.0387122344	-0.0013129107	-0.035502064	-0.021318165	-0.0356912174	-0.035771722	-0.034318165	-0.066249684	0.017755569	-0.030259776	0.00674404200001	-0.134255996	-0.064251952	0.053742757	-0.025254522	-0.095257243	-0.096258453	0.042744117	0.00374011100001	-0.184254598	-0.026255694	-0.101247757	-0.024251725	-0.153255807	0.00574547799999	-0.026250289	-0.029251763	0.057760104	0.00774286999999	-0.105258717	-0.025258377	-0.153255807	-0.028255505	-0.065251763	-0.129259662	-0.153255807	-0.06525199	-0.029255732	-0.062256979	0.196	0.172	0.192	0.189	0.201	0.196	0.186	0.178	0.198	0.198	0.173	0.175	0.205	0.192	0.2	0.178	0.196	0.19	0.162	0.193	0.167	0.175	0.199	0.192	0.196	0.193	0.182	0.201	0.196	0.195	0.192	0.195
