SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2470377164	-0.2100484865	-0.2120525527	-0.2120525527	-0.2120525527	-0.2510526626	-0.2490573882	-0.252047937	-0.2120613446	-0.2120525527	-0.2110532121	-0.2120525527	-0.2510655207	-0.2100440905	-0.2110573882	-0.2120613446	-0.2500570585	-0.2500563992	-0.2090572783	-0.2090572783	-0.2500523329	-0.2120613446	-0.210053322	-0.2500523329	-0.2500523329	-0.2500524428	-0.210047937	-0.2120572783	-0.2500523329	-0.2500523329	-0.2480628832	-0.2100484865	-0.103063299	-0.104074981	-0.102084511	-0.102084511	-0.102084511	-0.101095272	-0.101075596	-0.098084511	-0.104075289	-0.102084511	-0.105064836	-0.102084511	-0.098084819	-0.071095579	-0.068084819	-0.098083897	-0.100054076	-0.101084819	-0.067094657	-0.067094657	-0.103074674	-0.098083897	-0.100084819	-0.104065143	-0.103074674	-0.102064836	-0.070073751	-0.069084819	-0.103074674	-0.102074059	-0.096075289	-0.104086049	0.065	0.05	0.052	0.052	0.052	0.066	0.066	0.066	0.052	0.052	0.051	0.052	0.065	0.048	0.048	0.051	0.066	0.065	0.046	0.046	0.066	0.051	0.051	0.065	0.066	0.065	0.047	0.047	0.066	0.066	0.065	0.051
FLQS30KBGRWV	0.0296226815	0.0275092776	0.0274668943	0.0274668943	0.0274668943	0.0284680398	0.027415347	0.029519587	0.0683752547	0.0274668943	0.0694565848	0.0274668943	0.0273752547	0.0275596793	0.0274164925	0.0273741092	0.0244142015	0.0284256565	0.026413056	0.026413056	0.0284680398	0.0273741092	0.0264565848	0.0254668943	0.0284680398	0.0274691853	0.0275207325	0.0254142015	0.0284680398	0.0284691853	0.0653557813	0.0285115686	0.00870664000001	0.008709901	-0.027287423	-0.027287423	-0.027287423	0.007712744	0.00571040299999	-0.027287506	0.00471048700001	-0.027287423	-0.021292775	-0.027287423	-0.031286419	0.010715504	0.00471349700001	-0.030286754	0.00670438200001	-0.029287172	0.004716006	0.004716006	-0.027290182	-0.030286754	-0.029286754	0.00970672400001	-0.027290182	0.00870680700001	0.00870965000001	0.00571332999999	-0.027290182	0.00870672400001	0.00671006899998	-0.028287088	-0.04	-0.039	-0.036	-0.036	-0.036	-0.04	-0.039	-0.037	-0.055	-0.036	-0.053	-0.036	-0.036	-0.04	-0.039	-0.035	-0.038	-0.036	-0.039	-0.039	-0.036	-0.035	-0.036	-0.039	-0.036	-0.039	-0.039	-0.039	-0.036	-0.04	-0.054	-0.036
FLQS30CWGRWV	0.0434924022	0.0434615898	0.0484501542	0.0484501542	0.0484501542	0.0474504719	0.0084234713	0.0074517425	0.0044114004	0.0484501542	-0.0055717639	0.0484501542	0.0054110828	0.0074628604	0.0074234713	0.0464244242	-0.0055828818	0.0454396716	0.0064234713	0.0064234713	0.0484501542	0.0464244242	0.0084352245	0.0494504719	0.0484501542	0.0474498366	0.0034504719	0.0474364951	0.0484501542	0.0434501542	0.0644282361	0.0474612721	0.012983079	0.00897346899998	-0.017033338	-0.017033338	-0.017033338	0.011959654	0.013973068	0.014967262	-0.022033338	-0.017033338	0.030982678	-0.017033338	-0.022041147	0.013960255	-0.024041147	0.00996626100002	0.030989685	0.011966461	-0.023047954	-0.023047954	0.014973869	0.00996626100002	0.014966461	-0.017018923	0.014973869	0.014981077	-0.023032938	0.010966061	0.014973869	0.011973869	0.030975671	0.01296566	0.13	0.131	0.132	0.132	0.132	0.13	0.144	0.145	0.149	0.132	0.148	0.132	0.149	0.144	0.149	0.13	0.148	0.131	0.149	0.149	0.129	0.13	0.144	0.131	0.129	0.129	0.149	0.129	0.129	0.131	0.121	0.129
FLQS30C7GRWV	-0.1140284455	-0.1172174387	-0.1202792589	-0.1202792589	-0.1202792589	-0.0772810252	-0.1193622746	-0.0772050746	-0.0794258611	-0.1202792589	-0.1172951555	-0.1202792589	-0.0784258611	-0.0771397218	-0.1193605083	-0.0804258611	-0.116358742	-0.1193393128	-0.1193605083	-0.1193605083	-0.1162792589	-0.0804258611	-0.0792986881	-0.0782774926	-0.1162792589	-0.1162810252	-0.0762050746	-0.1203605083	-0.1162792589	-0.1172792589	-0.1144417577	-0.120219205	-0.016099239	-0.046101727	-0.057103809	-0.057103809	-0.057103809	-0.017105834	-0.016101784	-0.020103752	-0.017101784	-0.057103809	-0.046099817	-0.057103809	-0.016103983	-0.019105776	-0.017103925	-0.016103752	-0.047097908	-0.019103867	-0.01910595	-0.01910595	-0.047101669	-0.016103752	-0.018103867	-0.050099586	-0.047101669	-0.046099586	-0.018101611	-0.016103809	-0.047101669	-0.049101727	-0.050102189	-0.018103925	0.077	0.08	0.084	0.084	0.084	0.063	0.079	0.063	0.064	0.084	0.081	0.084	0.064	0.063	0.079	0.063	0.081	0.079	0.079	0.079	0.081	0.063	0.064	0.067	0.081	0.081	0.063	0.079	0.081	0.081	0.08	0.08
FLQS29JFGRX5	0.0599384276	0.0939401155	0.0589491459	0.0589491459	0.0589491459	0.0589492303	0.0609524374	0.0619459389	0.0579554757	0.0589491459	0.0599493147	0.0589491459	0.0579554757	0.0629429006	0.0599524374	0.0589554757	0.0619522686	0.0579521842	0.0599524374	0.0599524374	0.0199492303	0.0589554757	0.0599493991	0.0959460233	0.0199492303	0.0589491459	0.0629459389	0.059952353	0.0199492303	0.0949461077	0.0919532814	0.0579429006	0.03195875	0.030957489	0.032955201	0.032955201	0.032955201	0.033949917	0.00295591099999	0.031952599	0.033955832	0.032955201	0.00295835600002	0.032955201	0.035952678	0.030949838	0.035952993	0.034953151	0.00196135299998	0.033952756	0.034950311	0.034950311	0.00595559600004	0.034953151	0.00295291399999	0.026960564	0.00595559600004	0.031960959	0.031955438	0.035953151	0.00595559600004	0.027957725	0.029957646	0.031952047	0.224	0.212	0.224	0.224	0.224	0.224	0.228	0.224	0.225	0.224	0.227	0.224	0.224	0.224	0.224	0.225	0.227	0.225	0.224	0.224	0.242	0.225	0.228	0.212	0.242	0.225	0.224	0.224	0.242	0.211	0.212	0.225
FLQS22XEGRX2	0.0022885205	0.0022951999	0.0022979017	0.0022979017	0.0022979017	0.0332955001	0.032298352	0.0042948997	0.000303380399998	0.0022979017	0.0012979768	0.0022979017	0.0013033804	0.00329234800001	0.033298277	0.000303380399998	0.000300678600006	0.0023003784	-0.0016991713	-0.0016991713	0.0032977516	0.000303380399998	0.00129805179999	0.0022977516	0.0032977516	0.0032977516	0.0032949748	0.000300528499999	0.0032977516	0.0022978267	0.0023036055	0.00229512489999	0.014688146	0.011692224	0.011695487	0.011695487	0.011695487	0.014698569	0.012692315	0.012695487	0.012692224	0.011695487	0.013689143	0.011695487	0.010695669	0.01369866	0.010695759	0.013695306	0.01468588	0.013695487	0.01269866	0.01269866	0.012692134	0.013695306	0.011695487	0.013688961	0.012692134	0.013688961	0.012692134	0.013695397	0.012692134	0.012692315	0.013692496	0.011695578	-0.005	-0.00599999999999	-0.005	-0.005	-0.005	-0.017	-0.017	-0.006	-0.005	-0.005	-0.005	-0.005	-0.005	-0.00600000000001	-0.017	-0.00400000000002	-0.004	-0.005	-0.00400000000002	-0.00400000000002	-0.005	-0.00400000000002	-0.00399999999999	-0.00500000000001	-0.005	-0.00599999999999	-0.006	-0.005	-0.005	-0.005	-0.005	-0.005
FLQS22TQGRX2	0.0582434469	0.064210694	0.0651979568	0.0651979568	0.0651979568	0.0281844917	0.0281681153	0.0281986847	0.028155742	0.0651979568	0.0281812164	0.0651979568	0.029155742	0.0282117858	0.0301688431	0.028155742	0.0271684792	0.0271717545	0.0281688431	0.0281688431	0.0301983207	0.028155742	0.0271812164	0.0281844917	0.0301983207	0.0291844917	0.0271983207	0.0281688431	0.0301983207	0.0301983207	0.0271521028	0.065211058	0.056169156	0.059173003	0.06017685	0.06017685	0.06017685	0.058180394	0.056172902	0.021180293	0.025176142	0.06017685	0.05816946	0.06017685	0.058176749	0.025183532	0.021180394	0.022179786	0.058165815	0.059176648	0.057180394	0.057180394	0.058173307	0.022179786	0.058176952	0.05916946	0.058173307	0.059169156	0.021176547	0.057176445	0.058173307	0.062173307	0.057173509	0.023180596	0.238	0.235	0.235	0.235	0.235	0.249	0.25	0.253	0.253	0.235	0.249	0.235	0.249	0.252	0.252	0.253	0.25	0.25	0.25	0.25	0.248	0.253	0.25	0.249	0.248	0.249	0.253	0.25	0.248	0.249	0.249	0.238
FLQS21YXGRX2	0.0404177415	0.0054479506	0.0054560381	0.0054560381	0.0054560381	0.0414474749	0.0444574653	0.0424379602	0.0844655528	0.0054560381	0.00645770320001	0.0054560381	0.0824662664	0.0054381981	0.0454567517	0.0834660286	0.0054660286	0.0044643635	0.0444574653	0.0444574653	0.0054560381	0.0834660286	0.0054577032	0.0054560381	0.0054560381	0.005456276	0.0054469992	0.0464567517	0.0054560381	0.0064560381	0.0084769705	0.0034481885	0.00615156200001	0.00515569500001	0.004158983	0.004158983	0.004158983	0.00616217700002	-0.031841017	0.00215888899999	-0.00184374099999	0.004158983	0.00215250100001	0.004158983	0.00315926499999	-0.028834723	-0.031837635	0.00315898299999	0.00114930700002	-0.030837729	0.00316217700001	0.00316217700001	0.003155601	0.00315898299999	0.004158983	-0.028844681	0.003155601	0.00315231299999	-0.028841486	-0.030837729	0.003155601	0.00415569500001	0.00515597700002	-0.028837635	-0.238	-0.224	-0.225	-0.225	-0.225	-0.238	-0.236	-0.239	-0.254	-0.225	-0.225	-0.225	-0.254	-0.221	-0.236	-0.254	-0.225	-0.221	-0.239	-0.239	-0.224	-0.254	-0.224	-0.221	-0.224	-0.224	-0.221	-0.237	-0.224	-0.225	-0.226	-0.221
FLQS2AVTGRX5	0.045734922	0.0107400168	0.0557412382	0.0557412382	0.0557412382	0.0557412382	0.0517428434	0.0527382022	0.0127440996	0.0557412382	0.0127415173	0.0557412382	0.0117441345	0.0107384465	0.0547428085	0.0117441345	0.0517428085	0.0107424944	0.0537428434	0.0537428434	0.0547412382	0.0117441345	0.012741622	0.0557412033	0.0547412382	0.0557412382	0.0517382022	0.0517428085	0.0547412382	0.0557412033	0.049744658	0.0107400168	0.034992519	-0.00101128499998	-0.00101293700001	-0.00101293700001	-0.00101293700001	-0.00201479	-0.002011385	-0.00201288700001	-0.002011385	-0.00101293700001	-9.63299999057e-06	-0.00101293700001	-0.002013288	-1.45889999885e-05	-0.002013138	-0.00201303700001	-7.8310000049e-06	-0.00201308799998	0.034987063	0.034987063	-0.00201128499998	-0.00201303700001	-0.00201308799998	-0.00100948299999	-0.00201128499998	-0.00100948299999	-0.00201108499999	-0.00301313799997	-0.00201128499998	-0.00101123499999	-0.001011385	-0.00101313799999	-0.093	-0.075	-0.092	-0.092	-0.092	-0.093	-0.091	-0.092	-0.076	-0.092	-0.077	-0.092	-0.076	-0.076	-0.092	-0.076	-0.091	-0.076	-0.096	-0.096	-0.093	-0.076	-0.076	-0.093	-0.093	-0.092	-0.092	-0.091	-0.093	-0.093	-0.091	-0.076
FLQS3087GRWV	-0.0229088547	-0.0054019216	-0.0478058168	-0.0478058168	-0.0478058168	-0.0075907557	-0.0168582707	-0.0545802649	-0.0142411844	-0.0478058168	-0.0116641912	-0.0478058168	0.0279633859	-0.0111816151	-0.0540471049	0.0249633859	-0.0118530253	-0.0067743445	-0.0098477799	-0.0098477799	-0.0518058168	0.0249633859	-0.0096641912	-0.0468005714	-0.0518058168	-0.0498163076	0.0248393664	-0.0098425346	-0.0518058168	-0.0468005714	-0.0121100496	-0.013407167	-0.028039103	-0.057040401	-0.05804144	-0.05804144	-0.05804144	-0.054042363	-0.033040632	-0.063041382	-0.061040459	-0.05804144	-0.054039391	-0.05804144	-0.028041526	-0.057042363	-0.027041497	-0.060041411	-0.056038468	-0.05704144	-0.057042449	-0.057042449	-0.064040459	-0.060041411	-0.057041468	-0.059039449	-0.064040459	-0.058039449	-0.067040459	-0.058041526	-0.064040459	-0.059040459	-0.057040603	-0.02704144	0.199	0.196	0.212	0.212	0.212	0.196	0.197	0.215	0.198	0.212	0.198	0.212	0.179	0.198	0.211	0.184	0.197	0.195	0.197	0.197	0.214	0.184	0.197	0.212	0.214	0.212	0.186	0.197	0.214	0.211	0.197	0.196
