SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2443244967	-0.2443328919	-0.3503331251	-0.2473410539	-0.2473410539	-0.2463492159	-0.2073452515	-0.2813536467	-0.2813536467	-0.2563507317	-0.2833538799	-0.2833538799	-0.2473451349	-0.2483495657	-0.2473496823	-0.2483495657	-0.2813536467	-0.2473497989	-0.2463452515	-0.2833579609	-0.2563507317	-0.2093492159	-0.2823496823	-0.2463459511	-0.2483499155	-0.2833538799	-0.2073535301	-0.2433404709	-0.2063493325	-0.2123411705	-0.2843458345	-0.2473451349	-0.091964971	-0.025965402	-0.140982436	-0.096974027	-0.096974027	-0.01997683	-0.023981357	-0.00494556500001	-0.012954837	-0.026980495	0.00502640500002	0.00502640500002	-0.090973164	-0.017975751	-0.085972086	-0.017975751	-0.012954837	-0.017964108	-0.091981573	0.004026189	-0.026980495	-0.087972517	-0.07095225	-0.018959365	0.023071899	0.00502640500002	-0.023958718	-0.094973811	-0.024952034	-0.084959365	-0.065951171	-0.090973164	0.066	0.062	0.112	0.067	0.067	0.061	0.046	0.075	0.075	0.066	0.074	0.074	0.066	0.062	0.067	0.062	0.075	0.061	0.066	0.075	0.066	0.051	0.079	0.062	0.06	0.074	0.046	0.065	0.046	0.052	0.08	0.066
FLQS30KBGRWV	0.0215473134	-0.0585330322	0.0595542001	0.0203889179	0.0203889179	0.018305129	0.0203487451	0.0223200503	-0.0157258615	-0.0137247137	0.0233200503	0.0233200503	0.0573900657	0.0233613708	0.0233613708	0.0233613708	-0.0157258615	-0.0136822453	-0.0126064909	0.0242798775	-0.0137247137	0.0213085723	-0.0146833931	0.0223579275	0.0213567797	0.0233200503	0.0202683996	-0.0186099343	0.018305129	0.0193877701	0.0234003958	0.0573900657	0.011840678	-0.023154988	0.052839993	0.012844784	0.012844784	0.013849688	0.00984877599998	-0.019162858	0.064846381	0.010849916	0.00984398499997	0.00984398499997	-0.020151795	0.015849118	0.014843871	0.015849118	0.064846381	0.00384067799999	0.00684820500001	0.010844213	0.010849916	0.011844442	-0.025162516	0.051837028	-0.024162744	0.00984398499997	0.010836572	0.00984432799999	-0.026163086	0.01083737	-0.015163542	-0.020151795	-0.043	-0.008	-0.061	-0.042	-0.042	-0.042	-0.042	-0.042	-0.031	-0.028	-0.044	-0.044	-0.056	-0.044	-0.044	-0.044	-0.031	-0.028	-0.029	-0.044	-0.028	-0.043	-0.026	-0.046	-0.04	-0.044	-0.042	-0.027	-0.039	-0.042	-0.042	-0.056
FLQS30CWGRWV	0.0862973875	0.0122522191	0.0862752771	0.0142313721	0.0142313721	0.0402187376	0.0452301087	0.0432070506	0.0452076824	0.0452079982	0.0452070506	0.0452070506	0.0452297928	0.0422184217	0.04421779	0.0422184217	0.0452076824	0.0122076824	0.0452294769	0.0441956796	0.0452079982	0.0442184217	0.0442184217	0.0452288452	0.0422187376	0.0452070506	0.0432070506	0.0462417956	0.0442184217	0.0442405321	0.0122190534	0.0452297928	0.067489103	-0.018516765	-0.015516365	0.020484035	0.020484035	-0.043522099	0.021479635	-0.010511831	0.027488036	0.024483369	0.032479502	0.032479502	0.027485236	-0.042521565	0.032479902	-0.042521565	0.027488036	0.027483902	0.027480168	0.032479235	0.024483369	0.027485236	0.02649217	0.029488436	0.022496703	0.032479502	-0.012511297	0.022484435	-0.01350703	-0.012512364	0.024492303	0.027485236	0.11	0.145	0.115	0.142	0.142	0.135	0.129	0.132	0.129	0.129	0.129	0.129	0.129	0.135	0.129	0.135	0.129	0.142	0.129	0.129	0.129	0.129	0.129	0.128	0.13	0.129	0.132	0.128	0.132	0.132	0.142	0.129
FLQS30C7GRWV	-0.0887459658	-0.0908676685	-0.1239319971	-0.1640467453	-0.1640467453	-0.0921075967	-0.0900467453	-0.0931667094	-0.0921667094	-0.0931667094	-0.094168448	-0.094168448	-0.0910502225	-0.0931041194	-0.092105858	-0.0931041194	-0.0921667094	-0.093105858	-0.1310519611	-0.0932292993	-0.0931667094	-0.0911128125	-0.0890989036	-0.0940467453	-0.095105858	-0.094168448	-0.0921701866	-0.0879841554	-0.0931110739	-0.0919876326	-0.0900415295	-0.0910502225	-0.01131639	-0.013320181	-0.02232085	-0.067323228	-0.067323228	-0.012323674	0.03067811	-0.011317951	-0.00932092399998	-0.010323451	-0.011322782	-0.011322782	-0.013322559	-0.00932330199998	-0.012322485	-0.00932330199998	-0.00932092399998	-0.011319586	-0.065325383	-0.012322856	-0.010323451	-0.01232241	-0.01331535	-0.012317505	-0.057315721	-0.011322782	-0.012317505	-0.011322559	-0.014314978	-0.0143181	-0.014315201	-0.013322559	0.06	0.061	0.075	0.093	0.093	0.061	0.057	0.061	0.061	0.061	0.062	0.062	0.061	0.062	0.061	0.062	0.061	0.062	0.08	0.061	0.061	0.061	0.06	0.062	0.065	0.062	0.061	0.059	0.062	0.061	0.061	0.061
FLQS29JFGRX5	0.0161718117	-0.0208228766	0.0991741108	0.0561828316	0.0561828316	0.0571883019	0.053179264	0.0541877469	0.0591877469	0.0601875091	0.0581877469	0.0581877469	0.0551791847	0.060184655	0.0601847343	0.060184655	0.0591877469	0.0581848929	0.1321794226	0.0601903631	0.0601875091	0.0571883812	0.0531849721	0.0951821181	0.0591849721	0.0581877469	0.0571911559	0.0581791847	0.0551881433	0.0541827523	0.0931821973	0.0551791847	0.075686316	-0.026317594	0.044682732	0.035679392	0.035679392	0.036678496	-0.000319059999981	-0.015314906	0.100681754	0.147682569	0.032679962	0.032679962	-0.053319549	0.10067931	0.031679962	0.10067931	0.100681754	0.031682976	0.04668151	0.079683709	0.147682569	0.033679473	-0.01131181	0.041685583	0.034688027	0.032679962	0.034685094	0.034680206	-0.00430814399999	-0.011315476	0.043688434	-0.053319549	0.24	0.262	0.209	0.226	0.226	0.226	0.23	0.231	0.221	0.217	0.226	0.226	0.233	0.221	0.226	0.221	0.221	0.226	0.195	0.222	0.217	0.227	0.231	0.211	0.225	0.226	0.226	0.226	0.229	0.231	0.211	0.233
FLQS22XEGRX2	0.0304408484	0.0324457322	0.034445393	-0.00754701	-0.00754701	-0.0055423297	-0.0065447037	-0.0015398878	0.0814544823	-0.0035398199	0.0304578738	0.0304578738	-0.0065446359	0.0794521082	-0.0055420583	0.0794521082	0.0814544823	-0.0035421262	-0.0085446359	-0.0055373102	-0.0035398199	-0.0065423297	0.0814521082	-0.0045444324	0.0314555676	0.0304578738	-0.0065398878	-0.0045474169	-0.0075422618	-0.0045471456	-0.0035443646	-0.0065446359	0.015369999	-0.031624581	-0.037624359	-0.036620156	-0.036620156	0.018381614	-0.032616395	0.020366791	0.069371769	0.022380729	-0.028620819	-0.028620819	0.01637376	-0.055616616	-0.032620709	-0.055616616	0.069371769	-0.032624802	-0.025622036	-0.029620598	0.022380729	0.06537376	-0.061628231	-0.033628231	0.018363362	-0.028620819	0.01737199	-0.040620598	0.018368008	0.059368008	0.017368229	0.01637376	-0.016	-0.014	-0.014	0.00299999999999	0.00299999999999	-0.002	0.00200000000001	-0.00399999999999	-0.04	-0.00300000000001	-0.013	-0.013	-0.001	-0.031	0.000999999999991	-0.031	-0.04	0.001	0.003	0.001	-0.00300000000001	-0.005	-0.031	0.001	-0.017	-0.013	-0.00199999999998	0.001	-0.001	-0.005	-0.00300000000001	-0.001
FLQS22TQGRX2	0.0193393729	0.0193149352	0.0193145758	0.0192894193	0.0192894193	0.0192642629	0.0182768411	0.020254919	0.0212545597	0.0202545597	0.0202545597	0.0202545597	0.0182764817	0.0252800755	0.0542789974	0.0252800755	0.0212545597	0.052278638	0.0552894193	0.0192419814	0.0202545597	0.0192642629	0.0202671379	0.0192793568	0.0232789974	0.0202545597	0.0192516846	0.0182901381	0.0192639035	0.0192894193	0.0202797161	0.0182764817	0.058080659	0.05908092	0.058080789	0.059085606	0.059085606	0.103085736	0.060089772	0.060077014	0.106081831	0.107085866	0.059085736	0.059085736	0.058085346	0.022090293	0.066084695	0.022090293	0.106081831	0.063080269	0.062089511	0.026085866	0.107085866	0.058085346	0.061072328	0.025076754	0.024076363	0.059085736	0.059075973	0.058085085	0.090067511	0.061076754	0.060072328	0.058085346	0.252	0.252	0.252	0.252	0.252	0.25	0.252	0.252	0.249	0.248	0.251	0.251	0.253	0.252	0.238	0.252	0.249	0.239	0.237	0.254	0.248	0.252	0.251	0.255	0.253	0.251	0.253	0.252	0.251	0.252	0.252	0.253
FLQS21YXGRX2	0.0488236084	0.0086818917	0.2106466956	-0.000300626799998	-0.000300626799998	0.0567161554	0.0097049673	0.004723148	0.0467135915	0.0397128922	0.0517117268	0.0517117268	0.0067065989	0.0547024033	0.0087135915	0.0547024033	0.0467135915	0.0027145238	0.001707065	0.0487205841	0.0397128922	0.0477161554	0.0137135915	0.1026942453	0.003704268	0.0517117268	-0.0042754535	-0.6201446918	0.0487163885	0.0656970423	0.0137054334	0.0067065989	0.254540517	0.033575669	0.036576738	-0.039418718	-0.039418718	0.03459144	0.025577673	-0.037417515	0.0305885	-0.115406555	0.071579545	0.071579545	0.029580614	0.022584223	0.065580347	0.022584223	0.0305885	-0.038415644	-0.035414574	0.032580079	-0.115406555	-0.028411233	0.109567114	0.102562704	-0.135433153	0.071579545	-0.038419787	-0.068405486	-0.030424331	0.08556511	0.107566714	0.029580614	-0.257	-0.226	-0.308	-0.218	-0.218	-0.246	-0.226	-0.221	-0.241	-0.229	-0.246	-0.246	-0.225	-0.244	-0.228	-0.244	-0.241	-0.219	-0.219	-0.242	-0.229	-0.238	-0.234	-0.268	-0.213	-0.246	-0.216	0.033	-0.238	-0.253	-0.233	-0.225
FLQS2AVTGRX5	27.4531412961	0.0181436739	0.0511442683	0.0081465346	0.0081465346	0.0641488752	0.0111476492	0.0131502127	0.0151502127	0.0201501384	0.0161500269	0.0161500269	0.0071478721	0.0121487638	0.0101488752	0.0121487638	0.0151502127	0.0111488752	0.0161475749	0.0141513644	0.0201501384	0.0521491353	0.0121488381	0.0181474263	0.0531474263	0.0161500269	0.0101504728	0.0571462002	0.0621489124	0.0641462374	0.0161474634	0.0071478721	10.377834857	0.057834989	-0.069174246	-0.06917174	-0.06917174	0.061831625	-0.005169827	-0.00716765000001	0.065829382	0.004827073	0.052832416	0.052832416	-0.069171608	-0.006172531	-0.067171344	-0.006172531	0.065829382	-0.067168969	0.046833538	-0.00816778200002	0.004827073	-0.058171212	-0.00916494499998	0.0578371	0.066839277	0.052832416	-0.00516698999999	0.00283267999998	0.062839343	0.103839739	0.053839277	-0.069171608	-11.181	-0.082	-0.088	-0.07	-0.07	-0.101	-0.075	-0.076	-0.082	-0.08	-0.081	-0.081	-0.07	-0.076	-0.071	-0.076	-0.082	-0.071	-0.081	-0.076	-0.08	-0.089	-0.075	-0.083	-0.097	-0.081	-0.076	-0.094	-0.101	-0.104	-0.082	-0.07
FLQS3087GRWV	-0.0311794439	-0.0345644075	-0.067559134	-0.0359282772	-0.0359282772	-0.0704767185	-0.0692921469	-0.1028458616	-0.0716771105	-0.071671837	-0.0706771105	-0.0706771105	-0.0712974204	-0.0373132408	-0.0373185143	-0.0373132408	-0.0716771105	-0.0343132408	-0.0703026938	-0.03266129	-0.071671837	-0.0714819919	-0.1026507431	-0.1014819919	-0.0714872654	-0.0706771105	-0.0354819919	-0.0339282772	-0.0362974204	-0.0349282772	-0.1024819919	-0.0712974204	-0.023549501	-0.025549595	-0.068549642	-0.030549501	-0.030549501	-0.027551765	-0.027551105	-0.033548605	-0.069550161	-0.067551623	-0.071551529	-0.071551529	-0.073551246	-0.068551529	-0.030549359	-0.068551529	-0.069550161	-0.024549359	-0.073553086	-0.069551388	-0.067551623	-0.070551246	-0.06954502	-0.031548275	-0.06954686	-0.071551529	-0.065547897	-0.030549548	-0.031544737	-0.062548275	-0.031546718	-0.073551246	0.178	0.18	0.195	0.18	0.18	0.193	0.193	0.207	0.196	0.197	0.196	0.196	0.197	0.183	0.18	0.183	0.196	0.178	0.197	0.181	0.197	0.197	0.209	0.207	0.196	0.196	0.182	0.179	0.18	0.182	0.206	0.197
