SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2471242246	-0.2491279971	-0.246128108	-0.2811396475	-0.1911139056	-0.2471441968	-0.278128108	-0.2141248903	-0.2491398695	-0.2101238917	-0.3191286628	-0.2481404242	-0.2131278861	-0.3191286628	-0.2471315477	-0.2151323244	-0.2451122412	-0.2521246684	-0.2151352093	-0.2791360969	-0.24512833	-0.2601294395	-0.251120563	-0.2121309929	-0.2291177891	-0.2521207849	-0.2451125741	-0.285128108	-0.2131286628	-0.2811392037	-0.2841126851	-0.4551238917	-0.09037583	-0.09137535	-0.12037607	-0.082351599	0.085665675	-0.078349679	-0.088374151	-0.083351599	-0.091367913	-0.094393584	-0.143361435	-0.086365274	-0.081356397	-0.143361435	-0.093385427	-0.014351119	-0.088385907	-0.08937511	-0.092342002	-0.105350399	-0.114357597	0.026665675	-0.087367193	-0.088357597	0.081665675	-0.016352558	-0.083391185	-0.08637511	-0.00934128200001	-0.085382548	-0.083326408	-0.163383747	0.066	0.067	0.069	0.08	0.031	0.065	0.078	0.052	0.067	0.052	0.099	0.066	0.052	0.099	0.067	0.048	0.065	0.068	0.053	0.08	0.068	0.063	0.068	0.052	0.046	0.063	0.065	0.08	0.047	0.079	0.081	0.155
FLQS30KBGRWV	0.023784269	0.0237430181	0.0217418723	0.0576616623	0.023824374	0.0275780147	0.0217418723	0.0247407264	0.0216146821	0.0217395806	0.0247430181	0.0236169738	0.0567430181	0.0247430181	0.0507349971	0.0547349971	0.025904584	0.0247819773	0.0206650998	0.0227017673	0.0237430181	0.0557796856	0.0248232282	0.020704059	0.0618232282	0.022824374	0.0239080216	0.0217430181	0.0237029131	0.0556616623	0.0229034382	0.054824374	0.00773798	0.00773819200001	0.00973766199999	0.00972992400003	0.00773787399999	0.01173003	0.012737768	0.010730348	0.011734058	0.00974540000001	0.00873798000001	0.01273374	0.006733846	0.00873798000001	0.038738298	0.042730242	0.00774168999999	0.00773776799997	0.01072314	0.01172579	0.00873045400002	0.041727168	0.006734588	0.00973034800001	0.00673798	0.005734058	0.00974879199998	0.00974137200001	0.012729924	0.00774550599999	0.00871985400002	-0.018255554	-0.043	-0.042	-0.042	-0.056	-0.043	-0.044	-0.042	-0.043	-0.041	-0.042	-0.043	-0.042	-0.055	-0.043	-0.055	-0.057	-0.043	-0.043	-0.041	-0.042	-0.042	-0.058	-0.042	-0.041	-0.057	-0.041	-0.043	-0.042	-0.043	-0.055	-0.042	-0.053
FLQS30CWGRWV	0.0042427648	0.0082322916	0.0462326089	0.0462116625	-0.0047464446	0.0141894465	0.0472335611	0.0462322916	0.0441999197	0.0442316568	0.0092319742	0.0431989676	0.009221501	0.0092319742	0.007221501	0.0092208662	0.0392770409	-0.0057578699	0.0132021413	0.0482227704	0.0462329263	0.0092322916	0.0062532381	0.0112240399	-0.0057578699	0.0792662503	0.006277993	0.0062329263	0.0792319742	0.0092011892	0.0082773583	0.0082443517	-0.042997554	0.02100743	0.020002446	0.019012415	-0.088997705	-0.011986981	0.019002748	0.019012264	0.020007732	0.018996857	0.01700592	0.09001891	0.019008488	0.01700592	0.023997461	-0.013992721	-0.02500994	-0.086997403	0.024024498	0.018018456	0.019013321	-0.012987887	0.021007883	-0.009986226	-0.086997403	0.019011508	0.020987039	0.025997461	0.022018154	-0.015007976	0.023028425	0.020997613	0.15	0.143	0.128	0.129	0.157	0.144	0.128	0.129	0.13	0.129	0.144	0.125	0.144	0.144	0.144	0.146	0.135	0.157	0.142	0.128	0.129	0.146	0.145	0.145	0.157	0.116	0.145	0.145	0.115	0.146	0.143	0.144
FLQS30C7GRWV	-0.0981037246	-0.0991689157	-0.0971653919	-0.1692904882	-0.1330438193	-0.0994085369	-0.1311653919	-0.0991706776	-0.1003521555	-0.1001689157	-0.0971671538	-0.1023539174	-0.0962217733	-0.0971671538	-0.0972235353	-0.0972270591	-0.1719151991	-0.1321072485	-0.1012852025	-0.0972305829	-0.1021689157	-0.0981636299	-0.0980438193	-0.1012217733	-0.1351107723	-0.0960402955	-0.0979099133	-0.1011653919	-0.0641724395	-0.1343433459	-0.0979116753	-0.1341019627	-0.010725306	-0.017723067	-0.012725306	-0.047720758	-0.084725446	-0.046720548	0.016277143	-0.045720898	-0.075722787	-0.018728034	-0.014723766	-0.012722647	-0.010722367	-0.014723766	-0.051727894	-0.013720898	-0.047727754	-0.083725236	0.018287008	-0.013717959	-0.012720198	-0.045720968	-0.012722717	-0.015717889	-0.079725096	-0.016721178	-0.05973559	0.019274764	-0.011718099	-0.015727614	-0.016713481	-0.015727614	0.065	0.066	0.065	0.096	0.085	0.069	0.077	0.068	0.071	0.066	0.065	0.067	0.065	0.065	0.068	0.065	0.098	0.084	0.064	0.065	0.067	0.068	0.065	0.067	0.085	0.065	0.069	0.064	0.052	0.08	0.066	0.08
FLQS29JFGRX5	0.0618274456	0.0958277799	0.059830622	0.061836306	0.0598243528	0.0588426587	0.1208281143	0.0588307891	0.0598393152	0.0548309563	0.0958276964	0.0898399003	0.0608333804	0.0958276964	0.0578307891	0.0258336312	0.0588186688	0.0598275292	0.0918359716	0.0608337147	0.0608305384	0.0238305384	0.06182452	0.060835888	0.0628246036	0.1368180836	0.0608185852	0.0588304548	0.0608336312	0.060836306	0.0588185852	0.0918246036	-0.003234029	0.027766052	-0.00223386799999	-0.008229102	0.03176589	-0.00422845600002	0.02876904	0.027771221	0.030768636	0.064763144	-0.086238633	-0.00423096	-0.00323071700004	-0.086238633	0.027762901	-0.010228698	0.02976274	-0.00123370599999	0.028777683	0.001774291	0.03077211	-0.045229021	0.001768879	0.026774856	0.029766052	0.06977114	0.030760236	-0.00823709900001	-0.00422546700003	-0.00723992600001	-0.00121981299998	0.027763144	0.227	0.211	0.228	0.228	0.225	0.228	0.201	0.226	0.225	0.224	0.219	0.215	0.227	0.219	0.227	0.241	0.226	0.228	0.213	0.227	0.225	0.245	0.226	0.225	0.224	0.191	0.225	0.229	0.227	0.228	0.228	0.213
FLQS22XEGRX2	0.0050801855	0.0400829202	-0.0349144191	0.071085507	0.0050775247	0.0350934893	-0.0279170798	0.037080555	-0.0349064368	0.0050829202	0.0360829202	-0.0359062151	0.0360852853	0.0360829202	0.0020854331	0.0350856548	0.006072351	0.0370802594	0.0380876504	-0.0259118322	-0.0349144191	0.0380827723	0.0080775247	0.0360853592	0.0040801855	0.0030774508	0.006072351	8.30680000021e-05	0.0390831419	0.0320905329	-0.000927427299999	0.0040801116	0.016649554	-0.015350341	0.041646815	0.049639126	0.015649764	0.039639442	-0.016350762	-0.020360874	-0.013354028	-0.013343179	0.013651028	0.015645656	0.011645551	0.013651028	0.015653556	0.011646499	0.016653662	0.014649448	0.013634492	-0.014360242	0.015642286	0.012643339	0.015646183	-0.011358451	0.014649659	0.014646815	-0.014339387	0.04765008	0.058634386	0.014657453	0.043628382	0.016653346	-0.00599999999999	-0.018	0.00799999999998	-0.035	-0.006	-0.02	0.00899999999999	-0.017	0.012	-0.00399999999999	-0.018	0.01	-0.019	-0.018	-0.005	-0.018	-0.00699999999999	-0.019	-0.02	0.009	0.009	-0.019	-0.00700000000001	-0.016	-0.00599999999999	-0.006	-0.005	-0.00699999999999	-0.023	-0.017	-0.006	-0.006
FLQS22TQGRX2	0.027489786	0.0274767107	0.0614763475	0.0184745315	0.08652538	0.0244222301	0.0274763475	-0.0115109404	0.0234229565	0.0274759843	0.0264767107	0.0274229565	0.0284650882	0.0264767107	0.0294643618	0.0274632721	0.0275279224	0.026489786	0.0324534656	0.0284516496	0.0954886964	0.0284770739	0.0255024981	0.0294654514	0.0775079462	0.0735213847	0.031529012	0.0294781635	0.0944767107	0.0294403903	0.0265282856	0.0264908756	0.056040084	0.052036776	0.00103959399999	0.067016928	0.07503408	0.062023054	0.055036408	0.014023421	0.056031998	0.048045597	0.052036653	0.05903114	0.054034816	0.052036653	0.055040819	0.05303163	0.054041064	0.025039716	0.055019378	0.057022441	0.115023544	0.054027954	0.053032365	0.055027832	0.094035061	0.063030895	0.056049273	0.02404425	0.058027097	4.86599999761e-05	-0.023984788	0.054040942	0.25	0.25	0.24	0.252	0.225	0.25	0.25	0.268	0.251	0.25	0.25	0.249	0.249	0.25	0.249	0.249	0.25	0.252	0.248	0.25	0.218	0.249	0.251	0.249	0.226	0.23	0.248	0.251	0.223	0.253	0.256	0.25
FLQS21YXGRX2	0.0108931635	0.0468929264	0.0448934006	0.0779102356	0.0448758543	0.010936318	0.0109014624	-0.0010975891	0.0449275448	0.0478924521	0.0429021738	0.006928019	0.0049097614	0.0429021738	0.0868912666	0.0789021738	0.0068673182	0.0818848645	0.0069085758	0.0429035964	0.0408938748	-0.0301073107	-0.0331231973	0.0749000397	-0.1271061252	0.0588722976	0.0088666069	0.002892215	0.044902648	0.0069159263	0.0068682667	0.0858739574	0.028133353	0.018126457	-0.069867263	-0.032873174	0.035133107	0.01311365	0.018125348	-0.24187342	-0.027877607	0.024134215	0.021130028	0.116117344	-0.173871819	0.021130028	0.024131013	0.025123871	-0.035861598	-0.024867509	-0.110885365	0.00411672799999	-0.162876376	-0.1018648	-0.084871204	0.015116359	-0.036872681	0.036122639	-0.019860982	0.017124856	0.023118206	0.03214148	0.011100596	0.021130397	-0.228	-0.241	-0.234	-0.25	-0.242	-0.226	-0.226	-0.203	-0.237	-0.241	-0.24	-0.233	-0.21	-0.24	-0.257	-0.254	-0.221	-0.251	-0.215	-0.238	-0.226	-0.202	-0.202	-0.252	-0.168	-0.247	-0.223	-0.224	-0.241	-0.227	-0.224	-0.257
FLQS2AVTGRX5	0.0450825636	0.0120837974	0.0480837269	-0.0189125011	0.015081224	0.0130901428	0.0120849255	0.0140838679	0.0130887679	0.0470836916	0.0090839031	0.0110889089	0.0160860888	0.0090839031	0.0520836211	0.0150850665	0.0470786506	0.0480825283	0.014086124	0.0470851722	0.0480837974	0.0480837621	0.0480812945	0.0110849255	0.0460824931	0.0500811887	0.0460786506	0.0160835859	0.0170850665	0.0130872873	0.0160799197	0.0130836211	0.000411395000015	0.033413556	-0.034588605	-0.040585147	-0.036588729	0.041420164	-0.002588296	0.036419732	-0.00358669100001	-0.00259298999998	-0.042587308	-0.03458632	-0.038586197	-0.042587308	0.038411457	-0.040584529	-0.000591198999984	-0.000588482000012	0.033422202	0.027418868	-0.03658422	0.038417324	-0.00358656700001	0.031418003	-0.000588542999992	-0.060590828	0.001407134	-0.042591137	-0.039582059	-0.041593237	-0.03357823	-0.003590828	-0.089	-0.079	-0.088	-0.062	-0.075	-0.08	-0.076	-0.079	-0.076	-0.09	-0.073	-0.073	-0.075	-0.073	-0.095	-0.075	-0.09	-0.091	-0.08	-0.093	-0.088	-0.094	-0.09	-0.078	-0.09	-0.087	-0.09	-0.075	-0.076	-0.074	-0.076	-0.076
FLQS3087GRWV	-0.00507676059999	-0.133213256	-0.0042657543	0.0024192562	-0.0038930167	0.0060517684	-0.0334232491	-0.063213256	-0.1009587313	-0.0062395052	0.006786744	0.0301882638	-0.0034284989	0.006786744	0.0689704879	0.0066030001	-0.0065045296	-0.0060872602	-0.0035807438	-0.0044337487	-0.0014179992	0.006786744	-0.0048982665	0.0045925004	-0.0392552546	-0.0628457682	-0.0425045296	-0.0012500048	-0.0633969999	-0.000801236499999	0.000521719600002	-0.1742395052	-0.025883455	-0.15488062	-0.027883413	0.047122343	-0.026883497	-0.014877657	-0.111884725	-0.014877657	-0.079881889	-0.019888068	-0.01488062	-0.02788172	-0.025881678	-0.01488062	0.088117899	-0.014879139	-0.070886756	-0.026883455	-0.066879096	-0.030879181	-0.026880366	-0.014877657	-0.021881889	-0.116881974	-0.026883371	-0.014879139	-0.031887856	-0.073884809	-0.014877657	-0.075886164	-0.022876176	-0.060884725	0.173	0.234	0.173	0.165	0.173	0.168	0.19	0.195	0.215	0.173	0.167	0.16	0.173	0.167	0.135	0.168	0.177	0.174	0.176	0.174	0.172	0.168	0.173	0.177	0.187	0.196	0.189	0.175	0.195	0.175	0.171	0.244
