SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2064692463	-0.2074875271	-0.2064735248	-0.2035056782	-0.2395222734	-0.2035010107	-0.2065102159	-0.2064962137	-0.208496473	-0.2735047706	-0.2354810445	-0.2395039927	-0.2035056782	-0.2404919352	-0.2404614673	-0.2055102159	-0.2384683388	-0.206490898	-0.2045052892	-0.2404954358	-0.2395084008	-0.2055106049	-0.2055055485	-0.2045229217	-0.2404705428	-0.2065056782	-0.2074918055	-0.2434746916	-0.241479748	-0.2395026962	-0.2414685981	-0.238506845	-0.184434406	-0.146322621	-0.184416459	-0.144326723	-0.185343644	-0.147252883	-0.144325697	-0.148253396	-0.147273394	-0.181219552	-0.183333902	-0.148310314	-0.144326723	-0.190291854	-0.184380564	-0.144289803	-0.184315442	-0.147312365	-0.14425237	-0.145309801	-0.179218527	-0.147343644	-0.14428929	-0.145234935	-0.183343644	-0.145271343	-0.145148276	-0.186399024	-0.142286213	-0.146341081	-0.144314416	-0.144359028	0.058	0.052	0.057	0.05	0.07	0.05	0.051	0.052	0.052	0.081	0.068	0.063	0.05	0.071	0.069	0.051	0.069	0.051	0.05	0.063	0.069	0.051	0.051	0.051	0.069	0.051	0.052	0.071	0.063	0.063	0.063	0.062
FLQS30KBGRWV	0.0589715606	0.0578056335	0.0579300788	0.0536397064	0.0534922157	0.0556811882	0.022565961	0.0206834927	0.0547249745	0.0546431632	0.0178136994	0.0556500768	0.0536397064	0.0567664563	0.0200349355	0.0546028337	0.0569750174	0.0567284313	0.0186016814	0.055727279	0.0526051383	0.0555982246	0.0546443155	0.0544438203	0.053951972	0.0546431632	0.0547618472	0.0549150993	0.0198321357	0.0566673609	0.0569704083	0.053629336	-0.039956024	0.005040538	-0.000957175000025	0.0040406	0.00404058399999	-0.033960987	0.00304058399999	0.00103843699998	0.00103912200004	0.00403750299998	0.00404086399999	0.00104021100003	0.0040406	0.004038966	0.00304162700002	0.001039526	0.00303963500002	-0.029959214	0.00503838999998	0.00404021100002	-0.030962512	0.04404046	0.001039526	0.00103793899999	-0.033958825	0.00203898199999	0.001035325	0.00504217100001	0.00303947899999	0.004041051	-0.034959696	0.00404164200003	-0.032	-0.04	-0.039	-0.038	-0.038	-0.032	-0.026	-0.025	-0.037	-0.039	-0.026	-0.038	-0.038	-0.039	-0.026	-0.038	-0.039	-0.033	-0.026	-0.039	-0.031	-0.046	-0.037	-0.038	-0.031	-0.038	-0.037	-0.038	-0.026	-0.039	-0.032	-0.038
FLQS30CWGRWV	0.016554331	0.0485087242	0.0175427731	0.0164634297	0.0154234455	0.0464749876	0.0504549955	0.0494871702	0.0154874826	0.013466241	0.0095096613	0.014466241	0.0164634297	0.0154984158	0.0495824449	0.0494543708	0.0165562053	0.0174890445	0.0124646792	0.0154893569	0.0164568698	0.0164524965	0.0154656163	0.0204125124	0.0125602662	0.0144649915	0.0134981034	0.0125383999	0.0485383999	0.0104709267	0.012554331	0.0154728009	-0.037953615	-0.03689276	-0.037941024	0.00010653999999	0.00210793899998	-0.037844146	-0.03989311	-0.038843447	-0.031855688	-0.036809172	-0.00188471600001	-0.002882618	0.00010653999999	-0.042857086	0.001098496	-0.039867928	-0.040870726	-0.004883667	-0.038844146	-0.037882967	-0.068808822	-0.040905001	-0.038868278	-0.040833654	-0.000893110000021	-0.036855688	-0.0327714	8.52059999943e-05	0.000146061000009	-0.039903602	-0.043886815	0.00109709699998	0.147	0.135	0.146	0.14	0.14	0.137	0.136	0.136	0.147	0.148	0.143	0.142	0.14	0.148	0.129	0.136	0.147	0.141	0.148	0.147	0.152	0.147	0.147	0.147	0.142	0.148	0.147	0.141	0.13	0.149	0.15	0.141
FLQS30C7GRWV	-0.0320400982	-0.0322911196	-0.0371024324	-0.0355236093	-0.0327358825	0.0076061132	-0.0325825741	-0.0304073645	-0.0314056798	-0.035525294	-0.0702793267	-0.070513501	-0.0355236093	-0.0644056798	-0.0359592322	-0.0325825741	0.00702897479999	-0.0323972562	-0.0325151858	-0.0324006256	-0.0375724658	-0.0385859435	-0.0325219246	-0.0708049555	-0.032018197	-0.0345286634	-0.0323483997	-0.0361344418	-0.0693147055	-0.034496654	-0.0340518911	-0.0335455105	-0.064762477	-0.022757052	-0.025760858	-0.024757178	-0.062757893	-0.06275497	-0.066758019	-0.061755033	-0.060755895	-0.024752994	-0.062758293	-0.058757325	-0.024757178	-0.066755727	-0.023759344	-0.021755622	-0.026756715	-0.059757472	-0.022755012	-0.063757346	-0.060752994	-0.06775865	-0.02275558	-0.061754297	-0.066758755	-0.066755727	-0.059750807	-0.062760101	-0.065756505	-0.064758566	-0.025756694	-0.064759365	0.068	0.061	0.064	0.062	0.068	0.054	0.068	0.068	0.067	0.063	0.082	0.082	0.062	0.081	0.063	0.061	0.048	0.068	0.062	0.068	0.07	0.071	0.062	0.082	0.069	0.069	0.068	0.07	0.082	0.069	0.063	0.069
FLQS29JFGRX5	0.0584393718	0.0574492837	0.0574417978	0.0944592648	0.0574678597	0.0564564923	0.0934613442	0.0564541356	0.057453997	0.0594587103	0.0584460952	0.0574583637	0.0944592648	0.0564516403	0.059435213	0.0604614135	0.0624389559	0.0584536504	0.0954588489	0.057453789	0.0574607897	0.0604616215	0.0604588489	0.0584705629	0.0574402036	0.0594590569	0.058451571	0.0584424909	0.0564474815	0.0574574627	0.0564390946	0.05845975	0.040399176	0.041414959	0.04040188	0.039411744	-0.000588037000028	0.039425116	0.03941474	0.040422266	0.040419563	0.037429427	0.040413571	0.039414155	0.039411744	0.041419636	-0.001593079	0.078419855	-0.00358686799999	0.038413863	0.07842497	0.037414082	0.039429354	0.041409479	0.083420147	0.037424751	0.040412183	0.041422705	0.037436954	-0.00159585499998	0.038417078	-0.000590302000006	0.079416201	0.081409917	0.222	0.222	0.222	0.21	0.23	0.223	0.21	0.223	0.223	0.223	0.222	0.223	0.21	0.222	0.229	0.215	0.229	0.223	0.202	0.224	0.222	0.221	0.214	0.223	0.223	0.222	0.223	0.23	0.224	0.23	0.216	0.215
FLQS22XEGRX2	0.0404591923	0.0374668813	0.0374611818	0.0344744628	0.0384811839	0.0404724196	0.0374762372	0.0394705376	0.0404703763	0.0414741402	0.0384643004	0.0364739251	0.0344744628	0.036468817	0.0384559124	0.0384762372	0.0084589235	0.0404701612	0.0384743552	0.0384701612	0.0374758608	0.0374762372	0.037474409	0.0384833885	0.0364596763	0.0374745166	0.0394686557	0.00346161189999	0.0374654833	0.0364732799	0.0394589235	0.00647505420001	0.00603843399998	0.00102855299997	0.042035171	-0.038969425	0.00602832299998	0.00502207299999	-0.001971126	0.00302381899999	0.00302542799997	0.003019177	0.00602947199999	0.00202878300001	-0.038969425	0.041023957	0.006033608	-0.039972596	-0.026972366	-0.028970988	-0.037976043	0.00402892000002	-0.026981053	0.00403011500001	2.56109999839e-05	0.00502051000001	0.00803029900001	-0.00197599700002	-0.029985648	0.048033332	0.00402717399999	0.049030069	-0.035970344	0.00203167800001	-0.018	-0.017	-0.024	-0.009	-0.018	-0.019	-0.016	-0.017	-0.018	-0.019	-0.018	-0.016	-0.009	-0.023	-0.018	-0.01	-0.002	-0.013	-0.01	-0.017	-0.011	-0.017	-0.017	-0.018	-0.017	-0.016	-0.012	-0.013	-0.018	-0.025	-0.00999999999999	-0.006
FLQS22TQGRX2	0.0391410376	0.0380916127	0.0401294701	0.0390414867	0.0389959176	0.0380541058	0.0390299191	0.0750677765	0.0390684776	0.039044992	0.0391087887	0.0350453425	0.0390414867	0.0390803957	0.0691725854	0.0380302696	0.0371431408	0.0400712818	0.0340421877	0.0390709313	0.0380341255	0.0380267643	0.0390432393	0.0349811952	0.0371364807	0.0390428888	0.0380803957	0.0751396355	0.0361000254	0.0370495489	0.0371424397	0.0350369297	0.006798731	0.051790363	0.009797306	0.050790728	0.048790619	0.049785394	0.051790692	0.048785467	0.048786928	0.050781849	0.049791423	0.016790875	0.050790728	0.049786819	0.052793067	0.051788061	0.049789998	0.050791094	0.046785576	0.052790802	0.018783091	0.049791825	0.051788024	0.047784297	0.049792154	0.049786709	0.016779218	0.052794419	0.048788134	0.049791788	0.049791605	0.04779314	0.253	0.246	0.252	0.245	0.246	0.246	0.246	0.234	0.246	0.245	0.246	0.253	0.245	0.246	0.235	0.246	0.247	0.245	0.248	0.245	0.252	0.246	0.246	0.248	0.247	0.245	0.252	0.232	0.247	0.247	0.246	0.247
FLQS21YXGRX2	0.00432253869999	0.0433464827	0.03832321	0.0363784827	0.037407126	0.0033782589	0.0383856435	0.0053699792	0.0053695316	0.0413753498	0.0373343988	0.000383405700006	0.0363784827	0.0383540911	0.0343008324	0.0403856435	0.038312245	0.0053592379	0.0013858673	0.0393592379	0.0373827344	0.0383858673	0.04037714	0.00241630080001	0.0053158254	0.0413775876	0.0053616995	0.0373151541	0.042331266	0.0013724407	0.0383133639	0.0033793778	-0.039325592	-0.039326715	0.001674028	-0.040326669	0.00467329000003	-0.035327423	-0.041326674	-0.036327428	-0.00132723799999	-0.001327941	-0.044326582	-0.036326849	-0.040326669	0.00367277700002	-0.041326346	-0.038327033	-0.042326792	-0.037326818	-0.037327423	-0.000326842999982	-0.073327746	-0.04032652	-0.040327043	-0.036327592	-0.041326705	-0.040327218	-0.039328474	0.00367383400001	-0.040327069	-0.042326536	-0.00232697200002	-0.042326341	-0.219	-0.233	-0.239	-0.23	-0.239	-0.22	-0.231	-0.221	-0.227	-0.239	-0.23	-0.219	-0.23	-0.238	-0.23	-0.232	-0.231	-0.22	-0.219	-0.239	-0.225	-0.232	-0.232	-0.219	-0.219	-0.232	-0.22	-0.238	-0.233	-0.218	-0.237	-0.219
FLQS2AVTGRX5	-0.0237374403	0.0142684594	0.0472626013	-0.0227255579	0.00727813979999	0.0142728634	0.0142757716	0.014271243	0.0142712846	0.0122723648	0.0512648033	0.0162721986	-0.0227255579	0.014269872	0.011258405	0.0462744421	0.0442607732	0.0142709107	0.0122744421	0.0162693319	0.0502735697	0.0472744837	0.015274276	0.0062799679	0.00826143800001	0.015274359	0.0492682932	0.0102627259	0.0482642216	0.0112717831	0.0162606486	0.0472716585	0.013096124	0.013098805	0.00809664499999	-0.034901369	0.00909879100001	0.011100791	0.01009866	0.010100762	0.011100212	0.00710216900001	0.047099008	0.011099153	-0.034901369	0.00810018299998	0.00809771799999	0.00909969	0.04709953	0.042099023	0.010100719	0.010099168	0.010102169	0.008098182	0.00909970399999	0.00910125500002	0.048098689	0.008100197	0.012103734	0.00809715299999	0.00709973299999	0.00809825499999	0.011099545	0.054098342	-0.066	-0.078	-0.09	-0.058	-0.076	-0.079	-0.078	-0.079	-0.079	-0.078	-0.098	-0.079	-0.058	-0.078	-0.077	-0.09	-0.096	-0.085	-0.078	-0.08	-0.091	-0.089	-0.079	-0.076	-0.083	-0.079	-0.092	-0.077	-0.091	-0.077	-0.08	-0.098
FLQS3087GRWV	-0.2097027659	-0.2164646949	-0.2128945802	-0.2142106394	-0.2488819894	-0.2140081687	-0.2143864692	-0.2138216826	-0.2198376671	-0.2101413731	-0.2051982861	-0.2101200604	-0.2142106394	-0.2116351965	-0.2414043881	-0.212381141	-0.2105322643	-0.2487790572	-0.2131946549	-0.249773729	-0.1338802925	-0.2093971255	-0.2131893267	-0.2480844601	-0.2106015305	-0.2141893267	-0.2136298683	-0.2409425337	-0.2121663171	-0.2050667787	-0.2456974377	-0.2150880914	-0.066408079	-0.067410234	-0.068408491	-0.06741021	-0.068410307	-0.068411941	-0.065410186	-0.068411905	-0.040411881	-0.070413201	-0.067410488	-0.069410585	-0.06741021	-0.068411493	-0.066409374	-0.067411045	-0.067410949	-0.069410537	-0.067411941	-0.067410597	-0.034413576	-0.06740981	-0.067411058	-0.068412329	-0.029410646	-0.069411469	-0.06841446	-0.107408939	-0.02641153	-0.069409835	-0.026410912	-0.027409835	0.323	0.325	0.324	0.325	0.336	0.325	0.325	0.325	0.322	0.324	0.321	0.323	0.325	0.324	0.334	0.324	0.323	0.337	0.324	0.338	0.291	0.323	0.324	0.336	0.317	0.325	0.325	0.341	0.316	0.321	0.328	0.318
