SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2473525041	-0.250373098	-0.1793573965	-0.250373098	-0.2463563725	-0.1853573965	-0.1813573965	-0.2473609237	-0.2513573965	-0.2473608099	-0.2513573965	-0.2473610375	-0.2483651335	-0.1813613788	-0.1833573965	-0.3173688882	-0.3173688882	-0.181365361	-0.1863573965	-0.1823573965	-0.3133485218	-0.181365361	-0.1823534143	-0.3113682055	-0.2513534143	-0.2463609237	-0.2483570552	-0.2483650197	-0.1823454498	-0.1813613788	-0.1863534143	-0.1883573965	-0.150954357	-0.201998967	-0.124891072	-0.201998967	-0.198981331	-0.124909228	-0.128963694	-0.199998967	-0.279000005	-0.198980812	-0.138891072	-0.199015566	-0.148975106	-0.201963694	-0.128945539	-0.211983405	-0.211983405	-0.131981849	-0.20301816	-0.133981849	-0.205980293	-0.138963694	-0.129927383	-0.204961619	-0.209000005	-0.196962656	-0.198998967	-0.147955394	-0.134963694	-0.123981849	-0.131963694	-0.20401816	0.06	0.07	0.033	0.07	0.068	0.036	0.035	0.068	0.082	0.068	0.06	0.068	0.06	0.047	0.035	0.094	0.094	0.035	0.048	0.036	0.092	0.036	0.035	0.091	0.072	0.068	0.069	0.061	0.036	0.034	0.037	0.049
FLQS30KBGRWV	0.056281118	0.0240437252	0.0561584077	0.0240437252	0.0252054275	0.0531584077	0.0531549672	0.0541985466	0.0521572609	0.0181996934	0.0551572609	0.0571973998	0.0541549672	0.0551194156	0.053156114	0.0551159752	0.0551159752	0.0260437252	0.0251240029	0.053156114	0.0553178164	0.0530723958	0.0191973998	0.0260873045	0.0541985466	0.0551985466	0.0542375386	0.0561595545	0.0562788244	0.0521182688	0.0552008402	0.0521595545	0.00188305799998	-0.00511652	0.041881618	-0.00511652	0.000883071999993	-0.00111785200002	0.04288348	-0.001116534	0.00288346599999	-0.00211699599998	0.003881686	-0.00211603099999	0.000883520000002	0.00488258300001	0.00388305799999	0.00188319400002	0.00188319400002	0.001883996	-0.00311601799999	0.000883886999986	0.006883031	0.00588350699999	-0.00211740399999	0.00488260999998	-0.043116507	-0.00111745800001	0.000883560999995	0.042882501	0.00688357499999	-0.039115338	-0.00211651999999	-0.040116058	-0.038	-0.026	-0.045	-0.026	-0.028	-0.036	-0.043	-0.037	-0.037	-0.025	-0.039	-0.038	-0.037	-0.039	-0.038	-0.038	-0.038	-0.028	-0.027	-0.037	-0.038	-0.038	-0.025	-0.028	-0.03	-0.037	-0.037	-0.044	-0.039	-0.031	-0.037	-0.03
FLQS30CWGRWV	0.0452959897	0.0172450144	0.0172665443	0.0172450144	0.0452852247	0.0172627449	0.0162665443	0.0432757262	0.0162633782	0.0162766761	0.0172649612	0.0452754096	0.0132652779	0.0152541963	0.0462665443	0.0162545129	0.0162545129	0.0162437479	0.0442636948	0.0442652779	0.0443067547	0.016245331	0.0492763595	0.0142516633	0.0152760428	0.0432754096	0.0452864912	0.0172668609	0.0122969396	0.0182570458	0.0442728767	0.0442614785	-0.043068353	0.00293802000002	0.000972364999996	0.00293802000002	-0.044067291	-0.039040735	0.001923858	-0.043078621	-0.041077559	-0.039065874	0.001985112	-0.006091013	-0.079091013	-0.001053482	0.000948642999987	0.001933772	0.001933772	-0.002090659	-0.047089597	-0.040090305	-0.042067645	-0.00508393200002	-0.001053482	-0.041053482	-0.043078267	-0.040053836	-0.00106587400001	-5.17109999976e-05	-0.042080391	-0.00209526199998	-0.043077559	-0.043089951	0.137	0.14	0.14	0.14	0.138	0.147	0.14	0.139	0.147	0.147	0.141	0.133	0.154	0.141	0.131	0.14	0.14	0.141	0.139	0.138	0.138	0.142	0.13	0.147	0.148	0.139	0.131	0.141	0.149	0.141	0.138	0.139
FLQS30C7GRWV	-0.0702299056	-0.0725397026	-0.0704136835	-0.0725397026	-0.0692894147	-0.0704136835	-0.0694119332	-0.0703524242	-0.0143156686	-0.0593506739	-0.0143156686	-0.0713541745	-0.0704136835	-0.0594731925	-0.0694119332	-0.0594731925	-0.0594731925	-0.0705362021	-0.0694119332	-0.0694119332	-0.0701686464	-0.0424871946	-0.0713541745	-0.0584731925	-0.0703524242	-0.0573506739	-0.0702911649	-0.0584154338	-0.0712316559	-0.0143769279	-0.0683489237	-0.068410183	-0.079766175	-0.075766794	-0.079764079	-0.075766794	-0.077766135	-0.078764758	-0.075766794	-0.077766834	-0.072766734	-0.067766155	-0.07276394	-0.074767473	-0.074766774	-0.063765397	-0.075766096	-0.060766116	-0.060766116	-0.076767513	-0.072767433	-0.073767453	-0.076766116	-0.031765916	-0.077765437	-0.061765417	-0.075766794	-0.063765477	-0.076766814	-0.059766135	-0.075766794	-0.072767433	-0.069766674	-0.071767413	0.084	0.084	0.084	0.084	0.083	0.083	0.083	0.083	0.064	0.077	0.064	0.083	0.083	0.077	0.083	0.077	0.077	0.083	0.082	0.082	0.082	0.067	0.083	0.076	0.083	0.077	0.083	0.076	0.083	0.064	0.081	0.081
FLQS29JFGRX5	0.0905187444	0.0915330768	0.056530308	0.0915330768	0.0905215946	0.057527295	0.0915276207	0.058527295	0.0595271321	0.0595271321	0.132524119	0.060527295	0.0905277021	0.0575304709	0.0905274578	0.0905303895	0.0905303895	0.1335298194	0.0925268878	0.133524119	0.0585185815	0.0615358455	0.0895246076	0.0905300637	0.0595272135	0.0595273764	0.0575246076	0.0895277021	0.0585215946	0.060532751	0.0905242005	0.0605294122	0.03789742	0.046895379	0.036904637	0.046895379	0.03989742	0.038902377	0.045895233	0.042895087	0.043895087	0.042897493	0.041905075	0.040892681	0.044895014	0.040900336	0.042897639	0.039896983	0.039896983	0.043892317	0.03989239	0.035892317	0.040897566	-0.00310819399999	0.000897054999996	0.038899972	0.04189516	0.041900045	0.04289516	0.043897639	0.042895014	0.041892098	0.033894577	0.038892463	0.212	0.211	0.225	0.211	0.213	0.223	0.212	0.223	0.222	0.223	0.199	0.223	0.212	0.224	0.212	0.213	0.213	0.197	0.212	0.199	0.223	0.229	0.219	0.213	0.223	0.223	0.223	0.213	0.223	0.223	0.213	0.223
FLQS22XEGRX2	0.00622723549999	0.0082404174	0.00523552729999	0.0082404174	0.0082296451	0.0052347478	0.00923531470001	0.0072326925	0.0372324799	0.0052326217	0.0052352439	0.0082326925	0.00923545649999	0.00623772429999	0.0082351021	0.0392354565	0.0392354565	0.0412380787	0.0382324799	0.00923510210001	0.0072248259	0.0112404174	0.00923255079999	0.0362349604	0.00623255079999	0.00623269249999	0.0082301412	0.0082353856	0.007227519	0.00923765350001	0.0102317003	0.0362322673	-0.034811066	-0.00081115499998	-0.041815264	-0.00081115499998	-0.033810976	-0.037814013	-0.000810975999997	0.003190676	0.00718866600002	-0.041810753	-0.038815577	-0.033807984	0.040189202	0.000185629000015	-0.000812583999988	0.045187416	0.045187416	0.049190274	-0.037807894	0.04119023	0.00318719200001	0.043188756	-0.00081227199999	0.00418554000001	-0.040809413	0.001185674	0.040188845	-0.042810619	0.000188710999993	0.00119085499998	0.00518866600001	-0.033808073	0.0	-0.00599999999999	0.001	-0.00599999999999	-0.002	0.001	-0.00700000000002	-0.00699999999999	-0.018	0.001	0.001	-0.000999999999976	-0.013	-0.00599999999999	-0.00699999999998	-0.024	-0.024	-0.025	-0.011	-0.013	-0.00699999999999	-0.014	-0.00700000000001	-0.017	0.001	-0.006	-0.013	0.0	-0.00700000000001	-0.00699999999999	-0.008	-0.01
FLQS22TQGRX2	0.0383806393	0.0413145231	0.0363412586	0.0413145231	0.0393679941	0.040343065	0.037340536	0.0363546264	0.0393427038	0.0403553489	0.0403423425	0.0373542651	0.0383408973	0.0363286134	0.0413419812	0.041329336	0.041329336	0.0363148844	0.0403434263	0.0413416199	0.0383929232	0.0373145231	0.0393549877	0.0413304199	0.0373546264	0.0373546264	0.0373658264	0.0433408973	0.0403799167	0.0183278908	0.0393567941	0.0403434263	0.055801394	0.054802434	0.05479772	0.054802434	0.05380129	0.052798725	0.054802573	0.052802608	0.055802504	0.052801325	0.103796021	0.052803717	0.053802677	0.054800112	0.054801256	0.053801464	0.053801464	0.05380396	0.052803613	0.053803613	0.05780136	0.053802608	0.053800112	0.052800042	0.055802434	0.05380032	0.0538024	0.05280136	0.052802642	0.054804064	0.05580233	0.056803578	0.247	0.246	0.247	0.246	0.246	0.246	0.247	0.248	0.246	0.246	0.238	0.247	0.247	0.247	0.246	0.246	0.246	0.247	0.246	0.245	0.247	0.247	0.247	0.246	0.247	0.247	0.247	0.246	0.246	0.253	0.246	0.245
FLQS21YXGRX2	0.0062205741	0.0382563093	0.0082469053	0.0382563093	0.00722856749999	0.00824525960002	0.0362400874	0.0372311536	0.0342389119	0.0352311536	0.0382393821	0.0092379715	0.0352403225	0.0362483159	0.0342396172	0.0352478457	0.0352478457	0.0372563093	0.0372377364	0.0362396172	0.0372052926	0.0112631272	0.00823773640001	0.0372466702	0.0362309185	0.00823820660001	0.008229743	0.00824643510001	0.0382142264	0.0362483159	0.00823585560001	0.008243849	-0.041645516	-0.043645431	-0.049645761	-0.043645431	-0.042645518	-0.047645687	-0.044645431	-0.042645429	-0.045645426	-0.043645518	-0.043645779	-0.048645329	-0.041645424	-0.041645618	-0.044645518	-0.042645505	-0.042645505	-0.041645334	-0.043645342	-0.040645344	-0.042645518	-0.047645411	-0.04864559	-0.046645608	-0.042645439	-0.046645595	-0.047645421	-0.052645495	-0.041645434	-0.037645324	-0.043645434	-0.043645349	-0.221	-0.23	-0.22	-0.23	-0.22	-0.22	-0.231	-0.231	-0.23	-0.23	-0.231	-0.22	-0.231	-0.231	-0.23	-0.23	-0.23	-0.231	-0.23	-0.231	-0.231	-0.221	-0.22	-0.23	-0.23	-0.221	-0.221	-0.219	-0.232	-0.231	-0.221	-0.221
FLQS2AVTGRX5	0.0135601842	0.0155666282	0.0125642751	0.0155666282	0.0135614151	0.0135640217	0.0115642027	0.0125628632	0.0125639855	0.0145627908	0.0125642389	0.0135629356	0.0125642389	0.0145654698	0.0115642027	0.0135653974	0.0135653974	0.0135666644	0.0115638769	0.0125641665	0.0115589896	0.0125668455	0.014562827	0.0125652888	0.0135628632	0.0135629356	0.0445616323	0.0115642389	0.012560329	0.0135654336	0.0135625012	0.0135637683	-0.039866742	0.047133446	-0.040865315	0.047133446	-0.039866742	-0.039865773	-0.038867173	0.00513288100001	-0.037867173	-0.039866702	0.00313522399998	0.00213297500002	-0.037867173	-0.039866217	0.047133864	0.00113316299999	0.00113316299999	0.004132301	0.004132328	0.044132961	-0.037866715	0.000132812999993	-0.040866271	-0.036866217	-0.042867146	-0.040866298	-0.033867119	0.000133822999999	-0.037867187	0.00213227500001	0.00313278600001	0.00313234199999	-0.07	-0.084	-0.069	-0.084	-0.069	-0.07	-0.069	-0.076	-0.069	-0.07	-0.077	-0.077	-0.07	-0.07	-0.084	-0.076	-0.076	-0.077	-0.076	-0.083	-0.07	-0.076	-0.07	-0.07	-0.069	-0.07	-0.081	-0.076	-0.07	-0.077	-0.077	-0.076
FLQS3087GRWV	-0.0956805401	-0.1256013287	-0.1902067051	-0.1256013287	-0.1868226047	-0.1252330133	-0.1952330133	-0.1170067624	-0.2648646979	-0.1860015007	-0.1181961818	-0.1950488556	-0.1912119667	-0.265417171	-0.1861856585	-0.1950488556	-0.1950488556	-0.1256013287	-0.1042330133	-0.1181961818	-0.054128067	-0.1952330133	-0.118012024	-0.125417171	-0.1246805401	-0.1250488556	-0.1948646979	-0.1902067051	-0.1246805401	-0.265417171	-0.2650488556	-0.1252330133	-0.059157691	-0.077157226	-0.078158143	-0.077157226	-0.094157465	-0.077158622	-0.077157226	-0.147156295	-0.007157226	-0.100157386	-0.145158183	-0.147156761	-0.148156282	-0.00715815700002	-0.098157412	-0.077157691	-0.077157691	-0.077156761	-0.057156761	-0.095156521	-0.077157691	-0.077156295	-0.146157239	-0.077158157	-0.077157226	-0.077158157	-0.077157226	-0.148156747	-0.077157226	-0.007156761	-0.007157226	-0.077156761	0.276	0.288	0.311	0.288	0.312	0.289	0.312	0.297	0.323	0.313	0.298	0.324	0.322	0.324	0.312	0.312	0.312	0.289	0.279	0.289	0.265	0.312	0.298	0.289	0.289	0.289	0.311	0.322	0.289	0.324	0.324	0.289
