SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2542111805	-0.2552215918	-0.255229274	-0.256218054	-0.2562145161	-0.2552109783	-0.2562214907	-0.2572183572	-0.2562250286	-0.2572147183	-0.2532110794	-0.2472208843	-0.2562328118	-0.2532110794	-0.2582186605	-0.2552110794	-0.2532214907	-0.2562182561	-0.2562221983	-0.2572251297	-0.2552215918	-0.2552179529	-0.257218054	-0.2582289708	-0.2562211875	-0.2572294762	-0.2552319021	-0.2582324075	-0.2582356421	-0.25723918	-0.2582287686	-0.254231801	-0.192922722	-0.189922722	-0.191922722	-0.192960668	-0.190959629	-0.192939876	-0.189940396	-0.190971064	-0.187922722	-0.193941955	-0.191921163	-0.140860866	-0.186960148	-0.194941435	-0.188934678	-0.192921683	-0.159924282	-0.191923242	-0.19195547	-0.188953911	-0.189988738	-0.189940396	-0.193978342	-0.198019926	-0.156065149	-0.195042278	-0.19406307	-0.194039159	-0.195046956	-0.195032401	-0.196019926	-0.193104654	0.065	0.065	0.066	0.066	0.066	0.066	0.066	0.066	0.065	0.066	0.065	0.056	0.065	0.065	0.066	0.066	0.06	0.066	0.067	0.065	0.065	0.065	0.067	0.067	0.06	0.066	0.066	0.067	0.066	0.067	0.068	0.065
FLQS30KBGRWV	0.047962471	0.0468436542	0.0467591114	0.0488847831	0.047925912	0.0499670409	0.0478447967	0.0478813557	0.0478048102	0.0489224846	0.048962471	0.0508436542	0.0487202675	0.0489636135	0.0478790708	0.047964756	0.0488425117	0.0478813557	0.0488379418	0.0478048102	0.0488425117	0.047887068	0.0488847831	0.0467613964	0.0498482241	0.045755684	0.0467259798	0.0477248373	0.0476894208	0.0496482919	0.0457613964	0.0487282648	0.00490446299997	0.008904503	0.008904556	0.00490541600001	0.00490542900002	0.00390490000001	0.000904953000003	0.00490580000002	0.00390450299997	0.00390496599999	0.00390444999999	0.00490358999997	0.004905495	0.00390496599999	0.00690488700002	0.00390446299997	0.003904979	0.00490450299998	0.00390541600001	0.00690537600002	0.00490626300001	0.00390491299999	0.00290586599999	0.00790733399998	0.004908935	0.00290767799999	0.00890839299998	0.00790779799999	0.00990795600001	0.004907626	0.00290716200001	0.00990920000001	-0.036	-0.037	-0.036	-0.037	-0.037	-0.036	-0.035	-0.037	-0.036	-0.036	-0.037	-0.037	-0.036	-0.037	-0.037	-0.036	-0.036	-0.037	-0.037	-0.036	-0.036	-0.036	-0.036	-0.036	-0.037	-0.035	-0.036	-0.037	-0.037	-0.037	-0.036	-0.037
FLQS30CWGRWV	0.0484870809	0.0474528398	0.0504342793	0.0484646802	0.0484758806	0.050487721	0.0484534799	0.0494669203	0.0484416395	0.0524768406	0.0494870809	0.0504541199	0.0534233989	0.0494874009	0.0494662803	0.0164768406	0.0484531599	0.0484643602	0.0504560399	0.0494435596	0.0494544399	0.0134541199	0.0484646802	0.0504329992	0.0524550799	0.0524333192	0.0514214789	0.0504224389	0.0524109185	0.0193888378	0.0494323592	0.0504208388	0.00491339500002	0.00291126600001	0.00190878200002	0.00388749000001	0.00488749000002	0.00390239399999	0.00089955499999	0.00586868300002	0.00491268500002	0.035911266	0.00291339500001	0.004937525	-0.00111499400001	0.004900265	0.004893168	-0.00208837900001	0.0018992	0.000911975000008	0.007886071	0.00588216700001	0.00285661700002	-0.00410044500001	0.00187578000001	-0.00418206200001	0.037800195	-0.001178869	-0.005203709	-0.00519412799997	-0.00519199799999	-0.004177449	0.000823261000022	-0.000215419	0.129	0.13	0.13	0.129	0.13	0.129	0.131	0.129	0.129	0.124	0.13	0.129	0.129	0.13	0.129	0.142	0.13	0.13	0.129	0.129	0.129	0.142	0.131	0.131	0.124	0.13	0.131	0.13	0.13	0.141	0.13	0.13
FLQS30C7GRWV	-0.0600358368	-0.0612233194	-0.0623314825	-0.0621602243	-0.0600935237	-0.0600322313	-0.0602215167	-0.062149408	-0.0622882173	-0.0630971292	-0.060034034	-0.061219714	-0.0623963803	-0.0610358368	-0.0641530134	-0.0590322313	-0.0612251221	-0.0601602243	-0.0622088977	-0.0622810064	-0.063219714	-0.0621584216	-0.0621602243	-0.0653404961	-0.0652125031	-0.0653459042	-0.0654144075	-0.0664071966	-0.0654720945	-0.0615333869	-0.0633441015	-0.0614144075	-0.066846859	-0.064846839	-0.073847136	-0.064848144	-0.064848243	-0.071847551	-0.062847432	-0.063849191	-0.06384674	-0.099847551	-0.032846206	-0.066845436	-0.065848322	-0.06884763	-0.065847808	-0.068846898	-0.06984759	-0.067846879	-0.064848381	-0.06284842	-0.061849804	-0.071847491	-0.065848836	-0.096851504	-0.060853461	-0.062851899	-0.064852789	-0.058852236	-0.060851998	-0.059851346	-0.059851425	-0.062853837	0.077	0.077	0.079	0.077	0.076	0.078	0.076	0.077	0.077	0.082	0.071	0.077	0.078	0.078	0.078	0.077	0.078	0.077	0.077	0.076	0.077	0.078	0.077	0.083	0.078	0.078	0.078	0.078	0.078	0.076	0.077	0.076
FLQS29JFGRX5	0.0978604675	0.0528690336	0.1008765062	0.0688658441	0.0668626546	0.0528594651	0.0468695804	0.1088658441	0.0528722232	0.0528626546	0.0528594651	0.0528690336	0.0988796957	0.0528594651	0.0398670288	0.0528594651	0.0528690336	0.0418668465	0.0408701272	0.0528722232	0.0998697627	0.0478662998	0.045866482	0.0528754127	0.0528690336	0.0408765062	0.0508787844	0.1058786022	0.0538817006	0.0528849812	0.0468759594	0.0528786022	0.040505658	0.039508865	0.032504784	0.082503764	0.087503764	0.039506314	-0.00649703799999	0.076501213	0.039508865	-0.030493686	0.109513966	0.039513966	0.035499464	0.039506314	-0.00649703799999	0.039508865	0.039506314	-0.008494633	-0.008499734	0.039503764	0.038495602	-0.00649703799999	-0.00550206599999	0.039493561	-0.03051409	0.003488387	-0.00251460000001	0.00949101099999	-0.00751241400002	-0.00350957200001	0.01449174	0.039483359	0.212	0.226	0.212	0.214	0.214	0.226	0.235	0.202	0.226	0.237	0.216	0.226	0.211	0.226	0.238	0.226	0.226	0.237	0.237	0.226	0.211	0.235	0.236	0.227	0.237	0.235	0.234	0.213	0.233	0.232	0.232	0.226
FLQS22XEGRX2	0.0373089912	0.0403176151	0.0383241253	0.0403146559	0.0403115277	0.0383087376	-0.00968246939999	0.041314825	0.0393205743	0.0383119504	0.0373090758	0.0383178688	0.0403270845	0.0383089912	0.0413150787	0.0383088221	0.0403176997	0.0393149096	0.0393181224	-0.0126792566	0.0403176997	-0.00868551319999	0.0403146559	-0.011676382	-0.00868255399999	0.0393241253	-0.0096735919	-0.0116734228	0.0383292827	0.040332411	-0.0126762974	0.003326239	0.007395906	0.00839595100001	0.005396217	0.00639910499999	0.005399238	0.00839728299999	-0.047602805	0.00740021600001	0.00939581700001	0.00639759399999	0.00739586200001	0.008392929	0.006399327	0.00939759399998	0.00839719499999	0.00739586200001	0.009397506	0.00739608400002	0.00839888300001	-0.045601339	0.00540186000001	-0.048602761	0.00540065999999	-0.050594897	-0.083588766	0.00940652499997	-0.069590943	-0.054593164	0.012407636	0.00540688000001	-0.03859543	0.001412034	-0.017	-0.019	-0.018	-0.018	-0.018	-0.018	0.00599999999997	-0.019	-0.019	-0.018	-0.017	-0.018	-0.019	-0.018	-0.018	-0.018	-0.018	-0.018	-0.019	0.006	-0.018	0.006	-0.018	0.008	0.012	-0.018	0.00999999999999	0.00800000000001	-0.019	-0.018	0.006	-0.005
FLQS22TQGRX2	0.0389270454	0.0398893158	0.0418612036	0.0399022622	0.0409155785	0.040928525	0.0398900556	0.0419007826	0.0388759995	0.0379140989	0.0409281551	0.0388889459	0.0428482571	0.0379270454	0.0408996729	0.040928525	0.0388893158	0.0409022622	0.0418870964	0.0408767393	0.039888576	0.038903002	0.0399026321	0.0398608337	0.0408889459	0.0428600939	0.0388489969	0.0418482571	0.0408371602	0.0408242138	0.0418623133	0.0388493668	0.015941029	0.018941029	0.012940754	0.018943432	0.015943466	0.012942265	0.020942093	0.017944153	0.016941063	0.016942162	0.048939793	0.018938592	0.00994346600001	0.016942231	0.018941922	0.046939828	0.018942093	0.049939931	0.013943123	0.015943054	0.018945457	0.017942162	0.018944462	0.006947586	0.011951979	0.045947689	0.00795053799999	0.047947517	0.00694933600002	0.014948409	0.010947414	0.00795335200002	0.253	0.253	0.253	0.253	0.253	0.253	0.252	0.252	0.253	0.253	0.247	0.252	0.253	0.253	0.252	0.248	0.253	0.247	0.252	0.252	0.252	0.253	0.252	0.254	0.253	0.247	0.255	0.247	0.254	0.253	0.253	0.255
FLQS21YXGRX2	0.0396385354	0.0026639278	0.0386724733	0.0016553823	0.0026461043	0.0396380471	0.0036634395	0.0406553823	0.0386729616	0.0396470809	0.0396387796	0.0046631953	0.0376900526	0.0396387796	0.0386558706	0.0386390237	0.0036634395	0.0406558706	0.0396631953	0.0376631953	0.0746553823	0.0386458601	0.0396553823	0.0746722291	-0.0003360722	0.0396815071	0.0736807746	0.0386815071	0.0376893201	0.0377076319	0.0026810188	0.002689076	-0.041698994	-0.041699	-0.044698975	-0.042698858	-0.042698852	-0.00469900000002	-0.041698946	-0.00769882499998	-0.038699002	-0.042698919	-0.040698996	-0.039699196	-0.040698822	-0.00669898300001	-0.035698919	-0.00969905400001	-0.042698919	-0.038698992	-0.038698837	-0.00769891600001	0.00530122399999	-0.036699002	-0.00869884299999	0.00930137600002	-0.068698315	-0.037698457	-0.00469845000001	-0.03769853	-0.00469851899999	-0.00969858399998	-0.057698595	-0.070698248	-0.232	-0.22	-0.231	-0.22	-0.22	-0.237	-0.22	-0.237	-0.232	-0.231	-0.232	-0.221	-0.232	-0.237	-0.233	-0.236	-0.22	-0.233	-0.232	-0.237	-0.25	-0.232	-0.237	-0.251	-0.215	-0.233	-0.248	-0.232	-0.237	-0.236	-0.217	-0.216
FLQS2AVTGRX5	0.0118488811	0.0128521377	0.0108546918	0.00985108409999	0.0118499347	0.0108487854	0.0118521377	0.00885124369999	0.011853287	0.0118499986	0.0108488811	0.0128522015	-0.0071441589	0.0118488492	-0.0041487244	0.00884888109999	0.0118522015	0.0108510841	0.010852425	0.010853287	0.0118522334	0.0138509244	0.00985108409999	0.0108545641	0.0148521057	0.0138547556	0.0148555219	0.0118557134	0.0128566393	0.0138577248	0.0128545002	0.0118554899	0.010087452	0.021087531	0.048087478	0.014086522	0.012086522	0.00908702700002	0.015087053	0.01508627	0.021087531	0.011086987	0.012087491	0.014088381	0.012086535	0.012086987	0.024087159	0.00908747799997	0.014087	0.013087465	0.015086708	0.019086748	0.012085805	0.013087027	0.012086071	0.00708520700002	0.00708345500001	0.01108445	0.00508397200002	0.00708465	0.007084384	0.012084769	0.011085154	0.01108283	-0.077	-0.079	-0.082	-0.077	-0.077	-0.077	-0.078	-0.077	-0.079	-0.077	-0.077	-0.079	-0.071	-0.078	-0.074	-0.076	-0.077	-0.077	-0.077	-0.078	-0.077	-0.078	-0.076	-0.076	-0.078	-0.078	-0.077	-0.077	-0.077	-0.077	-0.078	-0.077
FLQS3087GRWV	-0.0674451617	-0.1242785139	-0.1293566407	-0.1840962181	-0.1249139223	-0.1127264181	-0.1262837224	-0.1830910097	-0.0691743449	-0.1239191308	-0.0674451617	-0.1152837224	-0.1868358183	-0.124736835	-0.1851014266	-0.1127264181	-0.1242785139	-0.1230962181	-0.1842785139	-0.1291743449	-0.1832733055	-0.1240910097	-0.1240910097	-0.1846431056	-0.182268097	-0.1266431056	-0.1295389365	-0.1295389365	-0.0737212323	-0.127189993	-0.0703566407	-0.1295389365	-0.002054985	-0.047053904	-0.007054985	-0.156052972	-0.077052999	-0.079053539	-0.119053012	-0.07705262	-0.075054039	-0.078053485	-0.00305498500001	-0.086054863	-0.086052972	-0.077053499	-0.081053512	-0.079054012	-0.082053445	-0.079053944	-0.077053093	-0.077053093	-0.076052161	-0.081053499	-0.080052512	-0.06905131	-0.143049837	-0.079050756	-0.077050256	-0.077050729	-0.067050729	-0.071051188	-0.079051202	-0.07704931	0.253	0.278	0.274	0.314	0.282	0.278	0.29	0.302	0.264	0.282	0.253	0.281	0.303	0.283	0.303	0.279	0.283	0.282	0.303	0.284	0.302	0.283	0.283	0.3	0.311	0.283	0.284	0.284	0.265	0.282	0.266	0.284
