SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.0113834871	0.1483623759	0.0632870307	0.5153878549	0.2053088699	0.4053685636	0.000278659000001	0.1524158819	-0.0566853063	0.396358736	0.2103732955	0.2383274332	0.2043732955	0.1362859387	0.0163485444	0.0742877587	-0.0567835826	0.0633267052	0.0033150576	0.1373099618	0.0642753831	0.0113470884	0.1303343489	0.1562666475	0.1302542719	0.2173623759	0.0733496363	0.2972637356	0.4563696556	-0.1307599235	-0.0667897704	0.3823776633	-0.116404627	-0.371475604	0.470620979	-0.173475006	-0.052366742	-0.193370336	0.542630712	-0.446506002	0.406623375	0.446664853	-0.312389054	0.184561232	0.206624423	0.281622476	0.147628616	-0.046363149	-0.116352217	0.398602411	0.069594325	0.018612593	0.144603908	0.273657516	0.470623524	-0.438393396	0.341618882	-0.302381267	0.339623225	-0.653389503	0.859685817	0.539634905	0.996686416	0.586654371	0.684	0.763	0.681	0.931	0.774	0.878	0.646	0.768	0.625	0.842	0.789	0.78	0.762	0.725	0.674	0.71	0.651	0.684	0.67	0.737	0.697	0.665	0.713	0.769	0.72	0.792	0.692	0.846	0.852	0.584	0.593	0.828
FLQS30KBGRWV	-0.3078149768	-0.3188236067	0.3394266592	-0.1161096249	-0.1088174425	-0.196866756	-0.0610972965	-0.1816584065	0.2162651576	0.0053403606	0.0143835099	-0.1145301915	-0.0585326571	0.0790136588	-0.186866756	0.0191825575	0.0721800918	0.0533761129	-0.1175770393	-0.339078804	0.0130592738	-0.2458642903	0.1475006295	0.0131800918	-0.1888519619	0.0705807639	0.1463132382	-0.1159086725	0.0761381754	-0.1240738726	-0.112154007	-0.1871651026	-0.395916199	-0.340920275	0.242044664	-0.270911986	-0.00495723799999	0.636017893	0.323989628	-0.281972594	-0.419956423	0.048012729	-0.151973138	0.249010555	0.654041675	-0.405930331	0.724928476	-0.221986999	0.039011778	1.583944103	-0.025974361	1.787916381	0.315015583	-0.345017031	0.054024824	-0.077986319	0.507011914	0.17999384	-0.075967294	0.052018165	-0.153987542	0.655941386	-0.399925575	-0.076986999	-0.137	-0.145	0.145	-0.051	-0.06	-0.133	-0.053	-0.082	0.116	-0.00700000000001	0.00599999999997	-0.074	-0.069	0.049	-0.132	0.012	0.026	-0.057	-0.064	-0.256	-0.016	-0.11	0.06	0.00200000000001	-0.123	0.018	0.066	-0.066	0.036	-0.098	-0.043	-0.0939999999999
FLQS30CWGRWV	0.0420386906	0.4040239542	0.1359267941	0.2069809939	0.0739240466	0.0048993195	0.126922548	0.1210239542	0.1359784963	0.1289075618	0.3270164612	0.3210149625	-0.0640647138	-0.0060906898	0.2649984778	0.0749440281	0.2039934824	0.0040162114	0.0079587645	0.0619055637	-0.006051476	0.1399847405	0.0029085609	0.1269725018	0.0059188014	0.193991734	0.1989832419	0.0659045646	0.0689342871	0.0689245461	-0.1171091727	0.1980044722	0.849020425	0.056023157	-0.055003054	-0.957030801	0.075053551	-0.125970611	0.251017778	0.37803417	-0.188001773	0.868102045	0.009024096	0.259044672	0.136009496	-0.054012958	-0.062961219	0.085027426	-0.379987686	0.197024779	-0.273906237	0.545081128	0.531064308	-0.188948925	0.00704245200002	0.063042452	0.209050648	0.132049538	0.386052441	0.149085994	0.201044501	0.211054149	-0.052967366	-0.197963439	-0.023	0.192	0.068	0.146	0.0309999999999	0.00799999999998	0.0479999999999	0.039	0.075	0.02	0.156	0.141	-0.039	-0.000999999999976	0.129	0.0309999999999	0.116	-0.00900000000001	0.016	0.00299999999999	-0.029	0.076	0.0	0.057	-0.00800000000004	0.087	0.076	0.024	0.022	0.022	-0.055	0.105
FLQS30C7GRWV	0.2134069856	0.134445062	-0.2458265019	-0.2538631414	-0.0625987618	-0.1176605461	0.2713480749	0.0103645987	0.0713602881	0.2104536831	0.0674292567	0.1414285383	0.0223904619	-0.0638825388	-0.1898085413	-0.1857345437	0.2034486541	-0.1987165831	0.2244026751	0.1393071248	-0.1927661543	-0.1187618438	0.0063538223	-0.1807374174	0.0812439036	0.0144508094	0.0683337065	0.2063028143	-0.118755378	-0.1157862702	0.0711548192	-0.2117022147	7.48589999944e-05	0.271089072	-0.183944953	0.210095361	0.67610742	-0.30997269	-0.000962438999991	-0.054939009	-0.18392626	-0.195884138	0.472095102	0.343134037	-0.854977858	0.268049965	-0.046911875	-0.053913253	0.343133434	0.675141531	0.130113191	0.07809493	0.079101476	0.012134296	-0.122921264	0.013091226	-0.657901538	0.207110521	0.265112761	-0.183893958	0.070098203	-0.322891805	0.005115086	0.465069691	0.099	0.048	-0.114	-0.137	-0.066	-0.045	0.128	0.00399999999996	0.04	0.107	0.00600000000003	0.0479999999999	0.0480000000001	-0.048	-0.093	-0.091	0.077	-0.132	0.099	0.0599999999999	-0.101	-0.061	0.00599999999997	-0.092	0.066	-0.00700000000001	0.0170000000001	0.105	-0.065	-0.044	0.031	-0.129
FLQS29JFGRX5	-0.2057150797	-0.3387160682	-0.0697138716	-0.0617259531	0.1422930478	0.2602886545	-0.0057303463	0.0583006262	-0.3297278202	-0.1997353986	-0.0047169469	0.0002816253	0.1272971116	0.0492543871	0.067282504	0.000300735999998	-0.2087291382	-0.4647315545	0.0722934871	-0.1387545093	-0.1867171665	0.0042755846	0.0062856891	-0.0737362772	0.0722901922	-0.082700582	-0.1327026688	-0.2117518733	-0.1367319938	-0.2057364969	-0.1367307857	-0.2687237564	0.619801912	0.221749169	0.148726005	0.00975458500001	-0.998256164	-0.256267579	0.073731921	0.550771666	0.077727089	0.083753169	0.141721423	0.209814577	0.141733338	1.552827992	0.411753169	0.211751669	0.871796663	0.399754585	-0.379227417	0.429813328	-0.379283327	-0.518234916	-0.790244832	-0.381243082	-0.522236666	1.001807328	0.281750086	0.938809078	0.216774333	0.742783415	0.418773833	-0.509247915	-0.13	-0.176	-0.041	-0.03	0.117	0.139	-0.00700000000001	0.00100000000003	-0.165	-0.101	-0.00900000000001	-0.00999999999999	0.055	-0.049	0.013	-0.011	-0.143	-0.245	0.053	-0.087	-0.073	0.027	0.041	-0.0170000000001	0.06	-0.089	-0.078	-0.147	-0.076	-0.135	-0.087	-0.105
FLQS22XEGRX2	-0.0626547062	-0.0646561	-0.3066791965	0.1983490769	-0.0656965189	-0.0657032886	-0.0036692411	0.2203849163	0.1493755582	-0.5256947269	-0.0236483347	-0.361645149	-0.1456738206	-0.0297066734	-0.1366889528	-0.12866725	0.0603444974	-0.0246614759	-0.0706549053	0.0833060695	-0.0826756125	-0.1396889528	-0.0696829795	0.3353582358	-0.0246744179	-0.1376684447	-0.1986716304	-0.0017230003	-0.2297072707	-0.2476793956	-0.071696718	-0.0306071194	-0.010726947	-0.141723074	-0.781658971	-0.216713577	-0.405700582	-0.145706455	-0.013658721	0.59429467	-0.659651724	0.907197954	1.500210699	-0.852623359	1.787322035	-1.521642102	0.316212949	-0.534694459	0.055246062	1.098268554	-0.069741817	-0.596666969	0.56126718	0.252204077	0.242218072	-0.457686712	1.225223195	-0.011744691	-0.072669343	0.182244937	-0.623659846	-0.908670217	-0.195671842	0.733250311	0.643	0.648	0.562	0.778	0.659	0.647	0.672	0.75	0.776	0.375	0.588	0.54	0.514	0.73	0.592	0.636	0.699	0.607	0.641	0.74	0.606	0.593	0.627	0.856	0.602	0.606	0.58	0.663	0.591	0.596	0.647	0.622
FLQS22TQGRX2	0.2662420515	-0.2198133339	0.0142058306	0.0111588777	-0.2518098842	-0.1238278988	0.221188391	-0.3328487881	0.0462286363	0.1752284447	0.0022361105	0.0632234619	-0.1298141004	0.1441736343	-0.0647774963	-0.1548219579	0.0222180959	0.0731995063	-0.0027957025	-0.1928091177	0.1252213538	0.1952221204	-0.2637974273	-0.1248209996	0.0101993147	0.1342179042	0.0122117716	0.0451609858	-0.0118022185	0.076179192	-0.3248489798	-0.1978232994	-0.032768426	-0.010756351	-0.343686614	-0.608725709	-0.269776426	-1.217716501	-1.000734766	-0.208805106	0.9112038	1.086180253	-0.073755898	0.105236253	0.188238668	-0.130897786	-0.022752728	1.121189611	-1.005742766	-0.344726313	0.045231725	-0.21772586	0.050213309	-0.08678337	-0.096745634	0.103229913	-0.207762389	-0.271732652	-0.402747596	0.846084554	0.591267348	-0.345768577	-0.06174186	0.04722946	0.128	-0.108	0.021	0.032	-0.111	-0.00399999999996	0.151	-0.152	-0.023	0.031	0.00299999999999	0.023	-0.073	0.073	-0.0309999999999	-0.129	0.056	0.05	-0.005	-0.085	0.056	0.097	-0.125	-0.067	0.013	0.075	0.023	-0.0190000000001	-0.036	0.05	-0.155	-0.0989999999999
FLQS21YXGRX2	0.4463135982	-0.000659600299999	-0.0676645092	-0.3356430115	0.1223397226	-0.3296545785	-0.12264493	0.1853171529	0.181324488	0.6013201434	0.0013333467	-0.0656626472	0.0673372964	0.0693429952	-0.001655312	-0.0626649042	0.4533209333	-0.0696665969	0.1333389327	0.003343503	0.1243337981	0.0683411332	-0.0056569484	-0.0026535065	-0.2486593182	0.2083275914	0.0593299612	-0.12965345	-0.2826511366	0.0713427131	-0.004652773	-0.0606748349	0.21895854	0.121027455	0.702865627	0.250897247	0.571884599	0.054918651	-0.215060431	0.488952378	0.296928704	-0.65797287	0.050929029	-0.07507989	-0.415085403	-0.076029785	0.176952703	0.182965999	-0.495066918	0.765886058	-0.152074701	-0.422091727	0.495886545	-0.151100159	0.239948811	0.300925137	-0.530057026	-0.939004814	0.691885572	-0.216006597	1.033824927	-0.408021839	-0.023034812	0.250904057	0.204	-0.00600000000003	-0.068	-0.175	0.0309999999999	-0.162	-0.049	0.065	0.073	0.322	-0.00299999999999	-0.028	0.052	0.036	-0.00999999999999	-0.039	0.242	-0.072	0.071	0.02	0.035	0.04	-0.015	-0.016	-0.095	0.145	-0.00500000000005	-0.053	-0.186	0.053	-0.00200000000001	-0.042
FLQS2AVTGRX5	0.1175513216	-0.404401236	0.0585739591	0.058587084	-0.0064173713	0.051595272	-0.1364162876	0.0575732366	-0.0634196591	-0.0124172508	-0.1294319411	0.0635861207	-0.0044064138	0.0635981619	-0.1343976237	0.0015893718	0.1905738387	0.1215781735	-0.070418455	0.0685897331	-0.1384136385	0.000585277799999	-0.0014182141	-0.0044095445	-0.3333902785	-0.0644185754	0.0615772102	0.2565921413	-0.1383899173	0.1925827492	-0.0023926868	-0.0124159263	0.395096643	0.400074512	-0.185956439	-0.319951023	0.401100821	0.472100125	0.204023288	0.074064453	0.201085887	0.40610825	0.071029014	0.075103452	0.472090994	0.144065923	0.342103684	-0.054923011	0.202103529	0.466105541	0.271106625	0.201089756	0.071090298	0.336099041	0.205090762	0.271101363	0.279108482	-0.445931833	0.011081012	0.135114208	0.268098036	0.394111035	0.00907242299998	0.599107398	-0.636	-0.889	-0.636	-0.629	-0.696	-0.67	-0.749	-0.649	-0.713	-0.699	-0.739	-0.646	-0.698	-0.648	-0.754	-0.669	-0.59	-0.637	-0.72	-0.649	-0.743	-0.688	-0.684	-0.688	-0.847	-0.682	-0.644	-0.555	-0.753	-0.598	-0.674	-0.708
FLQS3087GRWV	0.4153481348	-0.1426367759	0.1633607619	0.28033797	0.4802849995	0.2704035674	0.2797799171	0.2003923295	0.4254238972	-0.0567163896	0.4108507551	0.1452092372	0.417183983	0.2549591581	0.2761145342	0.0879756365	0.0165400029	0.36487462	0.34355263	0.4064326729	0.098171356	0.2253190294	-0.0275105053	0.2780791152	0.1338833958	0.4178216496	0.4105754219	0.2076308545	0.2808581416	-0.0315231324	0.2298493659	0.2198683065	-0.065904764	1.158106815	-0.113918514	-0.126942093	0.00110982999999	0.53710573	0.00210060399998	0.451084924	-0.52291387	0.207092402	-0.582937932	0.208088964	-0.131905126	1.061138235	0.00310018100001	0.004091196	0.327104041	-0.982962417	0.068106875	0.134109288	-0.31890199	-0.456899336	0.010109951	0.069106695	0.271120022	-0.0589041	-0.002898311	0.461116705	-0.251883958	-0.250889566	-0.654952526	-0.318900964	0.842	0.514	0.723	0.78	0.869	0.745	0.774	0.714	0.868	0.602	0.865	0.699	0.845	0.712	0.771	0.681	0.631	0.862	0.802	0.829	0.701	0.769	0.625	0.77	0.691	0.843	0.837	0.718	0.787	0.635	0.781	0.76
