SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.2733595045	0.2685205054	0.2202961598	0.2533621438	0.1462935205	0.2182810778	0.2812135856	0.150334242	0.4603059632	0.2203911768	0.2763900456	0.2543357502	0.2763161436	0.3483312256	0.2093727013	0.2184205868	0.1512837171	0.2223858981	-0.0277223157	0.3543730783	0.2554545214	0.1622938975	0.314414931	0.3474160622	0.2214352918	0.2703640291	0.2172923893	0.1523497011	0.2193225534	0.4034009801	0.0913987178	0.1033138813	-0.348280663	-0.149191294	0.111646703	-0.364328374	-0.026255383	0.039788055	-0.026232952	0.033785563	0.255729662	-0.034173136	0.025671982	0.032671626	-0.08134048	-0.38234226	-0.077302738	-0.07635935	-0.33635935	-0.02422868	-0.344302026	0.066854993	0.172808706	-0.16823224	-0.103315912	0.107919082	-0.03514572	-0.024268557	0.028849296	-0.50329811	0.061871015	0.365849652	-0.486303094	-0.160263929	0.191	0.162	0.105	0.186	0.095	0.116	0.15	0.088	0.183	0.126	0.141	0.13	0.156	0.227	0.127	0.132	0.14	0.125	0.068	0.166	0.11	0.121	0.174	0.158	0.126	0.145	0.116	0.164	0.112	0.144	0.137	0.096
FLQS30KBGRWV	-0.0047338478	-0.066716525	-0.0278414962	-0.0716930156	-0.0799503819	-0.1359974007	-0.021075353	-0.054888515	0.0250013619	-0.0675890793	-0.0296806423	-0.002789528	-0.0900444195	-0.0888439708	-0.0676521835	-0.0795160763	-0.0268452082	-0.0056521835	0.0802711016	-0.1427746799	-0.0523935799	0.00827233890001	-0.0277189997	-0.0286323861	-0.00546534550001	-0.0758588189	0.1892995603	0.0362253201	-0.0766571328	0.127496297	0.1334975344	-0.0927511705	0.042523726	0.133507255	-0.082454538	0.321513938	-0.013477219	0.042514748	-0.011486535	-0.152462436	0.000539117000017	-0.00647195399999	-0.012467701	-0.137463381	-0.072452647	-0.215460545	0.054532637	0.187525886	-0.072461153	-0.134473641	0.041528181	-0.319473304	0.034520553	-0.408478299	-0.060463178	-0.073483767	0.102511913	-0.010470469	-0.191480594	-0.00446898399998	0.101513195	0.044525481	0.044527709	-0.484472156	-0.019	-0.057	-0.012	-0.086	-0.043	-0.073	-0.019	-0.013	-0.00200000000001	-0.038	-0.023	0.00600000000003	-0.039	-0.018	-0.047	-0.071	-0.012	0.00399999999999	0.016	-0.025	-0.038	0.048	-0.015	-0.013	-0.028	-0.041	0.092	0.00299999999999	-0.058	0.034	0.036	0.017
FLQS30CWGRWV	0.0146872844	0.1957766837	-0.2043393138	0.0177146214	0.2616771869	-0.1163476873	-0.1654203396	0.1616818662	0.0146244832	-0.0482762663	0.08372398	-0.1113378361	-0.0463698524	0.1406557606	-0.1792893191	-0.1132745424	-0.2303595087	-0.0443272461	-0.0393188726	-0.0953011405	0.0117564888	0.0567163453	-0.1623001554	0.0877082181	-0.3382947373	0.1366936876	-0.2253991596	0.2467119123	-0.1713363584	0.0167289055	-0.0462718333	-0.0402834084	0.258603036	0.114619765	0.00454154099999	0.149546253	0.149592669	-0.024391073	-0.031419818	0.091545546	-0.036480136	0.087614346	0.144545311	0.141543897	0.085534473	0.145534944	-0.02643961	0.080549081	-0.033448799	0.198608455	0.087576176	0.133618822	0.091601858	0.241644504	0.025569815	0.026657934	-0.169408744	0.026570286	-0.094412986	0.036565102	-0.029404032	0.147599031	0.034576883	0.202630603	0.041	0.136	-0.012	0.058	0.158	0.028	0.00900000000001	0.126	0.083	0.04	0.086	0.00700000000001	0.042	0.109	0.00300000000004	0.015	-0.017	0.026	0.044	0.015	0.065	0.061	0.00299999999999	0.104	-0.042	0.124	-0.00600000000003	0.168	0.006	0.058	0.049	0.027
FLQS30C7GRWV	0.1634391413	0.094690374	0.1574451231	0.382624575	0.3264371474	0.1454112266	-0.0907403106	0.0603872997	0.1464185376	0.8306544836	0.1835620991	0.0544065741	0.2753567264	0.0893786594	0.3896205872	0.3197455389	0.0863799887	0.2725601052	0.1504444584	0.1324451231	0.1506558129	0.6746544836	0.393631886	0.3476139408	0.0776079591	0.0433660313	0.7014677207	0.2775335197	0.0565242148	0.2165454832	0.096505605	0.0324624036	-0.179862436	-0.135844403	0.000133878999989	0.475157169	0.073153386	-0.060855262	0.251163213	-0.13986961	-0.185873885	0.150152206	0.255153238	-0.248871526	-0.053867792	-0.067870789	0.055140266	0.060141937	-0.00386454899999	0.224153435	-0.00785649100001	0.290161395	-0.000844747000002	0.069153926	0.275152501	0.00615829899999	-0.208843765	-0.12586106	-0.04285369	0.111146851	0.00414778399998	-0.000857718999995	-0.00685668700001	-0.074850987	0.127	0.093	0.1	0.125	0.158	0.103	-0.037	0.079	0.122	0.354	0.074	0.093	0.156	0.081	0.187	0.157	0.071	0.115	0.098	0.048	0.097	0.301	0.158	0.176	0.095	0.071	0.329	0.133	0.057	0.124	0.075	0.058
FLQS29JFGRX5	-0.2498802363	-0.0138350601	-0.0678722076	0.0181674563	0.170128032	0.2591253958	0.1281092186	-0.2108983307	0.1081395358	-0.0188236762	0.0231685348	-0.1598680135	0.202114611	-0.0068750836	-0.0998378162	-0.0338136104	-0.1248609435	0.0571573905	0.0601517585	0.1111536758	-0.1118173252	-0.0168367378	0.0491603863	0.1771715306	-0.013819602	0.1731445687	0.068120962	0.000159188000005	0.048142891	0.0451686546	-0.0768609435	-0.1778729266	0.07668885	0.081697064	0.07467428	-0.255310995	0.156704736	0.151704039	0.023690632	0.047687455	0.026671336	0.011707836	0.465710084	0.10368513	0.095671413	-0.034328664	-0.091320062	0.076680945	0.075681178	0.027691872	0.013693732	0.198708534	-0.056292629	0.112727753	0.011687687	-0.126278292	0.073717756	0.08269164	0.077697142	0.081699932	-0.025303866	-0.027312003	-0.040319985	0.00269706399999	-0.197	-0.101	-0.122	-0.04	-0.036	0.00200000000001	-0.034	-0.176	-0.042	-0.093	-0.14	-0.163	-0.014	-0.081	-0.112	-0.108	-0.145	-0.064	-0.06	-0.065	-0.122	-0.106	-0.065	0.00600000000003	-0.099	-0.024	-0.066	-0.095	-0.06	-0.061	-0.11	-0.157
FLQS22XEGRX2	0.032190166	0.4512856925	0.1331797178	0.00319144540001	0.0671545568	0.2521731077	0.0231541303	0.2371839824	0.1261618065	0.0692215106	0.0652065846	0.1432063714	0.2551931512	0.1261869676	-0.0617895773	-0.0397861656	0.1301882469	0.0202174593	0.1932089301	0.1862240694	0.1282490172	0.0351908057	0.0642129815	-0.2278055694	0.4933257796	-0.116830304	0.2001664976	0.0081850485	0.1191820633	0.0632257752	-0.1158266791	-0.3038503475	-0.086082813	0.041898934	0.051923271	-0.082077529	-0.010088577	-0.061094021	-0.069094341	-0.063066321	-0.059069123	-0.010091139	0.049917507	-0.152071925	0.11092111	-0.007069284	-0.017086736	-0.134069123	0.044911583	-0.004089378	-0.078087456	0.044902136	-0.080096503	0.109895892	0.100904538	-0.28610603	-0.152091539	-0.138080732	-0.00509186000001	-0.150083293	-0.110094581	-0.009090499	-0.081086736	-0.195086736	0.041	0.193	0.063	0.029	0.045	0.127	0.035	0.121	0.076	0.045	0.036	0.096	0.105	0.069	-0.00700000000001	0.018	0.063	0.025	0.106	0.086	0.079	0.015	0.028	-0.037	0.237	-0.013	0.098	0.04	0.08	0.043	-0.02	-0.081
FLQS22TQGRX2	0.00786502250001	-0.0421017108	-0.0771209031	0.1338842149	0.0568332181	-0.1171837809	0.1378310247	0.204852776	-0.0051724482	-0.121087088	0.0718909779	0.0698454646	0.0758339492	-0.1321594706	0.11990359	-0.1261188925	-0.1101475896	0.1318886017	0.004847658	0.0608725167	0.2119353944	0.1358778174	-0.1131273005	0.0899187611	0.0409299109	-0.1361538043	-0.0641563632	-0.0141187097	-0.0501300423	-0.0531044525	0.0638949991	0.1408871394	0.054162192	-0.005853359	-0.123821311	0.238172588	0.113156435	-0.011838152	-0.01184451	-0.17780954	-0.258796395	-0.291830934	0.054167519	-0.179805416	0.203174736	-0.29881229	0.102173448	0.044187366	-0.014823288	-0.066834027	0.105173104	-0.057833598	0.060162879	-0.073839698	0.122158583	0.109132206	0.003144664	-0.170835316	-0.138847517	-0.140828872	-0.070834543	0.002169237	0.00217241599999	0.054172416	-0.04	-0.052	-0.05	-0.014	-0.028	-0.081	0.021	0.073	-0.001	-0.044	-0.014	0.018	-0.033	-0.048	-0.000999999999976	-0.093	-0.078	0.028	-0.048	-0.00199999999998	0.042	0.03	-0.099	-0.014	-0.019	-0.068	-0.042	-0.022	-0.047	-0.058	-0.00999999999999	0.014
FLQS21YXGRX2	-0.2470177619	-0.0930357011	-0.3650181386	-0.063030098	0.059978848	-0.1240137126	0.1139890654	-0.161017244	-0.0080196453	-0.1520350419	-0.063031746	-0.0820235062	-0.0690182798	-0.0690199278	-0.179025625	0.0079628864	-0.1800170556	-0.0670236945	-0.1840189861	-0.3060195982	-0.1270337236	-0.5429980805	-0.2030235062	0.00396966649999	-0.307030098	0.0479756463	-0.0850175265	-0.1770223291	-0.117021717	-0.0120306631	-0.00603089850001	-0.2440176206	-0.016156724	-0.129174442	0.056852974	0.207836787	-0.070162265	-0.185158182	-0.071162411	-0.099156141	-0.074139881	-0.189170869	0.487816371	-0.318147901	-0.150139662	-0.4941401	-0.192147756	-0.253136162	-0.204144183	-0.254158474	-0.079152057	-0.196157745	0.050825486	-0.284156578	-0.212150453	0.179802883	-0.065175973	-0.264150308	-0.278160953	-0.134149433	-0.196158692	-0.117151766	-0.015152714	-0.083156141	-0.175	-0.097	-0.235	-0.132	-0.0419999999999	-0.102	-0.02	-0.129	-0.07	-0.113	-0.171	-0.067	-0.084	-0.037	-0.123	-0.038	-0.123	-0.069	-0.141	-0.174	-0.136	-0.26	-0.131	-0.101	-0.193	-0.021	-0.073	-0.131	-0.098	-0.065	-0.078	-0.165
FLQS2AVTGRX5	-0.140390659	0.0475896215	-0.0653926559	-0.0604053862	0.1706079681	0.0576199496	-0.0703492231	-0.0653832954	-0.0653740597	-0.1414082568	-0.0614047622	-0.0863924063	0.2026049727	-0.0493970242	-0.1333804249	-0.1984102537	0.032591868	0.0125913688	0.0486063456	-0.0503879133	-0.2064194894	-0.1603844187	0.1335942394	-0.065405511	-0.00641324909999	-0.0733852923	0.1126092162	-0.1293950273	-0.0583869148	-0.1594053862	0.0575883734	0.0055938649	0.341225524	0.137224191	0.071206119	0.258216696	0.136217737	0.126222401	-0.051785053	-0.000791382000017	-0.00579554600002	-0.00278118	0.073208993	0.011206369	0.230213823	0.454218861	0.188211449	0.075205037	0.482222567	-0.05978497	0.068211907	-0.033780139	-0.169785594	0.121217737	0.421221068	0.118221568	0.198230562	0.116210658	-0.038783221	0.426229855	-0.224782263	0.130215863	0.057211491	0.00521440600001	-0.013	0.093	0.056	0.032	0.144	0.099	0.071	0.066	0.067	0.035	0.057	0.056	0.143	0.00799999999998	0.012	0.001	0.038	0.106	0.103	0.077	0.033	0.011	0.088	0.05	0.063	0.046	0.145	-0.02	0.101	0.01	0.109	0.094
FLQS3087GRWV	0.2559725605	0.2018003612	0.092017141	-0.1833648547	0.2561192851	0.0198963826	0.8275267554	0.1280110182	0.1279154885	-0.1207025158	-0.030893698	0.3245011579	0.1920301241	0.083335819	-0.0557790624	0.1850232637	0.256463069	0.2070235096	-0.1085812657	0.0589026283	0.3255582298	0.1786604969	-0.0891357065	0.2005075265	0.2606919713	0.1368962597	-0.0896704267	0.1195011579	0.3773038529	0.1956094248	0.1372400435	0.0261637427	0.261410634	0.057410576	-0.202595802	-0.409599268	0.109406841	0.148407837	0.254408489	0.057400521	-0.134601452	-0.085593637	-0.286598023	0.255409331	-0.00759890500001	0.04339987	-0.218594538	-0.068594787	-0.28259515	-0.13659289	-0.185599077	-0.082591435	-0.07659222	-0.012592775	0.00440647799999	0.058413871	-0.069589424	-0.00359605100002	0.031406152	-0.536596338	0.122407167	-0.40159471	-0.543598138	-0.283593676	0.101	0.107	0.1	0.016	0.124	0.021	0.335	0.077	0.105	-0.00399999999999	0.06	0.13	0.114	0.061	0.041	0.117	0.177	0.137	0.016	0.069	0.176	0.108	-0.00399999999999	0.107	0.147	0.09	-0.00700000000001	0.156	0.17	0.168	0.165	0.083
