SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.170446564	0.170446564	0.1744453047	0.1724587377	0.2044599971	0.1724604168	0.1714448849	0.2044599971	0.1714448849	0.2054461442	0.1734457244	0.1724587377	0.206491061	0.1724604168	0.1724604168	0.1714889621	0.1684591575	0.2034595773	0.1724448849	0.1714599971	0.1694301925	0.1694604168	0.1734742697	0.1694604168	0.1724604168	0.1724604168	0.1704591575	0.1724604168	0.1714444651	0.2034751092	0.171475529	0.1714746895	-0.018205132	-0.018205132	0.023804929	-0.01519613	-0.059203808	-0.019213339	-0.017213604	-0.059203808	-0.017213604	-0.019214134	-0.018221812	-0.01519613	-0.018232402	-0.019213339	-0.019213339	-0.018197454	-0.018196659	-0.023205396	-0.0172234	-0.020213869	-0.016204867	-0.01822393	-0.016201955	-0.01822393	-0.020221547	-0.020221547	-0.019230549	-0.020221547	-0.01525067	-0.01721228	-0.016220223	-0.018195336	0.00799999999998	0.00799999999998	0.00600000000003	0.00900000000001	0.0239999999999	0.00899999999996	0.00799999999998	0.0239999999999	0.00799999999998	0.021	0.00999999999999	0.00900000000001	0.022	0.00899999999996	0.00899999999996	0.00900000000001	0.00700000000001	0.021	0.00900000000001	0.00899999999996	0.00700000000001	0.00799999999998	0.00999999999999	0.00799999999998	0.00900000000001	0.00900000000001	0.00799999999998	0.00900000000001	0.00899999999996	0.021	0.00799999999998	0.00800000000004
FLQS30KBGRWV	-0.0471429757	-0.0471429757	0.000870796999997	-0.0491504881	-0.0481467319	0.0039208796	-0.0501980665	-0.0481467319	-0.0501980665	-0.0471867979	0.0048758053	-0.0491504881	-0.0940465667	0.0039208796	0.0039208796	-0.0830540791	-0.0461004055	-0.0471467319	-0.0481993186	-0.0451392195	-0.0472393846	-0.0460953972	-0.0481029096	-0.0460953972	0.0039196276	0.0039196276	-0.0961554963	0.0039196276	-0.0501893021	0.0019621978	-0.0460953972	-0.0480979013	0.030038939	0.030038939	0.031038939	0.03103581	0.030038743	0.027042654	0.030042947	0.030038743	0.030042947	0.02804236	0.027045684	0.03103581	0.036049497	0.027042654	0.027042654	0.032035712	0.031035712	0.030038841	0.029046271	0.032042556	0.031039134	0.036045587	-0.006962039	0.036045587	0.028045489	0.028045489	0.036048324	0.028045489	0.030056438	-0.007957933	-0.00595147999999	0.031035419	0.15	0.15	0.168	0.148	0.149	0.17	0.148	0.149	0.148	0.15	0.17	0.148	0.131	0.17	0.17	0.136	0.15	0.15	0.15	0.15	0.15	0.149	0.153	0.149	0.17	0.17	0.13	0.17	0.149	0.172	0.153	0.149
FLQS30CWGRWV	0.0119085617	0.0119085617	0.0509080919	0.0499158425	0.0499167819	0.0489170168	0.0509073873	0.0499167819	0.0509073873	0.0499090314	0.0509087965	0.0499158425	0.0519353363	0.0489170168	0.0489170168	0.0469336922	0.0479245325	0.0499167819	0.0509071525	0.0039172517	0.048899167	0.0509257068	0.0529250022	0.0509257068	0.0499167819	0.0499167819	0.0499158425	0.0499167819	0.0469090314	0.050925472	0.0489261765	0.0479252371	0.06915206	0.06915206	0.066151552	0.027150706	0.026145632	0.06614614	0.064144618	0.026145632	0.064144618	0.030139205	0.026133962	0.027150706	0.031127873	0.06614614	0.06614614	0.066156964	0.065156964	0.030145294	0.02713244	0.030145632	0.066151383	0.065140051	0.024146647	0.065140051	0.065140897	0.065140897	0.064134977	0.065140897	0.065121446	0.065146478	0.069135146	0.067158317	0.143	0.143	0.158	0.161	0.162	0.158	0.159	0.162	0.159	0.161	0.161	0.161	0.162	0.158	0.158	0.157	0.157	0.161	0.161	0.144	0.158	0.159	0.163	0.159	0.158	0.158	0.158	0.158	0.158	0.159	0.157	0.157
FLQS30C7GRWV	0.1123443401	0.1123443401	0.146342385	0.1013580261	0.1463590037	0.14736047	0.1123262551	0.1463590037	0.1123262551	0.0983438514	0.1003433626	0.1013580261	0.1093809989	0.14736047	0.14736047	0.1463956624	0.1473775774	0.1003599812	0.1133262551	0.1463614476	0.1433243	0.1493795326	0.1463770887	0.1493795326	0.14536047	0.14536047	0.1453599812	0.14536047	0.1453467841	0.1463780662	0.1473805101	0.147378555	-0.00364134599999	-0.00364134599999	-0.037643836	-0.037641674	-0.00264147700003	-0.037645997	-0.000646324999991	-0.00264147700003	-0.000646324999991	-0.038646259	-0.00164599700003	-0.037641674	-0.00264861799999	-0.037645997	-0.037645997	-0.039641608	-0.003639381	-0.037643836	-0.00264874899997	-0.002643836	-0.038643705	-0.005646259	-0.00464141200001	-0.005646259	-0.00464593200002	-0.00464593200002	-0.00464822500001	-0.00464593200002	-0.00465333400001	-0.00464383600001	-0.00564829000001	-0.00363911900001	0.092	0.092	0.108	0.09	0.105	0.108	0.092	0.105	0.092	0.09	0.087	0.09	0.091	0.108	0.108	0.108	0.105	0.0890000000001	0.092	0.104	0.106	0.106	0.105	0.106	0.104	0.104	0.104	0.104	0.104	0.104	0.105	0.105
FLQS29JFGRX5	-0.0174989357	-0.0174989357	-0.0165039696	-0.0154986306	-0.0164984781	-0.014498173	-0.0155032069	-0.0164984781	-0.0155032069	-0.015503512	-0.015503512	-0.0154986306	-0.012487495	-0.014498173	-0.014498173	-0.0154879527	-0.0174935967	-0.0154983255	-0.0145030543	-0.0174980204	-0.0155088509	-0.0504986306	-0.0164934442	-0.0504986306	-0.014498173	-0.014498173	-0.0124980204	-0.014498173	-0.0165041221	-0.0134929865	-0.0154937493	-0.0164934442	0.013429436	0.013429436	0.012429597	0.012431919	0.012429516	0.011426474	0.012426794	0.012429516	0.012426794	0.010426714	0.012423991	0.012431919	0.013420708	0.011426474	0.011426474	0.013431919	0.012431839	0.010429276	0.013423591	0.014426313	0.013429917	0.015423671	0.012429677	0.015423671	0.012423911	0.012423911	-0.022578651	0.012423911	0.013415263	0.012426794	0.015421269	0.013432159	-0.081	-0.081	-0.08	-0.079	-0.08	-0.079	-0.08	-0.08	-0.08	-0.079	-0.08	-0.079	-0.078	-0.079	-0.079	-0.079	-0.08	-0.08	-0.079	-0.08	-0.079	-0.093	-0.08	-0.093	-0.079	-0.079	-0.075	-0.079	-0.08	-0.079	-0.08	-0.081
FLQS22XEGRX2	0.0526345041	0.0526345041	0.0556251646	0.0536329475	0.0546339853	0.0226259429	0.0556236081	0.0546339853	0.0556236081	0.0566259429	0.0546251646	0.0536329475	0.0576539614	0.0226259429	0.0226259429	0.0536526642	0.0536428059	0.0206246458	0.0216147874	0.0536342447	0.0546147874	0.0556446219	0.0556435842	0.0556446219	0.0206254241	0.0206254241	0.1026446219	0.0206254241	0.0536243864	0.0546435842	0.0546438436	0.0546443625	-0.05327258	-0.05327258	-0.016275877	-0.017279175	-0.016276377	-0.015273179	-0.01827258	-0.016276377	-0.01827258	-0.054269182	0.022730018	-0.017279175	0.016734715	-0.015273179	-0.015273179	-0.017278975	-0.018279075	-0.017276377	-0.015269182	-0.01827248	-0.016275777	-0.015269182	-0.016276976	-0.015269182	-0.017270082	-0.017270082	-0.020266185	-0.017270082	-0.050255093	-0.015273179	-0.016266284	-0.016279574	0.044	0.044	0.042	0.041	0.042	0.0290000000001	0.042	0.042	0.042	0.045	0.039	0.041	0.04	0.0290000000001	0.0290000000001	0.041	0.041	0.0290000000001	0.029	0.041	0.041	0.042	0.042	0.042	0.029	0.029	0.06	0.029	0.044	0.041	0.0409999999999	0.0409999999999
FLQS22TQGRX2	-0.0084774229	-0.0084774229	-0.0074823446	-0.0084774229	-0.0084768077	-0.0054765001	-0.0094817294	-0.0084768077	-0.0094817294	-0.0074818832	-0.008482037	-0.0084774229	-0.0044661953	-0.0054765001	-0.0054765001	-0.0084669643	-0.0064725012	-0.0074768077	-0.0074815756	-0.0064763463	-0.0084872663	-0.0054717322	-0.0074720398	-0.0054717322	-0.0064766539	-0.0064766539	-0.0084766539	-0.0064766539	-0.0084823446	-0.0064715784	-0.006471886	-0.0074720398	0.0286153	0.0286153	0.028615071	0.030611057	0.027614497	0.029618741	0.027618741	0.027614497	0.027618741	0.027619085	0.029622526	0.030611057	-0.00736795500001	0.029618741	0.029618741	0.074606699	0.02961186	0.029615071	0.026623329	0.028619429	0.030614842	-0.009371969	0.030613809	-0.009371969	0.029622411	0.029622411	0.031626425	0.029622411	0.033634798	0.030618282	0.029626425	0.029610827	0.149	0.149	0.149	0.149	0.148	0.15	0.148	0.148	0.148	0.15	0.149	0.149	0.153	0.15	0.15	0.145	0.149	0.15	0.15	0.15	0.148	0.153	0.149	0.153	0.149	0.149	0.148	0.149	0.148	0.149	0.149	0.149
FLQS21YXGRX2	0.0335117754	0.0335117754	0.000512353999998	0.0325118416	0.0305118085	0.0335117589	-0.0044875964	0.0305118085	-0.0044875964	0.0335123375	0.000512403600002	0.0325118416	0.0365105357	0.0335117589	0.0335117589	0.0015105852	0.0345111803	0.032511792	-0.000487646	-0.000488224600002	-0.0024870344	0.0345111803	0.000511213399999	0.0345111803	0.0345118085	0.0345118085	-0.000488191500001	0.0345118085	0.0035123209	-0.000488786600002	-0.000488770100002	0.0025111638	-0.011044794	-0.011044794	-0.012044794	-0.017048278	-0.015045131	-0.015040972	-0.013040748	-0.015045131	-0.013040748	-0.016040748	0.021962624	-0.017048278	-0.012032655	-0.015040972	-0.015040972	-0.013047716	-0.014047829	-0.014044682	-0.016036027	-0.012040748	-0.013044906	-0.013036476	-0.011045693	-0.013036476	-0.014037713	-0.014037713	-0.014033554	-0.014037713	-0.015024787	-0.010041534	0.028961838	-0.014048503	0.113	0.113	0.099	0.113	0.112	0.113	0.098	0.112	0.098	0.112	0.097	0.113	0.113	0.113	0.113	0.1	0.113	0.112	0.099	0.099	0.099	0.114	0.1	0.114	0.113	0.113	0.1	0.113	0.101	0.099	0.0959999999999	0.1
FLQS2AVTGRX5	-0.0600917238	-0.0600917238	-0.063086435	-0.0620911671	-0.0610917238	-0.0930874093	-0.0650869917	-0.0610917238	-0.0650869917	-0.0210925589	-0.0620867134	-0.0620911671	-0.0621016055	-0.0930874093	-0.0930874093	-0.0621010488	-0.0610960384	-0.0930871309	-0.0640869917	-0.0610917238	-0.0630821205	-0.0640964559	-0.0620961775	-0.0640964559	-0.0220971518	-0.0220971518	-0.0640914454	-0.0220971518	-0.0640867134	-0.0640961775	-0.0610961775	-0.0620964559	0.047204071	0.047204071	-0.02779817	-0.028796216	0.010204301	0.044202232	0.00820004900001	0.010204301	0.00820004900001	0.00819999200002	0.00919821100001	-0.028796216	0.01119597	0.044202232	0.044202232	-0.026796446	-0.027796389	-0.027798055	0.00819786599999	-0.025799951	-0.028798112	-0.026802192	0.00920228999999	-0.026802192	-0.029801847	-0.029801847	-0.028803858	-0.029801847	-0.025808109	-0.027799836	0.00819832600001	-0.028796101	-0.059	-0.059	-0.055	-0.055	-0.057	-0.072	-0.058	-0.057	-0.058	-0.0410000000001	-0.057	-0.055	-0.058	-0.072	-0.072	-0.054	-0.054	-0.066	-0.058	-0.054	-0.055	-0.055	-0.058	-0.055	-0.039	-0.039	-0.055	-0.039	-0.056	-0.055	-0.057	-0.054
FLQS3087GRWV	0.3503470613	0.3503470613	0.2950851001	0.3972946691	0.3963012181	0.3983143162	0.3520196098	0.3963012181	0.3520196098	0.3960851001	0.3950851001	0.3972946691	0.3948185916	0.3983143162	0.3983143162	0.3937989445	0.3515631794	0.3973012181	0.4063405123	0.3963077672	0.3508034917	0.3955697284	0.3935566304	0.3955697284	0.3983143162	0.3983143162	0.3502488259	0.3983143162	0.3471243943	0.3945566304	0.3456155716	0.3495697284	-0.048661691	-0.048661691	-0.00666169100001	-0.047660421	-0.00866161599998	-0.046662775	-0.008662961	-0.00866161599998	-0.008662961	-0.045662999	-0.008664082	-0.047660421	-0.044665203	-0.046662775	-0.046662775	-0.042660346	-0.008658889	-0.009660196	-0.014664456	-0.013661317	-0.011661616	-0.043664045	-0.041661392	-0.043664045	-0.044663895	-0.044663895	-0.010665128	-0.044663895	-0.00566807999999	-0.042662775	-0.044665203	-0.047660234	0.077	0.077	0.052	0.095	0.091	0.095	0.074	0.091	0.074	0.094	0.09	0.095	0.093	0.095	0.095	0.092	0.073	0.0919999999999	0.095	0.092	0.074	0.0940000000001	0.092	0.0940000000001	0.094	0.094	0.073	0.094	0.072	0.093	0.074	0.076
