SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.1568804317	0.1558694221	0.1568697367	0.1568914412	0.1568801171	0.1568911266	0.1578801171	0.1568908121	0.1568798025	0.1578914412	0.1558684785	0.1558798025	0.154858098	0.1608373372	0.154846774	0.1558684785	0.1558684785	0.155858098	0.1188584126	0.1528574689	0.1528470885	0.1528574689	0.1538571544	0.152858098	0.154868793	0.1528574689	0.1558477176	0.1578590417	0.1538571544	0.1558684785	0.1578584126	0.1538697367	-0.0764669236	-0.0774513435	-0.0794370617	-0.0773911867	-0.0774201832	-0.0764361961	-0.0774206159	-0.1114041702	-0.0783760394	-0.0764210487	-0.0793617576	-0.080360892	-0.0763898884	-0.1113613248	-0.07933103	-0.0793617576	-0.0793617576	-0.079347043	-0.0763756066	-0.0803617576	-0.1113617576	-0.0803617576	-0.0793743082	-0.0793621903	-0.0793613248	-0.0803617576	-0.0773756066	-0.0793760394	-0.0793743082	-0.0793617576	-0.0793773377	-0.0783751738	0.524	0.523	0.524	0.524	0.524	0.524	0.524	0.533	0.524	0.524	0.523	0.524	0.523	0.534	0.523	0.523	0.523	0.523	0.506	0.522	0.531	0.522	0.524	0.522	0.524	0.522	0.523	0.525	0.524	0.523	0.525	0.523
FLQS30KBGRWV	-0.0171397412	-0.016181079	-0.0181847264	-0.0150984033	-0.0141421728	-0.0180935401	-0.0561871581	-0.0521494677	-0.0161421728	0.0259003808	-0.0532321434	-0.0151433886	-0.0142284959	-0.0163160348	-0.0113184665	-0.0532321434	-0.0532321434	-0.0512734812	-0.053274697	-0.0122260643	-0.0543160348	-0.0122260643	-0.0122260643	-0.0152284959	-0.0532309275	-0.0122260643	0.0277301663	-0.0562771286	-0.0122260643	-0.0532321434	-0.0172309275	-0.0141822948	0.0020571518	0.00405555309999	0.00305408049998	-0.0359488224	0.00105260799999	-0.000945835300001	5.25659000061e-05	-0.00194861209999	0.002049705	0.0040525659	4.83586999991e-05	0.00204823249999	0.0010497892	0.00304697030001	4.54978000164e-05	4.83586999991e-05	4.83586999991e-05	-0.0019529035	-0.000950168799989	0.0010483587	4.70545000013e-05	0.0010483587	-0.000950210799985	-0.0049512626	-0.00295164129999	0.0010483587	0.00204962090001	0.00104974709998	-0.000950210799985	4.83586999991e-05	0.00304978920001	0.002049705	-0.095	-0.096	-0.096	-0.084	-0.094	-0.095	-0.113	-0.111	-0.095	-0.076	-0.111	-0.093	-0.094	-0.095	-0.092	-0.111	-0.111	-0.11	-0.111	-0.093	-0.112	-0.093	-0.092	-0.093	-0.11	-0.093	-0.074	-0.113	-0.092	-0.111	-0.095	-0.094
FLQS30CWGRWV	0.0570714184	0.0160506435	0.0170511695	0.0180695776	0.0160598476	0.0160701035	0.0560706295	0.0160682627	0.0560698406	0.0170695776	0.0190506435	0.0160598476	0.0570524844	0.0560343392	0.0150322354	0.0190506435	0.0190506435	0.0140414395	0.0160414395	0.0550516954	0.0170330244	0.0550516954	0.0160414395	0.0160414395	0.0180509065	0.0550516954	0.0550430173	0.0170417025	0.0160414395	0.0190506435	0.0180414395	0.0150509065	0.0263338395	0.0233449161	0.0243557012	0.0253772714	0.0603763969	0.0253562842	0.0643781459	0.0623761055	0.026387765	0.0253661948	0.0614072948	0.0634081693	0.0273871821	0.0274067118	0.0244166225	0.0614072948	0.0614072948	0.0244055459	0.0243863076	0.0273965097	0.0264061289	0.0273965097	0.0253871821	0.0243953438	0.0233965097	0.0273965097	0.0263874735	0.0603970927	0.0253871821	0.0614072948	0.0613965097	0.0263865991	-0.467	-0.485	-0.485	-0.484	-0.495	-0.485	-0.477	-0.495	-0.467	-0.485	-0.493	-0.496	-0.467	-0.467	-0.486	-0.493	-0.493	-0.486	-0.486	-0.468	-0.485	-0.468	-0.485	-0.485	-0.484	-0.468	-0.468	-0.494	-0.485	-0.493	-0.494	-0.486
FLQS30C7GRWV	0.0829892169	0.1199919829	0.1199910609	0.0820205647	0.1210224087	0.0780196427	0.1200251747	0.0820168767	0.1200251747	0.0800187207	0.1189910609	0.1220242527	0.1199578691	0.1178905636	0.1199255994	0.1189910609	0.1189910609	0.0789209894	0.1189569472	0.1179560252	0.1179255994	0.1179560252	0.1169541812	0.1189560252	0.0789532592	0.1179560252	0.1189246774	0.1199200674	0.1169541812	0.1189910609	0.1189182234	0.1189892169	-0.0556826586	-0.0096797225	-0.0126785906	-0.0526775293	-0.0546787674	-0.0546800763	-0.052678732	-0.053677494	-0.0516762912	-0.0526788028	-0.0176738151	-0.0536750178	-0.0546764327	-0.0576740981	-0.0546727538	-0.0176738151	-0.0176738151	-0.0176726477	-0.0546762912	-0.0176738504	-0.0546740981	-0.0176738504	-0.017674947	-0.05467523	-0.0166738858	-0.0176738504	-0.0546762205	-0.0526762912	-0.017674947	-0.0176738151	-0.0546764327	-0.0166749824	0.066	0.071	0.073	0.066	0.083	0.064	0.083	0.065	0.083	0.064	0.073	0.084	0.083	0.083	0.083	0.073	0.073	0.055	0.082	0.073	0.082	0.073	0.072	0.083	0.054	0.073	0.083	0.083	0.072	0.073	0.083	0.073
FLQS29JFGRX5	-0.00214678060001	-0.0431524696	-0.0441525417	-0.0031444041	-0.0021469966	-0.0061444762	-0.0031468526	-0.0461476447	-0.0031469246	-0.0011474287	-0.0041494451	-0.0031468526	0.037851059	-0.046160031	-0.0451574386	-0.0041494451	-0.0041494451	-0.00515203760001	-0.00315182149999	-0.0041520376	-0.004154486	-0.0041520376	-0.0041520376	-0.0031520376	-0.0041494451	-0.0041520376	0.0368486106	-0.0061522536	-0.0041520376	-0.0041494451	-0.0041521816	-0.00414930109999	0.0110595763	0.0100622881	0.0110649246	0.0500733615	0.0090677118	0.0170653766	0.0120677872	0.011070273	0.0120730602	0.0120677118	0.0130756214	0.0120756968	0.00907290959998	0.0100781826	0.0100808945	0.0130756214	0.0130756214	0.0120781073	0.0120729849	0.0110754708	0.0110781826	0.0110754708	0.0100731356	0.0130754708	0.0120756214	0.0110754708	0.00707283419999	0.0110732109	0.0100731356	0.0130756214	0.0130729096	0.0120729849	-0.075	-0.093	-0.093	-0.085	-0.074	-0.077	-0.075	-0.095	-0.075	-0.074	-0.076	-0.076	-0.055	-0.094	-0.094	-0.076	-0.076	-0.076	-0.075	-0.075	-0.075	-0.075	-0.075	-0.076	-0.075	-0.075	-0.056	-0.077	-0.075	-0.076	-0.076	-0.076
FLQS22XEGRX2	0.0577772206	0.0607718295	0.0607718295	0.0137820289	0.0137763464	0.0577820289	0.0587767835	0.0587813004	0.0587770749	0.0577818832	0.0157716838	0.0137767835	0.0157665841	0.0177565303	0.0587613386	0.0157716838	0.0157716838	0.0587667298	0.0577665841	0.0587665841	0.0627617757	0.0587665841	0.0587664384	0.0587664384	0.0597715381	0.0587665841	0.0137614843	0.0617728494	0.0587664384	0.0157716838	0.0587661469	0.060778532	-0.00894064430001	-0.00694292530001	-0.0069452697	-0.0559500852	-0.00794780409998	-0.00694564989999	-0.00594786750001	-0.00794989510001	-0.00595236620001	-0.00794767740001	-0.00595439370001	-0.00795445709998	-0.0089522394	-0.007956548	-0.00595895580001	-0.00595439370001	-0.00595439370001	-0.00695635790001	-0.00695217610001	-0.00595414030001	0.0320436421	-0.00595414030001	-0.00595230280001	-0.00695407690002	-0.00695439370001	-0.00595414030001	-0.00595230280001	-0.00595230280001	-0.00595230280001	-0.00595439370001	-0.0069520494	-0.0079522394	0.044	0.046	0.046	0.037	0.024	0.044	0.045	0.045	0.044	0.045	0.025	0.025	0.026	0.026	0.044	0.025	0.025	0.045	0.044	0.045	0.036	0.045	0.045	0.044	0.045	0.045	0.024	0.046	0.045	0.025	0.045	0.045
FLQS22TQGRX2	-0.0359973911	0.004994503	0.00499427779999	0.0090113903	0.00700193340001	0.00701094	0.0070030592	0.00701003930001	0.00800283409999	0.00801094	0.00799472810001	0.0090028341	0.00398617189999	0.00897153619999	0.0079796421	0.00799472810001	0.00799472810001	0.0079875229	0.0079870726	0.0079870726	0.00797941699999	0.0079870726	0.0079868474	0.0069863971	0.0069947281	0.0079870726	0.0069791918	0.0069866222	0.0079868474	0.00799472810001	0.0079863971	0.0079949533	-0.00378996139999	-0.0027921224	-0.00279428339999	-0.000798975799995	-0.00179669139999	0.000205407900012	-0.000796814799997	0.000201147699997	-0.000801198600001	-0.0017967531	0.000196825700002	-0.000803297800019	-0.0407986054	-0.0018052736	-0.0028074345	0.000196825700002	0.000196825700002	-0.000805211799985	0.00119886319999	-0.000803112599996	-0.00280515009999	-0.000803112599996	-0.000801198600001	0.000197010899996	-0.00180317430001	-0.000803112599996	0.000198678000004	-0.00180119860001	-0.000801198600001	0.000196825700002	-0.0018009516	-0.000801075100014	-0.112	-0.093	-0.092	-0.091	-0.092	-0.092	-0.092	-0.093	-0.092	-0.092	-0.092	-0.091	-0.084	-0.092	-0.091	-0.092	-0.092	-0.093	-0.092	-0.092	-0.092	-0.092	-0.092	-0.092	-0.092	-0.092	-0.093	-0.092	-0.092	-0.092	-0.092	-0.092
FLQS21YXGRX2	-0.00188679499999	-0.00188330850001	-0.003883125	0.0361065072	0.0371101772	-0.00188973100001	-0.00288651979999	-0.002889364	-0.000886703299997	-0.0018898228	0.0391130215	0.0371098102	0.036116508	-0.00387349130001	-0.00187688600001	0.0391130215	0.0391130215	-0.0018800973	-0.0018800973	0.0371163245	-0.003876886	0.0371163245	0.0401162327	-0.001879822	-0.000883216799998	0.0371163245	-0.00187697779999	0.0391200862	0.0401162327	0.0391130215	0.1721078835	-0.00188330850001	0.0012794692	0.000278039099982	-0.000723271900014	0.0432719213	0.00327494049999	-0.0017234308	0.0392735103	0.000273867900006	0.0392707295	0.0402735501	0.0402692994	0.0412692199	0.00327231850001	0.0422680679	-0.000731733500004	0.0402692994	0.0402692994	0.0412681076	0.0392707692	0.0412694186	0.0382681871	0.0412694186	0.0442704912	-0.00172883350001	-0.00272899240001	0.0412694186	0.0372706898	0.0422706898	0.0442704912	0.0402692994	0.0522705309	0.0382708487	0.053	0.054	0.054	0.06	0.071	0.054	0.044	0.055	0.044	0.044	0.062	0.062	0.071	0.042	0.055	0.062	0.062	0.044	0.044	0.062	0.043	0.062	0.062	0.055	0.056	0.062	0.044	0.062	0.062	0.062	0.121	0.044
FLQS2AVTGRX5	-0.0605556344	-0.0605474355	-0.0625471242	-0.0585593706	-0.0585553231	-0.0205591631	-0.0585556344	-0.0605544928	-0.0585555306	-0.0595548042	-0.0615515869	-0.0585512755	-0.064552002	-0.1045408972	-0.058540482	-0.0615515869	-0.0615515869	-0.057548162	-0.0575484734	-0.0575483696	-0.0615444258	-0.0575483696	-0.059548162	-0.0595482658	-0.0605517944	-0.0575483696	-0.1435403782	-0.0605479544	-0.059548162	-0.0615515869	-0.0595479544	-0.0595521058	0.0096589326	0.0106599816	0.0106609455	0.00866312860001	0.0116621079	0.0136611156	0.0096621079	0.00966298680001	0.0076640641	0.00966199450002	0.0446660203	0.00866497139999	-0.000336077600011	-0.038334008	0.0096668992	0.0446660203	0.0446660203	0.00766590690002	0.0486651982	0.00866499969999	0.00366582190001	0.00866499969999	-0.0383358225	0.00966491459999	0.0116650564	0.00866499969999	-0.0403359642	0.00966414920001	-0.0383358225	0.0446660203	0.0076639791	0.0436649997	-0.063	-0.064	-0.064	-0.062	-0.063	-0.046	-0.062	-0.063	-0.062	-0.063	-0.072	-0.062	-0.062	-0.071	-0.063	-0.072	-0.072	-0.061	-0.071	-0.062	-0.062	-0.062	-0.05	-0.063	-0.063	-0.062	-0.089	-0.063	-0.05	-0.072	-0.063	-0.071
FLQS3087GRWV	0.1328719607	0.1336521738	0.1708841711	0.1280612217	0.1308597503	0.1340856424	0.13184754	0.1280612217	0.1308536452	0.1310673269	0.1316460686	0.1288536452	0.1274384921	0.1280172339	0.1241942845	0.1316460686	0.1316460686	0.1274201765	0.1274201765	0.1294201765	0.1322309156	0.1294201765	0.1304201765	0.1704079662	0.1716338583	0.1294201765	0.1242064948	0.1734384921	0.1304201765	0.1316460686	0.1354445973	0.1286460686	-0.0586392141	-0.0546390679	-0.0536389255	-0.0556386484	-0.053638787	-0.0566389293	-0.0226387947	-0.0546386561	-0.0586385215	-0.019638787	-0.0556383868	-0.0536383714	-0.0566385138	-0.0576382598	-0.0576381174	-0.0556383868	-0.0556383868	-0.0586382637	-0.0566385138	-0.0566383906	-0.0586382675	-0.0566383906	-0.0576385138	-0.0596384022	-0.0576383906	-0.0566383906	-0.0566385099	-0.0556385176	-0.0576385138	-0.0556383868	-0.0556385292	-0.0556385176	-0.089	-0.089	-0.072	-0.091	-0.09	-0.088	-0.098	-0.092	-0.089	-0.099	-0.089	-0.091	-0.091	-0.09	-0.092	-0.089	-0.089	-0.09	-0.09	-0.09	-0.089	-0.09	-0.09	-0.07	-0.071	-0.09	-0.093	-0.07	-0.09	-0.089	-0.088	-0.091
