SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.1531090045	0.1120856244	0.1130622444	0.0700737786	0.147074402	0.1100628679	0.1500638031	0.1100740903	0.1100628679	0.1100740903	0.147074402	0.1120622444	0.1110740903	0.1140625561	0.1110616209	0.1140625561	0.1120622444	0.1510634913	0.1110616209	0.1110750255	0.1140625561	0.1110628679	0.1110616209	0.1120740903	0.1130622444	0.1130622444	0.1110750255	0.1130622444	0.147074402	0.1110750255	0.1090753372	0.1510634913	0.0108238808	-0.0221938772	0.0088071376	0.00784214620001	0.00980764490001	0.00482235870003	-0.0232070689	0.00682235870001	0.00482235870003	0.00682235870001	0.00980764490001	-0.0261918477	0.00880612280001	0.00882388079999	0.0088426536	0.00882388079999	-0.0261918477	0.00882540299999	0.0088426536	0.0088259103	0.00882388079999	0.00784316100001	0.0088426536	0.00682337350001	0.0088071376	0.0088071376	0.0088259103	0.0088071376	0.00980764490001	0.0088259103	0.00984366840001	0.00882540299999	-0.372	-0.38	-0.387	-0.405	-0.373	-0.388	-0.363	-0.388	-0.388	-0.388	-0.373	-0.379	-0.389	-0.387	-0.389	-0.387	-0.379	-0.371	-0.389	-0.389	-0.387	-0.388	-0.389	-0.387	-0.387	-0.387	-0.389	-0.387	-0.373	-0.389	-0.389	-0.371
FLQS30KBGRWV	-0.0391198471	-0.0791611519	-0.0402498357	-0.0792073161	-0.041247406	-0.041247406	-0.0402899256	-0.0792061012	-0.041247406	-0.0792061012	-0.041247406	-0.0752498357	-0.0372036715	-0.0412486208	-0.0772498357	-0.0412486208	-0.0752498357	-0.0012449763	-0.0772498357	-0.0402486208	-0.0412486208	-0.0742911405	-0.0772498357	-0.0762024567	-0.0402498357	-0.0402498357	-0.0402486208	-0.0402498357	-0.041247406	-0.0402486208	-0.040247406	-0.0012449763	-0.00463586309998	0.0313640675	-0.00463537729999	-0.0036365918	-0.000635446700002	-0.00163594989999	-0.00363485669999	0.000364032800022	-0.00163594989999	0.000364032800022	-0.000635446700002	0.0353639807	0.0343646227	-0.00463588049999	-0.0406359325	-0.00463588049999	0.0353639807	-0.000635967199983	-0.0406359325	0.000363963400005	-0.00463588049999	-0.0396359325	-0.0406359325	-0.0386354293	-0.00463537729999	-0.00463537729999	0.000363963400005	-0.00463537729999	-0.000635446700002	0.000363963400005	-0.000636609200001	-0.000635967199983	-0.074	-0.1	-0.073	-0.09	-0.074	-0.075	-0.074	-0.091	-0.075	-0.091	-0.074	-0.1	-0.084	-0.074	-0.079	-0.074	-0.1	-0.058	-0.079	-0.075	-0.074	-0.078	-0.079	-0.079	-0.073	-0.073	-0.075	-0.073	-0.074	-0.075	-0.075	-0.058
FLQS30CWGRWV	0.012955033	0.0109460662	0.0129270779	0.0139373632	0.0559386819	0.0569389456	0.0139178474	0.011936572	0.0569389456	0.011936572	0.0559386819	0.0139273416	0.012936572	0.0159276053	0.0139270779	0.0159276053	0.0139273416	0.0149178474	0.0139270779	0.0559386819	0.0159276053	0.0159181111	0.0139270779	0.0139370995	0.0129270779	0.0129270779	0.0559386819	0.0129270779	0.0559386819	0.0559386819	0.0589392093	0.0149178474	0.070619809	0.0716208464	0.071609089	0.0736353702	0.0706097806	0.0726222296	0.0365990607	0.0716211922	0.0726222296	0.0716211922	0.0706097806	0.0726218838	0.0706087432	0.0706208464	0.0686332954	0.0706208464	0.0726218838	0.0686211922	0.0686332954	0.0726229212	0.0706208464	0.0676332954	0.0686332954	0.0706218838	0.071609089	0.071609089	0.0726229212	0.071609089	0.0706097806	0.0726229212	0.0716350244	0.0686211922	-0.556	-0.558	-0.556	-0.557	-0.538	-0.539	-0.547	-0.557	-0.539	-0.557	-0.538	-0.556	-0.557	-0.555	-0.555	-0.555	-0.556	-0.555	-0.555	-0.539	-0.555	-0.554	-0.555	-0.556	-0.556	-0.556	-0.539	-0.556	-0.538	-0.539	-0.537	-0.555
FLQS30C7GRWV	0.133709311	0.1316785012	0.1326075454	0.1316439569	0.1346495587	0.1326094127	0.131575802	0.1316420897	0.1326094127	0.1316420897	0.1346495587	0.1286056782	0.1326430233	0.131608479	0.1296066118	0.131608479	0.1286056782	0.1295739348	0.1296066118	0.1336486251	0.131608479	0.1305748684	0.1296066118	0.1736831694	0.1326075454	0.1326075454	0.1336486251	0.1326075454	0.1346495587	0.1336486251	0.1316094127	0.1295739348	-0.0219245127	-0.0249245787	-0.0259253266	-0.0229236988	-0.0239252606	-0.0229245127	-0.0619259865	-0.0249245787	-0.0229245127	-0.0249245787	-0.0239252606	-0.0239245567	-0.0259253706	-0.0239246887	-0.0589246227	-0.0239246887	-0.0239245567	-0.0609253706	-0.0589246227	-0.0239244027	-0.0239246887	-0.0269238308	-0.0589246227	-0.0229244687	-0.0259253266	-0.0259253266	-0.0239244027	-0.0259253266	-0.0239252606	-0.0239244027	-0.0259236988	-0.0609253706	-0.579	-0.579	-0.578	-0.58	-0.578	-0.579	-0.568	-0.579	-0.579	-0.579	-0.578	-0.58	-0.578	-0.578	-0.57	-0.578	-0.58	-0.569	-0.57	-0.578	-0.578	-0.578	-0.57	-0.562	-0.578	-0.578	-0.578	-0.578	-0.578	-0.578	-0.579	-0.569
FLQS29JFGRX5	-0.0425127778	-0.00151214909999	-0.00452011239999	-0.0415174579	-0.0385198329	-0.0395198329	-0.0045224874	-0.00451745790001	-0.0395198329	-0.00451745790001	-0.0385198329	-0.0035200425	-0.0405173881	-0.0035200425	-0.0035201124	-0.0035200425	-0.0035200425	-0.0375224874	-0.0035201124	-0.0375197631	-0.0035200425	-0.0375224874	-0.0035201124	-0.00251459399999	-0.00452011239999	-0.00452011239999	-0.0375197631	-0.00452011239999	-0.0385198329	-0.0375197631	-0.0395197631	-0.0375224874	-0.0201009279	0.0168990721	0.0168965093	0.0119014153	0.015896729	0.0108989989	0.0138965825	0.0148987792	0.0108989989	0.0148987792	0.015896729	0.0148989257	0.0138965093	0.0128986328	-0.0221012208	0.0128986328	0.0148989257	0.0148991454	-0.0221012208	0.0138992918	0.0128986328	-0.0181008546	-0.0221012208	0.0188994383	0.0168965093	0.0168965093	0.0138992918	0.0168965093	0.015896729	0.0138992918	-0.0231010743	0.0148991454	0.57	0.576	0.575	0.56	0.561	0.562	0.576	0.575	0.562	0.575	0.561	0.575	0.56	0.576	0.587	0.576	0.575	0.562	0.587	0.562	0.576	0.571	0.587	0.575	0.575	0.575	0.562	0.575	0.561	0.562	0.572	0.562
FLQS22XEGRX2	-0.0268543139	0.0171472554	0.0101359855	0.0151419771	0.0131362708	0.0151368415	0.0101309926	0.0131414065	0.0151368415	0.0131414065	0.0131362708	0.0151365561	0.0171419771	0.0151366988	0.0151365561	0.0151366988	0.0151365561	-0.0718741431	0.0151365561	0.017143261	0.0151366988	0.0161384107	0.0151365561	0.0131416918	0.0101359855	0.0101359855	0.017143261	0.0101359855	0.0131362708	0.017143261	0.0111364135	-0.0718741431	-0.00444389580001	0.0315545016	-0.00244234040002	0.0355526163	-0.00344248180001	0.0315543602	-0.0084423875	0.0315545959	0.0315543602	0.0315545959	-0.00344248180001	0.0315544545	0.0325560099	0.0295545959	-0.0044455455	0.0295545959	0.0315544545	-0.0484439429	-0.0044455455	-0.00244615819999	0.0295545959	-0.00444752509999	-0.0044455455	-0.00244403719998	-0.00244234040002	-0.00244234040002	-0.00244615819999	-0.00244234040002	-0.00344248180001	-0.00244615819999	-0.0044456398	-0.0484439429	-0.015	-0.00700000000001	0.0	-0.00900000000001	0.001	-0.00800000000004	0.00200000000001	-0.00900000000001	-0.00800000000004	-0.00900000000001	0.001	-0.00800000000004	-0.00700000000001	-0.00700000000001	0.00199999999995	-0.00700000000001	-0.00800000000004	-0.021	0.00199999999995	0.00300000000001	-0.00700000000001	0.00299999999999	0.00199999999995	0.000999999999976	0.0	0.0	0.00300000000001	0.0	0.001	0.00300000000001	0.000999999999976	-0.021
FLQS22TQGRX2	0.0105662356	0.0115494317	0.0095312654	-0.0254591973	0.0155421652	-0.0244671451	0.0095242259	0.0125408027	-0.0244671451	0.0125408027	0.0155421652	0.0085314925	0.0115405756	0.0075312654	0.0095317195	0.0075312654	0.0085314925	0.0135333091	0.0095317195	-0.0264671451	0.0075312654	0.0115333091	0.0095317195	0.0115412569	0.0095312654	0.0095312654	-0.0264671451	0.0095312654	0.0155421652	-0.0264671451	-0.027466918	0.0135333091	0.000392105200007	-0.0016064798	-0.0036053324	-0.0406078565	0.000393290799991	-0.0396064033	-0.000605523700017	-0.0366064415	-0.0396064033	-0.0366064415	0.000393290799991	-0.001606671	-0.0356051795	-0.0386064033	-0.00260793299999	-0.0386064033	-0.001606671	-0.0326067475	-0.00260793299999	-0.038606671	-0.0386064033	-0.00160804770002	-0.00260793299999	-0.00560655620001	-0.0036053324	-0.0036053324	-0.038606671	-0.0036053324	0.000393290799991	-0.038606671	-0.0386078565	-0.0326067475	-0.038	-0.037	-0.038	-0.042	-0.036	-0.042	-0.038	-0.028	-0.042	-0.028	-0.036	-0.038	-0.027	-0.029	-0.038	-0.029	-0.038	-0.028	-0.038	-0.043	-0.029	-0.037	-0.038	-0.037	-0.038	-0.038	-0.043	-0.038	-0.036	-0.043	-0.043	-0.028
FLQS21YXGRX2	-0.0030092212	0.0369935919	0.039000812	-0.0020030325	0.0380004369	0.0370005307	0.0420038126	0.000997061299998	0.0370005307	0.000997061299998	0.0380004369	0.0380009058	0.0399969675	0.0390009058	0.041000812	0.0390009058	0.0380009058	0.0839999681	0.041000812	0.0380003432	0.0390009058	-0.005991499	0.041000812	-0.00100322	0.039000812	0.039000812	0.0380003432	0.039000812	0.0380004369	0.0380003432	0.0400001556	0.0839999681	0.0402966849	0.0122969089	0.00729717770001	0.00729664010001	0.00829713290001	0.00829690890001	0.00629714040001	0.00829692389998	0.00829690890001	0.00829692389998	0.00829713290001	0.0062969089	0.0122971553	0.0402966849	0.00529664760001	0.0402966849	0.0062969089	0.0812963191	0.00529664760001	0.0102968791	0.0402966849	0.00829658790001	0.00529664760001	0.0102968791	0.00729717770001	0.00729717770001	0.0102968791	0.00729717770001	0.00829713290001	0.0102968791	0.0432963937	0.0812963191	0.039	0.063	0.065	0.047	0.064	0.064	0.067	0.049	0.064	0.049	0.064	0.065	0.064	0.056	0.067	0.056	0.065	0.062	0.067	0.064	0.056	0.045	0.067	0.047	0.065	0.065	0.064	0.065	0.064	0.064	0.055	0.062
FLQS2AVTGRX5	-0.0556179396	-0.014614649	-0.0556028231	-0.0926070393	-0.0556031316	-0.0176069365	-0.057599224	-0.0556069365	-0.0176069365	-0.0556069365	-0.0556031316	-0.0136073478	-0.0566068336	-0.0556027203	-0.053602926	-0.0556027203	-0.0136073478	-0.0546032345	-0.053602926	-0.0176070393	-0.0556027203	-0.0546032345	-0.053602926	-0.0566069365	-0.0556028231	-0.0556028231	-0.0176070393	-0.0556028231	-0.0556031316	-0.0176070393	-0.0556070393	-0.0546032345	0.00545514389999	0.00845511299998	0.00845460370002	0.002455684	0.00845458829998	0.0414556531	0.0424545883	0.0074550667	0.0414556531	0.0074550667	0.00845458829998	0.041455684	0.00745455739998	0.0104551284	0.0104556994	0.0104551284	0.041455684	0.0074551439	0.0104556994	0.00945519020001	0.0104551284	0.0064556686	0.0104556994	0.0434551284	0.00845460370002	0.00845460370002	0.00945519020001	0.00845460370002	0.00845458829998	0.00945519020001	0.00445573030001	0.0074551439	-0.03	-0.013	-0.031	-0.045	-0.031	-0.024	-0.04	-0.03	-0.024	-0.03	-0.031	-0.022	-0.03	-0.03	-0.03	-0.03	-0.022	-0.03	-0.03	-0.015	-0.03	-0.029	-0.03	-0.041	-0.031	-0.031	-0.015	-0.031	-0.031	-0.015	-0.029	-0.03
FLQS3087GRWV	-0.0097440695	0.0380670384	0.0395917613	0.0378354931	0.0386222277	0.0376222277	0.0403906825	0.0398415864	0.0376222277	0.0398415864	0.0386222277	0.0395978546	0.0388354931	0.0385917613	0.0385917613	0.0385917613	0.0395978546	-0.0096215041	0.0385917613	0.0376161344	0.0385917613	-0.00762150409999	0.0385917613	0.0378415864	0.0395917613	0.0395917613	0.0376161344	0.0395917613	0.0386222277	0.0376161344	0.038628321	-0.0096215041	-0.1020393671	-0.096039345	-0.076038992	-0.0690397642	-0.0680390251	-0.0670393671	-0.0680390472	-0.070039334	-0.0670393671	-0.070039334	-0.0680390251	-0.0740393781	-0.069038981	-0.074039323	-0.0720397531	-0.074039323	-0.0740393781	-0.1010393891	-0.0720397531	-0.0670394002	-0.074039323	-0.0710397531	-0.0720397531	-0.0700393781	-0.076038992	-0.076038992	-0.0670394002	-0.076038992	-0.0680390251	-0.0670394002	-0.0360401171	-0.1010393891	-0.121	-0.103	-0.108	-0.11	-0.11	-0.111	-0.11	-0.11	-0.111	-0.11	-0.11	-0.108	-0.11	-0.109	-0.109	-0.109	-0.108	-0.121	-0.109	-0.111	-0.109	-0.129	-0.109	-0.111	-0.108	-0.108	-0.111	-0.108	-0.11	-0.111	-0.119	-0.121
