SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.0254422796	0.0224251194	0.0264258151	0.0554253513	0.0224251194	0.0874408883	0.0224251194	0.0224248875	0.0224330038	0.0264339314	0.0224251194	0.0244413521	0.0274181625	0.025426047	0.0244339314	0.0254181625	0.0244091186	0.0244334676	0.0224248875	0.0254179306	0.023441584	0.023441584	0.0254341633	0.0234248875	0.0244093505	0.0254420477	0.0264181625	0.0224332357	0.0264258151	0.0254413521	0.0574420477	0.0254422796	-0.0820320566	-0.0840660958	-0.0510157364	-0.083016669	-0.0850497756	-0.083016669	-0.053016669	-0.0850339217	-0.0849840286	-0.0820320566	-0.0850497756	-0.0850339217	-0.0820157364	-0.0820483767	-0.082983096	-0.083048843	-0.053016669	-0.0530497756	-0.0860012813	-0.0820651632	-0.0850017476	-0.0820479105	-0.0819989499	-0.0840493093	-0.0830665621	-0.082048843	-0.0510320566	-0.0840493093	-0.0810315903	-0.0820814834	-0.0520017476	-0.0820320566	0.734	0.734	0.719	0.75	0.734	0.765	0.718	0.734	0.734	0.734	0.734	0.734	0.734	0.734	0.734	0.735	0.719	0.719	0.735	0.734	0.735	0.733	0.734	0.734	0.734	0.733	0.719	0.734	0.734	0.734	0.735	0.734
FLQS30KBGRWV	0.0266511343	-0.0034343576	0.0295668298	-0.0404735413	-0.008435545	-0.00839161170001	-0.00743673229999	-0.007435545	-0.0414331702	-0.0454391071	-0.008435545	-0.0063524279	-0.0045127251	-0.0384711666	-0.076429608	-0.0435174746	-0.00451628729999	-0.00339398640001	-0.009435545	0.0275264587	-0.00735124050001	0.0266487595	-0.00839279899999	-0.00643791970001	-0.00451628729999	0.0266487595	0.0275276461	-0.0364319828	0.0295668298	0.0286475721	-0.0073488657	0.0266511343	0.0672058104	0.066207978	0.0692046646	0.1102047266	0.0682068942	0.0692047266	0.0272059033	0.1092058723	0.069202497	0.0322069561	0.0682068942	0.0322070181	0.1112046956	0.0222081638	0.0732024041	0.0702067703	0.0682046646	0.1022069561	0.0272049124	0.069208009	0.0702037356	0.0672068323	0.0292047885	0.0242081638	0.0662081019	0.0672068942	0.0732069252	0.0682068632	0.0322068942	0.1082090928	0.0682046956	0.0672058104	-0.055	-0.069	-0.054	-0.109	-0.073	-0.073	-0.052	-0.093	-0.09	-0.073	-0.073	-0.054	-0.092	-0.064	-0.109	-0.091	-0.071	-0.088	-0.054	-0.056	-0.073	-0.055	-0.054	-0.051	-0.07	-0.054	-0.058	-0.087	-0.036	-0.074	-0.073	-0.055
FLQS30CWGRWV	-0.0055031958	0.0324862571	0.0974959491	0.0334868272	0.0304859721	0.0304970893	0.0624953789	0.0304865422	0.0645062111	0.0714965192	0.0304859721	0.032505641	0.0654774204	-0.0055240049	0.0305064962	0.0344777054	0.0634751399	0.0314959491	0.062495664	-0.0055336968	0.0635161881	0.099515903	0.0284968042	0.030485687	0.0334665882	-0.0075037659	0.0654771353	0.0674965192	0.0294865422	0.064515618	0.0305073513	-0.0055031958	-0.0817320565	0.0052603621	-0.0377058376	0.00429321470001	-0.037742165	-0.0367067853	-0.0367058376	-0.0357178415	-0.0346834094	0.0622688911	-0.037742165	0.0062688911	0.0062938465	-0.0407424809	-0.0346834094	0.0042714183	-0.0367055217	0.0062568873	-0.0336947815	-0.038753853	-0.0336963609	0.00427205	-0.077707733	-0.0357270023	0.0062594144	-0.0817424809	0.00826889109999	0.00527110239999	-0.0837311089	0.0022483583	-0.0377064694	-0.0817320565	0.039	0.015	0.068	0.015	0.035	0.035	0.05	0.034	0.05	0.005	0.035	0.013	0.031	0.018	0.034	0.015	0.049	0.013	0.049	0.018	0.05	0.048	0.053	0.034	0.015	0.037	0.029	0.032	0.058	0.032	0.034	0.039
FLQS30C7GRWV	0.0528648246	-0.019227355	0.0527739077	0.0147739077	0.0127701195	0.0548181034	0.0127688568	0.0537713823	0.0148130525	0.0518181034	0.0127701195	0.0138547227	0.051729712	0.0157221356	0.0538193662	0.0156792027	0.0487259238	0.0138117898	0.014772645	0.0507284493	0.0509039694	0.0528622992	0.0158206289	0.0498130525	0.0126754145	0.0178622992	0.0517309748	0.0218181034	0.0527751705	0.0148597737	0.0538635619	0.0528648246	-0.0232990631	-0.0523022051	-0.0582990925	-0.0562991512	-0.0543011774	-0.0962991512	-0.0182979473	-0.0553002083	-0.0162960386	-0.0222990338	-0.0543011774	-0.0152990631	-0.0572990925	-0.0163011774	-0.0212959211	-0.0153011774	-0.0542991512	-0.0523012361	-0.019297037	-0.0573022639	-0.0522981822	0.0176999385	-0.0192969489	-0.0183000028	-0.0193023813	-0.0173000615	-0.0573001496	-0.0163011774	-0.0202990044	-0.0563032622	-0.0572991219	-0.0232990631	0.00200000000001	-0.019	0.02	-0.00100000000003	-0.00199999999998	0.04	-0.02	0.019	-0.02	0.00200000000001	-0.00199999999998	-0.021	0.019	-0.019	0.00200000000001	-0.02	0.016	-0.00299999999999	-0.019	0.018	0.016	-0.017	-0.017	-0.00100000000003	-0.019	-0.018	0.02	-0.016	0.000999999999976	0.0	0.02	0.00200000000001
FLQS29JFGRX5	-0.0024906794	-0.00249100520001	-0.00149129569999	-0.003491014	-0.0044910228	-0.00249101399999	-0.0374913221	-0.00349102279999	-0.00149066180001	-0.0034909964	-0.0044910228	-0.040490697	-0.0024915863	-0.0354912781	-0.0034909964	0.0335087219	-0.0024916215	-0.0404909964	-0.00449101399999	-0.0024915775	-0.0034906882	-0.00249068819999	-0.0034909876	-0.00349102279999	-0.0394918944	-0.00249068819999	-0.0024915775	-0.0394910052	-0.0344912869	-0.004490019	-0.002490697	-0.0024906794	0.0723065796	0.1113044969	0.0333091087	0.0363091831	0.0363041994	0.0703091087	0.0323090343	0.0723092574	0.1113171421	0.0733065796	0.0363041994	0.073306654	0.0713090343	0.1083067284	0.0723141668	0.1233076954	0.0353090343	0.034304125	0.070311489	0.108304125	0.0743116377	0.0733039762	0.0713115633	0.0353039762	-0.0286988503	0.0333039018	0.072306654	0.1093068772	0.0383065796	0.0203057614	0.0713121584	0.0723065796	-0.035	-0.054	-0.015	-0.018	-0.018	-0.033	-0.032	-0.036	-0.054	-0.035	-0.018	-0.055	-0.034	-0.07	-0.036	-0.043	-0.017	-0.035	-0.035	-0.053	-0.037	-0.036	-0.036	-0.016	-0.00300000000001	-0.016	-0.035	-0.072	-0.034	-0.00999999999999	-0.034	-0.035
FLQS22XEGRX2	-0.0137337941	-0.0467379167	-0.0117377473	-0.0097378037	-0.0457378602	-0.0107357707	-0.0117379732	-0.0447378037	-0.0447358836	-0.0137358836	-0.0457378602	-0.0467340765	-0.0137397238	-0.0127377473	-0.0137358272	-0.0147397238	0.0232600503	-0.0457359966	-0.0127379732	-0.0147397238	-0.0467339635	-0.0137338506	-0.0137358272	-0.0457379732	-0.0137418134	-0.0147338506	-0.0137396674	-0.0127358836	-0.0127377473	-0.0147339071	-0.0117337941	-0.0137337941	-0.00524495289999	-0.0052409158	-0.0052469154	0.0297532528	-0.0052428783	0.0317531406	-0.0032469154	0.0297552153	-0.0072507283	-0.005245009	-0.0052428783	-0.0062448408	0.0307530846	-0.0032431026	-0.0062508404	-0.0032430465	-0.0032468033	-0.0072428783	-0.0392468033	-0.00324102800001	-0.0072485976	-0.00424310260001	-0.0392470836	-0.0032429904	-0.0362390094	-0.00524293439999	0.031754991	-0.00424293439999	-0.005245009	-0.00523900939999	0.0297531406	-0.00524495289999	0.666	0.65	0.667	0.651	0.651	0.65	0.666	0.634	0.652	0.667	0.651	0.651	0.649	0.666	0.668	0.665	0.684	0.651	0.684	0.665	0.652	0.666	0.684	0.65	0.682	0.666	0.649	0.667	0.667	0.666	0.65	0.666
FLQS22TQGRX2	0.0182398656	0.0502283358	-0.0147890995	0.0192196182	0.0562300231	0.0192297419	0.0192196182	0.0192196182	0.0172294607	0.0202303043	0.0562300231	0.0172393032	0.0172103381	0.0172196182	0.0192303043	0.0172100569	0.0171999332	0.0172291795	0.0162190558	0.0172100569	0.0172395844	0.0192395844	0.0192303043	0.0192196182	0.0161996519	0.0202401469	0.0162106193	0.0192297419	0.0172201806	0.016239022	0.0182393032	0.0182398656	-0.0799648076	-0.0089631696	-0.0079702332	-0.0079685441	-0.0109648076	-0.0089685953	-0.0089700796	0.0230317118	-0.0399722294	-0.0119681346	-0.0109648076	-0.0089683393	-0.00896854409999	-0.0109648587	-0.00797217819999	-0.0099648076	-0.0099700285	-0.0069648587	-0.0419702844	-0.0099630161	-0.00797192229999	-0.0099649611	-0.0419703356	-0.0109665479	-0.0099629649	-0.0119664455	-0.0419666502	-0.00896496109999	-0.0099683905	-0.0449612246	-0.0079686976	-0.0799648076	0.039	0.02	-0.013	0.00400000000002	0.0230000000001	0.00400000000002	0.00400000000002	-0.012	0.019	0.00599999999997	0.0230000000001	0.00300000000001	0.00399999999999	0.00400000000002	0.00399999999999	0.00399999999999	0.00399999999999	0.00299999999999	0.019	0.00399999999999	0.00399999999996	0.005	0.021	0.005	0.00399999999999	0.00599999999997	0.019	0.00400000000002	0.005	0.021	0.00299999999999	0.039
FLQS21YXGRX2	0.0113061389	0.0163112659	0.0113168454	0.0163115675	0.0523117183	0.0493062897	0.0153117183	0.0153117183	0.0133059881	0.0473059881	0.0523117183	-0.0286928056	0.0473165438	0.0483111151	0.0463061389	0.0113218217	0.0503219725	0.0503062897	0.0153118691	0.0473162422	0.011300861	0.0113061389	0.0473059881	0.0153117183	0.0493215201	0.0473007102	0.047316393	0.0163061389	0.0483112659	0.046300861	0.050300861	0.0113061389	-0.0564589305	-0.0554572146	-0.0224597884	-0.0554598137	-0.0214580725	-0.0564597884	-0.0564598137	-0.05645888	-0.0224614791	-0.02345888	-0.0214580725	-0.0584589052	-0.057459738	-0.0574579968	-0.0574614791	-0.101457038	-0.0204597632	-0.0214580221	-0.0564606211	-0.0584570632	-0.0574606211	-0.0554580473	-0.0574606464	-0.0544580473	-0.0214570632	-0.0574580221	-0.02345888	-0.0564580473	-0.0224589052	-0.0574562305	-0.0564598389	-0.0564589305	0.038	0.039	0.02	0.039	0.04	0.056	0.039	0.039	0.021	0.039	0.04	0.019	0.055	0.056	0.054	0.059	0.039	0.039	0.039	0.056	0.038	0.037	0.056	0.039	0.039	0.055	0.039	0.04	0.038	0.055	0.056	0.038
FLQS2AVTGRX5	0.0016054805	0.0026110261	0.0016108741	0.0416110261	0.000611178	0.0406083672	0.001611102	-0.029388898	0.0036059363	0.0016082153	0.000611178	0.00160601229999	0.00261338100001	0.0036107222	0.0016082153	0.00261338100001	0.0026162678	0.000608595100005	0.0036110261	0.00261330510001	0.0046032015	0.000605556499998	0.0016082153	0.001611178	0.0016161918	0.000605556499998	0.00361330510001	0.00160836720001	0.0026107982	0.0016055565	0.0036055565	0.0016054805	0.0053070887	0.003305533	0.0043078553	0.00630785529999	0.00330632209999	0.00630785529999	0.0043078779	0.0013070436	0.00630943359999	0.00430711130001	0.00330632209999	0.0053071113	0.00630785529999	0.00330629960001	0.00530943359999	0.004306277	0.0043078553	0.00430636719999	0.00630859939999	0.00430551039999	0.0053086445	-0.0286937004	0.0053086896	-0.030693723	0.0043054879	0.0373070436	0.0053070887	0.004306277	0.0043070887	0.0373054879	0.0393086445	0.0053070887	-0.673	-0.672	-0.673	-0.654	-0.672	-0.653	-0.672	-0.687	-0.672	-0.672	-0.672	-0.673	-0.673	-0.672	-0.673	-0.673	-0.672	-0.672	-0.672	-0.673	-0.672	-0.656	-0.673	-0.656	-0.672	-0.689	-0.672	-0.672	-0.672	-0.688	-0.689	-0.673
FLQS3087GRWV	0.2103458663	0.1049255784	0.2079370931	0.2479255784	0.102919821	0.1641270863	0.1689255784	0.1089255784	0.2041501157	0.207138601	0.102919821	0.1013458663	0.2067413426	0.2089543652	0.160138601	0.2087586147	0.17052832	0.157138601	0.106919821	0.2097643721	0.158357381	0.2395243447	0.160138601	0.170919821	0.2885398347	0.1623458663	0.2067471	0.1681328436	0.2079370931	0.2083401089	0.1673285942	0.2103458663	-0.1341643859	-0.1211641902	-0.1351644823	-0.1661644852	-0.1191642923	-0.135164488	-0.1341644852	-0.1361643859	-0.1351646865	-0.1331643859	-0.1191642923	-0.1851643888	-0.1341644852	-0.1331642895	-0.1351646837	-0.1321642895	-0.1321644852	-0.1361642923	-0.1351645816	-0.1321641902	-0.1361645816	-0.1051643746	-0.1331645873	-0.1321642895	-0.1291641789	-0.1331642867	-0.1321643888	-0.1341642895	-0.1321643888	-0.1321640938	-0.133164488	-0.1341643859	0.679	0.622	0.679	0.714	0.619	0.657	0.659	0.63	0.676	0.678	0.619	0.651	0.678	0.679	0.654	0.678	0.659	0.655	0.629	0.678	0.654	0.68	0.655	0.66	0.716	0.656	0.677	0.659	0.677	0.678	0.658	0.679
