SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.2087529785	0.1487434372	0.148726014	0.1767110798	0.1477251843	0.1477255992	0.1767110798	0.1467251843	0.1476816263	0.1196990495	0.1196990495	0.1747255992	0.1477251843	0.148710665	0.149684945	0.1476961457	0.1486675218	0.1467251843	0.1477110798	0.1757251843	0.1476816263	0.1756957308	0.1756957308	0.148710665	0.1477135689	0.1476961457	0.1477110798	0.1476816263	0.1477110798	0.1476380683	0.148684945	0.1477110798	0.00459862	0.00559926200003	0.036603757	0.030597496	0.00359878	0.00459926200003	0.030597496	0.004593161	0.003598138	-0.028417916	-0.028417916	0.005599101	0.00359878	-0.021406839	0.004587864	0.00359284000001	0.00658786399998	0.004593161	0.00559332200001	0.00358754299998	0.00459332200001	0.004582887	0.004582887	-0.021406839	0.032597657	0.00359284000001	-0.020412136	0.00459332200001	0.00659364299997	-0.020406999	-0.019411655	-0.020412136	0.757	0.732	0.731	0.743	0.731	0.732	0.743	0.732	0.732	0.722	0.722	0.743	0.731	0.734	0.733	0.733	0.732	0.732	0.732	0.743	0.732	0.744	0.744	0.734	0.731	0.733	0.733	0.732	0.732	0.733	0.734	0.733
FLQS30KBGRWV	-0.0479363375	-0.0478913245	-0.0489801001	-0.0480238627	-0.0479801001	-0.0479788497	-0.0480238627	-0.0499826008	-0.0471101375	-0.0480238627	-0.0480238627	-0.0499801001	-0.0479801001	-0.0189876023	-0.0480676253	-0.0490688756	-0.0181163893	-0.0499826008	-0.0490238627	-0.0479801001	-0.0190751274	-0.0490688756	-0.0490688756	-0.0189876023	-0.0479801001	-0.0490688756	-0.0490251131	-0.0190751274	-0.0480226123	-0.0492426757	-0.0480676253	-0.0490251131	0.041373438	0.044372776	0.04137357	0.006382567	0.042373173	0.042372776	0.006382567	0.009374364	0.06837013	0.00638772799999	0.00638772799999	0.040373438	0.042373173	0.044377804	0.020381773	0.042377936	0.044382303	0.009374364	0.044377672	0.040382435	0.043377936	0.021386272	0.021386272	0.044377804	0.041377936	0.042377936	0.105373967	0.043377936	0.042377804	0.043377936	0.044381244	0.105373967	-0.0290000000001	-0.029	-0.029	-0.028	-0.028	-0.029	-0.028	-0.029	-0.0290000000001	-0.027	-0.027	-0.029	-0.028	-0.017	-0.028	-0.028	-0.017	-0.029	-0.029	-0.029	-0.016	-0.028	-0.028	-0.017	-0.029	-0.028	-0.0309999999999	-0.016	-0.029	-0.0289999999999	-0.029	-0.0309999999999
FLQS30CWGRWV	0.0582518082	0.0312536977	0.0592435417	0.0592352752	0.0582435417	0.0312371647	0.0592352752	0.0582435417	0.0592192145	0.0582352752	0.0582352752	0.0282437779	0.0582435417	0.030228662	0.0312203955	0.0592270087	0.059210948	0.0582435417	0.0592355114	0.0312369285	0.0582187422	0.0582267725	0.0582267725	0.030228662	0.0582435417	0.0592270087	0.0602352752	0.0582187422	0.0602357475	0.0591941788	0.0302201593	0.0602352752	-0.00487460999997	-0.00487433000001	-0.003871906	0.021124644	-0.00487442399998	-0.00487414400001	0.021124644	-0.00387759399999	-0.00387451699999	-0.00288094999999	-0.00288094999999	-0.031874424	-0.00487442399998	-0.003877687	-0.004880671	0.021124644	0.00611587999998	-0.00387759399999	-0.00387759399999	-0.00688104400001	-0.00487777999999	-0.027883561	-0.027883561	-0.003877687	0.060124644	0.021124644	-0.031880857	-0.00487777999999	-0.036880577	-0.00487777999999	-0.035883188	-0.031880857	0.023	0.012	0.023	0.022	0.023	0.012	0.022	0.023	0.023	0.022	0.022	0.012	0.023	0.012	0.012	0.0219999999999	0.022	0.023	0.023	0.012	0.023	0.024	0.024	0.012	0.02	0.0219999999999	0.025	0.023	0.025	0.023	0.013	0.025
FLQS30C7GRWV	0.0579414394	0.0289450033	0.0279241291	0.0579058005	0.05692362	0.0289093644	0.0579058005	0.0569231108	0.0288706707	0.0579058005	0.0579058005	0.02792362	0.05692362	0.0279047822	0.0278727072	0.0298879811	0.0298533604	0.0569231108	0.0279058005	0.0589241291	0.0288701616	0.0578874719	0.0578874719	0.0279047822	0.05792362	0.0298879811	0.0579058005	0.0288701616	0.0579063096	0.0268167033	0.0568874719	0.0579058005	0.010844608	0.010847892	0.00985294399999	0.012841998	0.011847724	0.010847892	0.012841998	0.038846882	-0.014152445	-0.019161202	-0.019161202	0.012847639	0.011847724	0.012846966	0.011841914	-0.022158171	-0.023161118	0.038846882	0.01184705	0.110847555	0.012844776	0.011839556	0.011839556	0.012846966	0.043844692	-0.022158171	0.013841914	0.012844776	0.010844608	0.011844776	0.01184225	0.013841914	0.021	0.00900000000001	0.00800000000004	0.021	0.021	0.00900000000001	0.021	0.0190000000001	0.00999999999999	0.021	0.021	0.00800000000004	0.021	0.00800000000004	0.00900000000001	0.011	0.011	0.0190000000001	0.00900000000001	0.017	0.00899999999996	0.02	0.02	0.00800000000004	0.02	0.011	0.02	0.00899999999996	0.02	0.00800000000004	0.021	0.02
FLQS29JFGRX5	-0.0189532596	-0.0179520695	-0.0789626312	-0.0479679864	-0.020958466	-0.0799624825	-0.0479679864	-0.0779626312	-0.0219740855	-0.0479679864	-0.0479679864	-0.0199586148	-0.020958466	-0.02196397	-0.0489731929	-0.0209690277	-0.0489834571	-0.0779626312	-0.0489678377	-0.04896278	-0.0209742342	-0.0479731929	-0.0479731929	-0.02196397	-0.018958466	-0.0209690277	-0.0479679864	-0.0209742342	-0.0209636725	-0.0219898536	-0.0179731929	-0.0479679864	0.097687391	0.068685316	0.012682991	0.018680169	0.097687723	0.038685233	0.018680169	0.067682244	0.127687391	0.039677097	0.039677097	0.042685482	0.097687723	0.096684818	0.069679421	0.097682327	0.040677346	0.067682244	0.065682327	0.045677512	0.06768241	0.042677014	0.042677014	0.096684818	0.044682327	0.097682327	0.067679504	0.06768241	0.041682161	0.06968241	0.068679587	0.067679504	-0.012	-0.00999999999999	-0.033	-0.0210000000001	-0.012	-0.034	-0.0210000000001	-0.034	-0.014	-0.021	-0.021	-0.00999999999999	-0.012	-0.013	-0.023	-0.012	-0.022	-0.034	-0.022	-0.022	-0.012	-0.021	-0.021	-0.013	-0.00999999999999	-0.012	-0.022	-0.012	-0.011	-0.0120000000001	-0.00999999999999	-0.022
FLQS22XEGRX2	-0.0395465088	-0.0115373618	-0.0405554017	-0.0395642946	-0.0405554017	-0.0115551476	-0.0395642946	-0.0385554017	-0.0115744579	-0.0405642946	-0.0405642946	-0.0115482874	-0.0405554017	-0.0405642946	-0.0405731875	-0.0405731875	-0.0115830967	-0.0385554017	-0.0395640405	-0.0115554017	-0.0125749661	-0.0395731875	-0.0395731875	-0.0405642946	-0.0115480333	-0.0405731875	-0.0385642946	-0.0125749661	-0.0115566721	-0.0116013907	-0.0115658191	-0.0385642946	-0.073253208	-0.017253699	-0.018253699	-0.08224438	-0.042253699	-0.018253821	-0.08224438	-0.050252227	-0.018256151	-0.019244626	-0.019244626	0.010742746	-0.042253699	-0.018249162	-0.041244994	-0.017249162	-0.019244994	-0.050252227	0.00574764999999	-0.019245116	0.00774752799998	-0.016244626	-0.016244626	-0.018249162	-0.041249162	-0.017249162	-0.043245239	0.00774752799998	-0.041249162	-0.017249039	-0.040245607	-0.043245239	0.659	0.669	0.657	0.66	0.658	0.668	0.66	0.658	0.668	0.657	0.657	0.667	0.658	0.656	0.657	0.657	0.669	0.658	0.655	0.669	0.667	0.656	0.656	0.656	0.669	0.657	0.658	0.667	0.669	0.668	0.669	0.658
FLQS22TQGRX2	-0.0378788575	-0.0068731998	-0.0078843579	-0.0078898584	-0.0378843579	-0.0388842008	-0.0078898584	-0.0088845151	-0.0069007022	-0.0378898584	-0.0378898584	-0.0078842008	-0.0378843579	-0.0078898584	-0.0379000736	-0.0078953589	-0.0079062027	-0.0088845151	-0.0378898584	-0.0068843579	-0.0369008594	-0.0078955161	-0.0078955161	-0.0078898584	-0.0078843579	-0.0078953589	-0.0078898584	-0.0369008594	-0.0078897013	-0.0079173608	-0.0078953589	-0.0078898584	-0.087783152	-0.056783594	-0.03078743	-0.028778283	-0.055783742	-0.089783742	-0.028778283	-0.027778135	-0.057782857	-0.059772824	-0.059772824	-0.030787726	-0.055783742	-0.027778135	-0.055773119	-0.027777988	-0.028772971	-0.027778135	-0.059777988	-0.029777103	-0.08677843	-0.030772234	-0.030772234	-0.027778135	-0.02777843	-0.027777988	-0.031776955	-0.08677843	-0.030782414	-0.02777784	-0.029773709	-0.031776955	-0.014	-0.00300000000004	-0.00300000000004	-0.00399999999996	-0.014	-0.014	-0.00399999999996	-0.00400000000002	-0.00200000000001	-0.014	-0.014	-0.00400000000002	-0.014	-0.00399999999996	-0.015	-0.00399999999996	-0.00400000000002	-0.00400000000002	-0.015	-0.00299999999999	-0.013	-0.00400000000002	-0.00400000000002	-0.00399999999996	-0.00400000000002	-0.00399999999996	-0.00399999999996	-0.013	-0.00400000000002	-0.00400000000002	-0.00400000000002	-0.00399999999996
FLQS21YXGRX2	0.0167217994	0.016721077	0.0167224816	0.0447226422	0.0457219198	0.0157225017	0.0447226422	0.0457218997	0.0167246087	0.0447226422	0.0447226422	0.0457218596	0.0457219198	0.0447226422	0.0177239063	0.0157239264	0.015725311	0.0457218997	0.045722602	0.0167225017	0.0127240468	0.0167239264	0.0167239264	0.0447226422	0.0457219198	0.0157239264	0.0167231839	0.0127240468	0.015723204	0.0157267156	0.0157239264	0.0167231839	-0.052155651	-0.080156123	-0.083151084	-0.052150296	-0.080155808	-0.053155966	-0.052150296	-0.052150139	-0.052155178	-0.052144627	-0.052144627	-0.082156123	-0.080155808	-0.085145099	-0.052144942	-0.053149824	-0.084139903	-0.052150139	-0.083150139	-0.083144627	-0.050150454	-0.08313943	-0.08313943	-0.085145099	-0.053150296	-0.053149824	-0.08214006	-0.050150454	-0.050150769	-0.052150139	-0.053145257	-0.08214006	0.00799999999998	0.00900000000001	0.00900000000001	0.019	0.02	0.00799999999998	0.019	0.02	0.00799999999998	0.02	0.02	0.021	0.02	0.021	0.00799999999998	0.00800000000004	0.00899999999996	0.02	0.021	0.00900000000001	0.00599999999997	0.00899999999996	0.00899999999996	0.021	0.02	0.00800000000004	0.00899999999996	0.00599999999997	0.00799999999998	0.00799999999998	0.00799999999998	0.00899999999996
FLQS2AVTGRX5	-0.0038663687	-0.0038713193	-0.0048615556	-0.0048566051	-0.0048615556	-0.0038616931	-0.0048566051	-0.0048615556	-0.0048469789	-0.0038567426	-0.0038567426	-0.0038615556	-0.0048615556	-0.0038567426	-0.004851792	-0.004851792	-0.0038423034	-0.0048615556	-0.0048567426	-0.0038616931	-0.0038471164	-0.0038519295	-0.0038519295	-0.0038567426	-0.0048614181	-0.004851792	-0.0038568801	-0.0038471164	-0.0038567426	-0.0048326772	-0.0038519295	-0.0038568801	0.00562806799999	0.005627917	-0.023373971	0.00562535	0.00562806799999	0.00562814400001	0.00562535	-0.023376764	0.00562806799999	0.00562285799998	0.00562285799998	-0.022373971	0.00562806799999	0.00562542500001	0.00562300899998	0.00662527399999	0.005622934	-0.023376764	0.005625501	0.00562278300001	0.004625425	0.006620215	0.006620215	0.00562542500001	0.00462535	0.00662527399999	0.004622783	0.004625425	0.00462535	0.00562542500001	0.00562285799998	0.004622783	-0.675	-0.675	-0.674	-0.674	-0.675	-0.675	-0.674	-0.674	-0.675	-0.675	-0.675	-0.674	-0.675	-0.675	-0.674	-0.675	-0.674	-0.674	-0.675	-0.674	-0.675	-0.675	-0.675	-0.675	-0.674	-0.675	-0.675	-0.675	-0.674	-0.675	-0.675	-0.675
FLQS3087GRWV	0.3371222811	0.3743572944	0.3778937959	0.3366587825	0.3368937959	0.3739068522	0.3366587825	0.319076584	0.3342148684	0.3678611551	0.3678611551	0.3378872677	0.3368937959	0.3678480988	0.3354368255	0.3364302973	0.365195284	0.319076584	0.2896653107	0.2918937959	0.3653976566	0.3374302973	0.3374302973	0.3678480988	0.3368937959	0.3364302973	0.3746587825	0.3653976566	0.3346718388	0.3345228847	0.3754368255	0.3746587825	-0.067812755	-0.066811243	-0.067812348	-0.068813395	-0.089812406	-0.064811069	-0.068813395	-0.095812988	-0.065812697	-0.066815023	-0.066815023	-0.065810894	-0.089812406	-0.063811243	-0.067815256	-0.068813337	-0.092816361	-0.095812988	-0.122814325	-0.091816244	-0.067812988	-0.070816651	-0.070816651	-0.063811243	-0.067813337	-0.068813337	-0.067814965	-0.067812988	-0.064813337	-0.089814732	-0.08581607	-0.067814965	0.776	0.792	0.793	0.777	0.778	0.792	0.777	0.771	0.777	0.79	0.79	0.778	0.778	0.79	0.777	0.777	0.79	0.771	0.76	0.76	0.789	0.777	0.777	0.79	0.777	0.777	0.793	0.789	0.776	0.777	0.793	0.793
