SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.1337065438	0.1727783056	0.1737925787	0.172764429	0.1327077333	0.1337216098	0.1717239887	0.1717660149	0.1726958391	0.1718346049	0.1726978214	0.1847390547	0.1716573811	0.174628042	0.2385154435	0.1805015669	0.168212934	0.2343905542	0.1103905542	0.1805154435	0.2353766776	0.1806680859	0.1803350479	0.1713338585	0.1803766776	0.1803489245	0.2293211713	0.1803211713	0.1802934181	0.1193524927	0.1804044308	0.180432184	0.02640614	0.02539217	0.026374271	0.026438446	0.027451543	0.025498692	0.027530561	0.025575964	0.088416618	0.090493017	0.029575528	-0.026410066	0.02665149	0.025620057	0.085706934	0.031691654	0.024822623	0.013722213	0.031569416	0.031844452	0.041859732	0.031477737	0.031890291	0.021865407	0.031859732	0.031920851	0.04693613	0.03198197	0.03198197	-0.02016297	0.031798612	0.031859732	-0.391	-0.376	-0.376	-0.376	-0.391	-0.391	-0.376	-0.376	-0.385	-0.387	-0.377	-0.364	-0.376	-0.376	-0.36	-0.374	-0.378	-0.352	-0.4	-0.374	-0.355	-0.374	-0.374	-0.376	-0.374	-0.374	-0.359	-0.374	-0.374	-0.389	-0.374	-0.374
FLQS30KBGRWV	-0.0552737544	-0.0560983461	-0.0880548051	-0.0551418872	-0.0552712663	-0.0522264812	-0.0542700223	-0.0851393991	-0.1123595925	-0.0869254259	-0.0553483962	-0.052216529	-0.1054815074	-0.0205238044	-0.0679567269	-0.105960459	-0.1088773092	-0.0453199837	-0.0533125195	-0.1060040001	-0.0924431427	-0.0544429425	-0.1155812301	-0.05349788	-0.0493921375	-0.0454506069	-0.0555725219	-0.0886135748	-0.074660848	-0.1074406547	-0.0452764427	-0.0582241934	-0.006368076	-0.004366852	-0.007365056	-0.00537113800002	-0.007372199	-0.00537681200001	-0.00437979099999	-0.035384036	-0.00136644400001	-0.035373669	-0.00638375100002	-0.004385383	0.00460902399999	-0.010387833	-0.00239354700003	-0.063392486	-0.05540567	-0.00339779200002	-0.007380893	-0.059406936	-0.000408445999994	-0.00537240300002	-0.00341350700003	-0.04540967	-0.040407997	-0.00341636500002	-0.006416691	-0.036419997	-0.02642114	-0.057408446	-0.00340493500002	-0.008408242	-0.071	-0.072	-0.083	-0.071	-0.071	-0.07	-0.071	-0.077	-0.094	-0.078	-0.07	-0.07	-0.091	-0.057	-0.077	-0.081	-0.083	-0.068	-0.07	-0.081	-0.085	-0.071	-0.094	-0.064	-0.063	-0.068	-0.071	-0.078	-0.075	-0.082	-0.067	-0.071
FLQS30CWGRWV	0.0541722592	0.0562064941	0.0542146912	0.0541975737	0.0041727413	0.0551811795	0.0531727413	0.0561985381	0.004155865	0.0362479618	0.0431652675	0.0391896177	0.0091317558	0.0421228355	0.0150302564	0.0110394179	0.0098619748	0.00795431270001	0.0079711891	0.0160307386	0.0509547949	0.0501389886	-0.0010816099	0.0189357487	0.0719605811	0.0139294803	0.0139130861	0.0129133272	0.0479046479	0.0109465978	0.0739774575	0.0159803506	0.042712833	0.041703123	0.041690765	0.041734019	0.030743434	0.041774919	0.043796104	0.040826117	0.03070224	0.057761678	0.065836121	0.064846126	0.033878198	0.029856424	0.045898501	0.032888203	0.037982361	0.069940284	0.037807285	0.043991482	0.042001487	0.074743434	0.095040327	0.047012374	0.10701973	0.047044446	0.045054156	0.04408564	0.041085346	0.040003546	0.099978536	0.045002958	-0.529	-0.528	-0.529	-0.529	-0.546	-0.529	-0.53	-0.528	-0.546	-0.538	-0.538	-0.538	-0.545	-0.532	-0.544	-0.544	-0.545	-0.55	-0.546	-0.544	-0.531	-0.535	-0.558	-0.543	-0.532	-0.545	-0.545	-0.545	-0.531	-0.544	-0.531	-0.544
FLQS30C7GRWV	0.1218349168	0.1569372385	0.1579582875	0.15491502	0.1228360861	0.1228559658	0.1228559658	0.1259191129	0.1568156218	0.1240190958	0.15481913	0.123859474	0.1257571523	0.158717393	0.0935109954	0.1225308751	0.1581017086	0.1723350021	0.1203449419	0.1224893617	0.093306352	0.1197536441	0.1732531447	0.1232589917	0.093306352	0.1072736091	0.1192250793	0.095225664	0.1071917517	0.1743145377	0.1073554664	0.1073963951	-0.057435347	-0.060436631	-0.059437915	-0.025431739	-0.057431774	-0.056428027	-0.057425702	-0.057422024	-0.029436735	-0.058430698	-0.028422024	-0.057420775	-0.057416022	-0.027418416	-0.076413663	-0.057414808	-0.066403948	-0.055409881	-0.059424453	-0.05740256	-0.073401415	-0.026431774	-0.059398952	-0.056400235	-0.080401658	-0.00239409399998	-0.060395482	-0.076391804	-0.072391666	-0.05940138	-0.072406238	-0.07240138	-0.574	-0.56	-0.56	-0.566	-0.573	-0.573	-0.573	-0.572	-0.565	-0.572	-0.566	-0.573	-0.572	-0.564	-0.581	-0.572	-0.558	-0.554	-0.574	-0.573	-0.581	-0.578	-0.554	-0.573	-0.58	-0.587	-0.574	-0.58	-0.576	-0.553	-0.576	-0.576
FLQS29JFGRX5	-0.0496657355	-0.0116417594	-0.012637045	-0.0126466085	-0.1136651967	-0.0096556332	-0.0116603476	-0.011645935	-0.0126700458	-0.0806230365	-0.0116686989	-0.0476595394	-0.0726832462	-0.0136921362	-0.0647387414	-0.064734027	-0.0128332989	-0.0127819792	-0.0027717422	-0.0677391455	-0.0117866936	0.000322545800003	-0.0688005675	-0.0507976041	-0.0527865589	-0.0137959877	-0.0678051472	-0.0508050125	-0.0658143066	-0.0077858855	-0.0697771301	-0.0697677013	0.01689163	0.014889298	0.015885988	0.013897271	-0.053100698	0.016907727	0.015913294	0.013920967	0.014888696	0.01590186	0.016920515	0.013923449	0.02093383	0.014928338	-0.049060905	0.020936462	0.010960985	0.014947219	0.0149154	-0.041036608	0.01596595	0.014899603	0.02897129	0.016968959	-0.016034502	0.015976556	-0.048021338	0.017987162	0.031987313	0.078970689	-0.039044356	0.02796595	0.559	0.573	0.573	0.573	0.546	0.574	0.574	0.574	0.573	0.548	0.573	0.56	0.55	0.572	0.563	0.553	0.573	0.573	0.577	0.561	0.573	0.578	0.55	0.559	0.563	0.572	0.562	0.558	0.551	0.565	0.56	0.55
FLQS22XEGRX2	-0.0222637709	-0.0232307452	-0.0222225473	-0.0212394115	-0.0242637709	0.0107521564	-0.0222637709	0.0097678495	-0.0232801667	-0.0231988905	0.00872873390001	0.0107533275	0.0067029691	0.00868774449999	0.0106055314	-0.0183937659	-0.0225668583	0.0095312821	-0.0224600516	0.0096043603	-0.0224851137	-0.022296094	-0.02451041	0.0125038777	0.0085223815	-0.0225022121	-0.0235181395	0.0094898242	0.0104736627	-0.0224846453	0.0105394799	0.0075544703	-0.00923136600002	-0.00822949000002	-0.009226864	-0.00923605700001	0.02476213	-0.011244499	-0.011249002	-0.012255444	0.025770823	-0.00923993399999	-0.008255381	-0.01125757	-0.011266138	-0.01326176	-0.01327014	-0.03926645	-0.011288151	-0.019276644	-0.041248627	-0.016290027	-0.046290215	-0.00923793300001	-0.010296844	-0.01629428	-0.019291653	-0.012301097	-0.011303098	-0.017309602	-0.019309664	-0.04729034	-0.017283461	-0.017292091	-0.013	-0.014	-0.013	-0.013	-0.018	-0.001	-0.013	0.0	-0.018	-0.013	-0.001	-0.001	-0.001	-0.00100000000003	0.0	-0.00700000000001	-0.013	0.00100000000003	-0.00800000000001	0.0	-0.00700000000001	-0.013	-0.014	0.000999999999976	0.00100000000003	-0.013	-0.013	0.0	0.001	-0.00700000000001	0.0	0.0
FLQS22TQGRX2	0.000218067600002	-0.0347641232	-0.0367583564	-0.0357703988	-0.000781593199996	0.0022243432	0.000218576400002	0.0012365553	0.002206534	0.0012657285	0.0042077213	0.0032251913	-0.000810596799994	0.0001776999	-0.000881833800001	0.000123763399998	0.0060001163	0.00406541689999	0.0030764416	0.0061181662	0.0030589716	0.000188724700003	0.0080416712	0.0060508302	0.0030594804	0.0030472684	0.0020353956	-0.00096443479999	0.0030236923	0.0070594804	7.06747999928e-05	0.0050828869	-0.00497402399998	-0.041970149	-0.039967787	-0.040976567	0.030019679	-0.039984863	-0.00998904100001	-0.006995459	-0.004969725	-0.00598038199999	-0.00499545900001	-0.00699751799999	-0.00800593399998	-0.042001514	-0.01000987	-0.00401029400001	-0.045026945	-0.00401634899998	-0.040990918	-0.040029125	-0.003031123	-0.00997826299999	-0.040035483	-0.00303518000001	-0.00603088099999	-0.0040396	-0.040041599	-0.00704807799997	-0.04004832	-0.041031184	-0.007024887	-0.040031244	-0.04	-0.047	-0.047	-0.047	-0.045	-0.034	-0.039	-0.039	-0.038	-0.039	-0.038	-0.039	-0.039	-0.033	-0.039	-0.04	-0.031	-0.038	-0.033	-0.032	-0.038	-0.039	-0.031	-0.037	-0.038	-0.038	-0.034	-0.04	-0.033	-0.032	-0.039	-0.032
FLQS21YXGRX2	0.013186243	-0.000816711700004	-0.0028179068	0.0391831555	0.012186243	0.0021854462	0.0031865417	0.00418305590001	-0.0018098728	0.0141769474	0.0041885668	0.0031852138	-0.0218077813	0.0091943765	-0.021793838	-0.0187950996	0.0392292348	0.0392165198	-0.000784276899992	0.00320619520001	0.0012177482	-0.000807515799998	-0.0167788988	-0.000779562799998	-0.0017823514	0.0032199393	-0.000777736899998	0.000222229899997	-0.016775413	0.1142152915	-0.0167847085	-0.0167870324	0.00299134899998	0.003992377	0.039993977	0.00398834000001	0.00598735	0.003983084	0.00598030299997	0.00597634200003	0.03599272	0.07698335	-2.33160000107e-05	0.003975123	-0.00703009600002	0.00397268500001	-0.013032533	-0.00703142899999	0.055954021	0.037963315	0.000979274999992	0.004955088	0.00595371600002	0.00298715900001	-0.010048645	0.00295226899999	0.00295413500001	-0.00205131200002	0.004947241	0.00194308900001	-0.00205694899998	0.062951355	-0.010040646	-0.010045979	0.053	0.047	0.041	0.062	0.052	0.048	0.048	0.049	0.042	0.042	0.05	0.049	0.042	0.051	0.042	0.043	0.055	0.057	0.048	0.048	0.048	0.047	0.044	0.048	0.046	0.05	0.047	0.048	0.043	0.081	0.044	0.044
FLQS2AVTGRX5	-0.0661565662	-0.0641702255	-0.098179682	0.000825965600008	-0.0651568289	-0.0631612944	-0.0271566975	-0.0641704882	-0.0641475038	-0.06519321	-0.0661482918	-0.0651618198	-0.0651341071	-0.0621254387	-0.0650794698	-0.065083804	-0.0679872694	-0.0660377038	-0.0680466349	-0.0650790758	-0.0650329756	-0.06513831	-0.0670191849	-0.0670268026	-0.0660333696	-0.0680239132	-0.0680149821	-0.0680149821	-0.0690055256	-0.0650333696	-0.0650425634	-0.0640514945	-0.00035623399998	0.00364301800002	0.00464179900001	0.032646729	-0.000353408999985	0.00364974799999	0.000651742000002	0.00265462200002	0.000642712999991	-0.000352523000004	-0.000345627000002	0.000655508999984	0.00165933	-0.000342690999986	0.002661158	0.0016603	0.000669273	0.00866428799998	-0.061347344	0.00467013200003	0.007671101	0.00164672899999	-0.000326959999995	0.00767204299999	0.002670935	0.00267497800002	-0.000324191000004	0.004678939	0.00167893899999	0.00667115599998	0.00266725100002	0.00667115599998	-0.03	-0.029	-0.042	-0.00999999999999	-0.029	-0.029	-0.015	-0.03	-0.029	-0.029	-0.029	-0.029	-0.029	-0.028	-0.029	-0.029	-0.03	-0.031	-0.021	-0.03	-0.03	-0.029	-0.03	-0.031	-0.03	-0.03	-0.03	-0.031	-0.031	-0.03	-0.03	-0.029
FLQS3087GRWV	0.2819257304	0.2123772731	0.2126030444	0.2826030444	0.2114741878	0.2811515018	0.2104806384	0.2091515018	0.2100226452	0.2142803584	0.20507425	0.2047386628	0.2757968738	0.2069582946	0.1376360753	0.2083133893	0.2735721915	0.1396299359	0.1360556761	0.208087618	0.2058299048	0.2075711025	0.2051525908	0.2051525908	0.2058299048	0.2053783621	0.2049268195	0.2049268195	0.2044752768	0.1353783621	0.2062814474	0.1845910766	-0.015592796	-0.018592904	-0.013593013	-0.017592579	-0.071592471	-0.016592146	-0.061592066	-0.015591605	-0.015592904	-0.011592363	-0.063591754	-0.03059154	-0.020591064	-0.062591423	-0.071590847	-0.071590955	-0.071589981	-0.15059055	-0.071591822	-0.071589873	-0.071589765	-0.014592471	-0.071589548	-0.071589656	-0.071589765	-0.071589331	-0.071589223	-0.071588898	-0.071588898	-0.071589765	-0.071590198	-0.081589795	-0.00699999999998	-0.032	-0.033	-0.00700000000001	-0.024	-0.00700000000001	-0.027	-0.034	-0.033	-0.034	-0.028	-0.033	-0.00799999999998	-0.027	-0.051	-0.025	0.001	-0.037	-0.05	-0.025	-0.025	-0.034	-0.024	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.051	-0.025	-0.031
