SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.1396101128	0.1385538745	0.1416182526	0.113636752	0.1046075229	0.0945945733	0.1136238024	0.0935942033	0.1426075229	0.1085664541	0.1096193625	0.1075553544	0.1055812537	0.1055831036	0.1085964232	0.1066189925	0.1075964232	0.1026330521	0.0965953132	0.1418250765	0.1106064129	0.1156245424	0.1137347991	0.1407347991	0.1095960532	0.1106086328	0.1636201025	0.1076078929	0.1096145527	0.1407088999	0.1105930933	0.1125927233	-0.026241449	-0.029401095	-0.026506178	-0.057469298	-0.062507189	-0.079455657	-0.056453131	-0.079561752	-0.023259636	-0.05524549	-0.05724549	-0.05752285	-0.003494559	-0.060451616	-0.058469803	-0.028211641	-0.063488496	-0.064526387	-0.073505673	-0.027329355	-0.055244985	-0.057468793	-0.057276308	-0.066296011	-0.055434439	-0.057469803	-0.009455657	-0.061471319	-0.060482434	-0.030314704	-0.021278834	-0.057259131	0.734	0.735	0.736	0.731	0.728	0.728	0.73	0.728	0.735	0.729	0.73	0.729	0.717	0.729	0.73	0.722	0.73	0.729	0.727	0.735	0.729	0.731	0.731	0.743	0.729	0.73	0.74	0.73	0.73	0.736	0.722	0.73
FLQS30KBGRWV	0.0084473266	0.00719540600001	0.00641151439999	0.0234658502	0.0183732323	-0.0586786337	0.0634905483	0.00840410489999	0.0084473266	0.0083176616	-0.0615958951	-0.055804594	-0.0457058016	-0.0497107412	-0.0496675195	0.00840410489999	0.0644041049	0.0085337699	0.0784041049	0.00410059120001	-0.0546304724	0.0084905483	0.0037943349	0.0027943349	0.0223349503	-0.048623063	-0.0506687544	0.0033757021	0.00143497760001	-0.0002945783	0.0704041049	-0.0256786337	0.137823379	0.065830136	0.064833984	0.00783268400001	0.00283403899999	-0.00116778600001	0.124830967	0.067834761	0.067824011	0.067823379	0.067823379	0.00683459899999	0.00683459899999	0.006832069	0.004832738	0.137822114	0.128832232	0.067833497	0.067832864	0.063827534	0.00282455299998	0.0678316	0.035825655	0.065826468	0.007831419	0.00783268400001	0.00383338799999	0.064832738	0.065832575	0.063827137	0.135824643	0.033825113	-0.054	-0.04	-0.04	-0.023	-0.023	-0.051	-0.031	-0.04	-0.04	-0.04	-0.066	-0.052	-0.048	-0.05	-0.05	-0.054	-0.032	-0.04	-0.014	-0.041	-0.051	-0.04	-0.035	-0.042	-0.023	-0.05	-0.049	-0.042	-0.042	-0.042	-0.03	-0.046
FLQS30CWGRWV	0.0608292441	0.0297838298	0.0328277552	0.0158515791	0.0278198139	0.0308103836	0.0848428933	0.0858255217	0.081831974	0.0207920193	0.0938428933	0.0327845743	0.0858168359	0.0328041794	-0.0401883756	0.0948428933	0.0298121207	0.0838515791	0.0858255217	0.0319664797	0.0278193175	0.0298299886	0.0329056792	0.0319049347	0.0278118726	0.0858342075	0.0308116244	0.0308205584	0.0628324703	0.0328873149	0.0858255217	0.0288096391	0.019434358	-0.00768405700001	-0.010754969	-0.028711252	-0.023757723	-0.012722611	0.048300796	0.041228508	0.044430227	0.00743366899999	0.057445373	-0.009767361	0.041252604	-0.010718136	-0.088731906	0.057469469	-0.012744642	0.050252604	0.047264652	-0.0116338	-0.018576657	-0.01273225	-0.00759696700001	-0.010611425	-0.010707121	0.041288748	-0.013744986	-0.020732594	0.021271193	-0.011624161	0.041421277	-0.009587329	0.021	0.014	0.017	0.014	0.017	0.016	0.024	0.027	0.024	0.00900000000001	0.026	0.016	0.026	0.017	0.005	0.026	0.016	0.024	0.025	0.016	0.016	0.016	0.016	0.016	0.015	0.026	0.016	0.018	0.021	0.016	0.026	0.015
FLQS30C7GRWV	0.0921546172	0.0550283621	0.0541483738	0.0872010958	0.0531511487	0.058102589	0.0541775096	0.1241282562	0.0591254814	0.0530491734	0.0531476801	0.0530276684	0.0851053638	0.092107445	0.0851254814	0.0481442116	0.0871303374	0.0852024832	0.0881296437	0.0555340764	0.0511227066	0.0821782033	0.0593661986	0.0523648112	0.0501018953	0.0821511487	0.0901296437	0.0831511487	0.0551629417	0.0583155578	0.0831185443	0.0881199317	-0.06130527	-0.057312858	-0.059317648	-0.062315365	-0.062316999	-0.059315522	-0.062314582	-0.029319282	-0.027306075	-0.028305337	-0.030305359	-0.026317671	-0.030317715	-0.063314559	-0.026314604	-0.03030377	-0.027316149	-0.028317738	-0.025316842	-0.056308941	-0.029305292	-0.030315365	-0.060306657	-0.079307486	-0.061313776	-0.030315387	-0.060316171	-0.02831541	-0.05631588	-0.057308336	-0.032306971	-0.027305941	0.031	0.016	0.016	0.029	0.016	0.017	0.016	0.037	0.011	0.00899999999999	0.01	0.00900000000001	0.021	0.03	0.02	0.00799999999998	0.022	0.021	0.023	0.015	0.00900000000001	0.021	0.017	0.019	0.014	0.021	0.03	0.02	0.016	0.017	0.022	0.022
FLQS29JFGRX5	-0.0377227639	-0.007740271	-0.0107208186	-0.0377155551	-0.0067228783	-0.0107280274	-0.0607188734	-0.048727112	-0.0387239081	-0.0077363805	0.0012808977	-0.0087398133	-0.0077311169	-0.0077310025	-0.00772688319999	-0.0717201321	-0.0067268832	-0.0077154406	-0.0067269976	-0.00865685479999	0.00127689289999	-0.0077191023	-0.0096845457	-0.0096845457	0.0072808977	-0.0677236793	-0.0047267688	-0.00872345040001	-0.00971875899999	-0.0076926699	-0.062727112	-0.0077284851	0.045818436	0.075795718	0.073780108	0.044785238	0.074780108	0.073787364	0.01378795	0.091777324	0.046815725	0.07381807	0.075818363	0.07577769	0.138782454	0.07478795	0.073785312	0.00182298	0.073782673	0.073777397	0.073780255	0.070805905	0.075818363	0.073785312	0.072813819	0.072810742	0.078795278	0.012785312	0.073782527	0.073785238	0.072785605	0.073808103	0.00881323299998	0.073816091	-0.024	-0.019	-0.02	-0.024	-0.018	-0.02	-0.027	-0.038	-0.025	-0.019	-0.015	-0.019	-0.031	-0.019	-0.019	-0.028	-0.019	-0.018	-0.019	-0.017	-0.015	-0.019	-0.019	-0.019	-0.014	-0.029	-0.017	-0.019	-0.019	-0.019	-0.026	-0.019
FLQS22XEGRX2	-0.0389214455	-0.00894488340001	-0.0449154833	-0.0079000636	-0.0919315197	-0.0409302861	-0.0439144553	-0.090937482	-0.0369230903	-0.0399444722	-0.0399154833	-0.0409514625	-0.0749350148	-0.0419352204	-0.0459286414	-0.0389156889	-0.0429286414	-0.0449066426	-0.041928847	-0.0428001441	-0.0349224735	-0.0069056147	-0.0408513374	-0.0398517486	-0.0069210343	-0.0049134273	-0.0389218567	-0.0459212399	-0.0159115769	-0.0388657291	-0.0069235015	-0.0389302861	-0.032735054	0.02727837	-0.00471025200001	-0.00471506000001	-0.00670996700001	-0.00471477500001	-0.00571529799998	-0.003705254	-0.031733245	-0.001734864	-0.00273491200002	-0.003708539	-0.033708634	-0.00371534600001	-0.00471348999999	-0.003738291	-0.005711776	-0.00570844299999	-0.00471025200001	-0.001727485	-0.031735007	-0.00671349	0.029266231	-0.00373029400001	-0.00571844	-0.004713537	-0.004713299	-0.00471348999999	0.022286177	-0.00472858000001	-0.00873138899999	-0.004733579	0.66	0.659	0.652	0.667	0.636	0.654	0.653	0.635	0.661	0.654	0.654	0.654	0.647	0.653	0.652	0.654	0.653	0.652	0.654	0.653	0.662	0.666	0.647	0.654	0.667	0.667	0.655	0.652	0.658	0.655	0.667	0.654
FLQS22TQGRX2	-0.024096006	0.0018752952	0.0319129976	0.00291618630001	0.00490924609999	0.0048951781	0.043916749	0.00889630350001	0.0359077455	0.0068818603	0.0059084958	0.00987642069999	0.004889926	0.007891239	0.00889724140001	0.00690830819999	0.0088974289	0.0079163739	0.0078976165	0.00301278680001	0.0069024934	0.00490999640001	0.005967394	0.0059670188	0.0058963035	0.004902681	0.00890361890001	0.0049028686	0.00791224729999	0.0079544514	0.00889555319999	0.000894427799999	-0.039692684	-0.044680423	-0.012673572	-0.010676413	-0.009673533	-0.010677503	-0.01167762	-0.00866956299998	-0.013692373	-0.01169354	-0.014693618	-0.00767232600001	-0.00867232600001	-0.009677815	-0.045675051	-0.012696343	-0.00767508999999	-0.00867228700001	-0.00867376700002	-0.00868742900001	-0.00969252799999	-0.011676375	-0.00769143799999	-0.00969003700001	-0.011679021	-0.00967633599998	-0.008674934	-0.00967633599998	-0.009675362	-0.00868723500001	-0.039689881	-0.043691283	-0.00600000000003	0.00399999999996	0.00900000000001	-0.00200000000001	-0.00200000000001	-0.000999999999976	0.013	-0.000999999999976	0.011	0.0	0.0	0.0	-0.00100000000003	-0.001	0.00699999999995	0.0	0.0	-0.001	0.0	-0.00199999999998	0.0	-0.000999999999976	-0.00100000000003	-0.000999999999976	-0.000999999999976	-0.00100000000003	0.0	-0.00200000000001	-0.000999999999976	-0.001	0.006	0.00400000000002
FLQS21YXGRX2	0.0466785372	0.0176877648	0.0136786936	0.0136763476	0.0116802055	0.1116791107	0.0126782766	0.055679997	0.0166807268	0.0166861487	0.0176787979	0.013687817	0.0526816652	0.0486818216	0.0486800491	0.0066785894	0.0146818738	0.0486744709	0.0186819259	0.015649499	0.0156805183	0.050676504	0.0186624281	0.0226625323	0.0166818216	0.0206801012	0.0496801012	0.0476782244	0.0486774424	0.0186662338	0.00968276	0.0166825515	-0.021011118	-0.02300827	-0.021006497	-0.021007111	-0.021006489	-0.00200748	-0.081007396	-0.052005624	-0.023010547	-0.050010841	-0.05301085	-0.021006203	-0.01900622	-0.020007405	-0.02400706	-0.116011219	-0.0190068	-0.022006195	-0.051006523	-0.023009505	-0.023010866	-0.020007354	-0.049010371	-0.051010035	-0.051007716	-0.051007085	-0.019006783	-0.020007094	-0.021006892	-0.022009715	-0.00201042100001	-0.023010614	0.022	0.012	0.01	0.01	0.00899999999999	0.043	0.022	0.032	0.012	0.016	0.018	0.011	0.024	0.023	0.024	0.027	0.00999999999999	0.024	0.018	0.011	0.011	0.024	0.018	0.02	0.018	0.019	0.023	0.023	0.023	0.012	0.005	0.011
FLQS2AVTGRX5	-0.0067871232	-0.00676851359999	-0.0047906737	-0.0077956934	0.000212631899998	-0.0027812465	-0.007791041	0.00721642729999	-0.0097852867	-0.0087727987	-0.0087903064	-0.0107685136	-0.0067787979	-0.0067781857	-0.0067825932	-0.0127896943	-0.0087822259	-0.0077959383	-0.0067822259	-0.00685899039999	-0.0037861437	-0.00679177560001	-0.005828505	-0.00682801529999	-0.00678283810001	-0.00678687830001	-0.0067824708	-0.00578700080001	-0.0077933672	-0.0078194451	0.0622096936	-0.0047810016	0.00190398299999	0.00389900399999	0.00389576299999	0.002896854	-0.032104885	0.00389726499999	0.003897376	-0.013105912	0.00390335100001	0.029903793	0.060904283	0.00389519400001	0.00489521000002	0.00589743900001	0.003896807	0.031904947	0.004896285	0.00589517799999	0.00289574799999	0.00290139100001	-0.02409657	0.002896822	0.001903003	0.00390238700001	0.00489792899999	0.003896822	0.003896238	0.00489683799998	0.005896443	0.00490180200001	0.001903177	0.00290342999999	-0.674	-0.673	-0.673	-0.675	-0.665	-0.673	-0.674	-0.665	-0.675	-0.68	-0.686	-0.676	-0.674	-0.674	-0.674	-0.682	-0.675	-0.675	-0.674	-0.674	-0.668	-0.674	-0.673	-0.674	-0.674	-0.674	-0.674	-0.674	-0.675	-0.674	-0.648	-0.674
FLQS3087GRWV	0.123119169	0.1369211263	0.1310177474	0.194006608	0.0788402596	0.1938973093	0.1823410288	0.1728973093	0.123119169	0.1844535897	0.1833410288	0.1831620026	0.1226754495	0.1856754495	0.117865615	0.1682396072	0.1808719539	0.1725628885	0.1868973093	0.1707766855	0.193119169	0.1233410288	0.1772236672	0.1742046507	0.1228973093	0.123119169	0.1168592762	0.176119169	0.1321508633	0.1727482535	0.1888973093	0.1707705323	-0.141277608	-0.136273707	-0.13527145	-0.071273527	-0.202271397	-0.069273156	-0.080273156	-0.07827093	-0.141277237	-0.076277608	-0.075277608	-0.136271057	-0.141271672	-0.113273156	-0.19927217	-0.10827801	-0.136271767	-0.076271672	-0.077272043	-0.11127552	-0.211276866	-0.141272785	-0.103276664	-0.100276198	-0.141273527	-0.141272785	-0.201271778	-0.076272785	-0.132272297	-0.102275806	-0.073276866	-0.104276982	0.597	0.602	0.6	0.61	0.593	0.61	0.607	0.603	0.597	0.607	0.606	0.619	0.598	0.616	0.607	0.608	0.618	0.603	0.609	0.608	0.637	0.598	0.609	0.608	0.597	0.598	0.607	0.604	0.599	0.607	0.608	0.609
