,Distance_X_LOGO_Front_Camera_LD1,Distance_X_LOGO_Front_Camera_LD2,Distance_X_LOGO_Front_Camera_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Front_Camera_LD1,Distance_Y_LOGO_Front_Camera_LD2,Distance_Y_LOGO_Front_Camera_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Front_Camera_LD1,Angle_Front_Camera_LD2,Angle_Front_Camera_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-22.9486755033,-22.8766671081,-22.8746668749,-22.8066589461,-22.8066589461,-22.7366507841,-22.7706547485,-22.6986463533,-22.6986463533,-22.7236492683,-22.6966461201,-22.6966461201,-22.7716548651,-22.7336504343,-22.7326503177,-22.7336504343,-22.6986463533,-22.7316502011,-22.7706547485,-22.6616420391,-22.7236492683,-22.7366507841,-22.7326503177,-22.7646540489,-22.7306500845,-22.6966461201,-22.6996464699,-22.8116595291,-22.7356506675,-22.8056588295,-22.7656541655,-22.7716548651,139.004964971,139.006965402,139.085982436,139.046974027,139.046974027,139.05997683,139.080981357,138.914945565,138.957954837,139.076980495,139.044973595,139.044973595,139.042973164,139.054975751,139.037972086,139.054975751,138.957954837,139.000964108,139.081981573,139.045973811,139.076980495,139.039972517,138.94595225,138.978959365,138.833928101,139.044973595,138.975958718,139.045973811,138.944952034,138.978959365,138.940951171,139.042973164,99.48,99.451,99.445,99.421,99.421,99.392,99.404,99.386,99.383,99.385,99.377,99.377,99.407,99.391,99.391,99.391,99.383,99.394,99.404,99.362,99.385,99.393,99.398,99.408,99.404,99.377,99.382,99.423,99.399,99.425,99.411,99.407
FLQS30KBGRWV,-23.1555473134,-23.0854669678,-23.1615542001,-23.0173889179,-23.0173889179,-22.944305129,-22.9823487451,-22.9573200503,-22.9172741385,-22.9182752863,-22.9573200503,-22.9573200503,-23.0183900657,-22.9933613708,-22.9933613708,-22.9933613708,-22.9172741385,-22.9553177547,-23.0213935091,-22.9222798775,-22.9182752863,-22.9473085723,-22.9543166069,-22.9903579275,-22.9893567797,-22.9573200503,-22.9122683996,-23.0183900657,-22.944305129,-23.0163877701,-23.0274003958,-23.0183900657,138.869159322,138.907154988,138.863160007,138.905155216,138.905155216,138.948150312,138.940151224,138.838162858,138.919153619,138.950150084,138.898156015,138.898156015,138.935151795,138.943150882,138.897156129,138.943150882,138.919153619,138.869159322,138.935151795,138.900155787,138.950150084,138.902155558,138.841162516,138.837162972,138.839162744,138.898156015,138.833163428,138.901155672,138.836163086,138.84016263,138.832163542,138.935151795,99.471,99.44,99.474,99.413,99.413,99.381,99.397,99.394,99.372,99.37,99.39,99.39,99.412,99.401,99.404,99.401,99.372,99.391,99.413,99.376,99.37,99.385,99.392,99.407,99.406,99.39,99.376,99.414,99.389,99.417,99.422,99.412
FLQS30CWGRWV,-23.1102973875,-22.9672522191,-23.0402752771,-22.9012313721,-22.9012313721,-22.8612187376,-22.8972301087,-22.8242070506,-22.8262076824,-22.8272079982,-22.8242070506,-22.8242070506,-22.8962297928,-22.8602184217,-22.85821779,-22.8602184217,-22.8262076824,-22.8262076824,-22.8952294769,-22.7881956796,-22.8272079982,-22.8602184217,-22.8602184217,-22.8932288452,-22.8612187376,-22.8242070506,-22.8242070506,-22.9342417956,-22.8602184217,-22.9302405321,-22.8622190534,-22.8962297928,138.836510897,138.880516765,138.877516365,138.874515965,138.874515965,138.920522099,138.907520365,138.843511831,138.844511964,138.879516631,138.908520498,138.908520498,138.865514764,138.916521565,138.905520098,138.916521565,138.844511964,138.875516098,138.903519832,138.910520765,138.879516631,138.865514764,138.81350783,138.841511564,138.779503297,138.908520498,138.839511297,138.871515565,138.80750703,138.847512364,138.812507697,138.865514764,99.307,99.247,99.276,99.22,99.22,99.202,99.217,99.192,99.192,99.19,99.187,99.187,99.219,99.201,99.201,99.201,99.192,99.19,99.216,99.173,99.19,99.205,99.208,99.22,99.211,99.187,99.192,99.234,99.208,99.234,99.209,99.219
FLQS30C7GRWV,-23.1932540342,-23.1231323315,-23.0860680029,-23.0199532547,-23.0199532547,-22.9848924033,-23.0199532547,-22.9508332906,-22.9508332906,-22.9508332906,-22.949831552,-22.949831552,-23.0179497775,-22.9868958806,-22.985894142,-22.9868958806,-22.9508332906,-22.985894142,-23.0169480389,-22.9147707007,-22.9508332906,-22.9818871875,-22.9899010964,-23.0199532547,-22.985894142,-22.949831552,-22.9488298134,-23.0560158446,-22.9828889261,-23.0540123674,-23.0229584705,-23.0179497775,138.81331639,138.864320181,138.87332085,138.905323228,138.905323228,138.911323674,138.88732189,138.834317951,138.874320924,138.908323451,138.899322782,138.899322782,138.896322559,138.906323302,138.895322485,138.906323302,138.874320924,138.856319586,138.934325383,138.900322856,138.908323451,138.89432241,138.79931535,138.828317505,138.804315721,138.899322782,138.828317505,138.896322559,138.794314978,138.8363181,138.797315201,138.896322559,99.389,99.358,99.342,99.314,99.314,99.299,99.315,99.291,99.288,99.286,99.286,99.286,99.313,99.3,99.301,99.3,99.288,99.303,99.311,99.272,99.286,99.299,99.309,99.319,99.307,99.286,99.29,99.329,99.306,99.332,99.322,99.313
FLQS29JFGRX5,-23.0581718117,-22.9911771234,-23.0291741108,-22.9191828316,-22.9191828316,-22.8501883019,-22.964179264,-22.8571877469,-22.8571877469,-22.8601875091,-22.8571877469,-22.8571877469,-22.9651791847,-22.896184655,-22.8951847343,-22.896184655,-22.8571877469,-22.8931848929,-22.9621794226,-22.8241903631,-22.8601875091,-22.8491883812,-22.8921849721,-22.9281821181,-22.8921849721,-22.8571877469,-22.8141911559,-22.9651791847,-22.8521881433,-22.9201827523,-22.9271821973,-22.9651791847,138.894313684,138.942317594,138.938317268,138.979320608,138.979320608,138.990321504,138.96031906,138.909314906,138.950318246,138.940317431,138.972320038,138.972320038,138.966319549,138.98032069,138.972320038,138.98032069,138.950318246,138.935317024,138.95331849,138.926316291,138.940317431,138.978320527,138.87131181,138.903314417,138.873311973,138.972320038,138.909314906,138.969319794,138.826308144,138.916315476,138.868311566,138.966319549,99.301,99.271,99.286,99.24,99.24,99.211,99.259,99.219,99.217,99.219,99.215,99.215,99.259,99.23,99.23,99.23,99.217,99.232,99.259,99.205,99.219,99.211,99.236,99.248,99.236,99.215,99.202,99.259,99.223,99.244,99.25,99.259
FLQS22XEGRX2,-22.9844408484,-22.9124457322,-22.917445393,-22.80545299,-22.80545299,-22.7364576703,-22.7714552963,-22.7004601122,-22.7834544823,-22.6994601801,-22.7334578738,-22.7334578738,-22.7704553641,-22.8184521082,-22.7324579417,-22.8184521082,-22.7834544823,-22.7334578738,-22.7704553641,-22.6624626898,-22.6994601801,-22.7364576703,-22.8184521082,-22.7674555676,-22.7674555676,-22.7334578738,-22.7004601122,-22.8114525831,-22.7354577382,-22.8074528544,-22.7664556354,-22.7704553641,138.930630001,138.979624581,138.981624359,139.019620156,139.019620156,139.035618386,139.053616395,138.901633209,138.946628231,139.027619271,139.013620819,139.013620819,138.96462624,139.051616616,139.014620709,139.051616616,138.946628231,138.977624802,139.002622036,139.015620598,139.027619271,138.96462624,138.946628231,138.946628231,138.870636638,139.013620819,138.94862801,139.015620598,138.912631992,138.912631992,138.914631771,138.96462624,99.243,99.211,99.213,99.165,99.165,99.137,99.149,99.131,99.161,99.122,99.137,99.137,99.155,99.168,99.137,99.168,99.161,99.139,99.152,99.108,99.122,99.141,99.175,99.155,99.16,99.137,99.128,99.168,99.144,99.173,99.157,99.155
FLQS22TQGRX2,-23.2133393729,-23.1453149352,-23.1443145758,-23.0742894193,-23.0742894193,-23.0042642629,-23.0392768411,-22.978254919,-22.9772545597,-22.9772545597,-22.9772545597,-22.9772545597,-23.0382764817,-23.0482800755,-23.0452789974,-23.0482800755,-22.9772545597,-23.044278638,-23.0742894193,-22.9422419814,-22.9772545597,-23.0042642629,-23.0122671379,-23.0462793568,-23.0452789974,-22.9772545597,-22.9692516846,-23.0762901381,-23.0032639035,-23.0742894193,-23.0472797161,-23.0382764817,138.871919341,138.87391908,138.872919211,138.909914394,138.909914394,138.910914264,138.941910228,138.843922986,138.880918169,138.911914134,138.910914264,138.910914264,138.907914654,138.945909707,138.902915305,138.945909707,138.880918169,138.868919731,138.939910489,138.911914134,138.911914134,138.907914654,138.807927672,138.841923246,138.838923637,138.910914264,138.835924027,138.905914915,138.770932489,138.841923246,138.807927672,138.907914654,99.346,99.319,99.318,99.288,99.288,99.259,99.272,99.253,99.25,99.249,99.249,99.249,99.273,99.275,99.276,99.275,99.25,99.278,99.286,99.235,99.249,99.26,99.27,99.281,99.281,99.249,99.25,99.289,99.268,99.292,99.283,99.273
FLQS21YXGRX2,-22.2028236084,-22.8106818917,-22.9616466956,-22.7356993732,-22.7356993732,-22.6637161554,-22.7117049673,-22.633723148,-22.6747135915,-22.6777128922,-22.6827117268,-22.6827117268,-22.7047065989,-22.7227024033,-22.6747135915,-22.7227024033,-22.6747135915,-22.6707145238,-22.702707065,-22.6447205841,-22.6777128922,-22.6637161554,-22.6747135915,-22.7576942453,-22.714704268,-22.6827117268,-22.6277245465,-22.0668553082,-22.6627163885,-22.7456970423,-22.7097054334,-22.7047065989,138.698459483,138.961424331,138.969423262,139.003418718,139.003418718,139.07940856,138.976422327,139.012417515,139.0574115,139.094406555,138.990420455,138.990420455,138.998419386,139.025415777,138.996419653,139.025415777,139.0574115,139.026415644,139.034414574,138.994419921,139.094406555,139.059411233,138.897432886,138.864437296,138.895433153,138.990420455,138.995419787,139.102405486,138.961424331,138.88243489,138.894433286,138.998419386,99.23,99.457,99.517,99.424,99.424,99.391,99.416,99.383,99.396,99.395,99.404,99.404,99.412,99.418,99.4,99.418,99.396,99.397,99.409,99.388,99.395,99.392,99.407,99.442,99.423,99.404,99.381,99.149,99.398,99.436,99.421,99.412
FLQS2AVTGRX5,-23.1121412961,-23.0481436739,-23.0321442683,-22.9711465346,-22.9711465346,-22.9081488752,-22.9411476492,-22.8721502127,-22.8721502127,-22.8741501384,-22.8771500269,-22.8771500269,-22.9351478721,-22.9111487638,-22.9081488752,-22.9111487638,-22.8721502127,-22.9081488752,-22.9431475749,-22.8411513644,-22.8741501384,-22.9011491353,-22.9091488381,-22.9471474263,-22.9471474263,-22.8771500269,-22.8651504728,-22.9801462002,-22.9071489124,-22.9791462374,-22.9461474634,-22.9351478721,138.944165143,138.942165011,139.082174246,139.04417174,139.04417174,138.993168375,139.015169827,138.98216765,139.027170618,139.062172927,138.981167584,138.981167584,139.042171608,139.056172531,139.038171344,139.056172531,139.027170618,139.002168969,138.964166462,138.984167782,139.062172927,139.036171212,138.941164945,138.9101629,138.877160723,138.981167584,138.97216699,138.97716732,138.876160657,138.870160261,138.877160723,139.042171608,99.359,99.333,99.318,99.295,99.295,99.273,99.285,99.26,99.257,99.255,99.262,99.262,99.281,99.271,99.27,99.271,99.257,99.273,99.29,99.247,99.255,99.268,99.277,99.295,99.297,99.262,99.258,99.303,99.281,99.31,99.297,99.281
FLQS3087GRWV,-23.0318205561,-22.9584355925,-22.959440866,-22.8890717228,-22.8890717228,-22.7845232815,-22.8197078531,-22.7141541384,-22.7463228895,-22.747328163,-22.7463228895,-22.7463228895,-22.8187025796,-22.8156867592,-22.8146814857,-22.8156867592,-22.7463228895,-22.8156867592,-22.8176973062,-22.74933871,-22.747328163,-22.7835180081,-22.7513492569,-22.7835180081,-22.7825127346,-22.7463228895,-22.7835180081,-22.8890717228,-22.8187025796,-22.8890717228,-22.7835180081,-22.8187025796,138.865549501,138.867549595,138.868549642,138.865549501,138.865549501,138.913551765,138.899551105,138.846548605,138.879550161,138.910551623,138.908551529,138.908551529,138.902551246,138.908551529,138.862549359,138.908551529,138.879550161,138.862549359,138.941553086,138.905551388,138.910551623,138.902551246,138.77054502,138.839548275,138.80954686,138.908551529,138.831547897,138.866549548,138.764544737,138.839548275,138.806546718,138.902551246,99.252,99.222,99.223,99.195,99.195,99.15,99.165,99.126,99.137,99.135,99.135,99.135,99.164,99.162,99.165,99.162,99.137,99.166,99.161,99.136,99.135,99.15,99.146,99.154,99.156,99.135,99.155,99.195,99.173,99.196,99.157,99.164
