,Distance_X_LOGO_Front_Camera_RU1,Distance_X_LOGO_Front_Camera_RU2,Distance_X_LOGO_Front_Camera_RU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Front_Camera_RU1,Distance_Y_LOGO_Front_Camera_RU2,Distance_Y_LOGO_Front_Camera_RU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Front_Camera_RU1,Angle_Front_Camera_RU2,Angle_Front_Camera_RU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-25.9208757754,-25.8868720029,-25.885871892,-25.7818603525,-26.0138860944,-25.7408558032,-25.885871892,-25.9148751097,-25.7798601305,-25.9238761083,-25.8808713372,-25.7748595758,-25.8878721139,-25.8808713372,-25.8548684523,-25.8478676756,-26.0288877588,-25.9168753316,-25.8218647907,-25.8138639031,-25.88387167,-25.8738705605,-25.953879437,-25.8598690071,-25.9788822109,-25.9518792151,-26.0258874259,-25.885871892,-25.8808713372,-25.7858607963,-26.0248873149,-25.9238761083,139.14837583,139.14637535,139.14937607,139.047351599,138.975334325,139.039349679,139.141374151,139.047351599,139.115367913,139.222393584,139.088361435,139.104365274,139.067356397,139.088361435,139.188385427,139.045351119,139.190385907,139.14537511,139.007342002,139.042350399,139.072357597,138.975334325,139.112367193,139.072357597,138.975334325,139.051352558,139.212391185,139.14537511,139.004341282,139.176382548,138.942326408,139.181383747,100.659,100.645,100.644,100.61,100.708,100.595,100.645,100.664,100.605,100.654,100.647,100.604,100.651,100.647,100.629,100.637,100.698,100.657,100.63,100.624,100.649,100.652,100.674,100.64,100.694,100.678,100.695,100.645,100.653,100.603,100.715,100.657
FLQS30KBGRWV,-26.022784269,-25.9867430181,-25.9857418723,-25.9156616623,-26.057824374,-25.8425780147,-25.9857418723,-25.9847407264,-25.8746146821,-25.9837395806,-25.9867430181,-25.8766169738,-25.9867430181,-25.9867430181,-25.9797349971,-25.9797349971,-26.127904584,-26.0207819773,-25.9186650998,-25.9507017673,-25.9867430181,-26.0187796856,-26.0568232282,-25.952704059,-26.0568232282,-26.057824374,-26.1309080216,-25.9867430181,-25.9517029131,-25.9156616623,-26.1269034382,-26.057824374,139.02226202,139.024261808,139.019262338,138.946270076,139.021262126,138.94726997,139.020262232,138.950269652,138.985265942,139.0922546,139.02226202,138.98226626,138.983266154,139.02226202,139.025261702,138.949269758,139.05725831,139.020262232,138.88227686,138.90727421,138.951269546,138.920272832,138.990265412,138.950269652,139.02226202,138.985265942,139.124251208,139.054258628,138.946270076,139.093254494,138.851280146,139.083255554,100.606,100.591,100.591,100.568,100.62,100.539,100.591,100.596,100.549,100.585,100.591,100.55,100.594,100.591,100.588,100.594,100.645,100.605,100.574,100.585,100.596,100.612,100.621,100.583,100.619,100.622,100.641,100.589,100.583,100.558,100.66,100.615
FLQS30CWGRWV,-25.9802427648,-25.9472322916,-25.9482326089,-25.8822116625,-26.0142535554,-25.8121894465,-25.9512335611,-25.9472322916,-25.8451999197,-25.9452316568,-25.9462319742,-25.8421989676,-25.913221501,-25.9462319742,-25.913221501,-25.9112208662,-26.0882770409,-25.9782421301,-25.8522021413,-25.9172227704,-25.9492329263,-25.9472322916,-26.0132532381,-25.9212240399,-25.9782421301,-26.0542662503,-26.091277993,-25.9492329263,-25.9462319742,-25.8492011892,-26.0892773583,-25.9852443517,139.037997554,139.00499257,139.037997554,138.971987585,139.038997705,138.967986981,139.035997252,138.972987736,139.002992268,139.075003143,139.01499408,138.92898109,138.997991512,139.01499408,139.071002539,139.005992721,139.12000994,139.036997403,138.891975502,138.931981544,138.965986679,138.973987887,139.001992117,138.962986226,139.036997403,138.977988492,139.140012961,139.071002539,138.933981846,139.107007976,138.865971575,139.070002387,100.44,100.43,100.428,100.406,100.454,100.379,100.429,100.432,100.389,100.424,100.429,100.393,100.417,100.429,100.411,100.415,100.477,100.44,100.4,100.423,100.433,100.432,100.456,100.422,100.44,100.474,100.477,100.425,100.435,100.383,100.497,100.44
FLQS30C7GRWV,-26.0948962754,-26.0578310843,-26.0598346081,-25.9887095118,-26.1289561807,-25.9215914631,-26.0598346081,-26.0568293224,-25.9536478445,-26.0578310843,-26.0588328462,-25.9526460826,-26.0277782267,-26.0588328462,-26.0267764647,-26.0247729409,-26.2020848009,-26.0928927515,-25.9917147975,-26.0227694171,-26.0578310843,-26.0608363701,-26.1289561807,-26.0277782267,-26.0908892277,-26.1309597045,-26.2050900867,-26.0598346081,-26.0558275605,-25.9586566541,-26.2040883247,-26.0958980373,139.011725306,138.979723067,139.011725306,138.946720758,139.013725446,138.943720548,138.976722857,138.948720898,138.975722787,139.050728034,138.989723766,138.973722647,138.969722367,138.989723766,139.048727894,138.948720898,139.046727754,139.010725236,138.835712992,138.906717959,138.938720198,138.949720968,138.974722717,138.905717889,139.008725096,138.952721178,139.15873559,139.010725236,138.908718099,139.044727614,138.842713481,139.044727614,100.534,100.521,100.52,100.496,100.547,100.469,100.522,100.523,100.48,100.516,100.521,100.48,100.51,100.521,100.504,100.51,100.573,100.533,100.506,100.513,100.524,100.525,100.55,100.515,100.532,100.552,100.566,100.52,100.525,100.477,100.589,100.531
FLQS29JFGRX5,-25.9888274456,-25.9848277799,-25.950830622,-25.882836306,-26.0258243528,-25.8068426587,-25.9808281143,-25.9488307891,-25.8468393152,-25.9468309563,-25.9858276964,-25.8398399003,-25.9178333804,-25.9858276964,-25.9488307891,-25.9148336312,-26.0938186688,-25.9878275292,-25.8868359716,-25.9138337147,-25.9518305384,-25.9518305384,-26.02382452,-25.887835888,-26.0228246036,-26.1008180836,-26.0948185852,-25.9528304548,-25.9148336312,-25.882836306,-26.0948185852,-26.0228246036,139.088234029,139.087233948,139.086233868,139.027229102,139.08923411,139.019228456,139.05023096,139.023228779,139.055231364,139.123236856,139.145238633,139.05023096,139.047230717,139.145238633,139.126237099,139.022228698,139.12823726,139.084233706,138.943222317,138.985225709,139.01222789,139.026229021,139.052231121,138.978225144,139.087233948,139.02422886,139.159239764,139.126237099,138.982225467,139.161239926,138.912219813,139.123236856,100.459,100.458,100.444,100.421,100.474,100.392,100.459,100.448,100.405,100.44,100.454,100.403,100.434,100.454,100.44,100.435,100.498,100.459,100.429,100.437,100.45,100.449,100.476,100.427,100.473,100.509,100.496,100.442,100.438,100.411,100.514,100.47
FLQS22XEGRX2,-25.9730801855,-25.9360829202,-25.9000855809,-25.901085507,-26.0090775247,-25.7930934893,-25.9360829202,-25.968080555,-25.7920935632,-25.9360829202,-25.9360829202,-25.7890937849,-25.9040852853,-25.9360829202,-25.9020854331,-25.8990856548,-26.079072351,-25.9720802594,-25.8720876504,-25.8650881678,-25.9000855809,-25.9380827723,-26.0090775247,-25.9030853592,-25.9730801855,-26.0100774508,-26.079072351,-25.934083068,-25.9330831419,-25.8330905329,-26.0760725727,-25.9740801116,139.068350446,139.069350341,139.042353185,138.969360874,139.070350236,138.972360558,139.065350762,138.969360874,139.034354028,139.137343179,139.082348972,139.031354344,139.030354449,139.082348972,139.106346444,139.039353501,139.107346338,139.067350552,138.925365508,138.975360242,138.999357714,139.009356661,139.036353817,138.992358451,139.069350341,139.042353185,139.173339387,139.07334992,138.924365614,139.143342547,138.867371618,139.104346654,100.428,100.414,100.401,100.407,100.442,100.364,100.414,100.434,100.359,100.409,100.412,100.358,100.404,100.412,100.397,100.401,100.468,100.428,100.399,100.392,100.405,100.419,100.445,100.406,100.428,100.445,100.463,100.413,100.423,100.367,100.484,100.426
FLQS22TQGRX2,-26.137489786,-26.1014767107,-26.1004763475,-26.0954745315,-26.23552538,-25.9514222301,-26.1004763475,-26.1354890596,-25.9534229565,-26.0994759843,-26.1014767107,-25.9534229565,-26.0694650882,-26.1014767107,-26.0674643618,-26.0644632721,-26.2425279224,-26.137489786,-26.0374534656,-26.0324516496,-26.1344886964,-26.1024770739,-26.1725024981,-26.0704654514,-26.1875079462,-26.2245213847,-26.245529012,-26.1054781635,-26.1014767107,-26.0014403903,-26.2435282856,-26.1404908756,139.062959916,139.035963224,139.058960406,138.873983072,139.01396592,138.923976946,139.032963592,138.926976579,138.996968002,139.107954403,139.034963347,138.98996886,139.019965184,139.034963347,139.068959181,138.99396837,139.070958936,139.059960284,138.893980622,138.918977559,138.927976456,138.963972046,138.999967635,138.962972168,139.021964939,138.987969105,139.137950727,139.09695575,138.956972903,139.13295134,138.859984788,139.069959058,100.5,100.488,100.486,100.498,100.543,100.437,100.488,100.51,100.432,100.482,100.488,100.433,100.477,100.488,100.472,100.477,100.542,100.501,100.473,100.469,100.509,100.494,100.519,100.481,100.524,100.541,100.538,100.485,100.494,100.441,100.558,100.501
FLQS21YXGRX2,-25.7488931635,-25.7498929264,-25.7478934006,-25.6769102356,-25.8218758543,-25.566936318,-25.7139014624,-25.7099024109,-25.6039275448,-25.7518924521,-25.7109021738,-25.601928019,-25.6789097614,-25.7109021738,-25.7568912666,-25.7109021738,-25.8578673182,-25.7838848645,-25.6839085758,-25.7049035964,-25.7458938748,-25.7508926893,-25.8178768027,-25.7199000397,-25.7458938748,-25.8368722976,-25.8608666069,-25.752892215,-25.708902648,-25.6529159263,-25.8538682667,-25.8298739574,139.113866647,139.057873543,139.108867263,139.060873174,139.111866893,138.95388635,139.048874652,139.05887342,139.024877607,139.120865785,139.086869972,138.983882656,139.071871819,139.086869972,139.094868987,139.036876129,139.154861598,139.106867509,138.961885365,138.978883272,139.034876376,139.1288648,139.076871204,138.975883641,139.064872681,139.026877361,139.159860982,139.044875144,138.990881794,139.17985852,138.847899404,139.089869603,100.622,100.626,100.622,100.597,100.651,100.561,100.612,100.61,100.571,100.622,100.609,100.573,100.597,100.609,100.626,100.612,100.662,100.636,100.607,100.614,100.627,100.622,100.652,100.62,100.624,100.663,100.663,100.629,100.615,100.579,100.683,100.656
FLQS2AVTGRX5,-26.0240825636,-25.9890837974,-25.9910837269,-25.8840874989,-26.062081224,-25.8090901428,-25.9570849255,-25.9870838679,-25.8480887679,-25.9920836916,-25.9860839031,-25.8440889089,-25.9240860888,-25.9860839031,-25.9940836211,-25.9530850665,-26.1350786506,-26.0250825283,-25.923086124,-25.9500851722,-25.9890837974,-25.9900837621,-26.0600812945,-25.9570849255,-26.0260824931,-26.0630811887,-26.1350786506,-25.9950835859,-25.9530850665,-25.8900872873,-26.0990799197,-25.9940836211,139.078588605,139.043586444,139.078588605,139.022585147,139.080588729,138.936579836,139.073588296,138.943580268,139.047586691,139.14959299,139.057587308,139.04158632,139.039586197,139.057587308,139.077588543,139.012584529,139.120591199,139.076588482,138.903577798,138.957581132,139.00758422,138.982582676,139.045586567,138.971581997,139.077588543,139.114590828,139.147592866,139.119591137,138.972582059,139.153593237,138.91057823,139.114590828,100.513,100.502,100.5,100.462,100.528,100.438,100.487,100.508,100.445,100.495,100.5,100.444,100.476,100.5,100.501,100.49,100.554,100.514,100.486,100.493,100.505,100.507,100.53,100.494,100.514,100.526,100.552,100.499,100.493,100.454,100.556,100.498
FLQS3087GRWV,-26.0269232394,-26.000786744,-25.9907342457,-25.9304192562,-26.0621069833,-25.8600517684,-25.9605767509,-26.000786744,-25.8580412687,-25.9957604948,-26.000786744,-25.8861882638,-25.9595715011,-26.000786744,-26.0359704879,-25.9656030001,-26.1364954704,-26.0249127398,-25.9304192562,-25.9585662513,-25.9615820008,-26.000786744,-26.0611017335,-25.9635925004,-25.9927447454,-26.0711542318,-26.1364954704,-25.9937499952,-25.9656030001,-25.8881987635,-26.1415217196,-25.9957604948,139.031883455,138.96488062,139.030883413,138.894877657,139.032883497,138.894877657,139.061884725,138.894877657,138.994881889,139.140888068,138.96488062,138.99088172,138.989881678,138.96488062,138.999882101,138.929879139,139.109886756,139.031883455,138.928879096,138.930879181,138.958880366,138.894877657,138.994881889,138.996881974,139.029883371,138.929879139,139.135887856,139.063884809,138.894877657,139.095886164,138.859876176,139.061884725,100.432,100.427,100.418,100.404,100.446,100.376,100.404,100.432,100.368,100.412,100.427,100.379,100.408,100.427,100.438,100.415,100.47,100.431,100.401,100.412,100.411,100.432,100.448,100.409,100.419,100.457,100.468,100.417,100.418,100.372,100.49,100.417
