,Distance_X_LOGO_MainBoard_RU1,Distance_X_LOGO_MainBoard_RU2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_RU1,Distance_Y_LOGO_MainBoard_RU2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_RU1,Angle_MainBoard_RU2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-65.8065307537,-65.6655124729,-65.7735264752,-65.5254943218,-65.3974777266,-65.5614989893,-65.4904897841,-65.5985037863,-65.596503527,-65.5324952294,-65.7155189555,-65.5384960073,-65.5254943218,-65.6315080648,-65.8665385327,-65.4904897841,-65.8135316612,-65.639509102,-65.5284947108,-65.6045045642,-65.5044915992,-65.4874893951,-65.5264944515,-65.3924770783,-65.7965294572,-65.5254943218,-65.6325081945,-65.7645253084,-65.725520252,-65.5484973038,-65.8115314019,-65.516493155,131.575434406,131.357322621,131.540416459,131.365326723,131.398343644,131.221252883,131.363325697,131.222253396,131.261273394,131.156219552,131.379333902,131.333310314,131.365326723,131.297291854,131.470380564,131.293289803,131.343315442,131.337312365,131.22025237,131.332309801,131.154218527,131.398343644,131.29228929,131.186234935,131.398343644,131.257271343,131.017148276,131.506399024,131.286286213,131.393341081,131.341314416,131.428359028,116.685,116.674,116.68,116.624,116.573,116.662,116.612,116.674,116.667,116.663,116.688,116.634,116.624,116.673,116.725,116.624,116.728,116.669,116.65,116.657,116.653,116.605,116.637,116.608,116.713,116.643,116.722,116.683,116.707,116.627,116.728,116.61
FLQS30KBGRWV,-66.0079715606,-65.8638056335,-65.9719300788,-65.7196397064,-65.5914922157,-65.7556811882,-65.655565961,-65.7576834927,-65.7937249745,-65.7226431632,-65.8708136994,-65.7286500768,-65.7196397064,-65.8297664563,-66.0630349355,-65.6876028337,-66.0109750174,-65.7967284313,-65.6866016814,-65.795727279,-65.6896051383,-65.6835982246,-65.7236443155,-65.5494438203,-65.990951972,-65.7226431632,-65.8257618472,-65.9589150993,-65.8868321357,-65.7436673609,-66.0069704083,-65.710629336,131.362956024,131.141959462,131.288957175,131.1459594,131.144959416,131.043960987,131.144959416,131.006961563,131.050960878,130.946962497,131.162959136,131.120959789,131.1459594,131.040961034,131.211958373,131.076960474,131.083960365,131.157959214,131.00396161,131.120959789,130.945962512,131.13695954,131.076960474,130.974962061,131.182958825,131.041961018,130.806964675,131.246957829,131.073960521,131.174958949,131.126959696,131.212958358,116.668,116.657,116.669,116.606,116.561,116.636,116.583,116.643,116.648,116.642,116.656,116.613,116.606,116.663,116.714,116.607,116.718,116.631,116.619,116.637,116.63,116.595,116.619,116.576,116.694,116.625,116.702,116.671,116.677,116.609,116.709,116.591
FLQS30CWGRWV,-65.820554331,-65.6745087242,-65.7835427731,-65.5294634297,-65.4014234455,-65.5664749876,-65.5024549955,-65.6054871702,-65.6064874826,-65.538466241,-65.6775096613,-65.538466241,-65.5294634297,-65.6414984158,-65.9105824449,-65.5004543708,-65.8265562053,-65.6114890445,-65.5334646792,-65.6124893569,-65.5084568698,-65.4944524965,-65.5364656163,-65.3664125124,-65.8395602662,-65.5344649915,-65.6404981034,-65.7695383999,-65.7695383999,-65.5534709267,-65.820554331,-65.5594728009,131.438953615,131.26489276,131.402941024,131.26689346,131.262892061,131.125844146,131.26589311,131.123843447,131.158855688,131.025809172,131.241884716,131.235882618,131.26689346,131.162857086,131.289901504,131.193867928,131.201870726,131.238883667,131.125844146,131.236882967,131.024808822,131.299905001,131.194868278,131.095833654,131.26589311,131.158855688,130.9177714,131.327914794,131.153853939,131.295903602,131.247886815,131.293902903,116.459,116.439,116.453,116.388,116.344,116.425,116.378,116.439,116.433,116.433,116.444,116.396,116.388,116.445,116.516,116.39,116.503,116.421,116.414,116.422,116.423,116.37,116.403,116.36,116.496,116.408,116.488,116.461,116.491,116.391,116.492,116.393
FLQS30C7GRWV,-65.9739599018,-65.8247088804,-65.9368975676,-65.6864763907,-65.5602641175,-65.7636061132,-65.6514174259,-65.7555926355,-65.7565943202,-65.685474706,-65.8317206733,-65.692486499,-65.6864763907,-65.7565943202,-66.0220407678,-65.6514174259,-66.0150289748,-65.7616027438,-65.6914848142,-65.7595993744,-65.6574275342,-65.6494140565,-65.6874780754,-65.5191950445,-65.986981803,-65.6834713366,-65.7906516003,-65.9178655582,-65.8106852945,-65.702503346,-65.9669481089,-65.6734544895,131.376762477,131.118757052,131.299760858,131.124757178,131.158757893,131.01975497,131.164758019,131.022755033,131.063755895,130.925752994,131.177758293,131.131757325,131.124757178,131.055755727,131.227759344,131.050755622,131.102756715,131.138757472,131.021755012,131.132757346,130.925752994,131.19475865,131.04875558,130.987754297,131.199758755,131.055755727,130.821750807,131.263760101,131.092756505,131.190758566,131.101756694,131.228759365,116.546,116.539,116.546,116.49,116.44,116.535,116.471,116.531,116.525,116.524,116.531,116.49,116.49,116.526,116.588,116.49,116.608,116.513,116.509,116.514,116.514,116.465,116.503,116.455,116.581,116.501,116.579,116.546,116.538,116.484,116.591,116.467
FLQS29JFGRX5,-65.7924393718,-65.6494492837,-65.7574417978,-65.5054592648,-65.3814678597,-65.5454564923,-65.4754613442,-65.5794541356,-65.581453997,-65.5134587103,-65.6954460952,-65.5184583637,-65.5054592648,-65.6154516403,-65.852435213,-65.4744614135,-65.7984389559,-65.5864536504,-65.5114588489,-65.584453789,-65.4834607897,-65.4714616215,-65.5114588489,-65.3424705629,-65.7804402036,-65.5084590569,-65.616451571,-65.7474424909,-65.6754474815,-65.5314574627,-65.7964390946,-65.49845975,131.399600824,131.183585041,131.36259812,131.227588256,131.224588037,131.044574884,131.18658526,131.083577734,131.120580437,130.985570573,131.202586429,131.194585845,131.227588256,131.119580364,131.293593079,131.116580145,131.208586868,131.198586137,131.04657503,131.195585918,130.986570646,131.258590521,131.112579853,131.049575249,131.221587817,131.077577295,130.882563046,131.331595855,131.154582922,131.255590302,131.166583799,131.252590083,116.474,116.462,116.469,116.404,116.361,116.45,116.401,116.455,116.449,116.449,116.475,116.414,116.404,116.462,116.514,116.413,116.51,116.437,116.438,116.437,116.439,116.387,116.426,116.378,116.501,116.431,116.503,116.47,116.476,116.408,116.516,116.397
FLQS22XEGRX2,-65.8484591923,-65.7054668813,-65.8114611818,-65.5644744628,-65.4394811839,-65.6024724196,-65.5314762372,-65.6374705376,-65.6404703763,-65.5704741402,-65.7534643004,-65.5744739251,-65.5644744628,-65.669468817,-65.9094559124,-65.5314762372,-65.8534589235,-65.6444701612,-65.5664743552,-65.6444701612,-65.5384758608,-65.5314762372,-65.565474409,-65.3984833885,-65.8394596763,-65.5634745166,-65.6724686557,-65.8034616119,-65.7314654833,-65.5864732799,-65.8534589235,-65.5534750542,131.383961566,131.168971447,131.312964829,131.212969425,131.163971677,131.027977927,131.175971126,131.065976181,131.100974572,130.964980823,131.188970528,131.173971217,131.212969425,131.068976043,131.278966392,131.143972596,131.148972366,131.178970988,131.068976043,131.17697108,130.959981053,131.202969885,131.104974389,130.99397949,131.206969701,131.069975997,130.859985648,131.272966668,131.138972826,131.201969931,131.192970344,131.236968322,116.469,116.457,116.469,116.4,116.365,116.446,116.395,116.451,116.446,116.446,116.47,116.41,116.4,116.462,116.509,116.401,116.512,116.434,116.426,116.434,116.435,116.39,116.42,116.38,116.497,116.425,116.5,116.473,116.472,116.41,116.504,116.392
FLQS22TQGRX2,-66.0401410376,-65.8990916127,-66.0071294701,-65.7560414867,-65.6259959176,-65.7920541058,-65.7230299191,-65.8310677765,-65.8330684776,-65.766044992,-65.9481087887,-65.7670453425,-65.7560414867,-65.8670803957,-66.1301725854,-65.7240302696,-66.0461431408,-65.8410712818,-65.7580421877,-65.8400709313,-65.7350341255,-65.7140267643,-65.7610432393,-65.5839811952,-66.0271364807,-65.7600428888,-65.8670803957,-66.0361396355,-65.9231000254,-65.7790495489,-66.0441424397,-65.7430369297,131.321201269,131.092209637,131.282202694,131.102209272,131.099209381,130.956214606,131.101209308,130.958214533,130.998213072,130.859218151,131.121208577,131.106209125,131.102209272,130.995213181,131.166206933,131.029211939,131.082210002,131.112208906,130.961214424,131.104209198,130.893216909,131.132208175,131.028211976,130.926215703,131.141207846,130.992213291,130.787220782,131.203205581,131.031211866,131.131208212,131.126208395,131.16820686,116.55,116.54,116.545,116.489,116.444,116.527,116.477,116.54,116.534,116.535,116.552,116.492,116.489,116.546,116.608,116.49,116.593,116.517,116.514,116.518,116.518,116.469,116.503,116.459,116.576,116.51,116.583,116.569,116.56,116.491,116.585,116.473
FLQS21YXGRX2,-65.5753225387,-65.4683464827,-65.57232321,-65.3253784827,-65.197407126,-65.3263782589,-65.2933856435,-65.3633699792,-65.3653695316,-65.3393753498,-65.5223343988,-65.3033834057,-65.3253784827,-65.4343540911,-65.6723008324,-65.2933856435,-65.621312245,-65.4113592379,-65.2923858673,-65.4113592379,-65.3063827344,-65.2923858673,-65.33137714,-65.1564163008,-65.6053158254,-65.3293775876,-65.4003616995,-65.6083151541,-65.536331266,-65.3523724407,-65.6163133639,-65.3213793778,131.490325592,131.271326715,131.416325972,131.280326669,131.27232671,131.133327423,131.279326674,131.132327428,131.169327238,131.032327941,131.297326582,131.245326849,131.280326669,131.172327223,131.343326346,131.209327033,131.256326792,131.251326818,131.133327423,131.246326843,131.070327746,131.30932652,131.207327043,131.100327592,131.273326705,131.173327218,130.928328474,131.378326166,131.202327069,131.306326536,131.221326972,131.344326341,116.645,116.646,116.657,116.594,116.551,116.62,116.583,116.634,116.628,116.642,116.66,116.593,116.594,116.651,116.705,116.595,116.702,116.629,116.608,116.63,116.624,116.578,116.609,116.566,116.693,116.614,116.682,116.676,116.682,116.599,116.706,116.582
FLQS2AVTGRX5,-65.8852625597,-65.7432684594,-65.8842626013,-65.5992744421,-65.5102781398,-65.6372728634,-65.5672757716,-65.676271243,-65.6752712846,-65.6492723648,-65.8312648033,-65.6532721986,-65.5992744421,-65.709269872,-65.985258405,-65.5992744421,-65.9282607732,-65.6842709107,-65.5992744421,-65.7222693319,-65.6202735697,-65.5982744837,-65.603274276,-65.4662799679,-65.912261438,-65.601274359,-65.7472682932,-65.8812627259,-65.8452642216,-65.6632717831,-65.9312606486,-65.6662716585,131.335903876,131.150901195,131.299903355,131.162901369,131.151901209,131.013899209,131.16090134,131.015899238,131.053899788,130.918897831,131.136900992,131.126900847,131.162901369,131.055899817,131.225902282,131.08990031,131.10090047,131.135900977,131.018899281,131.125900832,130.918897831,131.193901818,131.088900296,130.981898745,131.158901311,131.054899803,130.810896266,131.264902847,131.086900267,131.188901745,131.099900455,131.182901658,116.556,116.538,116.562,116.486,116.457,116.526,116.475,116.539,116.532,116.547,116.572,116.511,116.486,116.543,116.61,116.499,116.612,116.521,116.511,116.536,116.536,116.48,116.501,116.471,116.596,116.506,116.6,116.567,116.586,116.504,116.613,116.506
FLQS3087GRWV,-66.2832972341,-66.1395353051,-66.2471054198,-65.9987893606,-65.8721180106,-66.0369918313,-65.9656135308,-66.0721783174,-66.0691623329,-66.0118586269,-66.1898017139,-66.0158799396,-65.9987893606,-66.1073648035,-66.3395956119,-65.966618859,-66.3154677357,-66.0802209428,-66.0018053451,-66.081226271,-66.0611197075,-65.9636028745,-66.0028106733,-65.8339155399,-66.3023984695,-66.0028106733,-66.1083701317,-66.2380574663,-66.1958336829,-66.0259332213,-66.2843025623,-66.0219119086,131.468408079,131.290410234,131.434408491,131.29241021,131.284410307,131.149411941,131.294410186,131.152411905,131.154411881,131.045413201,131.269410488,131.261410585,131.29241021,131.186411493,131.361409374,131.223411045,131.231410949,131.265410537,131.149411941,131.260410597,131.014413576,131.32540981,131.222411058,131.117412329,131.256410646,131.188411469,130.94141446,131.397408939,131.18341153,131.323409835,131.234410912,131.323409835,116.516,116.498,116.51,116.448,116.406,116.487,116.436,116.498,116.497,116.496,116.519,116.46,116.448,116.505,116.555,116.449,116.569,116.481,116.475,116.482,116.519,116.43,116.462,116.422,116.56,116.468,116.548,116.513,116.536,116.453,116.558,116.451
