,Distance_X_LOGO_NFC_Down1,Distance_X_LOGO_NFC_Down2,Distance_X_LOGO_NFC_Down3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_NFC_Down1,Distance_Y_LOGO_NFC_Down2,Distance_Y_LOGO_NFC_Down3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_NFC_Down1,Angle_NFC_Down2,Angle_NFC_Down3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-67.2216474959,-67.040626902,-67.1786426035,-67.040626902,-67.1876436275,-67.1786426035,-67.1786426035,-67.1476390763,-67.1786426035,-67.1486391901,-67.1786426035,-67.1466389625,-67.1106348665,-67.1436386212,-67.1786426035,-67.0776311118,-67.0776311118,-67.108634639,-67.1786426035,-67.1786426035,-67.2566514782,-67.108634639,-67.2136465857,-67.0836317945,-67.2136465857,-67.1476390763,-67.1816429448,-67.1116349803,-67.2836545502,-67.1436386212,-67.2136465857,-67.1786426035,138.785954357,138.871998967,138.663891072,138.871998967,138.837981331,138.698909228,138.803963694,138.871998967,138.874000005,138.836980812,138.663891072,138.904015566,138.825975106,138.803963694,138.768945539,138.841983405,138.841983405,138.838981849,138.90901816,138.838981849,138.835980293,138.803963694,138.733927383,138.799961619,138.874000005,138.801962656,138.871998967,138.787955394,138.803963694,138.838981849,138.803963694,138.90901816,115.958,115.883,115.963,115.883,115.938,115.957,115.94,115.919,115.929,115.925,115.963,115.913,115.914,115.928,115.946,115.9,115.9,115.911,115.923,115.934,115.961,115.917,115.963,115.909,115.94,115.93,115.93,115.92,115.975,115.923,115.952,115.923
FLQS30KBGRWV,-67.464281118,-67.2570437252,-67.3571584077,-67.2570437252,-67.3982054275,-67.3571584077,-67.3541549672,-67.3921985466,-67.3561572609,-67.3931996934,-67.3561572609,-67.3911973998,-67.3541549672,-67.3231194156,-67.355156114,-67.3201159752,-67.3201159752,-67.2570437252,-67.3271240029,-67.355156114,-67.4963178164,-67.2820723958,-67.3911973998,-67.2950873045,-67.3921985466,-67.3921985466,-67.4262375386,-67.3581595545,-67.4622788244,-67.3221182688,-67.3942008402,-67.3581595545,138.573116942,138.60411652,138.467118382,138.60411652,138.574116928,138.506117852,138.60411652,138.603116534,138.603116534,138.569116996,138.472118314,138.640116031,138.60711648,138.538117417,138.573116942,138.583116806,138.583116806,138.642116004,138.641116018,138.634116113,138.571116969,138.606116493,138.539117404,138.54011739,138.605116507,138.535117458,138.610116439,138.532117499,138.611116425,138.691115338,138.60411652,138.638116058,115.949,115.875,115.931,115.875,115.927,115.924,115.907,115.92,115.908,115.926,115.93,115.914,115.907,115.908,115.913,115.899,115.899,115.869,115.892,115.903,115.96,115.883,115.93,115.898,115.92,115.931,115.93,115.92,115.942,115.883,115.921,115.903
FLQS30CWGRWV,-67.2822959897,-67.1212450144,-67.1892665443,-67.1212450144,-67.2482852247,-67.1772627449,-67.1892665443,-67.2182757262,-67.1792633782,-67.2212766761,-67.1842649612,-67.2172754096,-67.1852652779,-67.1502541963,-67.1892665443,-67.1512545129,-67.1512545129,-67.1172437479,-67.1802636948,-67.1852652779,-67.3163067547,-67.122245331,-67.2202763595,-67.1422516633,-67.2192760428,-67.2172754096,-67.2522864912,-67.1902668609,-67.2852969396,-67.1592570458,-67.2092728767,-67.1732614785,138.632068353,138.61406198,138.517027635,138.61406198,138.629067291,138.554040735,138.654076142,138.661078621,138.658077559,138.625065874,138.481014888,138.696091013,138.696091013,138.590053482,138.584051357,138.626066228,138.626066228,138.695090659,138.692089597,138.694090305,138.630067645,138.676083932,138.590053482,138.590053482,138.660078267,138.591053836,138.625065874,138.585051711,138.666080391,138.708095262,138.658077559,138.693089951,115.748,115.697,115.735,115.697,115.737,115.725,115.713,115.721,115.709,115.728,115.739,115.715,115.705,115.71,115.724,115.705,115.705,115.682,115.704,115.705,115.759,115.687,115.734,115.708,115.722,115.732,115.739,115.724,115.743,115.694,115.719,115.701
FLQS30C7GRWV,-67.4047700944,-67.2274602974,-67.2995863165,-67.2274602974,-67.3707105853,-67.2995863165,-67.3005880668,-67.3346475758,-67.3556843314,-67.3356493261,-67.3556843314,-67.3336458255,-67.2995863165,-67.2655268075,-67.3005880668,-67.2655268075,-67.2655268075,-67.2294637979,-67.3005880668,-67.3005880668,-67.4398313536,-67.2575128054,-67.3336458255,-67.2655268075,-67.3346475758,-67.3356493261,-67.3697088351,-67.2985845662,-67.4037683441,-67.3206230721,-67.3366510763,-67.301589817,138.580766175,138.611766794,138.475764079,138.611766794,138.578766135,138.509764758,138.611766794,138.613766834,138.608766734,138.579766155,138.46876394,138.645767473,138.610766774,138.541765397,138.576766096,138.577766116,138.577766116,138.647767513,138.643767433,138.644767453,138.577766116,138.567765916,138.543765437,138.542765417,138.611766794,138.545765477,138.612766814,138.578766135,138.611766794,138.643767433,138.605766674,138.642767413,115.818,115.754,115.8,115.754,115.807,115.795,115.778,115.79,115.797,115.796,115.82,115.784,115.778,115.778,115.784,115.772,115.772,115.749,115.773,115.773,115.831,115.771,115.801,115.778,115.79,115.801,115.801,115.783,115.813,115.78,115.792,115.774
FLQS29JFGRX5,-67.3035187444,-67.1275330768,-67.161530308,-67.1275330768,-67.2685215946,-67.198527295,-67.1945276207,-67.198527295,-67.2005271321,-67.2005271321,-67.237524119,-67.198527295,-67.1935277021,-67.1595304709,-67.1965274578,-67.1605303895,-67.1605303895,-67.1675298194,-67.2035268878,-67.237524119,-67.3055185815,-67.0935358455,-67.2315246076,-67.1645300637,-67.1995272135,-67.1975273764,-67.2315246076,-67.1935277021,-67.2685215946,-67.131532751,-67.2365242005,-67.1725294122,138.58510258,138.613104621,138.486095363,138.613104621,138.58510258,138.517097623,138.615104767,138.617104913,138.617104913,138.584102507,138.480094925,138.650107319,138.618104986,138.545099664,138.582102361,138.591103017,138.591103017,138.655107683,138.65410761,138.655107683,138.583102434,138.662108194,138.590102945,138.550100028,138.61610484,138.549099955,138.61610484,138.582102361,138.618104986,138.658107902,138.624105423,138.653107537,115.781,115.717,115.749,115.717,115.769,115.757,115.739,115.74,115.741,115.746,115.775,115.735,115.738,115.739,115.745,115.732,115.732,115.724,115.736,115.747,115.782,115.698,115.756,115.74,115.741,115.751,115.752,115.744,115.763,115.711,115.752,115.726
FLQS22XEGRX2,-67.3402272355,-67.1542404174,-67.2232355273,-67.1542404174,-67.3062296451,-67.2342347478,-67.2262353147,-67.2632326925,-67.2662324799,-67.2642326217,-67.2272352439,-67.2632326925,-67.2242354565,-67.1922377243,-67.2292351021,-67.2242354565,-67.2242354565,-67.1872380787,-67.2662324799,-67.2292351021,-67.3742248259,-67.1542404174,-67.2652325508,-67.2312349604,-67.2652325508,-67.2632326925,-67.2992301412,-67.2252353856,-67.336227519,-67.1932376535,-67.2772317003,-67.2692322673,138.558811066,138.556811155,138.464815264,138.556811155,138.560810976,138.492814013,138.560810976,138.597809324,138.552811334,138.565810753,138.457815577,138.627807984,138.564810798,138.484814371,138.524812584,138.524812584,138.524812584,138.588809726,138.629807894,138.58780977,138.519812808,138.554811244,138.531812272,138.48281446,138.595809413,138.485814326,138.556811155,138.568810619,138.553811289,138.601809145,138.552811334,138.625808073,115.77,115.708,115.746,115.708,115.759,115.745,115.732,115.738,115.747,115.744,115.749,115.733,115.73,115.733,115.739,115.737,115.737,115.714,115.734,115.728,115.788,115.708,115.75,115.746,115.739,115.756,115.757,115.73,115.77,115.714,115.75,115.735
FLQS22TQGRX2,-67.5063806393,-67.3233145231,-67.3973412586,-67.3233145231,-67.4713679941,-67.402343065,-67.395340536,-67.4343546264,-67.4013427038,-67.4363553489,-67.4003423425,-67.4333542651,-67.3963408973,-67.3623286134,-67.3993419812,-67.364329336,-67.364329336,-67.3243148844,-67.4033434263,-67.3983416199,-67.5403929232,-67.3233145231,-67.4353549877,-67.3673304199,-67.4343546264,-67.4343546264,-67.4653658264,-67.3963408973,-67.5043799167,-67.3603278908,-67.4403567941,-67.4033434263,138.494198606,138.524197566,138.38820228,138.524197566,138.49119871,138.417201275,138.528197427,138.529197392,138.526197496,138.492198675,138.339203979,138.561196283,138.531197323,138.457199888,138.490198744,138.496198536,138.496198536,138.56819604,138.558196387,138.558196387,138.49319864,138.529197392,138.457199888,138.455199958,138.524197566,138.46319968,138.5231976,138.49319864,138.530197358,138.571195936,138.52119767,138.557196422,115.838,115.772,115.819,115.772,115.827,115.816,115.795,115.808,115.798,115.815,115.828,115.803,115.795,115.796,115.803,115.79,115.79,115.765,115.793,115.792,115.849,115.771,115.82,115.798,115.809,115.819,115.82,115.801,115.832,115.777,115.812,115.794
FLQS21YXGRX2,-67.1022205741,-66.9502563093,-66.9902469053,-66.9502563093,-67.0682285675,-66.9972452596,-67.0192400874,-67.0572311536,-67.0242389119,-67.0572311536,-67.0222393821,-67.0282379715,-67.0182403225,-66.9842483159,-67.0212396172,-66.9862478457,-66.9862478457,-66.9502563093,-67.0292377364,-67.0212396172,-67.1672052926,-66.9212631272,-67.0292377364,-66.9912466702,-67.0582309185,-67.0272382066,-67.063229743,-66.9922464351,-67.1292142264,-66.9842483159,-67.0372358556,-67.003243849,138.621645516,138.654645431,138.525645761,138.654645431,138.620645518,138.554645687,138.654645431,138.655645429,138.656645426,138.620645518,138.518645779,138.694645329,138.657645424,138.581645618,138.620645518,138.625645505,138.625645505,138.692645334,138.689645342,138.688645344,138.620645518,138.662645411,138.59264559,138.585645608,138.651645439,138.590645595,138.658645421,138.629645495,138.653645434,138.696645324,138.653645434,138.686645349,115.97,115.913,115.948,115.913,115.958,115.945,115.937,115.949,115.938,115.955,115.96,115.933,115.936,115.937,115.943,115.93,115.93,115.907,115.934,115.932,115.992,115.902,115.95,115.938,115.95,115.95,115.951,115.931,115.974,115.918,115.943,115.926
FLQS2AVTGRX5,-67.3915601842,-67.2135666282,-67.2785642751,-67.2135666282,-67.3575614151,-67.2855640217,-67.2805642027,-67.3175628632,-67.2865639855,-67.3195627908,-67.2795642389,-67.3155629356,-67.2795642389,-67.2455654698,-67.2805642027,-67.2475653974,-67.2475653974,-67.2125666644,-67.2895638769,-67.2815641665,-67.4245589896,-67.2075668455,-67.318562827,-67.2505652888,-67.3175628632,-67.3155629356,-67.3515616323,-67.2795642389,-67.387560329,-67.2465654336,-67.3275625012,-67.2925637683,138.621866742,138.607866554,138.515865315,138.607866554,138.621866742,138.549865773,138.653867173,138.649867119,138.653867173,138.618866702,138.475864776,138.642867025,138.653867173,138.582866217,138.576866136,138.628866837,138.628866837,138.692867699,138.690867672,138.643867039,138.619866715,138.654867187,138.586866271,138.582866217,138.651867146,138.588866298,138.649867119,138.579866177,138.654867187,138.694867725,138.656867214,138.689867658,115.842,115.784,115.821,115.784,115.83,115.818,115.799,115.812,115.801,115.818,115.828,115.813,115.799,115.799,115.812,115.792,115.792,115.77,115.796,115.801,115.853,115.775,115.823,115.801,115.812,115.822,115.823,115.811,115.835,115.781,115.815,115.797
FLQS3087GRWV,-67.6943194599,-67.5183986713,-67.5937932949,-67.5183986713,-67.6671773953,-67.5887669867,-67.5887669867,-67.6319932376,-67.6591353021,-67.6329984993,-67.5958038182,-67.6239511444,-67.5927880333,-67.553582829,-67.5978143415,-67.6239511444,-67.6239511444,-67.5183986713,-67.5887669867,-67.5958038182,-67.799871933,-67.5887669867,-67.630987976,-67.553582829,-67.6943194599,-67.6239511444,-67.6591353021,-67.5937932949,-67.6943194599,-67.553582829,-67.6239511444,-67.5887669867,138.572157691,138.607157226,138.538158143,138.607157226,138.589157465,138.502158622,138.607157226,138.677156295,138.607157226,138.595157386,138.535158183,138.642156761,138.678156282,138.537158157,138.593157412,138.572157691,138.572157691,138.642156761,138.642156761,138.660156521,138.572157691,138.677156295,138.606157239,138.537158157,138.607157226,138.537158157,138.607157226,138.643156747,138.607157226,138.642156761,138.607157226,138.642156761,115.8,115.736,115.772,115.736,115.788,115.776,115.759,115.762,115.783,115.776,115.773,115.765,115.749,115.759,115.765,115.777,115.777,115.73,115.753,115.753,115.835,115.748,115.773,115.759,115.794,115.782,115.783,115.755,115.794,115.742,115.771,115.753
