,Distance_X_LOGO_Battery_Down1,Distance_X_LOGO_Battery_Down2,Distance_X_LOGO_Battery_Down3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Down1,Distance_Y_LOGO_Battery_Down2,Distance_Y_LOGO_Battery_Down3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Down1,Angle_Battery_Down2,Angle_Battery_Down3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-12.0473834871,-11.9893623759,-11.7822870307,-12.0593878549,-11.8423088699,-12.0063685636,-11.759278659,-12.1364158819,-11.8583146937,-11.979358736,-12.0193732955,-11.8933274332,-12.0193732955,-11.7792859387,-11.9513485444,-11.7842877587,-11.5882164174,-11.8913267052,-11.8593150576,-11.8453099618,-11.7502753831,-11.9473470884,-11.9123343489,-11.7262666475,-11.6922542719,-11.9893623759,-11.9543496363,-11.7182637356,-12.0093696556,-11.6532400765,-11.5712102296,-12.0313776633,-117.522595373,-117.048524396,-117.693620979,-117.052524994,-117.775633258,-117.751629664,-117.758630712,-116.845493998,-117.709623375,-117.986664853,-117.626610946,-117.294561232,-117.716624423,-117.703622476,-117.744628616,-117.799636851,-117.872647783,-117.569602411,-117.515594325,-117.637612593,-117.579603908,-117.937657516,-117.710623524,-117.597606604,-117.679618882,-117.678618733,-117.708623225,-117.623610497,-118.126685817,-117.786634905,-118.130686416,-117.916654371,263.811,263.816,263.947,263.782,263.923,263.842,263.962,263.735,263.912,263.867,263.83,263.874,263.834,263.949,263.868,263.952,264.05,263.889,263.902,263.915,263.957,263.88,263.885,263.97,263.99,263.847,263.865,263.975,263.859,264.014,264.07,263.839
FLQS30KBGRWV,-11.5201850232,-11.5131763933,-11.7164266592,-11.2808903751,-11.5181825575,-11.478133244,-11.2909027035,-11.6473415935,-11.5852651576,-11.6463403606,-11.6813835099,-11.7514698085,-11.7494673429,-11.3810136588,-11.478133244,-11.5181825575,-11.5161800918,-11.6753761129,-11.7134229607,-11.305921196,-11.4180592738,-11.4801357097,-11.7765006295,-11.5161800918,-11.4901480381,-11.8415807639,-11.6243132382,-11.4440913275,-11.4821381754,-11.3099261274,-11.244845993,-11.2358348974,-117.107083801,-117.137079725,-117.395044664,-117.076088014,-117.409042762,-117.592017893,-117.799989628,-117.522027406,-117.403043577,-117.630012729,-117.526026862,-117.646010555,-117.417041675,-117.211069669,-118.249928476,-117.628013001,-117.637011778,-118.134944103,-117.535025639,-118.338916381,-117.609015583,-117.848982969,-117.541024824,-117.623013681,-117.636011914,-117.76899384,-117.483032706,-117.590018165,-117.632012458,-118.154941386,-117.176074425,-117.628013001,264.726,264.731,264.645,264.841,264.742,264.77,264.87,264.685,264.709,264.69,264.669,264.64,264.631,264.799,264.801,264.752,264.753,264.7,264.654,264.887,264.799,264.781,264.624,264.753,264.766,264.603,264.694,264.786,264.77,264.877,264.863,264.888
FLQS30CWGRWV,-12.1690386906,-12.1100239542,-11.7209267941,-11.9379809939,-11.7099240466,-11.6108993195,-11.703922548,-12.1100239542,-11.9279784963,-11.6439075618,-12.0800164612,-12.0740149625,-11.7549352862,-11.6509093102,-12.0079984778,-11.7899440281,-11.9879934824,-12.0790162114,-11.8489587645,-11.6359055637,-11.807948524,-11.9529847405,-11.6479085609,-11.9039725018,-11.6889188014,-11.980991734,-11.9469832419,-11.6319045646,-11.7509342871,-11.7119245461,-11.5768908273,-12.0320044722,-117.377020425,-117.409023157,-117.101996946,-116.776969199,-117.765053551,-117.482029389,-117.346017778,-117.53803417,-117.116998227,-118.333102045,-117.420024096,-117.661044672,-117.249009496,-116.985987042,-117.592038781,-117.459027426,-117.282012314,-117.428024779,-118.236093763,-118.088081128,-117.891064308,-117.736051075,-117.635042452,-117.635042452,-117.731050648,-117.718049538,-117.752052441,-118.145085994,-117.659044501,-117.772054149,-117.520032634,-117.566036561,263.745,263.775,263.948,263.827,263.985,264.019,263.968,263.781,263.848,264.044,263.79,263.805,263.939,263.976,263.834,263.932,263.828,263.791,263.941,264.036,263.944,263.867,264.009,263.886,263.994,263.852,263.871,264.041,263.961,263.985,264.038,263.82
FLQS30C7GRWV,-11.7104069856,-11.763445062,-11.3851734981,-11.3341368586,-11.7024012382,-11.6163394539,-11.6283480749,-11.6513645987,-11.6453602881,-11.7754536831,-11.7414292567,-11.7404285383,-11.6873904619,-11.3071174612,-11.4101914587,-11.5132654563,-11.7684486541,-11.5382834169,-11.7044026751,-11.5713071248,-11.4692338457,-11.4752381562,-11.6363538223,-11.5092625826,-11.4832439036,-11.7714508094,-11.6083337065,-11.5653028143,-11.484244622,-11.4412137298,-11.3591548192,-11.5582977853,-116.970074859,-117.135089072,-116.740055047,-117.208095361,-117.34810742,-116.41802731,-116.537037561,-116.809060991,-116.95707374,-117.446115862,-117.205095102,-117.657134037,-116.358022142,-116.681049965,-117.124088125,-117.108086747,-117.650133434,-117.744141531,-117.415113191,-117.20309493,-117.279101476,-117.660134296,-117.015078736,-117.160091226,-117.244098462,-117.384110521,-117.410112761,-117.332106042,-117.241098203,-117.357108195,-117.437115086,-116.910069691,263.95,263.932,264.096,264.143,263.971,263.968,263.969,263.97,263.98,263.941,263.946,263.968,263.931,264.132,264.102,264.052,263.955,264.07,263.974,264.028,264.081,264.096,263.987,264.056,264.073,263.94,264.02,264.037,264.072,264.098,264.142,264.02
FLQS29JFGRX5,-11.7002849203,-11.6912839318,-11.7112861284,-11.6012740469,-11.7742930478,-11.7342886545,-11.5612696537,-11.8433006262,-11.5842721798,-11.5152646014,-11.6832830531,-11.6702816253,-11.8112971116,-11.4222543871,-11.678282504,-11.844300736,-11.5722708618,-11.5502684455,-11.7782934871,-11.3412454907,-11.6812828335,-11.6152755846,-11.7072856891,-11.5072637228,-11.7482901922,-11.832299418,-11.8132973312,-11.3652481267,-11.5462680062,-11.5052635031,-11.5572692143,-11.6212762436,-117.647801912,-117.014749169,-116.736726005,-117.079754585,-116.950743836,-116.813732421,-116.807731921,-117.284771666,-116.749727089,-117.062753169,-116.681721423,-117.799814577,-116.824733338,-117.960827992,-117.062753169,-117.044751669,-117.584796663,-117.079754585,-117.295772583,-117.784813328,-116.624716673,-117.205765084,-117.086755168,-117.107756918,-117.184763334,-117.712807328,-117.025750086,-117.733809078,-117.316774333,-117.425783415,-117.310773833,-117.049752085,264.658,264.632,264.608,264.678,264.588,264.601,264.685,264.571,264.671,264.719,264.619,264.679,264.564,264.806,264.64,264.559,264.716,264.703,264.603,264.837,264.618,264.677,264.627,264.725,264.612,264.597,264.573,264.823,264.716,264.741,264.711,264.667
FLQS22XEGRX2,-11.7813452938,-11.7743439,-11.6583208035,-11.8003490769,-11.5713034811,-11.5372967114,-11.7083307589,-11.9803849163,-11.9333755582,-11.5803052731,-11.8133516653,-11.829354851,-11.6853261794,-11.5202933266,-11.6093110472,-11.71833275,-11.7773444974,-11.7473385241,-11.7803450947,-11.5843060695,-11.6763243875,-11.6093110472,-11.6393170205,-11.8463582358,-11.6823255821,-11.7123315553,-11.6963283696,-11.4382769997,-11.5172927293,-11.6573206044,-11.570303282,-12.0203928806,-117.842273053,-117.811276926,-117.298341029,-117.735286423,-117.631299418,-117.678293545,-117.296341279,-117.66929467,-117.240348276,-118.443197954,-118.341210699,-117.013376641,-117.450322035,-117.163357898,-118.323212949,-117.582305541,-118.058246062,-117.878268554,-117.961258183,-117.362333031,-117.88926718,-118.394204077,-118.282218072,-117.520313288,-118.241223195,-117.984255309,-117.381330657,-118.067244937,-117.305340154,-117.388329783,-117.401328158,-118.024250311,263.955,263.957,263.989,263.941,264.047,264.066,263.964,263.851,263.853,264.081,263.964,263.892,263.983,264.049,264.061,263.974,263.968,263.974,263.962,264.028,264.008,264.065,264.045,263.908,264.022,263.996,263.974,264.131,264.057,263.994,264.036,263.849
FLQS22TQGRX2,-11.7012420515,-11.4121866661,-11.5122058306,-11.2671588777,-11.4301901158,-11.3361721012,-11.421188391,-11.2271512119,-11.6312286363,-11.6302284447,-11.6702361105,-11.6042234619,-11.4081858996,-11.3441736343,-11.5992225037,-11.3671780421,-11.5762180959,-11.4791995063,-11.5042042975,-11.4341908823,-11.5932213538,-11.5972221204,-11.4952025727,-11.3721790004,-11.4781993147,-11.5752179042,-11.5432117716,-11.2781609858,-11.4701977815,-11.373179192,-11.2261510202,-11.3601767006,-117.697231574,-117.617243649,-117.155313386,-117.414274291,-117.750223574,-117.353283499,-117.474265234,-117.940194894,-117.8812038,-118.037180253,-117.614244102,-117.666236253,-117.650238668,-118.554102214,-117.593247272,-117.975189611,-117.527257234,-117.418273687,-117.696231725,-117.41527414,-117.818213309,-117.79621663,-117.546254366,-117.708229913,-117.657237611,-117.460267348,-117.559252404,-118.671084554,-117.460267348,-117.698231423,-117.52125814,-117.71122946,264.661,264.797,264.727,264.857,264.795,264.821,264.786,264.901,264.704,264.712,264.672,264.707,264.8,264.873,264.705,264.835,264.714,264.755,264.756,264.777,264.719,264.716,264.754,264.821,264.767,264.711,264.731,264.91,264.762,264.82,264.882,264.826
FLQS21YXGRX2,-12.1643135982,-11.6893403997,-11.7763354908,-11.3953569885,-11.7013397226,-11.6003454215,-11.42935507,-12.1013171529,-11.971324488,-12.0483201434,-11.8143333467,-11.7433373528,-11.7443372964,-11.6433429952,-11.613344688,-11.7833350958,-12.0343209333,-11.8133334031,-11.7153389327,-11.634343503,-11.8063337981,-11.6763411332,-11.6423430516,-11.5813464935,-11.6843406818,-11.9163275914,-11.8743299612,-11.58034655,-11.5393488634,-11.6483427131,-11.568347227,-11.9593251651,-117.41095854,-116.986027455,-117.983865627,-117.788897247,-117.866884599,-117.656918651,-117.527939569,-117.448952378,-117.594928704,-116.98802713,-117.592929029,-117.64792011,-117.681914597,-117.338970215,-117.446952703,-117.364965999,-117.567933082,-117.857886058,-117.615925299,-117.720908273,-117.854886545,-117.772899841,-117.470948811,-117.616925137,-117.506942974,-117.184995186,-117.860885572,-117.195993403,-118.234824927,-117.289978161,-117.369965188,-117.746904057,263.749,263.957,263.964,264.138,263.994,264.033,264.109,263.781,263.851,263.784,263.927,263.963,263.964,263.997,264.017,263.93,263.819,263.94,263.975,264.02,263.943,264.001,264.004,264.04,263.985,263.857,263.91,264.02,264.089,263.992,264.035,263.864
FLQS2AVTGRX5,-12.0295513216,-11.635598764,-11.8415739591,-11.732587084,-11.7695826287,-11.664595272,-11.7605837124,-11.8475732366,-11.7885803409,-11.7685827492,-11.8905680589,-11.7405861207,-11.6785935862,-11.6405981619,-11.6056023763,-11.7135893718,-11.8425738387,-11.8065781735,-11.778581545,-11.7105897331,-11.7385863615,-11.7475852778,-11.7765817859,-11.7045904555,-11.5446097215,-11.7795814246,-11.8145772102,-11.6905921413,-11.5416100827,-11.7685827492,-11.5646073132,-11.7575840737,-117.569096643,-117.283074512,-116.883043561,-116.953048977,-117.623100821,-117.614100125,-116.621023288,-117.153064453,-117.430085887,-117.71910825,-116.695029014,-117.657103452,-117.496090994,-117.172065923,-117.660103684,-117.315076989,-117.658103529,-117.684105541,-117.698106625,-117.480089756,-117.487090298,-117.600099041,-117.493090762,-117.630101363,-117.722108482,-117.201068167,-117.367081012,-117.796114208,-117.587098036,-117.755111035,-117.256072423,-117.708107398,264.494,264.67,264.551,264.607,264.622,264.672,264.577,264.561,264.603,264.627,264.518,264.638,264.66,264.662,264.703,264.634,264.588,264.607,264.621,264.643,264.63,264.631,264.612,264.653,264.735,264.596,264.588,264.668,264.73,264.628,264.703,264.632
FLQS3087GRWV,-11.8503481348,-11.6933632241,-11.8523607619,-11.68933797,-11.8402849995,-11.5404035674,-11.7597799171,-11.8573923295,-11.8624238972,-11.5212836104,-12.0898507551,-11.8282092372,-11.824183983,-11.6289591581,-11.8131145342,-11.7909756365,-11.7215400029,-11.77487462,-11.72355263,-11.7044326729,-11.822171356,-11.6863190294,-11.7134894947,-11.6480791152,-11.6168833958,-11.9258216496,-11.8865754219,-11.5766308545,-11.6128581416,-11.7114768676,-11.7708493659,-11.7738683065,-117.660095236,-117.852106815,-117.432081486,-117.041057907,-117.90210983,-117.83410573,-117.749100604,-117.489084924,-117.50908613,-117.613092402,-117.110062068,-117.556088964,-117.654094874,-118.373138235,-117.742100181,-117.593091196,-117.806104041,-116.704037583,-117.853106875,-117.893109288,-117.70609801,-117.750100664,-117.904109951,-117.850106695,-118.071120022,-117.6710959,-117.767101689,-118.016116705,-118.005116042,-117.912110434,-116.868047474,-117.723099036,263.947,264.032,263.935,263.995,263.964,264.104,263.995,263.935,263.934,264.103,263.805,263.953,263.96,264.087,263.969,263.973,264.016,263.937,264.017,264.028,263.963,264.03,264.025,264.053,264.079,263.911,263.935,264.095,264.077,264.026,263.947,263.987
