,Distance_X_LOGO_MainBoard_Sim1,Distance_X_LOGO_MainBoard_Sim2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_Sim1,Distance_Y_LOGO_MainBoard_Sim2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_Sim1,Angle_MainBoard_Sim2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-57.9804422796,-57.9064251194,-57.9094258151,-57.9074253513,-57.9064251194,-57.9744408883,-57.9064251194,-57.9054248875,-57.9404330038,-57.9444339314,-57.9064251194,-57.9764413521,-57.8764181625,-57.910426047,-57.9444339314,-57.8764181625,-57.8374091186,-57.9424334676,-57.9054248875,-57.8754179306,-57.977441584,-57.977441584,-57.9454341633,-57.9054248875,-57.8384093505,-57.9794420477,-57.8764181625,-57.9414332357,-57.9094258151,-57.9764413521,-57.9794420477,-57.9804422796,-57.8619679434,-57.7889339042,-57.8969842636,-57.894983331,-57.8239502244,-57.894983331,-57.894983331,-57.8579660783,-57.9650159714,-57.8619679434,-57.8239502244,-57.8579660783,-57.8969842636,-57.8269516233,-57.967016904,-57.825951157,-57.894983331,-57.8239502244,-57.9279987187,-57.7909348368,-57.9269982524,-57.8279520895,-57.9330010501,-57.8249506907,-57.7879334379,-57.825951157,-57.8619679434,-57.8249506907,-57.8629684097,-57.7559185166,-57.9269982524,-57.8619679434,224.598,224.598,224.65,224.65,224.616,224.617,224.651,224.633,224.668,224.616,224.616,224.598,224.667,224.615,224.667,224.631,224.685,224.598,224.667,224.614,224.631,224.582,224.65,224.617,224.631,224.581,224.649,224.598,224.633,224.547,224.63,224.598
FLQS30KBGRWV,-57.8856511343,-57.8135656424,-57.8145668298,-57.7805264587,-57.812564455,-57.8496083883,-57.8115632677,-57.812564455,-57.8145668298,-57.8095608929,-57.812564455,-57.8826475721,-57.7474872749,-57.7825288334,-57.817570392,-57.7434825254,-57.7444837127,-57.8476060136,-57.812564455,-57.7805264587,-57.8836487595,-57.8836487595,-57.848607201,-57.8105620803,-57.7444837127,-57.8836487595,-57.7815276461,-57.8155680172,-57.8145668298,-57.8826475721,-57.8856511343,-57.8856511343,-57.9382058104,-57.868207978,-57.9752046646,-57.9732047266,-57.9032068942,-57.9732047266,-57.9352059033,-57.9362058723,-58.045202497,-57.9012069561,-57.9032068942,-57.8992070181,-57.9742046956,-57.8622081638,-58.0482024041,-57.9072067703,-57.9752046646,-57.9012069561,-57.9672049124,-57.867208009,-58.0052037356,-57.9052068323,-57.9712047885,-57.8622081638,-57.8642081019,-57.9032068942,-57.9022069252,-57.9042068632,-57.9032068942,-57.8322090928,-57.9742046956,-57.9382058104,225.398,225.399,225.451,225.467,225.417,225.433,225.433,225.433,225.486,225.417,225.417,225.38,225.484,225.411,225.486,225.453,225.486,225.399,225.449,225.415,225.432,225.382,225.433,225.398,225.431,225.381,225.432,225.416,225.416,225.347,225.416,225.398
FLQS30CWGRWV,-57.8884968042,-57.8514862571,-57.8854959491,-57.8534868272,-57.8504859721,-57.8894970893,-57.8834953789,-57.8524865422,-57.9215062111,-57.8874965192,-57.8504859721,-57.919505641,-57.8204774204,-57.8154759951,-57.9225064962,-57.8214777054,-57.8124751399,-57.8854959491,-57.884495664,-57.7814663032,-57.9565161881,-57.955515903,-57.8884968042,-57.849485687,-57.7824665882,-57.8864962341,-57.8194771353,-57.8874965192,-57.8524865422,-57.954515618,-57.9255073513,-57.8884968042,-57.8482679435,-57.8242603621,-57.9312941624,-57.9282932147,-57.816257835,-57.9282932147,-57.9312941624,-57.8932821585,-58.0023165906,-57.8512688911,-57.816257835,-57.8512688911,-57.9302938465,-57.8152575191,-58.0023165906,-57.8592714183,-57.9322944783,-57.8132568873,-57.9663052185,-57.779246147,-57.9613036391,-57.86127205,-57.925292267,-57.8642729977,-57.8212594144,-57.8152575191,-57.8512688911,-57.8582711024,-57.8512688911,-57.7862483583,-57.9292935306,-57.8482679435,224.642,224.648,224.685,224.699,224.645,224.681,224.686,224.682,224.702,224.645,224.645,224.629,224.716,224.662,224.701,224.681,224.722,224.626,224.702,224.661,224.664,224.615,224.68,224.669,224.681,224.627,224.678,224.647,224.661,224.579,224.664,224.642
FLQS30C7GRWV,-57.7768648246,-57.703772645,-57.7047739077,-57.7047739077,-57.7017701195,-57.7398181034,-57.7007688568,-57.7027713823,-57.7358130525,-57.7398181034,-57.7017701195,-57.7688547227,-57.669729712,-57.6637221356,-57.7408193662,-57.6296792027,-57.6667259238,-57.7348117898,-57.703772645,-57.6687284493,-57.8079039694,-57.7748622992,-57.7418206289,-57.7358130525,-57.6266754145,-57.7748622992,-57.6707309748,-57.7398181034,-57.7057751705,-57.7728597737,-57.7758635619,-57.7768648246,-57.9267009369,-57.8196977949,-57.9257009075,-57.9237008488,-57.8546988226,-57.9237008488,-57.9647020527,-57.8876997917,-58.0297039614,-57.9277009662,-57.8546988226,-57.9267009369,-57.9257009075,-57.8546988226,-58.0337040789,-57.8546988226,-57.9237008488,-57.8526987639,-57.995702963,-57.8176977361,-57.9567018178,-57.8926999385,-57.9987030511,-57.8946999972,-57.8136976187,-57.8926999385,-57.8896998504,-57.8546988226,-57.9287009956,-57.7836967378,-57.9247008781,-57.9267009369,224.773,224.756,224.808,224.807,224.774,224.789,224.829,224.79,224.844,224.791,224.774,224.777,224.825,224.793,224.843,224.81,224.825,224.757,224.843,224.772,224.772,224.756,224.825,224.777,224.791,224.757,224.806,224.755,224.809,224.704,224.772,224.773
FLQS29JFGRX5,-57.8475093206,-57.8105089948,-57.7775087043,-57.809508986,-57.8085089772,-57.809508986,-57.7745086779,-57.8085089772,-57.8495093382,-57.8115090036,-57.8085089772,-57.845509303,-57.7445084137,-57.7795087219,-57.8115090036,-57.7795087219,-57.7405083785,-57.8115090036,-57.809508986,-57.7455084225,-57.8465093118,-57.8465093118,-57.8125090124,-57.8085089772,-57.7095081056,-57.8465093118,-57.7455084225,-57.8105089948,-57.7785087131,-57.922509981,-57.845509303,-57.8475093206,-57.9013065796,-57.8733044969,-57.9353091087,-57.9363091831,-57.8693041994,-57.9353091087,-57.9343090343,-57.9373092574,-58.0433171421,-57.9013065796,-57.8693041994,-57.902306654,-57.9343090343,-57.9033067284,-58.0033141668,-57.9163076954,-57.9343090343,-57.868304125,-57.967311489,-57.868304125,-57.9693116377,-57.8663039762,-57.9683115633,-57.8663039762,-57.8283011497,-57.8653039018,-57.902306654,-57.9053068772,-57.9013065796,-57.8903057614,-57.9763121584,-57.9013065796,225.362,225.366,225.413,225.398,225.365,225.397,225.414,225.399,225.431,225.379,225.365,225.364,225.429,225.397,225.43,225.403,225.431,225.363,225.413,225.396,225.396,225.345,225.413,225.363,225.394,225.344,225.413,225.382,225.396,225.319,225.4,225.362
FLQS22XEGRX2,-57.8392662059,-57.7662620833,-57.7692622527,-57.7682621963,-57.7672621398,-57.8042642293,-57.7652620268,-57.7682621963,-57.8022641164,-57.8022641164,-57.7672621398,-57.8342659235,-57.7342602762,-57.7692622527,-57.8032641728,-57.7342602762,-57.7302600503,-57.8002640034,-57.7652620268,-57.7342602762,-57.8362660365,-57.8382661494,-57.8032641728,-57.7652620268,-57.6972581866,-57.8382661494,-57.7352603326,-57.8022641164,-57.7692622527,-57.8372660929,-57.8392662059,-57.8392662059,-57.8687550471,-57.7967590842,-57.9037530846,-57.9007532528,-57.8317571217,-57.9027531406,-57.9037530846,-57.8657552153,-57.9717492717,-57.869754991,-57.8317571217,-57.8667551592,-57.9037530846,-57.8357568974,-57.9737491596,-57.8347569535,-57.9017531967,-57.8317571217,-57.9017531967,-57.798758972,-57.9337514024,-57.8357568974,-57.9067529164,-57.8337570096,-57.7627609906,-57.8327570656,-57.869754991,-57.8327570656,-57.869754991,-57.7627609906,-57.9027531406,-57.8687550471,224.681,224.681,224.733,224.732,224.698,224.715,224.735,224.714,224.75,224.699,224.698,224.682,224.75,224.699,224.75,224.716,224.751,224.682,224.734,224.698,224.714,224.665,224.717,224.7,224.699,224.664,224.732,224.681,224.716,224.629,224.698,224.681
FLQS22TQGRX2,-57.7652398656,-57.7242283358,-57.6622109005,-57.6932196182,-57.7302300231,-57.7292297419,-57.6932196182,-57.6932196182,-57.7282294607,-57.7312303043,-57.7302300231,-57.7632393032,-57.6602103381,-57.6932196182,-57.7312303043,-57.6592100569,-57.6231999332,-57.7272291795,-57.6912190558,-57.6592100569,-57.7642395844,-57.7642395844,-57.7312303043,-57.6932196182,-57.6221996519,-57.7662401469,-57.6612106193,-57.7292297419,-57.6952201806,-57.762239022,-57.7632393032,-57.7652398656,-57.9200351924,-57.8880368304,-58.0260297668,-57.9930314559,-57.9200351924,-57.9940314047,-58.0230299204,-57.9880317118,-58.0650277706,-57.9850318654,-57.9200351924,-57.9890316607,-57.9930314559,-57.9210351413,-58.0640278218,-57.9200351924,-58.0220299715,-57.9210351413,-58.0270297156,-57.8850369839,-58.0590280777,-57.9230350389,-58.0280296644,-57.9540334521,-57.8840370351,-57.9520335545,-57.9560333498,-57.9230350389,-57.9900316095,-57.8500387754,-57.9960313024,-57.9200351924,225.423,225.428,225.527,225.495,225.441,225.478,225.51,225.493,225.513,225.472,225.441,225.459,225.511,225.46,225.511,225.476,225.544,225.442,225.513,225.459,225.492,225.425,225.493,225.476,225.476,225.439,225.493,225.443,225.492,225.39,225.462,225.423
FLQS21YXGRX2,-57.6443061389,-57.6103112659,-57.5733168454,-57.6083115675,-57.6073117183,-57.6433062897,-57.6073117183,-57.6073117183,-57.6453059881,-57.6453059881,-57.6073117183,-57.6373071944,-57.5753165438,-57.6113111151,-57.6443061389,-57.5403218217,-57.5393219725,-57.6433062897,-57.6063118691,-57.5773162422,-57.679300861,-57.6443061389,-57.6453059881,-57.6073117183,-57.5423215201,-57.6803007102,-57.576316393,-57.6443061389,-57.6103112659,-57.679300861,-57.679300861,-57.6443061389,-57.8155410695,-57.7475427854,-57.8495402116,-57.8505401863,-57.7815419275,-57.8495402116,-57.8505401863,-57.81354112,-57.9165385209,-57.81354112,-57.7815419275,-57.8145410948,-57.847540262,-57.7785420032,-57.9165385209,-57.740542962,-57.8485402368,-57.7795419779,-57.8825393789,-57.7415429368,-57.8825393789,-57.7805419527,-57.8835393536,-57.7805419527,-57.7415429368,-57.7795419779,-57.81354112,-57.7805419527,-57.8145410948,-57.7085437695,-57.8515401611,-57.8155410695,224.744,224.728,224.796,224.78,224.746,224.762,224.78,224.762,224.794,224.743,224.746,224.747,224.795,224.742,224.795,224.759,224.813,224.727,224.796,224.741,224.76,224.727,224.777,224.745,224.758,224.709,224.777,224.727,224.761,224.674,224.745,224.744
FLQS2AVTGRX5,-57.8436054805,-57.7706110261,-57.7726108741,-57.7706110261,-57.768611178,-57.8056083672,-57.769611102,-57.769611102,-57.8376059363,-57.8076082153,-57.768611178,-57.8366060123,-57.739613381,-57.7746107222,-57.8076082153,-57.739613381,-57.7016162678,-57.8026085951,-57.7706110261,-57.7406133051,-57.8736032015,-57.8426055565,-57.8076082153,-57.768611178,-57.7026161918,-57.8426055565,-57.7406133051,-57.8056083672,-57.7736107982,-57.8426055565,-57.8426055565,-57.8436054805,-57.9723070887,-57.903305533,-58.0063078553,-58.0063078553,-57.9383063221,-58.0063078553,-58.0073078779,-57.9703070436,-58.0763094336,-57.9733071113,-57.9383063221,-57.9733071113,-58.0063078553,-57.9373062996,-58.0763094336,-57.936306277,-58.0063078553,-57.9403063672,-58.0393085994,-57.9023055104,-58.0413086445,-57.9373062996,-58.0433086896,-57.936306277,-57.9013054879,-57.9703070436,-57.9723070887,-57.936306277,-57.9723070887,-57.9013054879,-58.0413086445,-57.9723070887,225.398,225.4,225.45,225.451,225.418,225.433,225.451,225.434,225.452,225.416,225.418,225.402,225.466,225.415,225.467,225.432,225.485,225.402,225.467,225.415,225.417,225.381,225.451,225.418,225.432,225.397,225.449,225.399,225.433,225.363,225.433,225.398
FLQS3087GRWV,-58.2323458663,-58.1589255784,-58.1609370931,-58.1589255784,-58.157919821,-58.1941270863,-58.1589255784,-58.1589255784,-58.1981501157,-58.196138601,-58.157919821,-58.2323458663,-58.1267413426,-58.1639543652,-58.196138601,-58.1297586147,-58.08952832,-58.196138601,-58.157919821,-58.1307643721,-58.234357381,-58.2635243447,-58.196138601,-58.157919821,-58.0915398347,-58.2323458663,-58.1277471,-58.1951328436,-58.1609370931,-58.2313401089,-58.2293285942,-58.2323458663,-57.9628356141,-57.8938358098,-57.9968355177,-57.9978355148,-57.9298357077,-57.998835512,-57.9978355148,-57.9628356141,-58.0688353135,-57.9628356141,-57.9298357077,-57.9638356112,-57.9978355148,-57.9288357105,-58.0678353163,-57.9288357105,-57.9978355148,-57.9298357077,-58.0318354184,-57.8938358098,-58.0318354184,-57.9588356254,-58.0338354127,-57.9288357105,-57.8898358211,-57.9278357133,-57.9638356112,-57.9288357105,-57.9638356112,-57.8598359062,-57.998835512,-57.9628356141,224.695,224.696,224.747,224.748,224.715,224.731,224.748,224.731,224.764,224.712,224.715,224.695,224.764,224.711,224.765,224.728,224.782,224.696,224.765,224.711,224.728,224.677,224.747,224.714,224.728,224.677,224.747,224.696,224.73,224.644,224.714,224.695
