,Distance_X_LOGO_Motor1,Distance_X_LOGO_motor2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Motor1,Distance_Y_LOGO_motor2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Motor1,Angle_motor2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-23.6276975569,-23.5156515697,-23.5596696361,-23.5886815435,-23.6977262989,-23.6657131597,-23.6276975569,-23.5936835965,-23.6286979675,-23.5936835965,-23.5966848283,-23.6326996099,-23.5576688149,-23.5586692255,-23.5596696361,-23.5596696361,-23.5586692255,-23.5936835965,-23.5586692255,-23.5596696361,-23.6326996099,-23.5956844177,-23.6326996099,-23.5926831859,-23.5576688149,-23.5976852389,-23.5956844177,-23.5926831859,-23.4916417152,-23.5256556757,-23.5246552651,-23.5586692255,-138.472868374,-138.562889091,-138.614901061,-138.473868604,-138.647908658,-138.584894155,-138.571891163,-138.546885408,-138.577892544,-138.538883566,-138.50387551,-138.468867453,-138.542884487,-138.540884027,-138.500874819,-138.500874819,-138.473868604,-138.500874819,-138.475869064,-138.467867223,-138.468867453,-138.409853871,-138.468867453,-138.40385249,-138.439860777,-138.469867683,-138.509876891,-138.40485272,-138.445862158,-138.502875279,-138.431858936,-138.475869064,259.969,260.021,260.006,259.985,259.953,259.962,259.976,259.988,259.976,259.987,259.984,259.967,260.002,260.002,259.998,259.998,259.997,259.985,259.997,259.996,259.967,259.978,259.967,259.979,259.995,259.981,259.984,259.979,260.022,260.012,260.008,259.997
FLQS30KBGRWV,-23.4342304819,-23.3200881074,-23.3661455567,-23.3981855215,-23.5033166559,-23.4672716955,-23.4312267352,-23.36314181,-23.4312267352,-23.3961830237,-23.4001880193,-23.4362329797,-23.3591368144,-23.3601380633,-23.3621405611,-23.3621405611,-23.3601380633,-23.3961830237,-23.3591368144,-23.36314181,-23.4362329797,-23.3661455567,-23.4362329797,-23.3951817748,-23.3601380633,-23.4011892682,-23.3981855215,-23.3961830237,-23.2980606316,-23.2970593827,-23.2970593827,-23.3611393122,-138.371884992,-138.494871557,-138.512869591,-138.371884992,-138.554865004,-138.512869591,-138.478873305,-138.477873414,-138.48587254,-138.449876472,-138.411880623,-138.376884445,-138.448876581,-138.448876581,-138.409880841,-138.409880841,-138.373884773,-138.40888095,-138.413880404,-138.375884555,-138.376884445,-138.338888596,-138.376884445,-138.302892528,-138.338888596,-138.376884445,-138.417879967,-138.302892528,-138.375884555,-138.410880732,-138.339888487,-138.412880513,260.051,260.106,260.088,260.066,260.036,260.047,260.06,260.087,260.06,260.072,260.067,260.051,260.087,260.086,260.083,260.083,260.081,260.069,260.084,260.08,260.051,260.076,260.051,260.062,260.079,260.065,260.069,260.062,260.106,260.109,260.104,260.083
FLQS30CWGRWV,-23.3885492058,-23.2925264233,-23.3225335428,-23.3695446968,-23.4745696151,-23.4355603597,-23.4015522909,-23.3645435102,-23.4025525283,-23.3675442221,-23.335536628,-23.4025525283,-23.3305354414,-23.332535916,-23.2995280845,-23.2995280845,-23.3315356787,-23.3675442221,-23.3305354414,-23.2985278472,-23.4025525283,-23.3675442221,-23.4025525283,-23.3635432729,-23.3065297457,-23.335536628,-23.3675442221,-23.3695446968,-23.2675204903,-23.2955271352,-23.2975276099,-23.3005283218,-138.445928398,-138.532940923,-138.584948409,-138.408923071,-138.602951,-138.556944378,-138.523939627,-138.522939483,-138.55994481,-138.522939483,-138.48193358,-138.442927966,-138.526940059,-138.523939627,-138.478933148,-138.478933148,-138.411923503,-138.455929837,-138.464931133,-138.441927822,-138.442927966,-138.383919472,-138.442927966,-138.377918608,-138.411923503,-138.446928542,-138.466931421,-138.338912993,-138.419924655,-138.478933148,-138.38591976,-138.462930845,260.071,260.116,260.107,260.076,260.047,260.06,260.071,260.086,260.073,260.085,260.095,260.065,260.1,260.099,260.109,260.109,260.091,260.08,260.096,260.107,260.065,260.075,260.065,260.076,260.102,260.092,260.081,260.071,260.118,260.111,260.104,260.108
FLQS30C7GRWV,-23.2672452673,-23.1241699685,-23.1882036687,-23.2302257844,-23.332279494,-23.2982615908,-23.2322268375,-23.224222625,-23.2622426345,-23.2272242047,-23.231226311,-23.2642436876,-23.1611894514,-23.1601889249,-23.1912052484,-23.1912052484,-23.1932063015,-23.2272242047,-23.1902047218,-23.1922057749,-23.2642436876,-23.1962078812,-23.2642436876,-23.2222215719,-23.1882036687,-23.231226311,-23.2292252578,-23.231226311,-23.1271715482,-23.1271715482,-23.1251704951,-23.1611894514,-138.335919186,-138.459928078,-138.512931878,-138.335919186,-138.520932452,-138.482929727,-138.449927361,-138.467928652,-138.453927648,-138.414924851,-138.382922556,-138.367921481,-138.448927289,-138.442926859,-138.380922413,-138.380922413,-138.336919258,-138.379922341,-138.383922628,-138.344919831,-138.367921481,-138.30891725,-138.367921481,-138.304916963,-138.339919473,-138.347920047,-138.382922556,-138.265914166,-138.34391976,-138.380922413,-138.309917322,-138.379922341,260.116,260.182,260.159,260.131,260.102,260.113,260.137,260.142,260.126,260.137,260.133,260.119,260.166,260.166,260.149,260.149,260.146,260.135,260.15,260.147,260.119,260.143,260.119,260.132,260.148,260.131,260.134,260.126,260.173,260.175,260.171,260.162
FLQS29JFGRX5,-23.4434107951,-23.30639086,-23.3633991541,-23.3774011913,-23.5584275289,-23.4514119592,-23.4154067207,-23.3784013368,-23.4164068663,-23.3814017733,-23.3824019189,-23.4494116681,-23.3443963894,-23.3463966804,-23.3463966804,-23.3463966804,-23.3704001727,-23.3804016278,-23.3483969715,-23.3453965349,-23.4494116681,-23.3794014823,-23.4494116681,-23.3804016278,-23.3453965349,-23.3824019189,-23.3814017733,-23.3804016278,-23.310391442,-23.3113915875,-23.308391151,-23.3463966804,-138.309209075,-138.403216694,-138.484223259,-138.311209237,-138.506225042,-138.446220179,-138.414217585,-138.414217585,-138.429218801,-138.389215559,-138.349212317,-138.312209318,-138.398216288,-138.391215721,-138.346212074,-138.346212074,-138.310209156,-138.346212074,-138.366213695,-138.309209075,-138.312209318,-138.273206157,-138.312209318,-138.242203645,-138.277206481,-138.315209561,-138.359213127,-138.242203645,-138.310209156,-138.346212074,-138.275206319,-138.357212965,260.035,260.097,260.079,260.062,260.002,260.042,260.054,260.069,260.054,260.066,260.063,260.033,260.081,260.08,260.077,260.077,260.065,260.063,260.077,260.075,260.033,260.058,260.033,260.056,260.072,260.06,260.064,260.056,260.089,260.091,260.087,260.078
FLQS22XEGRX2,-23.2387966241,-23.1067636902,-23.1707796581,-23.2037878916,-23.3118148376,-23.2467986201,-23.2117898876,-23.1767811551,-23.2107896381,-23.1767811551,-23.2097893886,-23.2117898876,-23.1427726721,-23.1417724226,-23.1437729216,-23.1437729216,-23.1717799076,-23.2067886401,-23.1417724226,-23.1727801571,-23.2117898876,-23.1767811551,-23.2117898876,-23.1777814046,-23.1427726721,-23.1777814046,-23.2097893886,-23.2147906361,-23.1067636902,-23.1077639397,-23.1037629417,-23.1427726721,-138.426125182,-138.512115941,-138.564110354,-138.425125289,-138.595107023,-138.53511347,-138.524114652,-138.522114867,-138.530114007,-138.491118198,-138.458121743,-138.422125611,-138.498117446,-138.491118198,-138.459121636,-138.459121636,-138.425125289,-138.453122281,-138.461121421,-138.418126041,-138.422125611,-138.387129372,-138.422125611,-138.357132595,-138.391128942,-138.424125397,-138.461121421,-138.316137001,-138.419125934,-138.456121958,-138.385129587,-138.430124752,260.132,260.191,260.169,260.146,260.115,260.137,260.15,260.164,260.151,260.162,260.146,260.143,260.176,260.176,260.173,260.173,260.159,260.147,260.174,260.159,260.143,260.155,260.143,260.152,260.169,260.157,260.146,260.135,260.185,260.187,260.184,260.171
FLQS22TQGRX2,-23.21271416,-23.1056970367,-23.1457034379,-23.1757082388,-23.2817252021,-23.2437191209,-23.2087135199,-23.1717075987,-23.2097136799,-23.1737079188,-23.1757082388,-23.2097136799,-23.1387023177,-23.1377021577,-23.1387023177,-23.1387023177,-23.1427029578,-23.1747080788,-23.1377021577,-23.1387023177,-23.2097136799,-23.1717075987,-23.2097136799,-23.1757082388,-23.1407026378,-23.1767083989,-23.1747080788,-23.1767083989,-23.1046968766,-23.1046968766,-23.1016963965,-23.1377021577,-138.444611398,-138.567595951,-138.58759344,-138.444611398,-138.63758716,-138.592592812,-138.558597082,-138.555597458,-138.566596077,-138.529600723,-138.490605621,-138.477607254,-138.532600347,-138.530600598,-138.487605998,-138.487605998,-138.445611273,-138.488605872,-138.495604993,-138.454610142,-138.477607254,-138.417614789,-138.477607254,-138.412615417,-138.411615542,-138.456609891,-138.496604868,-138.374620189,-138.453610268,-138.489605747,-138.417614789,-138.494605119,260.139,260.191,260.176,260.154,260.125,260.137,260.149,260.163,260.149,260.161,260.157,260.143,260.175,260.175,260.172,260.172,260.168,260.158,260.173,260.17,260.143,260.154,260.143,260.152,260.166,260.155,260.158,260.149,260.183,260.186,260.182,260.173
FLQS21YXGRX2,-23.5424562246,-23.4414585574,-23.476457749,-23.5114569406,-23.6134545847,-23.5784553931,-23.5424562246,-23.5064570561,-23.5424562246,-23.507457033,-23.5104569637,-23.5454561553,-23.4724578414,-23.4724578414,-23.4724578414,-23.4724578414,-23.4474584189,-23.5084570099,-23.4714578645,-23.4414585574,-23.5454561553,-23.5084570099,-23.5454561553,-23.5114569406,-23.476457749,-23.5104569637,-23.5084570099,-23.5134568944,-23.4084593196,-23.4084593196,-23.4374586498,-23.4704578876,-138.299385298,-138.393373327,-138.441367215,-138.300385171,-138.475362885,-138.439367469,-138.404371927,-138.399372563,-138.402372181,-138.364377021,-138.334380841,-138.301385044,-138.363377148,-138.363377148,-138.333380968,-138.333380968,-138.302384916,-138.332381096,-138.29638568,-138.300385171,-138.301385044,-138.263389883,-138.301385044,-138.232393831,-138.267389374,-138.299385298,-138.332381096,-138.230394085,-138.300385171,-138.335380714,-138.265389628,-138.298385426,259.995,260.042,260.032,260.008,259.979,259.99,260.002,260.016,260.002,260.013,260.01,259.994,260.028,260.028,260.026,260.026,260.034,260.011,260.023,260.036,259.994,260.006,259.994,260.003,260.019,260.008,260.011,260.002,260.049,260.051,260.035,260.024
FLQS2AVTGRX5,-23.2718324873,-23.1748456881,-23.2008421497,-23.2378371143,-23.3418229609,-23.3068277241,-23.2718324873,-23.2378371143,-23.2718324873,-23.2378371143,-23.2368372504,-23.2728323512,-23.2028418775,-23.2038417414,-23.2038417414,-23.2038417414,-23.2038417414,-23.2388369782,-23.2038417414,-23.2038417414,-23.2728323512,-23.2398368422,-23.2728323512,-23.2378371143,-23.2038417414,-23.2368372504,-23.2378371143,-23.2378371143,-23.1698463685,-23.1688465046,-23.1698463685,-23.2038417414,-138.390779139,-138.48678523,-138.531788085,-138.391779203,-138.577791003,-138.531788085,-138.498785991,-138.499786054,-138.509786689,-138.473784405,-138.430781677,-138.395779457,-138.475784532,-138.472784342,-138.42878155,-138.42878155,-138.39377933,-138.42878155,-138.439782248,-138.392779266,-138.395779457,-138.357777046,-138.395779457,-138.322774825,-138.357777046,-138.394779393,-138.439782248,-138.320774698,-138.392779266,-138.427781487,-138.358777109,-138.438782185,260.107,260.153,260.146,260.121,260.092,260.103,260.115,260.128,260.115,260.127,260.124,260.107,260.141,260.141,260.137,260.137,260.135,260.123,260.138,260.135,260.107,260.118,260.107,260.116,260.133,260.122,260.125,260.116,260.149,260.151,260.146,260.138
FLQS3087GRWV,-23.5674375236,-23.4537018653,-23.4979883163,-23.5291901341,-23.6348737104,-23.5996458516,-23.5634114826,-23.5281836238,-23.5946133004,-23.5271771136,-23.5312031546,-23.5634114826,-23.492955765,-23.4919492548,-23.4919492548,-23.4919492548,-23.4939622753,-23.5281836238,-23.492955765,-23.4919492548,-23.5634114826,-23.5271771136,-23.5634114826,-23.5251640931,-23.4899362343,-23.5312031546,-23.5281836238,-23.5301966443,-23.456721396,-23.4577279063,-23.4557148858,-23.492955765,-138.331122006,-138.453127406,-138.471128202,-138.330121962,-138.510129928,-138.473128291,-138.44012683,-138.44012683,-138.473128291,-138.434126565,-138.375123954,-138.361123334,-138.438126742,-138.433126521,-138.374123909,-138.374123909,-138.330121962,-138.373123865,-138.374123909,-138.338122316,-138.361123334,-138.302120723,-138.361123334,-138.301120678,-138.297120501,-138.341122449,-138.372123821,-138.260118864,-138.338122316,-138.373123865,-138.304120811,-138.370123732,260.043,260.097,260.08,260.058,260.028,260.04,260.052,260.066,260.042,260.066,260.06,260.047,260.08,260.08,260.076,260.076,260.072,260.062,260.076,260.074,260.047,260.057,260.047,260.058,260.072,260.058,260.061,260.053,260.088,260.09,260.086,260.075
