,Distance_X_LOGO_Voice1,Distance_X_LOGO_voice2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Voice1,Distance_Y_LOGO_voice2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Voice1,Angle_voice2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-54.7707065438,-54.9517783056,-54.9877925787,-54.916764429,-54.7737077333,-54.8087216098,-54.8147239887,-54.9207660149,-54.7436958391,-55.0938346049,-54.7486978214,-54.8527390547,-54.6466573811,-54.572628042,-54.2885154435,-54.2535015669,-53.525212934,-53.9733905542,-53.9733905542,-54.2885154435,-53.9383766776,-54.6736680859,-53.8333350479,-53.8303338585,-53.9383766776,-53.8683489245,-53.7983211713,-53.7983211713,-53.7282934181,-53.8773524927,-54.0084044308,-54.078432184,-131.55240614,-131.52039217,-131.479374271,-131.626438446,-131.656451543,-131.764498692,-131.837530561,-131.941575964,-131.576416618,-131.751493017,-131.940575528,-131.973589934,-132.11465149,-132.042620057,-132.241706934,-132.206691654,-132.506822623,-132.276722213,-131.926569416,-132.556844452,-132.591859732,-131.716477737,-132.661890291,-132.604865407,-132.591859732,-132.731920851,-132.76693613,-132.87198197,-132.87198197,-132.53983703,-132.451798612,-132.591859732,247.631,247.559,247.539,247.588,247.646,247.65,247.658,247.635,247.644,247.542,247.699,247.665,247.763,247.78,247.915,247.923,248.239,248.038,247.984,247.963,248.098,247.692,248.148,248.14,248.098,248.145,248.177,248.192,248.218,248.113,248.051,248.046
FLQS30KBGRWV,-54.5087262456,-54.6499016539,-54.6849451949,-54.6148581128,-54.5107287337,-54.5467735188,-54.5117299777,-54.6168606009,-54.4396404075,-54.7890745741,-54.4486516038,-54.554783471,-54.3415184926,-54.3074761956,-53.9590432731,-53.956039541,-53.2181226908,-53.6666800163,-53.6726874805,-53.9209959999,-53.5675568573,-54.3725570575,-53.4564187699,-53.52350212,-53.6086078625,-53.5615493931,-53.4634274781,-53.4303864252,-53.392339152,-53.5695593453,-53.7017235573,-53.7437758066,-131.505631924,-131.475633148,-131.431634944,-131.580628862,-131.606627801,-131.719623188,-131.792620209,-131.896615964,-131.465633556,-131.642626331,-131.889616249,-131.929614617,-132.066609024,-131.989612167,-132.129606453,-132.103607514,-132.42659433,-132.233602208,-131.819619107,-132.457593064,-132.494591554,-131.611627597,-132.618586493,-132.52459033,-132.483592003,-132.688583635,-132.696583309,-132.777580003,-132.80557886,-132.494591554,-132.408595065,-132.489591758,247.258,247.201,247.181,247.23,247.273,247.277,247.301,247.278,247.278,247.175,247.339,247.306,247.406,247.407,247.558,247.555,247.878,247.682,247.617,247.621,247.758,247.325,247.818,247.779,247.741,247.79,247.827,247.851,247.87,247.757,247.695,247.692
FLQS30CWGRWV,-54.6491722592,-54.7912064941,-54.8252146912,-54.7541975737,-54.6511727413,-54.6861811795,-54.6511727413,-54.7581985381,-54.581155865,-54.9632479618,-54.6201652675,-54.7211896177,-54.4811317558,-54.4441228355,-54.0600302564,-54.0980394179,-53.3618619748,-53.7449543127,-53.8149711891,-54.0620307386,-53.7469547949,-54.5111389886,-53.5959183901,-53.6679357487,-53.7709605811,-53.6419294803,-53.5739130861,-53.5749133272,-53.5389046479,-53.7129465978,-53.8409774575,-53.8529803506,-131.605712833,-131.572703123,-131.530690765,-131.677734019,-131.709743434,-131.816774919,-131.888796104,-131.990826117,-131.56970224,-131.771761678,-132.024836121,-132.058846126,-132.167878198,-132.093856424,-132.236898501,-132.201888203,-132.521982361,-132.378940284,-131.926807285,-132.552991482,-132.587001487,-131.709743434,-132.719040327,-132.624012374,-132.64901973,-132.733044446,-132.766054156,-132.87308564,-132.872085346,-132.594003546,-132.508978536,-132.592002958,247.736,247.678,247.659,247.708,247.751,247.755,247.779,247.755,247.756,247.645,247.812,247.779,247.885,247.887,248.051,248.032,248.354,248.19,248.096,248.099,248.221,247.803,248.297,248.256,248.221,248.282,248.312,248.328,248.341,248.234,248.174,248.182
FLQS30C7GRWV,-54.4788349168,-54.6539372385,-54.6899582875,-54.61591502,-54.4808360861,-54.5148559658,-54.5148559658,-54.6229191129,-54.4458156218,-54.7940190958,-54.45181913,-54.520859474,-54.3457571523,-54.277717393,-53.9245109954,-53.9585308751,-53.2241017086,-53.6233350021,-53.6403449419,-53.8874893617,-53.574306352,-54.3397536441,-53.4832531447,-53.4932589917,-53.574306352,-53.5182736091,-53.4352250793,-53.436225664,-53.3781917517,-53.5883145377,-53.6583554664,-53.7283963951,-131.567564653,-131.530563369,-131.493562085,-131.671568261,-131.670568226,-131.778571973,-131.845574298,-131.951577976,-131.527563265,-131.701569302,-131.951577976,-131.987579225,-132.124583978,-132.055581584,-132.192586337,-132.159585192,-132.472596052,-132.301590119,-131.881575547,-132.51259744,-132.545598585,-131.670568226,-132.616601048,-132.579599765,-132.538598342,-132.756605906,-132.716604518,-132.822608196,-132.826608334,-132.54659862,-132.406593762,-132.54659862,247.834,247.763,247.744,247.799,247.849,247.853,247.863,247.839,247.84,247.737,247.903,247.883,247.969,247.983,248.135,248.117,248.438,248.263,248.194,248.197,248.318,247.901,248.363,248.354,248.317,248.371,248.396,248.411,248.433,248.313,248.266,248.261
FLQS29JFGRX5,-54.4573342645,-54.6353582406,-54.670362955,-54.5993533915,-54.4613348033,-54.5323443668,-54.4973396524,-54.604354065,-54.4253299542,-54.7743769635,-54.4353313011,-54.5033404606,-54.3273167538,-54.2613078638,-53.9152612586,-53.950265973,-53.2131667011,-53.5942180208,-53.6702282578,-53.9122608545,-53.5592133064,-54.3703225458,-53.4561994325,-53.4782023959,-53.5602134411,-53.4902040123,-53.4221948528,-53.4231949875,-53.3541856934,-53.5652141145,-53.6302228699,-53.7002322987,-131.50789163,-131.476889298,-131.432885988,-131.582897271,-131.609899302,-131.721907727,-131.795913294,-131.897920967,-131.468888696,-131.64390186,-131.891920515,-131.930923449,-132.06893383,-131.995928338,-132.138939095,-132.103936462,-132.429960985,-132.246947219,-131.8239154,-132.461963392,-132.49596595,-131.613899603,-132.56697129,-132.535968959,-132.489965498,-132.636976556,-132.664978662,-132.777987162,-132.779987313,-132.558970689,-132.358955644,-132.49596595,247.201,247.13,247.11,247.16,247.215,247.206,247.23,247.206,247.207,247.104,247.268,247.249,247.335,247.349,247.499,247.48,247.804,247.635,247.542,247.549,247.685,247.249,247.734,247.721,247.684,247.732,247.761,247.778,247.804,247.692,247.638,247.633
FLQS22XEGRX2,-54.3887362291,-54.5297692548,-54.5647774527,-54.4927605885,-54.3887362291,-54.4567521564,-54.3887362291,-54.5237678495,-54.3187198333,-54.6658011095,-54.3567287339,-54.4617533275,-54.2467029691,-54.1816877445,-53.8306055314,-53.8336062341,-53.0944331417,-53.5135312821,-53.5505399484,-53.8256043603,-53.4435148863,-54.250703906,-53.33548959,-53.3965038777,-53.4755223815,-53.3704977879,-53.3024818605,-53.3364898242,-53.2674736627,-53.4455153547,-53.5485394799,-53.6125544703,-131.612768634,-131.58277051,-131.540773136,-131.687763943,-131.71676213,-131.822755501,-131.894750998,-131.997744556,-131.577770823,-131.749760066,-131.996744619,-132.03174243,-132.168733862,-132.09873824,-132.23272986,-132.17373355,-132.520711849,-132.336723356,-131.888751373,-132.550709973,-132.553709785,-131.717762067,-132.659703156,-132.61870572,-132.576708347,-132.727698903,-132.759696902,-132.863690398,-132.864690336,-132.55570966,-132.445716539,-132.583707909,247.851,247.794,247.774,247.824,247.866,247.858,247.894,247.859,247.871,247.769,247.921,247.888,247.988,248.002,248.153,248.143,248.47,248.286,248.205,248.202,248.345,247.918,248.401,248.372,248.336,248.398,248.428,248.431,248.457,248.344,248.29,248.286
FLQS22TQGRX2,-54.3572180676,-54.4622358768,-54.4962416436,-54.4252296012,-54.3592184068,-54.3942243432,-54.3602185764,-54.4662365553,-54.289206534,-54.6382657285,-54.2962077213,-54.3992251913,-54.1881894032,-54.1191776999,-53.7681181662,-53.8011237634,-53.0720001163,-53.4570654169,-53.5220764416,-53.7681181662,-53.4190589716,-54.1841887247,-53.3170416712,-53.3710508302,-53.4220594804,-53.3500472684,-53.2800353956,-53.2810355652,-53.2110236923,-53.4220594804,-53.4880706748,-53.5600828869,-131.684025976,-131.620029851,-131.581032213,-131.726023433,-131.788019679,-131.863015137,-131.932010959,-132.038004541,-131.613030275,-131.789019618,-132.038004541,-132.072002482,-132.210994066,-132.137998486,-132.27599013,-132.282989706,-132.557973055,-132.382983651,-131.963009082,-132.593970875,-132.626968877,-131.754021737,-132.698964517,-132.69396482,-132.622969119,-132.7669604,-132.799958401,-132.906951922,-132.91095168,-132.627968816,-132.523975113,-132.628968756,247.289,247.24,247.221,247.27,247.304,247.303,247.326,247.303,247.303,247.201,247.366,247.333,247.432,247.446,247.598,247.587,247.899,247.73,247.642,247.646,247.78,247.364,247.829,247.808,247.779,247.827,247.858,247.874,247.9,247.78,247.739,247.728
FLQS21YXGRX2,-54.632186243,-54.7211832883,-54.7571820932,-54.7251831555,-54.632186243,-54.6561854462,-54.6231865417,-54.7281830559,-54.5151901272,-54.9121769474,-54.5621885668,-54.6631852138,-54.4521922187,-54.3871943765,-54.032206162,-54.0702049004,-53.3372292348,-53.7202165198,-53.7442157231,-54.0312061952,-53.6832177482,-54.4441924842,-53.5822211012,-53.6022204372,-53.6862176486,-53.6172199393,-53.5472222631,-53.5482222299,-53.477224587,-53.7572152915,-53.7572152915,-53.8272129676,-131.490991349,-131.463992377,-131.421993977,-131.56998834,-131.59598735,-131.707983084,-131.780980303,-131.884976342,-131.45499272,-131.70098335,-131.875976684,-131.916975123,-132.053969904,-131.980972685,-132.117967467,-132.088968571,-132.470954021,-132.226963315,-131.807979275,-132.442955088,-132.478953716,-131.600987159,-132.540951355,-132.516952269,-132.467954135,-132.610948688,-132.648947241,-132.757943089,-132.758943051,-132.540951355,-132.330959354,-132.470954021,247.1,247.063,247.043,247.078,247.116,247.125,247.148,247.125,247.138,247.028,247.185,247.154,247.253,247.266,247.419,247.4,247.73,247.551,247.479,247.469,247.603,247.187,247.65,247.639,247.601,247.647,247.679,247.695,247.721,247.585,247.553,247.548
FLQS2AVTGRX5,-54.4818434338,-54.5858297745,-54.657820318,-54.6148259656,-54.4838431711,-54.5178387056,-54.4828433025,-54.5878295118,-54.4128524962,-54.76080679,-54.4188517082,-54.5218381802,-54.3108658929,-54.2448745613,-53.8949205302,-53.927916196,-53.1930127306,-53.5769622962,-53.6449533651,-53.8919209242,-53.5409670244,-54.34286169,-53.4359808151,-53.4939731974,-53.5439666304,-53.4719760868,-53.4039850179,-53.4039850179,-53.3319944744,-53.5439666304,-53.6139574366,-53.6819485055,-131.568643766,-131.541643018,-131.497641799,-131.675646729,-131.670646591,-131.784649748,-131.856651742,-131.960654622,-131.530642713,-131.702647477,-131.951654373,-131.992655509,-132.13065933,-132.057657309,-132.196661158,-132.1656603,-132.489669273,-132.309664288,-131.889652656,-132.520670132,-132.555671101,-131.675646729,-132.62567304,-132.589672043,-132.549670935,-132.695674978,-132.725675809,-132.838678939,-132.838678939,-132.557671156,-132.416667251,-132.557671156,247.172,247.129,247.095,247.139,247.187,247.192,247.216,247.193,247.192,247.089,247.254,247.222,247.321,247.335,247.486,247.469,247.791,247.621,247.532,247.536,247.671,247.24,247.721,247.694,247.67,247.718,247.748,247.765,247.792,247.671,247.624,247.619
FLQS3087GRWV,-55.0649257304,-55.1353772731,-55.1706030444,-55.1706030444,-54.9944741878,-55.1001515018,-54.9954806384,-55.1001515018,-54.9240226452,-55.2762803584,-54.93207425,-55.0357386628,-54.8887968738,-54.7579582946,-54.3956360753,-54.5013133893,-53.7615721915,-54.0826299359,-54.1490556761,-54.466087618,-54.1138299048,-54.8535711025,-54.0081525908,-54.0081525908,-54.1138299048,-54.0433783621,-53.9729268195,-53.9729268195,-53.9024752768,-54.0433783621,-54.1842814474,-54.2325910766,-131.641407204,-131.606407096,-131.571406987,-131.711407421,-131.746407529,-131.851407854,-131.877407934,-132.026408395,-131.606407096,-131.781407637,-131.978408246,-132.04740846,-132.201408936,-132.085408577,-132.271409153,-132.236409045,-132.551410019,-132.36740945,-131.956408178,-132.586410127,-132.621410235,-131.746407529,-132.691410452,-132.656410344,-132.621410235,-132.761410669,-132.796410777,-132.901411102,-132.901411102,-132.621410235,-132.481409802,-132.611410205,247.141,247.109,247.091,247.113,247.183,247.16,247.203,247.187,247.187,247.085,247.242,247.214,247.292,247.322,247.484,247.44,247.76,247.614,247.527,247.506,247.641,247.235,247.69,247.685,247.641,247.688,247.719,247.735,247.761,247.667,247.594,247.595
