,Distance_X_LOGO_Voice1,Distance_X_LOGO_voice2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Voice1,Distance_Y_LOGO_voice2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Voice1,Angle_voice2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-63.8366101128,-63.6845538745,-63.8586182526,-63.908636752,-63.8296075229,-63.7945945733,-63.8736238024,-63.7935942033,-63.8296075229,-63.7185664541,-63.8616193625,-63.6885553544,-63.7585812537,-63.7635831036,-63.7995964232,-63.8606189925,-63.7995964232,-63.8986330521,-63.7965953132,-64.4178250765,-63.8266064129,-63.8756245424,-64.1737347991,-64.1737347991,-63.7985960532,-63.8326086328,-63.8636201025,-63.8306078929,-63.8486145527,-64.1037088999,-63.7905930933,-63.7895927233,-120.324758551,-120.008598905,-119.800493822,-119.873530702,-119.798492811,-119.900544343,-119.905546869,-119.690438248,-120.288740364,-120.31675451,-120.31675451,-119.76747715,-119.823505441,-119.908548384,-119.872530197,-120.383788359,-119.835511504,-119.760473613,-119.801494327,-120.150670645,-120.317755015,-119.874531207,-120.255723692,-120.216703989,-119.942565561,-119.872530197,-119.900544343,-119.869528681,-119.847517566,-120.179685296,-120.250721166,-120.289740869,241.712,241.706,241.6,241.596,241.611,241.644,241.616,241.603,241.708,241.754,241.701,241.657,241.642,241.657,241.636,241.715,241.629,241.577,241.624,241.462,241.715,241.609,241.573,241.565,241.651,241.624,241.618,241.624,241.613,241.584,241.715,241.723
FLQS30KBGRWV,-63.6034473266,-63.399195406,-63.5744115144,-63.6184658502,-63.5433732323,-63.5013213663,-63.6384905483,-63.5684041049,-63.6034473266,-63.4983176616,-63.5684041049,-63.399195406,-63.4792941984,-63.4752892588,-63.5103324805,-63.5684041049,-63.5684041049,-63.6735337699,-63.5684041049,-64.1331005912,-63.5403695276,-63.6384905483,-63.8847943349,-63.8847943349,-63.5123349503,-63.546376937,-63.5093312456,-63.5453757021,-63.5934349776,-63.8127054217,-63.5684041049,-63.5013213663,-120.467823379,-120.093830136,-119.880833984,-119.952832684,-119.877834039,-119.978832214,-120.047830967,-119.837834761,-120.432824011,-120.467823379,-120.467823379,-119.846834599,-119.846834599,-119.986832069,-119.949832738,-120.537822114,-119.977832232,-119.907833497,-119.942832864,-120.237827534,-120.402824553,-120.0128316,-120.341825655,-120.296826468,-120.022831419,-119.952832684,-119.913833388,-119.949832738,-119.958832575,-120.259827137,-120.397824643,-120.371825113,242.534,242.537,242.429,242.427,242.44,242.475,242.438,242.423,242.527,242.573,242.547,242.488,242.458,242.487,242.467,242.561,242.451,242.398,242.444,242.292,242.545,242.431,242.404,242.396,242.48,242.454,242.46,242.454,242.437,242.415,242.533,242.553
FLQS30CWGRWV,-63.8008292441,-63.6177838298,-63.7948277552,-63.8908515791,-63.7628198139,-63.7248103836,-63.8558428933,-63.7858255217,-63.811831974,-63.6507920193,-63.8558428933,-63.6207845743,-63.7508168359,-63.6998041794,-63.7298116244,-63.8558428933,-63.7318121207,-63.8908515791,-63.7858255217,-64.3539664797,-63.7608193175,-63.8038299886,-64.1089056792,-64.1059049347,-63.7308118726,-63.8208342075,-63.7298116244,-63.7658205584,-63.8138324703,-64.0348873149,-63.7858255217,-63.7218096391,-120.409434358,-120.065315943,-119.859245031,-119.986288748,-119.851242277,-119.953277389,-120.021300796,-119.811228508,-120.397430227,-120.407433669,-120.441445373,-119.823232639,-119.881252604,-119.966281864,-119.926268094,-120.511469469,-119.889255358,-119.881252604,-119.916264652,-120.2113662,-120.377423343,-119.92526775,-120.318403033,-120.276388575,-119.998292879,-119.986288748,-119.888255014,-119.924267406,-119.935271193,-120.239375839,-120.371421277,-120.346412671,241.743,241.744,241.636,241.626,241.647,241.681,241.646,241.63,241.737,241.798,241.729,241.695,241.657,241.693,241.674,241.743,241.666,241.605,241.651,241.499,241.752,241.646,241.611,241.604,241.688,241.652,241.667,241.66,241.645,241.623,241.741,241.76
FLQS30C7GRWV,-63.6941546172,-63.5120283621,-63.6851483738,-63.7612010958,-63.6891511487,-63.619102589,-63.7271775096,-63.6561282562,-63.6521254814,-63.5420491734,-63.6841476801,-63.5110276684,-63.6231053638,-63.626107445,-63.6521254814,-63.6791442116,-63.6591303374,-63.7632024832,-63.6581296437,-64.2415340764,-63.6481227066,-63.7281782033,-63.9993661986,-63.9973648112,-63.6181018953,-63.6891511487,-63.6581296437,-63.6891511487,-63.7061629417,-63.9263155578,-63.6421185443,-63.6441199317,-120.38469473,-120.045687142,-119.831682352,-119.933684635,-119.860683001,-119.926684478,-119.968685418,-119.758680718,-120.348693925,-120.381694663,-120.380694641,-119.830682329,-119.828682285,-119.969685441,-119.967685396,-120.45169623,-119.898683851,-119.827682262,-119.867683158,-120.220691059,-120.383694708,-119.933684635,-120.322693343,-120.285692514,-120.004686224,-119.932684613,-119.897683829,-119.93168459,-119.91068412,-120.247691664,-120.308693029,-120.354694059,241.796,241.797,241.69,241.682,241.695,241.734,241.702,241.686,241.805,241.852,241.799,241.755,241.713,241.74,241.73,241.815,241.713,241.661,241.707,241.561,241.813,241.694,241.671,241.664,241.75,241.709,241.713,241.709,241.698,241.683,241.8,241.809
FLQS29JFGRX5,-63.6052772361,-63.452259729,-63.6222791814,-63.6682844449,-63.6042771217,-63.5592719726,-63.6392811266,-63.567272888,-63.5952760919,-63.4862636195,-63.6372808977,-63.4562601867,-63.5322688831,-63.5332689975,-63.5692731168,-63.6282798679,-63.5692731168,-63.6692845594,-63.5682730024,-64.1813431452,-63.6022768929,-63.6372808977,-63.9393154543,-63.9393154543,-63.6372808977,-63.5972763207,-63.5702732312,-63.5992765496,-63.640281241,-63.8683073301,-63.567272888,-63.5552715149,-120.339818436,-120.029795718,-119.816780108,-119.886785238,-119.816780108,-119.915787364,-119.92378795,-119.778777324,-120.302815725,-120.33481807,-120.338818363,-119.78377769,-119.848782454,-119.92378795,-119.887785312,-120.40182298,-119.851782673,-119.779777397,-119.818780255,-120.168805905,-120.338818363,-119.887785312,-120.276813819,-120.234810742,-120.023795278,-119.887785312,-119.849782527,-119.886785238,-119.891785605,-120.198808103,-120.268813233,-120.307816091,242.479,242.475,242.37,242.367,242.377,242.413,242.385,242.383,242.476,242.523,242.467,242.425,242.41,242.424,242.404,242.483,242.397,242.345,242.391,242.231,242.48,242.379,242.343,242.335,242.405,242.393,242.396,242.392,242.378,242.354,242.48,242.492
FLQS22XEGRX2,-63.6260785545,-63.5120551166,-63.6550845167,-63.7300999364,-63.5770684803,-63.5830697139,-63.6600855447,-63.548062518,-63.6180769097,-63.5140555278,-63.6550845167,-63.4800485375,-63.5600649852,-63.5590647796,-63.5910713586,-63.6540843111,-63.5910713586,-63.6980933574,-63.590071153,-64.2161998559,-63.6210775265,-63.7030943853,-63.9671486626,-63.9651482514,-63.6280789657,-63.6650865727,-63.6240781433,-63.6270787601,-63.6740884231,-63.8971342709,-63.6160764985,-63.5830697139,-120.467264946,-120.18527837,-119.946289748,-120.04728494,-119.940290033,-120.041285225,-120.052284702,-119.841294746,-120.429266755,-120.463265136,-120.464265088,-119.910291461,-119.912291366,-120.053284654,-120.01428651,-120.535261709,-119.978288224,-119.908291557,-119.946289748,-120.308272515,-120.466264993,-120.01428651,-120.440266231,-120.367269706,-120.11828156,-120.015286463,-120.010286701,-120.01428651,-120.021286177,-120.33127142,-120.390268611,-120.436266421,241.828,241.815,241.714,241.706,241.742,241.76,241.733,241.733,241.823,241.868,241.816,241.772,241.743,241.771,241.751,241.831,241.745,241.691,241.738,241.577,241.829,241.71,241.696,241.682,241.758,241.724,241.738,241.738,241.722,241.7,241.816,241.838
FLQS22TQGRX2,-63.474903994,-63.3218752952,-63.5229129976,-63.5399161863,-63.5029092461,-63.4278951781,-63.542916749,-63.4338963035,-63.4949077455,-63.3568818603,-63.4989084958,-63.3278764207,-63.399889926,-63.406891239,-63.4388972414,-63.4979083082,-63.4398974289,-63.5409163739,-63.4408976165,-64.0550127868,-63.4669024934,-63.5069099964,-63.812967394,-63.8109670188,-63.4338963035,-63.467902681,-63.4729036189,-63.4689028686,-63.5189122473,-63.7439544514,-63.4298955532,-63.4238944278,-120.553307316,-120.238319577,-120.062326428,-120.135323587,-120.061326467,-120.163322497,-120.16632238,-119.959330437,-120.545307627,-120.57530646,-120.577306382,-120.030327674,-120.030327674,-120.171322185,-120.100324949,-120.647303657,-120.10132491,-120.029327713,-120.067326233,-120.418312571,-120.549307472,-120.134323625,-120.521308562,-120.485309963,-120.202320979,-120.133323664,-120.097325066,-120.133323664,-120.108324638,-120.413312765,-120.481310119,-120.517308717,242.574,242.569,242.46,242.468,242.467,242.515,242.473,242.473,242.565,242.622,242.57,242.526,242.499,242.525,242.499,242.584,242.498,242.447,242.491,242.332,242.576,242.48,242.442,242.436,242.521,242.494,242.485,242.494,242.471,242.447,242.577,242.586
FLQS21YXGRX2,-63.7076785372,-63.5306877648,-63.7046786936,-63.7496763476,-63.6756802055,-63.6966791107,-63.7126782766,-63.679679997,-63.6656807268,-63.5616861487,-63.7026787979,-63.529687817,-63.6476816652,-63.6446818216,-63.6786800491,-63.7066785894,-63.6436818738,-63.7856744709,-63.6426819259,-64.264649499,-63.6696805183,-63.746676504,-64.0166624281,-64.0146625323,-63.6446818216,-63.6776801012,-63.6776801012,-63.7136782244,-63.7286774424,-63.9436662338,-63.62668276,-63.6306825515,-120.341988882,-120.00299173,-119.791993503,-119.864992889,-119.790993511,-119.90899252,-119.898992604,-119.687994376,-120.273989453,-120.308989159,-120.30998915,-119.756993797,-119.75899378,-119.899992595,-119.85899294,-120.353988781,-119.8279932,-119.755993805,-119.794993477,-120.149990495,-120.311989134,-119.893992646,-120.252989629,-120.212989965,-119.936992284,-119.861992915,-119.825993217,-119.862992906,-119.838993108,-120.174990285,-120.258989579,-120.281989386,241.766,241.765,241.658,241.656,241.669,241.684,241.676,241.647,241.768,241.814,241.761,241.716,241.673,241.702,241.681,241.768,241.688,241.621,241.682,241.521,241.774,241.663,241.633,241.626,241.709,241.682,241.675,241.669,241.659,241.645,241.779,241.783
FLQS2AVTGRX5,-63.5962128768,-63.4442314864,-63.6252093263,-63.6662043066,-63.5982126319,-63.5482187535,-63.628208959,-63.5672164273,-63.5812147133,-63.4792272013,-63.6222096936,-63.4442314864,-63.5282212021,-63.5232218143,-63.5592174068,-63.6172103057,-63.5562177741,-63.6682040617,-63.5562177741,-64.1831410096,-63.5882138563,-63.6342082244,-63.934171495,-63.9301719847,-63.5612171619,-63.5942131217,-63.5582175292,-63.5952129992,-63.6472066328,-63.8601805549,-63.6222096936,-63.5462189984,-120.452903983,-120.137899004,-119.932895763,-120.001896854,-119.891895115,-120.027897265,-120.034897376,-119.826894088,-120.412903351,-120.440903793,-120.471904283,-119.896895194,-119.89789521,-120.038897439,-119.998896807,-120.513904947,-119.965896285,-119.895895178,-119.931895748,-120.288901391,-120.41790343,-119.999896822,-120.390903003,-120.351902387,-120.069897929,-119.999896822,-119.962896238,-120.000896838,-119.975896443,-120.314901802,-120.401903177,-120.41790343,242.501,242.495,242.387,242.386,242.39,242.435,242.406,242.388,242.498,242.542,242.495,242.448,242.417,242.446,242.425,242.505,242.42,242.364,242.413,242.25,242.497,242.397,242.363,242.357,242.438,242.412,242.418,242.412,242.388,242.375,242.481,242.513
FLQS3087GRWV,-63.998119169,-63.8079211263,-63.9820177474,-64.139006608,-63.9538402596,-63.9628973093,-64.0333410288,-63.9628973093,-63.998119169,-63.8924535897,-64.0333410288,-63.8461620026,-63.9276754495,-63.9276754495,-63.957865615,-64.0172396072,-63.9588719539,-64.0685628885,-63.9628973093,-64.5787766855,-63.998119169,-64.0333410288,-64.3322236672,-64.3292046507,-63.9628973093,-63.998119169,-63.9568592762,-63.998119169,-64.0031508633,-64.2567482535,-63.9628973093,-63.9427705323,-120.538722392,-120.170726293,-119.95772855,-120.153726473,-119.952728603,-120.118726844,-120.118726844,-119.90872907,-120.503722763,-120.538722392,-120.538722392,-119.920728943,-119.978728328,-120.118726844,-120.02572783,-120.57672199,-119.987728233,-119.978728328,-120.013727957,-120.34172448,-120.468723134,-120.083727215,-120.449723336,-120.405723802,-120.153726473,-120.083727215,-119.988728222,-120.083727215,-120.037727703,-120.368724194,-120.468723134,-120.479723018,241.848,241.846,241.739,241.72,241.749,241.778,241.752,241.737,241.841,241.887,241.835,241.782,241.763,241.791,241.762,241.848,241.754,241.711,241.757,241.595,241.834,241.745,241.707,241.699,241.785,241.758,241.755,241.758,241.747,241.719,241.847,241.856
