SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-25.626	-25.903	-25.725	-25.507	-25.643	-25.709	-25.551	-25.359	-25.602	-25.558	-25.714	-25.582	-25.711	-25.620	-25.521	-25.379	-25.720	-25.451	-25.802	-25.418	-25.982	-25.629	-25.332	-25.367	-25.630	-25.547	-25.762	-25.547	-25.602	-25.724	-25.693	-25.450	125.605	125.596	125.464	125.398	125.581	125.380	125.385	125.379	125.183	125.256	125.597	125.456	125.512	125.375	125.238	125.315	125.458	125.372	125.528	125.517	125.463	125.388	125.525	125.329	125.111	125.445	125.253	125.445	125.183	125.656	125.186	125.365	101.636	101.758	101.692	101.603	101.646	101.693	101.623	101.539	101.664	101.638	101.675	101.630	101.682	101.654	101.623	101.554	101.690	101.580	101.720	101.553	101.805	101.657	101.514	101.547	101.682	101.616	101.728	101.616	101.664	101.675	101.703	101.580	2016_7_19_17_08_52
FLQS30KBGRWV____	-26.076	-25.894	-25.811	-25.664	-25.906	-25.619	-25.477	-25.628	-25.795	-25.479	-26.309	-26.069	-25.906	-25.759	-25.801	-25.517	-25.218	-25.825	-26.059	-25.608	-25.781	-25.677	-25.080	-25.463	-25.735	-25.694	-25.611	-25.694	-26.104	-25.594	-25.735	-25.555	125.749	125.617	125.547	125.538	125.547	125.338	125.402	125.407	125.263	125.338	125.624	125.487	125.474	125.338	125.266	125.397	125.466	125.439	125.544	125.540	125.471	125.405	125.540	125.409	125.190	125.503	125.278	125.503	125.266	125.618	125.263	125.325	101.731	101.664	101.633	101.570	101.675	101.568	101.500	101.566	101.652	101.507	101.844	101.752	101.682	101.630	101.655	101.518	101.381	101.649	101.742	101.545	101.627	101.588	101.314	101.493	101.633	101.586	101.570	101.586	101.788	101.533	101.626	101.541	2016_7_19_17_08_52
FLQS30CWGRWV____	-25.880	-25.936	-25.971	-25.372	-25.724	-25.463	-25.930	-25.732	-25.893	-25.507	-26.308	-26.124	-26.104	-25.903	-25.782	-25.511	-25.794	-25.650	-25.943	-25.690	-25.894	-25.656	-25.134	-25.340	-25.777	-25.671	-25.559	-25.671	-25.636	-25.701	-25.786	-25.545	125.631	125.615	125.494	125.354	125.544	125.234	125.348	125.485	125.149	125.167	125.566	125.427	125.357	125.289	125.284	125.215	125.355	125.339	125.484	125.370	125.472	125.286	125.539	125.348	125.077	125.292	125.217	125.292	125.207	125.494	125.269	125.321	101.498	101.524	101.550	101.300	101.438	101.351	101.545	101.446	101.548	101.376	101.691	101.623	101.621	101.539	101.486	101.374	101.485	101.423	101.539	101.438	101.519	101.431	101.180	101.287	101.503	101.437	101.395	101.437	101.429	101.432	101.490	101.379	2016_7_19_17_08_52
FLQS30C7GRWV____	-25.657	-25.759	-25.552	-25.342	-25.736	-25.789	-25.701	-25.319	-26.103	-25.834	-25.873	-25.665	-26.073	-25.775	-25.720	-25.373	-25.730	-25.706	-25.720	-25.733	-26.080	-26.301	-25.493	-25.573	-25.781	-25.701	-25.537	-25.323	-25.285	-25.997	-25.345	-25.884	126.125	126.175	125.983	125.979	126.036	125.836	125.962	125.846	125.764	125.839	126.103	126.033	126.000	125.896	125.762	125.834	126.026	125.898	125.809	125.886	125.962	125.810	126.042	125.852	125.690	125.966	125.836	125.895	125.761	126.173	125.766	125.836	101.418	101.458	101.384	101.293	101.460	101.501	101.451	101.295	101.645	101.520	101.514	101.429	101.610	101.490	101.478	101.320	101.458	101.459	101.474	101.472	101.617	101.727	101.353	101.405	101.511	101.451	101.391	101.292	101.287	101.562	101.313	101.543	2016_7_19_17_08_52
FLQS29JFGRX5____	-25.733	-26.144	-25.942	-25.606	-25.798	-25.933	-25.714	-25.514	-26.048	-25.713	-25.804	-25.964	-25.937	-25.932	-25.699	-25.643	-25.874	-25.847	-26.196	-25.802	-26.125	-26.173	-25.314	-25.461	-25.846	-25.401	-25.732	-25.401	-25.683	-25.688	-25.671	-25.819	126.117	126.114	125.917	125.850	125.877	125.775	125.898	125.777	125.694	125.770	125.943	125.809	125.809	125.750	125.697	125.767	125.807	125.837	125.876	125.825	125.806	125.685	125.973	125.779	125.563	125.893	125.767	125.893	125.697	125.948	125.695	125.687	101.406	101.585	101.515	101.374	101.456	101.524	101.417	101.340	101.582	101.428	101.452	101.534	101.523	101.526	101.429	101.398	101.495	101.481	101.630	101.462	101.605	101.637	101.236	101.317	101.505	101.281	101.437	101.281	101.422	101.401	101.417	101.482	2016_7_19_17_08_52
FLQS22XEGRX2____	-25.509	-25.624	-25.676	-25.445	-25.752	-25.277	-25.335	-25.295	-25.602	-25.292	-26.289	-25.700	-26.301	-25.690	-25.710	-25.119	-25.856	-25.274	-25.737	-25.634	-26.106	-25.406	-25.570	-25.321	-25.585	-25.326	-25.652	-25.326	-25.622	-25.895	-25.691	-25.617	125.079	124.900	124.882	124.873	125.062	124.684	124.824	124.802	124.667	124.787	125.018	124.993	125.000	125.005	124.738	124.688	125.051	124.688	125.106	125.033	125.032	125.021	125.007	124.809	124.591	124.752	124.790	124.752	124.666	125.355	124.717	124.762	101.377	101.443	101.468	101.367	101.485	101.310	101.323	101.307	101.455	101.307	101.725	101.468	101.732	101.463	101.496	101.240	101.532	101.308	101.474	101.436	101.643	101.336	101.410	101.318	101.454	101.325	101.465	101.325	101.464	101.521	101.489	101.453	2016_7_19_17_08_53
FLQS22TQGRX2____	-25.725	-25.963	-26.118	-25.497	-25.915	-25.827	-25.672	-25.636	-25.925	-25.771	-25.931	-25.857	-26.086	-25.790	-25.812	-25.584	-25.934	-25.781	-25.894	-25.585	-25.369	-25.749	-25.388	-25.583	-25.748	-25.824	-25.751	-25.824	-25.936	-26.066	-25.803	-25.699	125.215	125.214	125.012	125.002	125.143	124.873	125.007	124.876	124.788	124.919	125.152	125.074	125.140	124.950	124.859	124.935	125.073	124.938	125.103	125.149	125.139	125.030	125.144	124.940	124.837	125.013	124.859	125.013	124.790	125.214	124.853	125.017	101.471	101.575	101.661	101.390	101.560	101.547	101.466	101.462	101.597	101.517	101.567	101.541	101.636	101.523	101.541	101.434	101.575	101.520	101.555	101.415	101.321	101.498	101.329	101.433	101.515	101.532	101.514	101.532	101.602	101.620	101.538	101.477	2016_7_19_17_08_53
FLQS21YXGRX2____	-25.605	-25.600	-25.748	-25.431	-25.734	-25.560	-25.591	-25.285	-25.578	-25.485	-25.700	-25.719	-25.896	-25.585	-25.490	-25.521	-25.637	-25.539	-25.672	-25.310	-25.956	-25.612	-25.318	-25.345	-25.505	-25.470	-25.628	-25.470	-25.467	-25.706	-25.439	-25.564	125.606	125.595	125.465	125.395	125.529	125.320	125.391	125.380	125.127	125.255	125.599	125.462	125.458	125.322	125.240	125.322	125.460	125.321	125.527	125.452	125.462	125.391	125.529	125.327	125.109	125.390	125.253	125.390	125.182	125.601	125.237	125.330	101.656	101.655	101.732	101.599	101.720	101.662	101.669	101.536	101.687	101.635	101.698	101.719	101.797	101.673	101.638	101.645	101.683	101.653	101.693	101.541	101.823	101.678	101.537	101.567	101.657	101.616	101.698	101.616	101.633	101.701	101.616	101.663	2016_7_19_17_08_53
FLQS2AVTGRX5____	-25.968	-25.771	-25.685	-25.299	-25.554	-25.606	-25.955	-25.502	-25.618	-25.585	-26.395	-25.947	-25.951	-25.859	-25.664	-25.249	-26.176	-25.465	-26.242	-25.853	-26.072	-26.096	-25.550	-25.695	-25.613	-25.457	-25.605	-25.457	-25.622	-26.361	-25.842	-25.697	125.979	126.025	125.836	125.709	125.863	125.745	125.820	125.697	125.554	125.629	125.947	125.797	125.799	125.676	125.609	125.742	125.801	125.745	125.866	125.819	125.794	125.733	125.893	125.708	125.483	125.745	125.625	125.745	125.555	125.944	125.559	125.666	101.561	101.471	101.450	101.292	101.390	101.424	101.569	101.383	101.446	101.425	101.750	101.568	101.569	101.541	101.461	101.268	101.668	101.362	101.690	101.525	101.623	101.639	101.386	101.466	101.450	101.358	101.434	101.358	101.447	101.735	101.543	101.470	2016_7_19_17_08_53
FLQS3087GRWV____	-25.801	-25.790	-25.778	-25.447	-25.591	-25.526	-25.444	-25.586	-25.639	-25.446	-26.095	-25.571	-25.755	-25.569	-25.470	-25.497	-25.653	-25.498	-25.805	-25.324	-25.921	-25.469	-25.230	-25.604	-25.468	-25.374	-25.525	-25.374	-25.643	-25.879	-25.580	-25.400	125.621	125.614	125.484	125.414	125.541	125.334	125.402	125.403	125.199	125.273	125.620	125.472	125.470	125.332	125.253	125.335	125.472	125.334	125.540	125.467	125.474	125.402	125.541	125.407	125.127	125.402	125.271	125.402	125.202	125.615	125.202	125.322	101.489	101.485	101.491	101.352	101.404	101.394	101.352	101.415	101.456	101.364	101.618	101.402	101.482	101.413	101.377	101.381	101.438	101.382	101.498	101.294	101.555	101.363	101.246	101.422	101.387	101.322	101.399	101.322	101.458	101.524	101.430	101.340	2016_7_19_17_08_53
