SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-67.214	-67.033	-67.171	-67.033	-67.180	-67.171	-67.171	-67.140	-67.171	-67.141	-67.171	-67.139	-67.103	-67.136	-67.171	-67.070	-67.070	-67.101	-67.171	-67.171	-67.249	-67.101	-67.206	-67.076	-67.206	-67.140	-67.174	-67.104	-67.276	-67.136	-67.206	-67.171	138.714	138.800	138.592	138.800	138.766	138.627	138.732	138.800	138.802	138.765	138.592	138.832	138.754	138.732	138.697	138.770	138.770	138.767	138.837	138.767	138.764	138.732	138.662	138.728	138.802	138.730	138.800	138.716	138.732	138.767	138.732	138.837	115.958	115.883	115.963	115.883	115.938	115.957	115.940	115.919	115.929	115.925	115.963	115.913	115.914	115.928	115.946	115.900	115.900	115.911	115.923	115.934	115.961	115.917	115.963	115.909	115.940	115.930	115.930	115.920	115.975	115.923	115.952	115.923	2016_7_19_17_03_47
FLQS30KBGRWV____	-67.387	-67.180	-67.280	-67.180	-67.321	-67.280	-67.277	-67.315	-67.279	-67.316	-67.279	-67.314	-67.277	-67.246	-67.278	-67.243	-67.243	-67.180	-67.250	-67.278	-67.419	-67.205	-67.314	-67.218	-67.315	-67.315	-67.349	-67.281	-67.385	-67.245	-67.317	-67.281	138.575	138.606	138.469	138.606	138.576	138.508	138.606	138.605	138.605	138.571	138.474	138.642	138.609	138.540	138.575	138.585	138.585	138.644	138.643	138.636	138.573	138.608	138.541	138.542	138.607	138.537	138.612	138.534	138.613	138.693	138.606	138.640	115.949	115.875	115.931	115.875	115.927	115.924	115.907	115.920	115.908	115.926	115.930	115.914	115.907	115.908	115.913	115.899	115.899	115.869	115.892	115.903	115.960	115.883	115.930	115.898	115.920	115.931	115.930	115.920	115.942	115.883	115.921	115.903	2016_7_19_17_03_47
FLQS30CWGRWV____	-67.261	-67.100	-67.168	-67.100	-67.227	-67.156	-67.168	-67.197	-67.158	-67.200	-67.163	-67.196	-67.164	-67.129	-67.168	-67.130	-67.130	-67.096	-67.159	-67.164	-67.295	-67.101	-67.199	-67.121	-67.198	-67.196	-67.231	-67.169	-67.264	-67.138	-67.188	-67.152	138.583	138.565	138.468	138.565	138.580	138.505	138.605	138.612	138.609	138.576	138.432	138.647	138.647	138.541	138.535	138.577	138.577	138.646	138.643	138.645	138.581	138.627	138.541	138.541	138.611	138.542	138.576	138.536	138.617	138.659	138.609	138.644	115.748	115.697	115.735	115.697	115.737	115.725	115.713	115.721	115.709	115.728	115.739	115.715	115.705	115.710	115.724	115.705	115.705	115.682	115.704	115.705	115.759	115.687	115.734	115.708	115.722	115.732	115.739	115.724	115.743	115.694	115.719	115.701	2016_7_19_17_03_47
FLQS30C7GRWV____	-67.287	-67.110	-67.182	-67.110	-67.253	-67.182	-67.183	-67.217	-67.238	-67.218	-67.238	-67.216	-67.182	-67.148	-67.183	-67.148	-67.148	-67.112	-67.183	-67.183	-67.322	-67.140	-67.216	-67.148	-67.217	-67.218	-67.252	-67.181	-67.286	-67.203	-67.219	-67.184	138.578	138.609	138.473	138.609	138.576	138.507	138.609	138.611	138.606	138.577	138.466	138.643	138.608	138.539	138.574	138.575	138.575	138.645	138.641	138.642	138.575	138.565	138.541	138.540	138.609	138.543	138.610	138.576	138.609	138.641	138.603	138.640	115.818	115.754	115.800	115.754	115.807	115.795	115.778	115.790	115.797	115.796	115.820	115.784	115.778	115.778	115.784	115.772	115.772	115.749	115.773	115.773	115.831	115.771	115.801	115.778	115.790	115.801	115.801	115.783	115.813	115.780	115.792	115.774	2016_7_19_17_03_47
FLQS29JFGRX5____	-67.309	-67.133	-67.167	-67.133	-67.274	-67.204	-67.200	-67.204	-67.206	-67.206	-67.243	-67.204	-67.199	-67.165	-67.202	-67.166	-67.166	-67.173	-67.209	-67.243	-67.311	-67.099	-67.237	-67.170	-67.205	-67.203	-67.237	-67.199	-67.274	-67.137	-67.242	-67.178	138.575	138.603	138.476	138.603	138.575	138.507	138.605	138.607	138.607	138.574	138.470	138.640	138.608	138.535	138.572	138.581	138.581	138.645	138.644	138.645	138.573	138.652	138.580	138.540	138.606	138.539	138.606	138.572	138.608	138.648	138.614	138.643	115.781	115.717	115.749	115.717	115.769	115.757	115.739	115.740	115.741	115.746	115.775	115.735	115.738	115.739	115.745	115.732	115.732	115.724	115.736	115.747	115.782	115.698	115.756	115.740	115.741	115.751	115.752	115.744	115.763	115.711	115.752	115.726	2016_7_19_17_03_47
FLQS22XEGRX2____	-67.345	-67.159	-67.228	-67.159	-67.311	-67.239	-67.231	-67.268	-67.271	-67.269	-67.232	-67.268	-67.229	-67.197	-67.234	-67.229	-67.229	-67.192	-67.271	-67.234	-67.379	-67.159	-67.270	-67.236	-67.270	-67.268	-67.304	-67.230	-67.341	-67.198	-67.282	-67.274	138.565	138.563	138.471	138.563	138.567	138.499	138.567	138.604	138.559	138.572	138.464	138.634	138.571	138.491	138.531	138.531	138.531	138.595	138.636	138.594	138.526	138.561	138.538	138.489	138.602	138.492	138.563	138.575	138.560	138.608	138.559	138.632	115.770	115.708	115.746	115.708	115.759	115.745	115.732	115.738	115.747	115.744	115.749	115.733	115.730	115.733	115.739	115.737	115.737	115.714	115.734	115.728	115.788	115.708	115.750	115.746	115.739	115.756	115.757	115.730	115.770	115.714	115.750	115.735	2016_7_19_17_03_47
FLQS22TQGRX2____	-67.482	-67.299	-67.373	-67.299	-67.447	-67.378	-67.371	-67.410	-67.377	-67.412	-67.376	-67.409	-67.372	-67.338	-67.375	-67.340	-67.340	-67.300	-67.379	-67.374	-67.516	-67.299	-67.411	-67.343	-67.410	-67.410	-67.441	-67.372	-67.480	-67.336	-67.416	-67.379	138.499	138.529	138.393	138.529	138.496	138.422	138.533	138.534	138.531	138.497	138.344	138.566	138.536	138.462	138.495	138.501	138.501	138.573	138.563	138.563	138.498	138.534	138.462	138.460	138.529	138.468	138.528	138.498	138.535	138.576	138.526	138.562	115.838	115.772	115.819	115.772	115.827	115.816	115.795	115.808	115.798	115.815	115.828	115.803	115.795	115.796	115.803	115.790	115.790	115.765	115.793	115.792	115.849	115.771	115.820	115.798	115.809	115.819	115.820	115.801	115.832	115.777	115.812	115.794	2016_7_19_17_03_47
FLQS21YXGRX2____	-67.118	-66.966	-67.006	-66.966	-67.084	-67.013	-67.035	-67.073	-67.040	-67.073	-67.038	-67.044	-67.034	-67.000	-67.037	-67.002	-67.002	-66.966	-67.045	-67.037	-67.183	-66.937	-67.045	-67.007	-67.074	-67.043	-67.079	-67.008	-67.145	-67.000	-67.053	-67.019	138.622	138.655	138.526	138.655	138.621	138.555	138.655	138.656	138.657	138.621	138.519	138.695	138.658	138.582	138.621	138.626	138.626	138.693	138.690	138.689	138.621	138.663	138.593	138.586	138.652	138.591	138.659	138.630	138.654	138.697	138.654	138.687	115.970	115.913	115.948	115.913	115.958	115.945	115.937	115.949	115.938	115.955	115.960	115.933	115.936	115.937	115.943	115.930	115.930	115.907	115.934	115.932	115.992	115.902	115.950	115.938	115.950	115.950	115.951	115.931	115.974	115.918	115.943	115.926	2016_7_19_17_03_48
FLQS2AVTGRX5____	-67.394	-67.216	-67.281	-67.216	-67.360	-67.288	-67.283	-67.320	-67.289	-67.322	-67.282	-67.318	-67.282	-67.248	-67.283	-67.250	-67.250	-67.215	-67.292	-67.284	-67.427	-67.210	-67.321	-67.253	-67.320	-67.318	-67.354	-67.282	-67.390	-67.249	-67.330	-67.295	138.620	138.606	138.514	138.606	138.620	138.548	138.652	138.648	138.652	138.617	138.474	138.641	138.652	138.581	138.575	138.627	138.627	138.691	138.689	138.642	138.618	138.653	138.585	138.581	138.650	138.587	138.648	138.578	138.653	138.693	138.655	138.688	115.842	115.784	115.821	115.784	115.830	115.818	115.799	115.812	115.801	115.818	115.828	115.813	115.799	115.799	115.812	115.792	115.792	115.770	115.796	115.801	115.853	115.775	115.823	115.801	115.812	115.822	115.823	115.811	115.835	115.781	115.815	115.797	2016_7_19_17_03_48
FLQS3087GRWV____	-67.340	-67.165	-67.240	-67.165	-67.313	-67.235	-67.235	-67.278	-67.305	-67.279	-67.242	-67.270	-67.239	-67.200	-67.244	-67.270	-67.270	-67.165	-67.235	-67.242	-67.445	-67.235	-67.277	-67.200	-67.340	-67.270	-67.305	-67.240	-67.340	-67.200	-67.270	-67.235	138.574	138.609	138.540	138.609	138.591	138.504	138.609	138.679	138.609	138.597	138.537	138.644	138.680	138.539	138.595	138.574	138.574	138.644	138.644	138.662	138.574	138.679	138.608	138.539	138.609	138.539	138.609	138.645	138.609	138.644	138.609	138.644	115.800	115.736	115.772	115.736	115.788	115.776	115.759	115.762	115.783	115.776	115.773	115.765	115.749	115.759	115.765	115.777	115.777	115.730	115.753	115.753	115.835	115.748	115.773	115.759	115.794	115.782	115.783	115.755	115.794	115.742	115.771	115.753	2016_7_19_17_03_48
