SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-12.043	-11.985	-11.778	-12.055	-11.838	-12.002	-11.755	-12.132	-11.854	-11.975	-12.015	-11.889	-12.015	-11.775	-11.947	-11.780	-11.584	-11.887	-11.855	-11.841	-11.746	-11.943	-11.908	-11.722	-11.688	-11.985	-11.950	-11.714	-12.005	-11.649	-11.567	-12.027	-117.505	-117.031	-117.676	-117.035	-117.758	-117.734	-117.741	-116.828	-117.692	-117.969	-117.609	-117.277	-117.699	-117.686	-117.727	-117.782	-117.855	-117.552	-117.498	-117.620	-117.562	-117.920	-117.693	-117.580	-117.662	-117.661	-117.691	-117.606	-118.109	-117.769	-118.113	-117.899	263.811	263.816	263.947	263.782	263.923	263.842	263.962	263.735	263.912	263.867	263.830	263.874	263.834	263.949	263.868	263.952	264.050	263.889	263.902	263.915	263.957	263.880	263.885	263.970	263.990	263.847	263.865	263.975	263.859	264.014	264.070	263.839	2016_7_19_17_02_52
FLQS30KBGRWV____	-11.506	-11.499	-11.702	-11.267	-11.504	-11.464	-11.277	-11.633	-11.571	-11.632	-11.667	-11.737	-11.735	-11.367	-11.464	-11.504	-11.502	-11.661	-11.699	-11.292	-11.404	-11.466	-11.762	-11.502	-11.476	-11.827	-11.610	-11.430	-11.468	-11.296	-11.231	-11.222	-117.123	-117.153	-117.411	-117.092	-117.425	-117.608	-117.816	-117.538	-117.419	-117.646	-117.542	-117.662	-117.433	-117.227	-118.266	-117.644	-117.653	-118.151	-117.551	-118.355	-117.625	-117.865	-117.557	-117.639	-117.652	-117.785	-117.499	-117.606	-117.648	-118.171	-117.192	-117.644	264.726	264.731	264.645	264.841	264.742	264.770	264.870	264.685	264.709	264.690	264.669	264.640	264.631	264.799	264.801	264.752	264.753	264.700	264.654	264.887	264.799	264.781	264.624	264.753	264.766	264.603	264.694	264.786	264.770	264.877	264.863	264.888	2016_7_19_17_02_52
FLQS30CWGRWV____	-12.166	-12.107	-11.718	-11.935	-11.707	-11.608	-11.701	-12.107	-11.925	-11.641	-12.077	-12.071	-11.752	-11.648	-12.005	-11.787	-11.985	-12.076	-11.846	-11.633	-11.805	-11.950	-11.645	-11.901	-11.686	-11.978	-11.944	-11.629	-11.748	-11.709	-11.574	-12.029	-117.367	-117.399	-117.092	-116.767	-117.755	-117.472	-117.336	-117.528	-117.107	-118.323	-117.410	-117.651	-117.239	-116.976	-117.582	-117.449	-117.272	-117.418	-118.226	-118.078	-117.881	-117.726	-117.625	-117.625	-117.721	-117.708	-117.742	-118.135	-117.649	-117.762	-117.510	-117.556	263.745	263.775	263.948	263.827	263.985	264.019	263.968	263.781	263.848	264.044	263.790	263.805	263.939	263.976	263.834	263.932	263.828	263.791	263.941	264.036	263.944	263.867	264.009	263.886	263.994	263.852	263.871	264.041	263.961	263.985	264.038	263.820	2016_7_19_17_02_53
FLQS30C7GRWV____	-11.702	-11.755	-11.377	-11.326	-11.694	-11.608	-11.620	-11.643	-11.637	-11.767	-11.733	-11.732	-11.679	-11.299	-11.402	-11.505	-11.760	-11.530	-11.696	-11.563	-11.461	-11.467	-11.628	-11.501	-11.475	-11.763	-11.600	-11.557	-11.476	-11.433	-11.351	-11.550	-116.960	-117.125	-116.730	-117.198	-117.338	-116.408	-116.527	-116.799	-116.947	-117.436	-117.195	-117.647	-116.348	-116.671	-117.114	-117.098	-117.640	-117.734	-117.405	-117.193	-117.269	-117.650	-117.005	-117.150	-117.234	-117.374	-117.400	-117.322	-117.231	-117.347	-117.427	-116.900	263.950	263.932	264.096	264.143	263.971	263.968	263.969	263.970	263.980	263.941	263.946	263.968	263.931	264.132	264.102	264.052	263.955	264.070	263.974	264.028	264.081	264.096	263.987	264.056	264.073	263.940	264.020	264.037	264.072	264.098	264.142	264.020	2016_7_19_17_02_53
FLQS29JFGRX5____	-11.699	-11.690	-11.710	-11.600	-11.773	-11.733	-11.560	-11.842	-11.583	-11.514	-11.682	-11.669	-11.810	-11.421	-11.677	-11.843	-11.571	-11.549	-11.777	-11.340	-11.680	-11.614	-11.706	-11.506	-11.747	-11.831	-11.812	-11.364	-11.545	-11.504	-11.556	-11.620	-117.638	-117.005	-116.727	-117.070	-116.941	-116.804	-116.798	-117.275	-116.740	-117.053	-116.672	-117.790	-116.815	-117.951	-117.053	-117.035	-117.575	-117.070	-117.286	-117.775	-116.615	-117.196	-117.077	-117.098	-117.175	-117.703	-117.016	-117.724	-117.307	-117.416	-117.301	-117.040	264.658	264.632	264.608	264.678	264.588	264.601	264.685	264.571	264.671	264.719	264.619	264.679	264.564	264.806	264.640	264.559	264.716	264.703	264.603	264.837	264.618	264.677	264.627	264.725	264.612	264.597	264.573	264.823	264.716	264.741	264.711	264.667	2016_7_19_17_02_53
FLQS22XEGRX2____	-11.779	-11.772	-11.656	-11.798	-11.569	-11.535	-11.706	-11.978	-11.931	-11.578	-11.811	-11.827	-11.683	-11.518	-11.607	-11.716	-11.775	-11.745	-11.778	-11.582	-11.674	-11.607	-11.637	-11.844	-11.680	-11.710	-11.694	-11.436	-11.515	-11.655	-11.568	-12.018	-117.857	-117.826	-117.313	-117.750	-117.646	-117.693	-117.311	-117.684	-117.255	-118.458	-118.356	-117.028	-117.465	-117.178	-118.338	-117.597	-118.073	-117.893	-117.976	-117.377	-117.904	-118.409	-118.297	-117.535	-118.256	-117.999	-117.396	-118.082	-117.320	-117.403	-117.416	-118.039	263.955	263.957	263.989	263.941	264.047	264.066	263.964	263.851	263.853	264.081	263.964	263.892	263.983	264.049	264.061	263.974	263.968	263.974	263.962	264.028	264.008	264.065	264.045	263.908	264.022	263.996	263.974	264.131	264.057	263.994	264.036	263.849	2016_7_19_17_02_53
FLQS22TQGRX2____	-11.699	-11.410	-11.510	-11.265	-11.428	-11.334	-11.419	-11.225	-11.629	-11.628	-11.668	-11.602	-11.406	-11.342	-11.597	-11.365	-11.574	-11.477	-11.502	-11.432	-11.591	-11.595	-11.493	-11.370	-11.476	-11.573	-11.541	-11.276	-11.468	-11.371	-11.224	-11.358	-117.715	-117.635	-117.173	-117.432	-117.768	-117.371	-117.492	-117.958	-117.899	-118.055	-117.632	-117.684	-117.668	-118.572	-117.611	-117.993	-117.545	-117.436	-117.714	-117.433	-117.836	-117.814	-117.564	-117.726	-117.675	-117.478	-117.577	-118.689	-117.478	-117.716	-117.539	-117.729	264.661	264.797	264.727	264.857	264.795	264.821	264.786	264.901	264.704	264.712	264.672	264.707	264.800	264.873	264.705	264.835	264.714	264.755	264.756	264.777	264.719	264.716	264.754	264.821	264.767	264.711	264.731	264.910	264.762	264.820	264.882	264.826	2016_7_19_17_02_53
FLQS21YXGRX2____	-12.165	-11.690	-11.777	-11.396	-11.702	-11.601	-11.430	-12.102	-11.972	-12.049	-11.815	-11.744	-11.745	-11.644	-11.614	-11.784	-12.035	-11.814	-11.716	-11.635	-11.807	-11.677	-11.643	-11.582	-11.685	-11.917	-11.875	-11.581	-11.540	-11.649	-11.569	-11.960	-117.430	-117.005	-118.003	-117.808	-117.886	-117.676	-117.547	-117.468	-117.614	-117.007	-117.612	-117.667	-117.701	-117.358	-117.466	-117.384	-117.587	-117.877	-117.635	-117.740	-117.874	-117.792	-117.490	-117.636	-117.526	-117.204	-117.880	-117.215	-118.254	-117.309	-117.389	-117.766	263.749	263.957	263.964	264.138	263.994	264.033	264.109	263.781	263.851	263.784	263.927	263.963	263.964	263.997	264.017	263.930	263.819	263.940	263.975	264.020	263.943	264.001	264.004	264.040	263.985	263.857	263.910	264.020	264.089	263.992	264.035	263.864	2016_7_19_17_02_54
FLQS2AVTGRX5____	-12.031	-11.637	-11.843	-11.734	-11.771	-11.666	-11.762	-11.849	-11.790	-11.770	-11.892	-11.742	-11.680	-11.642	-11.607	-11.715	-11.844	-11.808	-11.780	-11.712	-11.740	-11.749	-11.778	-11.706	-11.546	-11.781	-11.816	-11.692	-11.543	-11.770	-11.566	-11.759	-117.560	-117.274	-116.874	-116.944	-117.614	-117.605	-116.612	-117.144	-117.421	-117.710	-116.686	-117.648	-117.487	-117.163	-117.651	-117.306	-117.649	-117.675	-117.689	-117.471	-117.478	-117.591	-117.484	-117.621	-117.713	-117.192	-117.358	-117.787	-117.578	-117.746	-117.247	-117.699	264.494	264.670	264.551	264.607	264.622	264.672	264.577	264.561	264.603	264.627	264.518	264.638	264.660	264.662	264.703	264.634	264.588	264.607	264.621	264.643	264.630	264.631	264.612	264.653	264.735	264.596	264.588	264.668	264.730	264.628	264.703	264.632	2016_7_19_17_02_54
FLQS3087GRWV____	-11.776	-11.620	-11.778	-11.616	-11.766	-11.468	-11.686	-11.783	-11.788	-11.449	-12.014	-11.754	-11.750	-11.556	-11.739	-11.717	-11.648	-11.701	-11.650	-11.631	-11.748	-11.613	-11.640	-11.575	-11.544	-11.851	-11.812	-11.504	-11.540	-11.638	-11.697	-11.700	-117.653	-117.845	-117.425	-117.034	-117.895	-117.827	-117.742	-117.482	-117.502	-117.606	-117.103	-117.549	-117.647	-118.366	-117.735	-117.586	-117.799	-116.697	-117.846	-117.886	-117.699	-117.743	-117.897	-117.843	-118.064	-117.664	-117.760	-118.009	-117.998	-117.905	-116.861	-117.716	263.947	264.032	263.935	263.995	263.964	264.104	263.995	263.935	263.934	264.103	263.805	263.953	263.960	264.087	263.969	263.973	264.016	263.937	264.017	264.028	263.963	264.030	264.025	264.053	264.079	263.911	263.935	264.095	264.077	264.026	263.947	263.987	2016_7_19_17_02_54
