SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-23.618	-23.506	-23.550	-23.579	-23.688	-23.656	-23.618	-23.584	-23.619	-23.584	-23.587	-23.623	-23.548	-23.549	-23.550	-23.550	-23.549	-23.584	-23.549	-23.550	-23.623	-23.586	-23.623	-23.583	-23.548	-23.588	-23.586	-23.583	-23.482	-23.516	-23.515	-23.549	-138.441	-138.531	-138.583	-138.442	-138.616	-138.553	-138.540	-138.515	-138.546	-138.507	-138.472	-138.437	-138.511	-138.509	-138.469	-138.469	-138.442	-138.469	-138.444	-138.436	-138.437	-138.378	-138.437	-138.372	-138.408	-138.438	-138.478	-138.373	-138.414	-138.471	-138.400	-138.444	259.969	260.021	260.006	259.985	259.953	259.962	259.976	259.988	259.976	259.987	259.984	259.967	260.002	260.002	259.998	259.998	259.997	259.985	259.997	259.996	259.967	259.978	259.967	259.979	259.995	259.981	259.984	259.979	260.022	260.012	260.008	259.997	2016_7_19_16_58_38
FLQS30KBGRWV____	-23.405	-23.291	-23.337	-23.369	-23.474	-23.438	-23.402	-23.334	-23.402	-23.367	-23.371	-23.407	-23.330	-23.331	-23.333	-23.333	-23.331	-23.367	-23.330	-23.334	-23.407	-23.337	-23.407	-23.366	-23.331	-23.372	-23.369	-23.367	-23.269	-23.268	-23.268	-23.332	-138.387	-138.510	-138.528	-138.387	-138.570	-138.528	-138.494	-138.493	-138.501	-138.465	-138.427	-138.392	-138.464	-138.464	-138.425	-138.425	-138.389	-138.424	-138.429	-138.391	-138.392	-138.354	-138.392	-138.318	-138.354	-138.392	-138.433	-138.318	-138.391	-138.426	-138.355	-138.428	260.051	260.106	260.088	260.066	260.036	260.047	260.060	260.087	260.060	260.072	260.067	260.051	260.087	260.086	260.083	260.083	260.081	260.069	260.084	260.080	260.051	260.076	260.051	260.062	260.079	260.065	260.069	260.062	260.106	260.109	260.104	260.083	2016_7_19_16_58_38
FLQS30CWGRWV____	-23.383	-23.287	-23.317	-23.364	-23.469	-23.430	-23.396	-23.359	-23.397	-23.362	-23.330	-23.397	-23.325	-23.327	-23.294	-23.294	-23.326	-23.362	-23.325	-23.293	-23.397	-23.362	-23.397	-23.358	-23.301	-23.330	-23.362	-23.364	-23.262	-23.290	-23.292	-23.295	-138.426	-138.513	-138.565	-138.389	-138.583	-138.537	-138.504	-138.503	-138.540	-138.503	-138.462	-138.423	-138.507	-138.504	-138.459	-138.459	-138.392	-138.436	-138.445	-138.422	-138.423	-138.364	-138.423	-138.358	-138.392	-138.427	-138.447	-138.319	-138.400	-138.459	-138.366	-138.443	260.071	260.116	260.107	260.076	260.047	260.060	260.071	260.086	260.073	260.085	260.095	260.065	260.100	260.099	260.109	260.109	260.091	260.080	260.096	260.107	260.065	260.075	260.065	260.076	260.102	260.092	260.081	260.071	260.118	260.111	260.104	260.108	2016_7_19_16_58_38
FLQS30C7GRWV____	-23.255	-23.112	-23.176	-23.218	-23.320	-23.286	-23.220	-23.212	-23.250	-23.215	-23.219	-23.252	-23.149	-23.148	-23.179	-23.179	-23.181	-23.215	-23.178	-23.180	-23.252	-23.184	-23.252	-23.210	-23.176	-23.219	-23.217	-23.219	-23.115	-23.115	-23.113	-23.149	-138.326	-138.450	-138.503	-138.326	-138.511	-138.473	-138.440	-138.458	-138.444	-138.405	-138.373	-138.358	-138.439	-138.433	-138.371	-138.371	-138.327	-138.370	-138.374	-138.335	-138.358	-138.299	-138.358	-138.295	-138.330	-138.338	-138.373	-138.256	-138.334	-138.371	-138.300	-138.370	260.116	260.182	260.159	260.131	260.102	260.113	260.137	260.142	260.126	260.137	260.133	260.119	260.166	260.166	260.149	260.149	260.146	260.135	260.150	260.147	260.119	260.143	260.119	260.132	260.148	260.131	260.134	260.126	260.173	260.175	260.171	260.162	2016_7_19_16_58_38
FLQS29JFGRX5____	-23.440	-23.303	-23.360	-23.374	-23.555	-23.448	-23.412	-23.375	-23.413	-23.378	-23.379	-23.446	-23.341	-23.343	-23.343	-23.343	-23.367	-23.377	-23.345	-23.342	-23.446	-23.376	-23.446	-23.377	-23.342	-23.379	-23.378	-23.377	-23.307	-23.308	-23.305	-23.343	-138.298	-138.392	-138.473	-138.300	-138.495	-138.435	-138.403	-138.403	-138.418	-138.378	-138.338	-138.301	-138.387	-138.380	-138.335	-138.335	-138.299	-138.335	-138.355	-138.298	-138.301	-138.262	-138.301	-138.231	-138.266	-138.304	-138.348	-138.231	-138.299	-138.335	-138.264	-138.346	260.035	260.097	260.079	260.062	260.002	260.042	260.054	260.069	260.054	260.066	260.063	260.033	260.081	260.080	260.077	260.077	260.065	260.063	260.077	260.075	260.033	260.058	260.033	260.056	260.072	260.060	260.064	260.056	260.089	260.091	260.087	260.078	2016_7_19_16_58_39
FLQS22XEGRX2____	-23.233	-23.101	-23.165	-23.198	-23.306	-23.241	-23.206	-23.171	-23.205	-23.171	-23.204	-23.206	-23.137	-23.136	-23.138	-23.138	-23.166	-23.201	-23.136	-23.167	-23.206	-23.171	-23.206	-23.172	-23.137	-23.172	-23.204	-23.209	-23.101	-23.102	-23.098	-23.137	-138.441	-138.527	-138.579	-138.440	-138.610	-138.550	-138.539	-138.537	-138.545	-138.506	-138.473	-138.437	-138.513	-138.506	-138.474	-138.474	-138.440	-138.468	-138.476	-138.433	-138.437	-138.402	-138.437	-138.372	-138.406	-138.439	-138.476	-138.331	-138.434	-138.471	-138.400	-138.445	260.132	260.191	260.169	260.146	260.115	260.137	260.150	260.164	260.151	260.162	260.146	260.143	260.176	260.176	260.173	260.173	260.159	260.147	260.174	260.159	260.143	260.155	260.143	260.152	260.169	260.157	260.146	260.135	260.185	260.187	260.184	260.171	2016_7_19_16_58_39
FLQS22TQGRX2____	-23.209	-23.102	-23.142	-23.172	-23.278	-23.240	-23.205	-23.168	-23.206	-23.170	-23.172	-23.206	-23.135	-23.134	-23.135	-23.135	-23.139	-23.171	-23.134	-23.135	-23.206	-23.168	-23.206	-23.172	-23.137	-23.173	-23.171	-23.173	-23.101	-23.101	-23.098	-23.134	-138.462	-138.585	-138.605	-138.462	-138.655	-138.610	-138.576	-138.573	-138.584	-138.547	-138.508	-138.495	-138.550	-138.548	-138.505	-138.505	-138.463	-138.506	-138.513	-138.472	-138.495	-138.435	-138.495	-138.430	-138.429	-138.474	-138.514	-138.392	-138.471	-138.507	-138.435	-138.512	260.139	260.191	260.176	260.154	260.125	260.137	260.149	260.163	260.149	260.161	260.157	260.143	260.175	260.175	260.172	260.172	260.168	260.158	260.173	260.170	260.143	260.154	260.143	260.152	260.166	260.155	260.158	260.149	260.183	260.186	260.182	260.173	2016_7_19_16_58_39
FLQS21YXGRX2____	-23.543	-23.442	-23.477	-23.512	-23.614	-23.579	-23.543	-23.507	-23.543	-23.508	-23.511	-23.546	-23.473	-23.473	-23.473	-23.473	-23.448	-23.509	-23.472	-23.442	-23.546	-23.509	-23.546	-23.512	-23.477	-23.511	-23.509	-23.514	-23.409	-23.409	-23.438	-23.471	-138.317	-138.411	-138.459	-138.318	-138.493	-138.457	-138.422	-138.417	-138.420	-138.382	-138.352	-138.319	-138.381	-138.381	-138.351	-138.351	-138.320	-138.350	-138.314	-138.318	-138.319	-138.281	-138.319	-138.250	-138.285	-138.317	-138.350	-138.248	-138.318	-138.353	-138.283	-138.316	259.995	260.042	260.032	260.008	259.979	259.990	260.002	260.016	260.002	260.013	260.010	259.994	260.028	260.028	260.026	260.026	260.034	260.011	260.023	260.036	259.994	260.006	259.994	260.003	260.019	260.008	260.011	260.002	260.049	260.051	260.035	260.024	2016_7_19_16_58_39
FLQS2AVTGRX5____	-23.275	-23.178	-23.204	-23.241	-23.345	-23.310	-23.275	-23.241	-23.275	-23.241	-23.240	-23.276	-23.206	-23.207	-23.207	-23.207	-23.207	-23.242	-23.207	-23.207	-23.276	-23.243	-23.276	-23.241	-23.207	-23.240	-23.241	-23.241	-23.173	-23.172	-23.173	-23.207	-138.382	-138.478	-138.523	-138.383	-138.569	-138.523	-138.490	-138.491	-138.501	-138.465	-138.422	-138.387	-138.467	-138.464	-138.420	-138.420	-138.385	-138.420	-138.431	-138.384	-138.387	-138.349	-138.387	-138.314	-138.349	-138.386	-138.431	-138.312	-138.384	-138.419	-138.350	-138.430	260.107	260.153	260.146	260.121	260.092	260.103	260.115	260.128	260.115	260.127	260.124	260.107	260.141	260.141	260.137	260.137	260.135	260.123	260.138	260.135	260.107	260.118	260.107	260.116	260.133	260.122	260.125	260.116	260.149	260.151	260.146	260.138	2016_7_19_16_58_39
FLQS3087GRWV____	-23.415	-23.302	-23.346	-23.377	-23.482	-23.447	-23.411	-23.376	-23.442	-23.375	-23.379	-23.411	-23.341	-23.340	-23.340	-23.340	-23.342	-23.376	-23.341	-23.340	-23.411	-23.375	-23.411	-23.373	-23.338	-23.379	-23.376	-23.378	-23.305	-23.306	-23.304	-23.341	-138.325	-138.447	-138.465	-138.324	-138.504	-138.467	-138.434	-138.434	-138.467	-138.428	-138.369	-138.355	-138.432	-138.427	-138.368	-138.368	-138.324	-138.367	-138.368	-138.332	-138.355	-138.296	-138.355	-138.295	-138.291	-138.335	-138.366	-138.254	-138.332	-138.367	-138.298	-138.364	260.043	260.097	260.080	260.058	260.028	260.040	260.052	260.066	260.042	260.066	260.060	260.047	260.080	260.080	260.076	260.076	260.072	260.062	260.076	260.074	260.047	260.057	260.047	260.058	260.072	260.058	260.061	260.053	260.088	260.090	260.086	260.075	2016_7_19_16_58_39
