SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-9.195	-9.177	-9.287	-9.347	-9.222	-9.268	-9.256	-9.276	-9.217	-9.269	-9.159	-9.094	-9.241	-9.406	-9.114	-9.035	-9.184	-9.541	-9.323	-9.316	-9.437	-9.458	-9.240	-8.984	-9.079	-9.136	-9.420	-9.253	-9.344	-9.533	-9.338	-9.433	117.592	117.870	117.858	117.860	117.439	117.405	117.580	117.584	117.531	117.746	117.546	117.607	118.137	117.818	117.202	117.981	117.592	116.830	117.717	117.851	117.536	117.617	117.317	117.430	117.560	118.094	117.485	117.560	118.234	117.994	117.817	117.369	94.538	94.519	94.573	94.601	94.557	94.581	94.568	94.578	94.551	94.568	94.523	94.489	94.540	94.632	94.514	94.446	94.533	94.736	94.596	94.587	94.658	94.665	94.570	94.442	94.483	94.491	94.652	94.568	94.586	94.686	94.599	94.662	2016_7_19_17_09_12
FLQS30KBGRWV____	-9.272	-8.731	-9.044	-9.167	-9.047	-9.082	-9.125	-9.038	-9.030	-9.084	-8.983	-9.349	-9.071	-9.409	-8.867	-8.860	-8.699	-9.107	-9.208	-8.968	-9.330	-9.284	-8.953	-8.715	-8.969	-9.017	-9.246	-9.075	-9.305	-9.469	-8.974	-8.996	117.730	117.965	117.952	118.075	117.718	117.695	118.242	117.481	117.873	118.170	117.561	117.289	118.083	117.590	117.671	117.942	117.757	117.819	117.679	117.743	117.757	117.646	117.663	117.526	117.454	118.248	117.705	117.908	117.665	118.206	117.974	117.834	94.474	94.204	94.356	94.410	94.366	94.384	94.384	94.370	94.352	94.367	94.340	94.529	94.364	94.546	94.280	94.267	94.196	94.391	94.445	94.327	94.501	94.483	94.322	94.212	94.338	94.332	94.462	94.372	94.493	94.551	94.321	94.337	2016_7_19_17_09_12
FLQS30CWGRWV____	-9.073	-9.269	-9.349	-9.174	-9.093	-9.279	-9.066	-9.174	-9.093	-9.088	-9.167	-9.093	-9.143	-9.417	-8.941	-8.853	-9.035	-9.301	-9.136	-9.110	-9.313	-9.526	-9.022	-8.721	-8.976	-9.031	-9.161	-9.057	-9.302	-9.488	-9.292	-9.191	118.282	117.737	117.743	118.079	118.320	117.758	118.323	117.599	118.215	118.312	117.738	118.356	118.021	117.705	117.670	118.219	117.295	117.874	118.427	117.417	118.302	117.439	117.401	117.338	117.528	118.180	118.399	118.455	118.115	117.822	117.837	118.166	94.391	94.506	94.545	94.448	94.400	94.510	94.386	94.466	94.404	94.398	94.457	94.398	94.435	94.579	94.350	94.288	94.410	94.517	94.416	94.441	94.506	94.642	94.399	94.256	94.373	94.375	94.430	94.377	94.508	94.609	94.514	94.452	2016_7_19_17_09_12
FLQS30C7GRWV____	-9.206	-8.847	-9.470	-9.291	-9.277	-9.276	-9.258	-8.920	-9.149	-9.347	-9.156	-9.097	-9.258	-9.423	-8.774	-8.961	-8.814	-9.480	-9.259	-9.003	-9.392	-9.334	-9.075	-8.903	-9.100	-9.090	-9.433	-8.993	-9.422	-9.471	-9.413	-9.379	118.287	118.381	118.114	118.239	118.458	117.923	118.464	118.516	118.364	118.064	118.365	118.300	118.308	118.140	118.227	118.823	118.246	118.035	118.434	119.204	118.117	118.260	118.018	117.706	117.809	118.266	117.995	118.275	118.329	118.713	118.074	118.114	94.377	94.201	94.511	94.420	94.405	94.425	94.396	94.232	94.347	94.454	94.350	94.325	94.402	94.488	94.171	94.240	94.190	94.519	94.397	94.246	94.474	94.440	94.324	94.253	94.344	94.322	94.498	94.276	94.480	94.489	94.485	94.467	2016_7_19_17_09_12
FLQS29JFGRX5____	-8.812	-9.202	-9.224	-9.175	-9.046	-9.278	-9.072	-9.161	-9.212	-9.101	-9.152	-9.046	-9.254	-9.296	-8.662	-8.735	-8.563	-9.238	-9.086	-8.971	-9.143	-9.443	-8.898	-8.705	-8.847	-9.039	-9.373	-9.072	-9.174	-9.574	-9.111	-9.192	118.350	118.145	118.412	118.163	118.113	117.840	118.323	118.003	117.890	118.176	118.150	118.147	118.276	118.185	118.213	118.069	118.296	118.089	118.214	118.028	118.109	118.356	117.811	117.999	118.184	118.051	117.854	118.116	118.447	118.343	117.996	118.224	94.385	94.580	94.581	94.567	94.506	94.628	94.511	94.566	94.595	94.530	94.556	94.505	94.600	94.624	94.317	94.358	94.267	94.600	94.522	94.473	94.553	94.688	94.446	94.346	94.408	94.505	94.674	94.519	94.556	94.752	94.542	94.573	2016_7_19_17_09_12
FLQS22XEGRX2____	-9.211	-9.074	-9.149	-9.161	-8.961	-9.220	-9.203	-9.080	-9.015	-9.087	-9.085	-9.091	-9.056	-8.895	-9.071	-9.110	-8.687	-8.976	-8.974	-8.962	-9.195	-9.458	-9.080	-8.771	-9.028	-8.891	-9.163	-8.924	-9.238	-9.458	-9.219	-8.984	117.126	117.408	118.032	117.746	117.968	117.015	117.434	117.812	118.012	117.768	117.807	117.736	118.222	117.988	116.798	117.183	117.886	117.491	117.612	117.606	117.624	117.151	116.861	116.918	117.033	117.768	117.782	117.920	117.645	118.083	117.702	117.971	94.343	94.266	94.279	94.295	94.190	94.351	94.327	94.254	94.215	94.258	94.256	94.262	94.227	94.157	94.287	94.292	94.061	94.215	94.210	94.204	94.316	94.462	94.289	94.137	94.257	94.164	94.295	94.174	94.336	94.426	94.325	94.201	2016_7_19_17_09_13
FLQS22TQGRX2____	-9.403	-9.391	-9.356	-9.292	-9.459	-9.524	-9.269	-9.295	-9.224	-9.284	-9.214	-9.295	-9.265	-9.309	-9.256	-9.303	-9.028	-9.417	-9.516	-9.216	-9.450	-9.407	-9.145	-8.837	-9.088	-9.228	-9.492	-9.192	-9.362	-9.709	-9.415	-9.121	117.565	117.512	117.997	118.138	117.866	117.079	117.689	117.312	117.515	117.951	118.064	117.703	118.006	117.432	116.982	117.171	117.589	117.920	117.630	118.060	117.807	117.680	116.995	117.367	117.552	117.288	117.407	117.962	118.101	117.637	117.353	117.952	94.693	94.690	94.654	94.618	94.708	94.771	94.624	94.651	94.609	94.621	94.583	94.636	94.610	94.653	94.644	94.660	94.511	94.686	94.745	94.584	94.706	94.690	94.590	94.426	94.541	94.619	94.742	94.576	94.653	94.838	94.707	94.542	2016_7_19_17_09_13
FLQS21YXGRX2____	-9.110	-9.101	-8.877	-9.069	-9.000	-9.116	-9.030	-9.123	-8.999	-9.069	-8.794	-9.007	-9.102	-9.138	-9.018	-8.819	-8.912	-9.136	-9.114	-8.985	-9.160	-9.113	-8.856	-8.616	-8.853	-8.995	-9.198	-8.976	-9.138	-9.477	-9.127	-9.043	117.661	117.544	118.092	117.740	117.696	117.489	117.785	117.466	117.542	117.513	118.079	117.671	117.619	117.646	117.343	117.931	117.607	117.604	117.598	118.142	117.825	117.704	117.277	117.147	117.571	117.505	117.760	117.517	117.908	117.743	117.455	117.505	94.342	94.342	94.213	94.319	94.287	94.351	94.298	94.356	94.293	94.328	94.174	94.291	94.340	94.356	94.309	94.191	94.248	94.357	94.346	94.264	94.360	94.341	94.233	94.121	94.221	94.292	94.381	94.282	94.346	94.516	94.358	94.315	2016_7_19_17_09_13
FLQS2AVTGRX5____	-9.331	-9.134	-9.223	-9.348	-9.279	-9.272	-9.257	-9.074	-9.152	-9.067	-9.268	-9.079	-9.176	-9.235	-9.047	-9.099	-9.011	-9.290	-9.392	-8.817	-9.317	-9.389	-8.998	-8.884	-8.956	-9.151	-9.303	-9.134	-9.419	-9.476	-9.223	-9.238	117.835	117.848	117.974	117.976	117.923	117.844	117.940	118.435	117.954	118.663	117.967	118.635	118.568	118.010	118.015	118.010	118.098	117.965	117.777	118.389	118.110	118.317	118.142	117.618	118.325	117.992	117.798	117.940	117.760	118.053	117.994	118.448	94.370	94.275	94.313	94.373	94.342	94.342	94.331	94.224	94.280	94.212	94.335	94.219	94.268	94.317	94.227	94.252	94.206	94.346	94.402	94.102	94.353	94.380	94.198	94.163	94.172	94.278	94.359	94.271	94.416	94.432	94.312	94.303	2016_7_19_17_09_13
FLQS3087GRWV____	-9.316	-9.114	-9.269	-9.222	-9.324	-9.259	-9.114	-8.950	-9.007	-9.204	-9.205	-9.268	-9.247	-9.217	-9.091	-9.156	-9.001	-9.273	-9.316	-9.134	-9.422	-9.553	-9.065	-8.759	-8.890	-9.204	-9.404	-9.240	-9.508	-9.571	-9.211	-9.304	117.714	117.671	117.626	117.679	117.622	117.546	117.831	117.287	117.939	117.753	117.479	117.547	117.621	117.771	117.852	117.513	117.666	118.065	117.719	117.999	117.739	117.500	117.208	117.636	117.833	117.378	117.690	117.445	117.574	117.747	117.897	117.560	94.523	94.427	94.504	94.479	94.531	94.502	94.421	94.362	94.366	94.468	94.479	94.506	94.494	94.473	94.409	94.454	94.373	94.489	94.523	94.425	94.574	94.647	94.421	94.257	94.313	94.482	94.567	94.497	94.622	94.646	94.466	94.524	2016_7_19_17_09_13
