SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-25.764	-26.055	-25.922	-25.649	-25.850	-25.672	-25.699	-25.982	-25.904	-25.525	-26.151	-25.831	-26.171	-26.034	-25.718	-25.519	-25.854	-25.705	-26.064	-25.618	-26.072	-25.835	-25.432	-25.402	-25.611	-25.581	-25.718	-25.581	-25.856	-25.923	-25.884	-25.610	125.600	125.539	125.462	125.391	125.523	125.257	125.330	125.324	125.179	125.251	125.545	125.402	125.457	125.329	125.180	125.259	125.455	125.259	125.473	125.453	125.454	125.386	125.525	125.267	125.102	125.327	125.250	125.327	125.180	125.597	125.182	125.255	101.659	101.792	101.741	101.628	101.704	101.650	101.655	101.780	101.759	101.586	101.834	101.707	101.850	101.802	101.677	101.583	101.712	101.664	101.802	101.609	101.807	101.710	101.521	101.530	101.637	101.604	101.671	101.604	101.738	101.729	101.750	101.623	2016_7_19_17_08_38
FLQS30KBGRWV____	-25.779	-25.723	-25.499	-25.494	-25.750	-25.375	-25.542	-25.413	-25.686	-25.607	-25.766	-25.742	-25.914	-26.205	-25.649	-25.414	-25.819	-25.374	-25.979	-25.556	-25.798	-25.904	-25.279	-25.236	-25.680	-25.472	-25.677	-25.472	-25.876	-25.782	-25.740	-25.506	125.687	125.557	125.547	125.482	125.550	125.399	125.469	125.410	125.269	125.342	125.617	125.542	125.479	125.412	125.327	125.402	125.541	125.337	125.549	125.544	125.476	125.414	125.489	125.408	125.249	125.470	125.397	125.470	125.324	125.682	125.213	125.388	101.562	101.549	101.452	101.455	101.561	101.411	101.478	101.426	101.559	101.518	101.562	101.559	101.640	101.773	101.537	101.427	101.592	101.416	101.662	101.477	101.589	101.641	101.361	101.349	101.558	101.447	101.543	101.447	101.637	101.564	101.588	101.469	2016_7_19_17_08_38
FLQS30CWGRWV____	-25.717	-25.883	-25.924	-25.539	-25.909	-25.677	-25.643	-25.661	-25.803	-25.715	-25.917	-25.718	-25.947	-25.710	-25.645	-25.637	-25.693	-25.718	-26.162	-25.979	-26.166	-25.834	-25.378	-25.311	-25.665	-25.688	-25.682	-25.688	-25.697	-26.027	-25.672	-25.592	125.622	125.490	125.487	125.417	125.542	125.331	125.340	125.350	125.262	125.333	125.610	125.473	125.469	125.325	125.329	125.331	125.408	125.334	125.540	125.428	125.472	125.404	125.481	125.343	125.131	125.351	125.274	125.351	125.206	125.553	125.202	125.383	101.575	101.659	101.677	101.515	101.666	101.583	101.567	101.575	101.645	101.600	101.663	101.588	101.689	101.598	101.569	101.566	101.583	101.601	101.777	101.707	101.785	101.645	101.439	101.422	101.596	101.586	101.590	101.586	101.603	101.716	101.593	101.541	2016_7_19_17_08_38
FLQS30C7GRWV____	-25.859	-25.888	-25.544	-25.544	-25.801	-25.916	-26.090	-26.012	-26.106	-25.645	-26.124	-25.908	-26.149	-25.907	-25.951	-25.631	-26.111	-25.589	-26.127	-26.063	-26.093	-25.837	-25.494	-25.583	-25.728	-25.581	-25.727	-25.581	-25.805	-26.070	-25.734	-25.883	126.123	126.173	125.980	125.975	126.033	125.901	125.970	125.850	125.760	125.838	126.007	126.005	125.999	125.832	125.766	125.833	125.970	125.833	125.813	125.986	125.961	125.957	126.040	125.848	125.687	125.895	125.833	125.895	125.762	126.114	125.762	125.894	101.514	101.522	101.389	101.390	101.497	101.559	101.628	101.605	101.655	101.446	101.640	101.546	101.651	101.561	101.586	101.440	101.638	101.422	101.659	101.615	101.630	101.519	101.362	101.418	101.496	101.413	101.482	101.413	101.523	101.607	101.492	101.545	2016_7_19_17_08_39
FLQS29JFGRX5____	-26.056	-25.839	-25.637	-25.366	-25.310	-25.571	-25.593	-25.458	-25.921	-25.540	-26.542	-25.715	-26.028	-25.696	-25.524	-25.722	-25.630	-25.546	-25.832	-25.814	-26.189	-25.784	-25.331	-25.522	-25.673	-25.782	-25.678	-25.782	-25.565	-25.806	-25.679	-25.625	126.045	126.030	125.904	125.896	125.915	125.712	125.945	125.823	125.681	125.757	126.003	125.851	125.954	125.883	125.677	125.711	125.848	125.754	125.860	125.869	125.853	125.784	125.916	125.829	125.610	125.951	125.753	125.951	125.685	125.992	125.683	125.729	101.806	101.713	101.636	101.518	101.492	101.624	101.613	101.565	101.780	101.607	102.022	101.675	101.802	101.664	101.607	101.690	101.638	101.610	101.725	101.716	101.881	101.711	101.501	101.592	101.678	101.695	101.667	101.695	101.624	101.702	101.674	101.646	2016_7_19_17_08_39
FLQS22XEGRX2____	-25.472	-26.031	-25.736	-24.997	-25.772	-25.772	-25.527	-25.147	-25.713	-25.514	-25.610	-25.539	-25.999	-25.655	-25.618	-25.438	-25.757	-25.458	-25.692	-25.446	-25.696	-25.899	-25.185	-25.273	-25.479	-25.403	-25.597	-25.403	-25.676	-25.680	-25.586	-25.502	125.019	125.017	124.994	124.803	125.004	124.915	124.923	124.792	124.660	124.788	125.126	124.925	125.214	124.935	124.734	124.853	125.050	124.622	125.105	124.943	125.094	124.989	125.059	124.747	124.588	124.980	124.730	124.980	124.662	125.356	124.716	125.001	101.362	101.608	101.481	101.172	101.496	101.504	101.395	101.240	101.501	101.401	101.413	101.400	101.576	101.450	101.452	101.362	101.485	101.392	101.452	101.358	101.454	101.553	101.233	101.299	101.404	101.336	101.444	101.336	101.484	101.424	101.440	101.377	2016_7_19_17_08_39
FLQS22TQGRX2____	-25.721	-25.949	-25.827	-25.798	-26.020	-25.633	-25.771	-25.522	-25.805	-25.890	-25.610	-25.968	-26.206	-25.772	-25.726	-25.640	-26.023	-25.719	-26.122	-25.585	-25.774	-25.786	-25.229	-25.470	-25.786	-25.605	-25.912	-25.605	-25.825	-25.995	-25.735	-25.672	125.204	125.266	125.121	125.169	125.194	124.978	124.998	124.927	124.726	124.852	125.344	125.127	125.127	125.001	124.850	124.929	125.124	124.986	125.216	125.014	125.202	125.076	125.187	124.932	124.766	125.174	124.851	125.174	124.724	125.453	124.902	125.064	101.729	101.824	101.783	101.766	101.861	101.711	101.770	101.667	101.810	101.835	101.668	101.845	101.949	101.770	101.764	101.719	101.869	101.748	101.904	101.686	101.752	101.769	101.515	101.643	101.798	101.681	101.845	101.681	101.819	101.827	101.762	101.720	2016_7_19_17_08_39
FLQS21YXGRX2____	-25.553	-25.717	-25.704	-25.380	-25.612	-25.567	-25.316	-25.287	-25.463	-25.489	-25.694	-25.657	-25.779	-25.538	-25.482	-25.410	-25.681	-25.423	-25.773	-25.297	-25.792	-25.507	-25.165	-25.239	-25.394	-25.298	-25.677	-25.298	-25.469	-25.527	-25.508	-25.414	125.555	125.548	125.473	125.350	125.480	125.330	125.334	125.276	125.190	125.206	125.549	125.472	125.410	125.269	125.136	125.272	125.468	125.268	125.592	125.465	125.413	125.394	125.477	125.280	125.117	125.388	125.204	125.388	125.190	125.604	125.134	125.320	101.418	101.490	101.491	101.360	101.451	101.445	101.334	101.326	101.411	101.421	101.480	101.471	101.530	101.437	101.425	101.381	101.482	101.387	101.511	101.314	101.536	101.412	101.255	101.305	101.388	101.321	101.504	101.321	101.414	101.402	101.436	101.378	2016_7_19_17_08_39
FLQS2AVTGRX5____	-25.721	-25.758	-25.680	-25.598	-25.620	-25.596	-25.955	-25.502	-25.666	-25.518	-26.253	-25.888	-25.938	-25.768	-25.865	-25.622	-25.732	-25.649	-26.108	-25.850	-25.696	-26.090	-25.493	-25.571	-25.596	-25.512	-25.657	-25.512	-25.674	-25.909	-25.660	-25.692	125.986	125.942	125.842	125.844	125.865	125.753	125.892	125.768	125.562	125.696	125.944	125.800	125.802	125.821	125.629	125.753	125.796	125.752	125.806	125.820	125.799	125.738	125.900	125.713	125.548	125.755	125.633	125.755	125.564	125.940	125.625	125.671	101.382	101.402	101.377	101.341	101.349	101.348	101.493	101.305	101.396	101.319	101.618	101.472	101.493	101.417	101.477	101.359	101.404	101.371	101.567	101.453	101.388	101.565	101.290	101.340	101.366	101.311	101.385	101.311	101.399	101.468	101.387	101.397	2016_7_19_17_08_39
FLQS3087GRWV____	-25.822	-26.037	-25.798	-25.590	-25.673	-25.667	-25.643	-25.444	-26.138	-25.638	-25.970	-25.778	-26.004	-25.928	-25.863	-25.627	-25.603	-25.589	-26.104	-25.785	-26.285	-25.721	-25.314	-25.556	-25.613	-25.579	-25.826	-25.579	-25.966	-26.034	-25.613	-25.760	125.610	125.547	125.414	125.458	125.476	125.324	125.393	125.275	125.131	125.259	125.605	125.411	125.464	125.328	125.192	125.268	125.458	125.324	125.481	125.471	125.415	125.341	125.530	125.389	125.060	125.391	125.206	125.391	125.190	125.607	125.187	125.319	101.615	101.715	101.622	101.527	101.562	101.573	101.556	101.479	101.797	101.566	101.680	101.614	101.708	101.687	101.671	101.560	101.533	101.539	101.750	101.611	101.835	101.595	101.399	101.518	101.573	101.528	101.653	101.528	101.716	101.708	101.561	101.614	2016_7_19_17_08_39
