SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-66.013	-65.873	-65.980	-65.729	-65.637	-65.765	-65.697	-65.805	-65.805	-65.806	-65.951	-65.778	-65.729	-65.872	-66.107	-65.696	-66.052	-65.846	-65.733	-65.845	-65.744	-65.693	-65.732	-65.597	-66.037	-65.732	-65.840	-66.008	-65.967	-65.788	-66.053	-65.755	131.391	131.211	131.356	131.221	131.213	131.074	131.219	131.074	131.114	130.975	131.196	131.185	131.221	131.107	131.286	131.149	131.159	131.190	131.076	131.187	130.975	131.251	131.148	131.041	131.215	131.112	130.872	131.320	131.144	131.247	131.197	131.284	116.743	116.726	116.737	116.674	116.643	116.712	116.663	116.726	116.719	116.744	116.756	116.697	116.674	116.744	116.794	116.675	116.797	116.720	116.700	116.720	116.722	116.656	116.688	116.659	116.782	116.694	116.774	116.754	116.770	116.690	116.791	116.672	2016_7_19_17_04_04
FLQS30KBGRWV____	-65.949	-65.806	-65.914	-65.666	-65.538	-65.700	-65.633	-65.737	-65.739	-65.668	-65.853	-65.673	-65.666	-65.773	-66.043	-65.633	-65.954	-65.740	-65.668	-65.740	-65.637	-65.628	-65.669	-65.495	-65.937	-65.668	-65.771	-65.904	-65.867	-65.687	-65.950	-65.657	131.323	131.147	131.288	131.150	131.149	131.010	131.148	131.008	131.052	130.951	131.167	131.122	131.150	131.045	131.215	131.078	131.087	131.128	131.009	131.125	130.915	131.181	131.078	130.976	131.149	131.044	130.808	131.252	131.077	131.179	131.092	131.217	116.636	116.617	116.630	116.568	116.523	116.604	116.557	116.618	116.611	116.603	116.630	116.575	116.568	116.624	116.688	116.569	116.679	116.598	116.593	116.598	116.599	116.549	116.582	116.538	116.663	116.587	116.665	116.633	116.651	116.570	116.677	116.553	2016_7_19_17_04_04
FLQS30CWGRWV____	-65.804	-65.626	-65.766	-65.513	-65.386	-65.520	-65.452	-65.556	-65.591	-65.525	-65.668	-65.524	-65.513	-65.626	-65.861	-65.451	-65.810	-65.594	-65.521	-65.597	-65.492	-65.478	-65.521	-65.346	-65.827	-65.520	-65.627	-65.757	-65.721	-65.543	-65.808	-65.544	131.401	131.228	131.365	131.267	131.265	131.088	131.226	131.085	131.127	130.989	131.240	131.233	131.267	131.120	131.291	131.154	131.161	131.234	131.087	131.199	130.956	131.259	131.156	131.055	131.265	131.122	130.885	131.328	131.154	131.256	131.204	131.295	116.606	116.574	116.599	116.528	116.484	116.562	116.514	116.575	116.580	116.581	116.587	116.538	116.528	116.593	116.645	116.526	116.650	116.562	116.562	116.569	116.575	116.517	116.550	116.507	116.638	116.556	116.635	116.602	116.621	116.540	116.642	116.534	2016_7_19_17_04_04
FLQS30C7GRWV____	-66.006	-65.857	-65.974	-65.722	-65.593	-65.756	-65.684	-65.786	-65.788	-65.721	-65.902	-65.763	-65.722	-65.821	-66.058	-65.684	-66.008	-65.794	-65.724	-65.792	-65.695	-65.688	-65.720	-65.590	-66.019	-65.718	-65.823	-65.954	-65.880	-65.737	-66.001	-65.707	131.312	131.096	131.274	131.100	131.096	130.957	131.098	130.961	131.003	130.901	131.115	131.073	131.100	130.989	131.204	131.029	131.076	131.079	130.999	131.069	130.865	131.127	131.026	130.926	131.133	130.989	130.762	131.201	131.027	131.126	131.076	131.164	116.614	116.600	116.610	116.552	116.508	116.589	116.539	116.599	116.592	116.587	116.613	116.572	116.552	116.607	116.651	116.551	116.656	116.581	116.571	116.582	116.584	116.536	116.565	116.537	116.650	116.570	116.647	116.616	116.620	116.553	116.654	116.536	2016_7_19_17_04_04
FLQS29JFGRX5____	-65.734	-65.592	-65.700	-65.411	-65.324	-65.489	-65.382	-65.523	-65.524	-65.454	-65.637	-65.461	-65.411	-65.559	-65.793	-65.414	-65.736	-65.528	-65.416	-65.527	-65.426	-65.411	-65.451	-65.284	-65.723	-65.449	-65.558	-65.689	-65.619	-65.474	-65.740	-65.440	131.440	131.225	131.403	131.267	131.224	131.084	131.226	131.124	131.161	131.023	131.243	131.234	131.267	131.161	131.292	131.195	131.205	131.237	131.125	131.233	131.026	131.300	131.196	131.087	131.262	131.119	130.920	131.330	131.193	131.255	131.246	131.334	116.696	116.684	116.691	116.614	116.591	116.673	116.611	116.678	116.672	116.672	116.697	116.637	116.614	116.684	116.743	116.628	116.739	116.660	116.640	116.661	116.661	116.608	116.640	116.601	116.724	116.653	116.726	116.700	116.700	116.638	116.732	116.612	2016_7_19_17_04_05
FLQS22XEGRX2____	-65.808	-65.668	-65.774	-65.530	-65.401	-65.562	-65.494	-65.598	-65.600	-65.529	-65.715	-65.538	-65.530	-65.633	-65.871	-65.493	-65.845	-65.604	-65.528	-65.606	-65.501	-65.494	-65.528	-65.360	-65.803	-65.526	-65.633	-65.800	-65.694	-65.550	-65.814	-65.547	131.390	131.170	131.355	131.174	131.170	131.033	131.174	131.069	131.104	130.968	131.195	131.176	131.174	131.110	131.285	131.104	131.122	131.150	131.031	131.181	130.933	131.207	131.105	130.999	131.215	131.068	130.830	131.321	131.143	131.251	131.157	131.239	116.451	116.440	116.445	116.391	116.347	116.427	116.379	116.434	116.428	116.427	116.452	116.394	116.391	116.439	116.491	116.391	116.510	116.421	116.416	116.417	116.424	116.373	116.403	116.362	116.480	116.409	116.488	116.460	116.454	116.385	116.494	116.386	2016_7_19_17_04_05
FLQS22TQGRX2____	-66.001	-65.861	-65.967	-65.717	-65.587	-65.754	-65.684	-65.756	-65.794	-65.727	-65.909	-65.732	-65.717	-65.828	-66.061	-65.686	-66.009	-65.801	-65.724	-65.801	-65.697	-65.676	-65.722	-65.549	-65.990	-65.721	-65.829	-65.961	-65.887	-65.742	-66.007	-65.708	131.328	131.144	131.292	131.153	131.148	131.006	131.153	131.007	131.047	130.910	131.171	131.123	131.153	131.045	131.219	131.081	131.132	131.163	131.008	131.157	130.912	131.182	131.080	130.974	131.191	131.042	130.804	131.256	131.080	131.181	131.176	131.216	116.803	116.786	116.797	116.734	116.690	116.773	116.723	116.774	116.780	116.780	116.798	116.745	116.734	116.792	116.843	116.736	116.840	116.762	116.762	116.763	116.770	116.715	116.749	116.707	116.823	116.755	116.835	116.801	116.807	116.738	116.831	116.720	2016_7_19_17_04_05
FLQS21YXGRX2____	-65.571	-65.425	-65.534	-65.289	-65.160	-65.323	-65.255	-65.358	-65.360	-65.298	-65.485	-65.303	-65.289	-65.396	-65.638	-65.253	-65.583	-65.406	-65.291	-65.372	-65.269	-65.254	-65.291	-65.154	-65.600	-65.288	-65.395	-65.571	-65.494	-65.351	-65.578	-65.318	131.451	131.232	131.418	131.240	131.277	131.098	131.238	131.096	131.168	131.031	131.253	131.209	131.240	131.176	131.302	131.171	131.214	131.214	131.096	131.246	130.997	131.269	131.167	131.064	131.232	131.133	130.889	131.382	131.162	131.264	131.219	131.302	116.426	116.413	116.418	116.364	116.312	116.400	116.352	116.413	116.401	116.403	116.430	116.374	116.364	116.413	116.475	116.363	116.471	116.409	116.389	116.391	116.399	116.346	116.377	116.347	116.474	116.382	116.462	116.438	116.449	116.381	116.469	116.363	2016_7_19_17_04_05
FLQS2AVTGRX5____	-65.909	-65.729	-65.837	-65.622	-65.503	-65.623	-65.553	-65.662	-65.661	-65.637	-65.780	-65.637	-65.622	-65.695	-65.974	-65.553	-65.884	-65.670	-65.587	-65.706	-65.570	-65.551	-65.588	-65.460	-65.904	-65.586	-65.698	-65.871	-65.797	-65.652	-65.915	-65.619	131.349	131.164	131.308	131.128	131.161	131.025	131.171	131.026	131.065	130.926	131.184	131.138	131.128	131.064	131.234	131.099	131.148	131.178	131.029	131.136	130.929	131.202	131.098	130.991	131.207	131.063	130.823	131.273	131.094	131.197	131.111	131.237	116.490	116.460	116.472	116.428	116.381	116.447	116.397	116.460	116.453	116.469	116.474	116.432	116.428	116.465	116.533	116.409	116.516	116.436	116.433	116.456	116.445	116.391	116.422	116.395	116.513	116.427	116.508	116.490	116.495	116.427	116.533	116.408	2016_7_19_17_04_05
FLQS3087GRWV____	-66.493	-66.356	-66.460	-66.213	-66.121	-66.251	-66.180	-66.286	-66.289	-66.222	-66.395	-66.226	-66.213	-66.319	-66.581	-66.179	-66.526	-66.329	-66.215	-66.331	-66.195	-66.173	-66.216	-66.082	-66.513	-66.217	-66.322	-66.479	-66.408	-66.231	-66.530	-66.237	131.402	131.223	131.366	131.225	131.216	131.081	131.229	131.084	131.114	130.975	131.202	131.192	131.225	131.118	131.295	131.156	131.164	131.196	131.082	131.193	130.980	131.258	131.155	131.049	131.227	131.119	130.873	131.290	131.157	131.254	131.208	131.296	116.839	116.823	116.834	116.773	116.742	116.812	116.761	116.823	116.819	116.820	116.840	116.783	116.773	116.829	116.889	116.773	116.892	116.818	116.799	116.820	116.810	116.753	116.786	116.758	116.877	116.793	116.873	116.854	116.852	116.774	116.886	116.769	2016_7_19_17_04_05
