SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30KVGRWV____	0.158	0.158	0.162	0.160	0.192	0.160	0.159	0.192	0.159	0.193	0.161	0.160	0.194	0.160	0.160	0.159	0.156	0.191	0.160	0.159	0.157	0.157	0.161	0.157	0.160	0.160	0.158	0.160	0.159	0.191	0.159	0.159	-0.056	-0.056	-0.014	-0.053	-0.097	-0.057	-0.055	-0.097	-0.055	-0.057	-0.056	-0.053	-0.056	-0.057	-0.057	-0.056	-0.056	-0.061	-0.055	-0.058	-0.054	-0.056	-0.054	-0.056	-0.058	-0.058	-0.057	-0.058	-0.053	-0.055	-0.054	-0.056	0.008	0.008	0.006	0.009	0.024	0.009	0.008	0.024	0.008	0.021	0.010	0.009	0.022	0.009	0.009	0.009	0.007	0.021	0.009	0.009	0.007	0.008	0.010	0.008	0.009	0.009	0.008	0.009	0.009	0.021	0.008	0.008	0.165	-0.057	0.011	2016_7_19_17_01_46
FLQS30KBGRWV____	-0.084	-0.084	-0.036	-0.086	-0.085	-0.033	-0.087	-0.085	-0.087	-0.084	-0.032	-0.086	-0.131	-0.033	-0.033	-0.120	-0.083	-0.084	-0.085	-0.082	-0.084	-0.083	-0.085	-0.083	-0.033	-0.033	-0.133	-0.033	-0.087	-0.035	-0.083	-0.085	0.044	0.044	0.045	0.045	0.044	0.041	0.044	0.044	0.044	0.042	0.041	0.045	0.050	0.041	0.041	0.046	0.045	0.044	0.043	0.046	0.045	0.050	0.007	0.050	0.042	0.042	0.050	0.042	0.044	0.006	0.008	0.045	0.150	0.150	0.168	0.148	0.149	0.170	0.148	0.149	0.148	0.150	0.170	0.148	0.131	0.170	0.170	0.136	0.150	0.150	0.150	0.150	0.150	0.149	0.153	0.149	0.170	0.170	0.130	0.170	0.149	0.172	0.153	0.149	-0.074	0.041	0.154	2016_7_19_17_01_46
FLQS30CWGRWV____	0.005	0.005	0.044	0.043	0.043	0.042	0.044	0.043	0.044	0.043	0.044	0.043	0.045	0.042	0.042	0.040	0.041	0.043	0.044	-0.003	0.042	0.044	0.046	0.044	0.043	0.043	0.043	0.043	0.040	0.044	0.042	0.041	0.045	0.045	0.042	0.003	0.002	0.042	0.040	0.002	0.040	0.006	0.002	0.003	0.007	0.042	0.042	0.042	0.041	0.006	0.003	0.006	0.042	0.041	-0.000	0.041	0.041	0.041	0.040	0.041	0.041	0.041	0.045	0.043	0.143	0.143	0.158	0.161	0.162	0.158	0.159	0.162	0.159	0.161	0.161	0.161	0.162	0.158	0.158	0.157	0.157	0.161	0.161	0.144	0.158	0.159	0.163	0.159	0.158	0.158	0.158	0.158	0.158	0.159	0.157	0.157	0.039	0.029	0.158	2016_7_19_17_01_47
FLQS30C7GRWV____	0.098	0.098	0.132	0.087	0.132	0.133	0.098	0.132	0.098	0.084	0.086	0.087	0.095	0.133	0.133	0.132	0.133	0.086	0.099	0.132	0.129	0.135	0.132	0.135	0.131	0.131	0.131	0.131	0.131	0.132	0.133	0.133	-0.013	-0.013	-0.047	-0.047	-0.012	-0.047	-0.010	-0.012	-0.010	-0.048	-0.011	-0.047	-0.012	-0.047	-0.047	-0.049	-0.013	-0.047	-0.012	-0.012	-0.048	-0.015	-0.014	-0.015	-0.014	-0.014	-0.014	-0.014	-0.014	-0.014	-0.015	-0.013	0.092	0.092	0.108	0.090	0.105	0.108	0.092	0.105	0.092	0.090	0.087	0.090	0.091	0.108	0.108	0.108	0.105	0.089	0.092	0.104	0.106	0.106	0.105	0.106	0.104	0.104	0.104	0.104	0.104	0.104	0.105	0.105	0.118	-0.024	0.100	2016_7_19_17_01_47
FLQS29JFGRX5____	-0.022	-0.022	-0.021	-0.020	-0.021	-0.019	-0.020	-0.021	-0.020	-0.020	-0.020	-0.020	-0.017	-0.019	-0.019	-0.020	-0.022	-0.020	-0.019	-0.022	-0.020	-0.055	-0.021	-0.055	-0.019	-0.019	-0.017	-0.019	-0.021	-0.018	-0.020	-0.021	0.002	0.002	0.001	0.001	0.001	-0.000	0.001	0.001	0.001	-0.001	0.001	0.001	0.002	-0.000	-0.000	0.002	0.001	-0.001	0.002	0.003	0.002	0.004	0.001	0.004	0.001	0.001	-0.034	0.001	0.002	0.001	0.004	0.002	-0.081	-0.081	-0.080	-0.079	-0.080	-0.079	-0.080	-0.080	-0.080	-0.079	-0.080	-0.079	-0.078	-0.079	-0.079	-0.079	-0.080	-0.080	-0.079	-0.080	-0.079	-0.093	-0.080	-0.093	-0.079	-0.079	-0.075	-0.079	-0.080	-0.079	-0.080	-0.081	-0.022	0.000	-0.080	2016_7_19_17_01_47
FLQS22XEGRX2____	0.045	0.045	0.048	0.046	0.047	0.015	0.048	0.047	0.048	0.049	0.047	0.046	0.050	0.015	0.015	0.046	0.046	0.013	0.014	0.046	0.047	0.048	0.048	0.048	0.013	0.013	0.095	0.013	0.046	0.047	0.047	0.047	-0.039	-0.039	-0.002	-0.003	-0.002	-0.001	-0.004	-0.002	-0.004	-0.040	0.037	-0.003	0.031	-0.001	-0.001	-0.003	-0.004	-0.003	-0.001	-0.004	-0.002	-0.001	-0.002	-0.001	-0.003	-0.003	-0.006	-0.003	-0.036	-0.001	-0.002	-0.002	0.044	0.044	0.042	0.041	0.042	0.029	0.042	0.042	0.042	0.045	0.039	0.041	0.040	0.029	0.029	0.041	0.041	0.029	0.029	0.041	0.041	0.042	0.042	0.042	0.029	0.029	0.060	0.029	0.044	0.041	0.041	0.041	0.040	-0.005	0.039	2016_7_19_17_01_47
FLQS22TQGRX2____	-0.013	-0.013	-0.012	-0.013	-0.013	-0.010	-0.014	-0.013	-0.014	-0.012	-0.013	-0.013	-0.009	-0.010	-0.010	-0.013	-0.011	-0.012	-0.012	-0.011	-0.013	-0.010	-0.012	-0.010	-0.011	-0.011	-0.013	-0.011	-0.013	-0.011	-0.011	-0.012	0.045	0.045	0.045	0.047	0.044	0.046	0.044	0.044	0.044	0.044	0.046	0.047	0.009	0.046	0.046	0.091	0.046	0.046	0.043	0.045	0.047	0.007	0.047	0.007	0.046	0.046	0.048	0.046	0.050	0.047	0.046	0.046	0.149	0.149	0.149	0.149	0.148	0.150	0.148	0.148	0.148	0.150	0.149	0.149	0.153	0.150	0.150	0.145	0.149	0.150	0.150	0.150	0.148	0.153	0.149	0.153	0.149	0.149	0.148	0.149	0.148	0.149	0.149	0.149	-0.012	0.044	0.149	2016_7_19_17_01_47
FLQS21YXGRX2____	0.034	0.034	0.001	0.033	0.031	0.034	-0.004	0.031	-0.004	0.034	0.001	0.033	0.037	0.034	0.034	0.002	0.035	0.033	-0.000	-0.000	-0.002	0.035	0.001	0.035	0.035	0.035	-0.000	0.035	0.004	0.000	0.000	0.003	0.005	0.005	0.004	-0.001	0.001	0.001	0.003	0.001	0.003	0.000	0.038	-0.001	0.004	0.001	0.001	0.003	0.002	0.002	0.000	0.004	0.003	0.003	0.005	0.003	0.002	0.002	0.002	0.002	0.001	0.006	0.045	0.002	0.113	0.113	0.099	0.113	0.112	0.113	0.098	0.112	0.098	0.112	0.097	0.113	0.113	0.113	0.113	0.100	0.113	0.112	0.099	0.099	0.099	0.114	0.100	0.114	0.113	0.113	0.100	0.113	0.101	0.099	0.096	0.100	0.019	0.005	0.107	2016_7_19_17_01_47
FLQS2AVTGRX5____	-0.056	-0.056	-0.059	-0.058	-0.057	-0.089	-0.061	-0.057	-0.061	-0.017	-0.058	-0.058	-0.058	-0.089	-0.089	-0.058	-0.057	-0.089	-0.060	-0.057	-0.059	-0.060	-0.058	-0.060	-0.018	-0.018	-0.060	-0.018	-0.060	-0.060	-0.057	-0.058	0.039	0.039	-0.036	-0.037	0.002	0.036	0.000	0.002	0.000	-0.000	0.001	-0.037	0.003	0.036	0.036	-0.035	-0.036	-0.036	0.000	-0.034	-0.037	-0.035	0.001	-0.035	-0.038	-0.038	-0.037	-0.038	-0.034	-0.036	0.000	-0.037	-0.059	-0.059	-0.055	-0.055	-0.057	-0.072	-0.058	-0.057	-0.058	-0.041	-0.057	-0.055	-0.058	-0.072	-0.072	-0.054	-0.054	-0.066	-0.058	-0.054	-0.055	-0.055	-0.058	-0.055	-0.039	-0.039	-0.055	-0.039	-0.056	-0.055	-0.057	-0.054	-0.057	-0.013	-0.056	2016_7_19_17_01_47
FLQS3087GRWV____	0.157	0.157	0.102	0.204	0.203	0.205	0.159	0.203	0.159	0.203	0.202	0.204	0.201	0.205	0.205	0.200	0.158	0.204	0.213	0.203	0.158	0.202	0.200	0.202	0.205	0.205	0.157	0.205	0.154	0.201	0.152	0.156	-0.054	-0.054	-0.012	-0.053	-0.014	-0.052	-0.014	-0.014	-0.014	-0.051	-0.014	-0.053	-0.050	-0.052	-0.052	-0.048	-0.014	-0.015	-0.020	-0.019	-0.017	-0.049	-0.047	-0.049	-0.050	-0.050	-0.016	-0.050	-0.011	-0.048	-0.050	-0.053	0.077	0.077	0.052	0.095	0.091	0.095	0.074	0.091	0.074	0.094	0.090	0.095	0.093	0.095	0.095	0.092	0.073	0.092	0.095	0.092	0.074	0.094	0.092	0.094	0.094	0.094	0.073	0.094	0.072	0.093	0.074	0.076	0.186	-0.036	0.086	2016_7_19_17_01_47
