SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30KVGRWV____	0.012	0.009	0.013	0.042	0.009	0.074	0.009	0.009	0.009	0.013	0.009	0.011	0.014	0.012	0.011	0.012	0.011	0.011	0.009	0.012	0.010	0.010	0.012	0.010	0.011	0.012	0.013	0.009	0.013	0.012	0.044	0.012	-0.109	-0.111	-0.078	-0.110	-0.112	-0.110	-0.080	-0.112	-0.112	-0.109	-0.112	-0.112	-0.109	-0.109	-0.110	-0.110	-0.080	-0.080	-0.113	-0.109	-0.112	-0.109	-0.109	-0.111	-0.110	-0.109	-0.078	-0.111	-0.108	-0.109	-0.079	-0.109	0.734	0.734	0.719	0.750	0.734	0.765	0.718	0.734	0.734	0.734	0.734	0.734	0.734	0.734	0.734	0.735	0.719	0.719	0.735	0.734	0.735	0.733	0.734	0.734	0.734	0.733	0.719	0.734	0.734	0.734	0.735	0.734	0.015	-0.104	0.733	2016_7_19_16_59_43
FLQS30KBGRWV____	-0.042	-0.072	-0.039	-0.109	-0.077	-0.077	-0.076	-0.076	-0.110	-0.114	-0.077	-0.075	-0.073	-0.107	-0.145	-0.112	-0.073	-0.072	-0.078	-0.041	-0.076	-0.042	-0.077	-0.075	-0.073	-0.042	-0.041	-0.105	-0.039	-0.040	-0.076	-0.042	0.069	0.068	0.071	0.112	0.070	0.071	0.029	0.111	0.071	0.034	0.070	0.034	0.113	0.024	0.075	0.072	0.070	0.104	0.029	0.071	0.072	0.069	0.031	0.026	0.068	0.069	0.075	0.070	0.034	0.110	0.070	0.069	-0.055	-0.069	-0.054	-0.109	-0.073	-0.073	-0.052	-0.093	-0.090	-0.073	-0.073	-0.054	-0.092	-0.064	-0.109	-0.091	-0.071	-0.088	-0.054	-0.056	-0.073	-0.055	-0.054	-0.051	-0.070	-0.054	-0.058	-0.087	-0.036	-0.074	-0.073	-0.055	-0.074	0.067	-0.070	2016_7_19_16_59_43
FLQS30CWGRWV____	-0.022	0.016	0.081	0.017	0.014	0.014	0.046	0.014	0.048	0.055	0.014	0.016	0.049	-0.022	0.014	0.018	0.047	0.015	0.046	-0.022	0.047	0.083	0.012	0.014	0.017	-0.024	0.049	0.051	0.013	0.048	0.014	-0.022	-0.100	-0.013	-0.056	-0.014	-0.056	-0.055	-0.055	-0.054	-0.053	0.044	-0.056	-0.012	-0.012	-0.059	-0.053	-0.014	-0.055	-0.012	-0.052	-0.057	-0.052	-0.014	-0.096	-0.054	-0.012	-0.100	-0.010	-0.013	-0.102	-0.016	-0.056	-0.100	0.039	0.015	0.068	0.015	0.035	0.035	0.050	0.034	0.050	0.005	0.035	0.013	0.031	0.018	0.034	0.015	0.049	0.013	0.049	0.018	0.050	0.048	0.053	0.034	0.015	0.037	0.029	0.032	0.058	0.032	0.034	0.039	0.024	-0.044	0.034	2016_7_19_16_59_43
FLQS30C7GRWV____	-0.020	-0.092	-0.020	-0.058	-0.060	-0.018	-0.060	-0.019	-0.058	-0.021	-0.060	-0.059	-0.021	-0.057	-0.019	-0.057	-0.024	-0.059	-0.058	-0.022	-0.022	-0.020	-0.057	-0.023	-0.060	-0.055	-0.021	-0.051	-0.020	-0.058	-0.019	-0.020	-0.025	-0.054	-0.060	-0.058	-0.056	-0.098	-0.020	-0.057	-0.018	-0.024	-0.056	-0.017	-0.059	-0.018	-0.023	-0.017	-0.056	-0.054	-0.021	-0.059	-0.054	0.016	-0.021	-0.020	-0.021	-0.019	-0.059	-0.018	-0.022	-0.058	-0.059	-0.025	0.002	-0.019	0.020	-0.001	-0.002	0.040	-0.020	0.019	-0.020	0.002	-0.002	-0.021	0.019	-0.019	0.002	-0.020	0.016	-0.003	-0.019	0.018	0.016	-0.017	-0.017	-0.001	-0.019	-0.018	0.020	-0.016	0.001	0.000	0.020	0.002	-0.040	-0.038	-0.001	2016_7_19_16_59_44
FLQS29JFGRX5____	-0.003	-0.003	-0.002	-0.004	-0.005	-0.003	-0.038	-0.004	-0.002	-0.004	-0.005	-0.041	-0.003	-0.036	-0.004	0.033	-0.003	-0.041	-0.005	-0.003	-0.004	-0.003	-0.004	-0.004	-0.040	-0.003	-0.003	-0.040	-0.035	-0.005	-0.003	-0.003	0.068	0.107	0.029	0.032	0.032	0.066	0.028	0.068	0.107	0.069	0.032	0.069	0.067	0.104	0.068	0.119	0.031	0.030	0.066	0.104	0.070	0.069	0.067	0.031	-0.033	0.029	0.068	0.105	0.034	0.016	0.067	0.068	-0.035	-0.054	-0.015	-0.018	-0.018	-0.033	-0.032	-0.036	-0.054	-0.035	-0.018	-0.055	-0.034	-0.070	-0.036	-0.043	-0.017	-0.035	-0.035	-0.053	-0.037	-0.036	-0.036	-0.016	-0.003	-0.016	-0.035	-0.072	-0.034	-0.010	-0.034	-0.035	-0.010	0.059	-0.034	2016_7_19_16_59_44
FLQS22XEGRX2____	-0.017	-0.050	-0.015	-0.013	-0.049	-0.014	-0.015	-0.048	-0.048	-0.017	-0.049	-0.050	-0.017	-0.016	-0.017	-0.018	0.020	-0.049	-0.016	-0.018	-0.050	-0.017	-0.017	-0.049	-0.017	-0.018	-0.017	-0.016	-0.016	-0.018	-0.015	-0.017	-0.002	-0.002	-0.002	0.033	-0.002	0.035	-0.000	0.033	-0.004	-0.002	-0.002	-0.003	0.034	-0.000	-0.003	-0.000	-0.000	-0.004	-0.036	-0.000	-0.004	-0.001	-0.036	0.000	-0.033	-0.002	0.035	-0.001	-0.002	-0.002	0.033	-0.002	0.666	0.650	0.667	0.651	0.651	0.650	0.666	0.634	0.652	0.667	0.651	0.651	0.649	0.666	0.668	0.665	0.684	0.651	0.684	0.665	0.652	0.666	0.684	0.650	0.682	0.666	0.649	0.667	0.667	0.666	0.650	0.666	-0.024	0.002	0.661	2016_7_19_16_59_44
FLQS22TQGRX2____	0.002	0.034	-0.031	0.003	0.040	0.003	0.003	0.003	0.001	0.004	0.040	0.001	0.001	0.001	0.003	0.001	0.001	0.001	-0.000	0.001	0.001	0.003	0.003	0.003	0.000	0.004	-0.000	0.003	0.001	-0.000	0.002	0.002	-0.077	-0.006	-0.005	-0.005	-0.008	-0.006	-0.006	0.026	-0.037	-0.009	-0.008	-0.006	-0.006	-0.008	-0.005	-0.007	-0.007	-0.004	-0.039	-0.007	-0.005	-0.007	-0.039	-0.008	-0.007	-0.009	-0.039	-0.006	-0.007	-0.042	-0.005	-0.077	0.039	0.020	-0.013	0.004	0.023	0.004	0.004	-0.012	0.019	0.006	0.023	0.003	0.004	0.004	0.004	0.004	0.004	0.003	0.019	0.004	0.004	0.005	0.021	0.005	0.004	0.006	0.019	0.004	0.005	0.021	0.003	0.039	0.004	-0.015	0.009	2016_7_19_16_59_44
FLQS21YXGRX2____	0.020	0.025	0.020	0.025	0.061	0.058	0.024	0.024	0.022	0.056	0.061	-0.020	0.056	0.057	0.055	0.020	0.059	0.059	0.024	0.056	0.020	0.020	0.056	0.024	0.058	0.056	0.056	0.025	0.057	0.055	0.059	0.020	-0.055	-0.054	-0.021	-0.054	-0.020	-0.055	-0.055	-0.055	-0.021	-0.022	-0.020	-0.057	-0.056	-0.056	-0.056	-0.100	-0.019	-0.020	-0.055	-0.057	-0.056	-0.054	-0.056	-0.053	-0.020	-0.056	-0.022	-0.055	-0.021	-0.056	-0.055	-0.055	0.038	0.039	0.020	0.039	0.040	0.056	0.039	0.039	0.021	0.039	0.040	0.019	0.055	0.056	0.054	0.059	0.039	0.039	0.039	0.056	0.038	0.037	0.056	0.039	0.039	0.055	0.039	0.040	0.038	0.055	0.056	0.038	0.040	-0.046	0.042	2016_7_19_16_59_44
FLQS2AVTGRX5____	0.006	0.007	0.006	0.046	0.005	0.045	0.006	-0.025	0.008	0.006	0.005	0.006	0.007	0.008	0.006	0.007	0.007	0.005	0.008	0.007	0.009	0.005	0.006	0.006	0.006	0.005	0.008	0.006	0.007	0.006	0.008	0.006	0.004	0.002	0.003	0.005	0.002	0.005	0.003	0.000	0.005	0.003	0.002	0.004	0.005	0.002	0.004	0.003	0.003	0.003	0.005	0.003	0.004	-0.030	0.004	-0.032	0.003	0.036	0.004	0.003	0.003	0.036	0.038	0.004	-0.673	-0.672	-0.673	-0.654	-0.672	-0.653	-0.672	-0.687	-0.672	-0.672	-0.672	-0.673	-0.673	-0.672	-0.673	-0.673	-0.672	-0.672	-0.672	-0.673	-0.672	-0.656	-0.673	-0.656	-0.672	-0.689	-0.672	-0.672	-0.672	-0.688	-0.689	-0.673	0.008	0.004	-0.672	2016_7_19_16_59_44
FLQS3087GRWV____	-0.123	-0.228	-0.125	-0.085	-0.230	-0.169	-0.164	-0.224	-0.129	-0.126	-0.230	-0.232	-0.126	-0.124	-0.173	-0.124	-0.162	-0.176	-0.226	-0.123	-0.175	-0.094	-0.173	-0.162	-0.044	-0.171	-0.126	-0.165	-0.125	-0.125	-0.166	-0.123	-0.134	-0.121	-0.135	-0.166	-0.119	-0.135	-0.134	-0.136	-0.135	-0.133	-0.119	-0.185	-0.134	-0.133	-0.135	-0.132	-0.132	-0.136	-0.135	-0.132	-0.136	-0.105	-0.133	-0.132	-0.129	-0.133	-0.132	-0.134	-0.132	-0.132	-0.133	-0.134	0.679	0.622	0.679	0.714	0.619	0.657	0.659	0.630	0.676	0.678	0.619	0.651	0.678	0.679	0.654	0.678	0.659	0.655	0.629	0.678	0.654	0.680	0.655	0.660	0.716	0.656	0.677	0.659	0.677	0.678	0.658	0.679	-0.155	-0.134	0.664	2016_7_19_16_59_45
