SN;UP;DOWN;LEFT;RIGHT
FLQS312SGRWV____;1110.92688;1107.520996;2252.517334;2251.172119
FLQS2044GRWY____;1110.970825;1109.473877;2251.739258;2251.316895
FLQS3087GRWV____;1113.849487;1107.903198;2252.71167;2250.568604
FLQS2AVTGRX5____;1111.070557;1111.016968;2251.720703;2250.095947
FLQS21YXGRX2____;1109.346191;1106.89978;2251.980713;2250.165039
FLQS22TQGRX2____;1111.263306;1110.037476;2251.490723;2250.505615
FLQS22XEGRX2____;1110.840332;1107.49707;2253.108398;2251.87085
FLQS29JFGRX5____;1111.224609;1108.608154;2252.140625;2251.176025
FLQS30C7GRWV____;1107.733643;1109.436279;2252.630859;2250.725342
FLQS30CWGRWV____;1110.635132;1110.052979;2252.025391;2249.881104
FLQS30KBGRWV____;1111.456299;1107.465942;2252.569824;2250.824707
FLQS30KVGRWV____;1112.003418;1111.129761;2252.25;2250.027344
FLNS2037GRWV____;1108.673096;1108.009399;2251.987305;2251.060303
FLQS200ZGRX8____;1108.979248;1108.848267;2252.398926;2250.824463
FLQS224LGRWM____;1113.274658;1109.263062;2252.952637;2251.63501
FLQS224TGRWM____;1113.496948;-8.194587708;2252.597168;2252.221191
FLQS2BJ4GRX5____;1111.459839;1108.319458;2252.556641;2251.137451
FLQS2C6NGRX5____;1114.380249;1112.902832;2252.88623;2250.645264
FLQS2C9EGRX5____;1114.699707;1109.276733;2252.141113;2250.877197
FLQS2CKUGRX5;1113.024658;1110.202637;2251.233887;2251.269287
FLQS2DERGRX5____;1112.459106;1110.963379;2253.027344;2252.281494
FLQS2EQUGRX5____;1108.053711;1110.792847;2252.769287;2251.832031
FLQS2F0LGRX5____;1111.829834;1110.409302;2253.050537;2251.659668
FLQS3009GRWQ____;1112.032227;1110.53125;2252.191406;2251.375977
FLQS300LGRWM____;1108.571777;1109.286133;2252.810547;2251.598877
FLQS300LGRWQ____;1108.341431;1109.190796;2251.921143;2251.856689
FLQS300RGRWY____;1111.504272;1113.217041;2253.01416;2251.246094
FLQS300VGRWQ____;1111.02124;1107.443115;2252.057373;2251.416016
FLQS301EGRWQ____;1110.188354;1107.950928;2250.900391;2251.532471
FLQS301GGRWM____;1113.838501;1113.079712;2252.418213;2251.110352
FLQS3024GRWM____;1113.036621;1110.18811;2252.938965;2252.086182
FLQS303BGRWM____;1111.319458;1110.058716;2251.47583;2252.387207
FLQS3047GRWM____;1110.026489;1107.703003;2253.443359;2252.081543
FLQS304WGRWM____;1075.778931;1114.8573;2252.77124;2251.400146
FLQS3052GRWY____;1110.939087;1109.227417;2251.986572;2251.079834
FLQS3057GRWM____;1108.478638;1108.498169;2253.303711;2251.134033
FLQS305DGRWM____;1109.63855;1107.21814;2252.731445;2251.499512
FLQS305NGRWM____;1112.495605;1111.348022;2252.532227;2251.144531
FLQS3072GRWV____;1108.640869;1108.206055;2252.487549;2251.08374
FLQS307KGRWV____;1108.444946;1107.426514;2252.856201;2251.417969
FLQS3084GRWM____;1113.088257;1110.046021;2252.67334;2250.901611
FLQS308YGRWQ____;1111.352051;1109.139648;2251.889404;2250.594971
FLQS309NGRWM____;1109.768555;1109.021118;2253.030762;2252.52124
FLQS309QGRWV____;1110.220459;1109.244263;2252.386475;2250.954346
FLQS309TGRWY____;1114.083252;1110.714478;2253.335205;2251.871094
FLQS30AEGRWV____;1111.634033;1110.020752;2252.395264;2250.804443
FLQS30BJGRWV____;1110.686157;1108.450195;2252.774658;2251.365723
FLQS30BWGRWY____;1111.878784;1110.880859;2251.19165;2251.072998
FLQS30CMGRWQ____;1112.41333;1108.695313;2252.530273;2251.015625
FLQS30D5GRWQ____;1111.729858;1109.050415;2252.74292;2251.44458
FLQS30DZGRWV;1114.157227;1113.021729;2251.989014;2250.229004
FLQS30E9GRWY____;1112.678711;1109.807007;2253.216309;2251.262939
FLQS30G5GRWY____;1113.712769;1111.30603;2252.865723;2250.934814
FLQS30GCGRWY____;1110.028442;1109.944824;2252.100342;2250.31665
FLQS30GQGRWV____;-57.85212326;1112.061279;2251.722656;2250.23584
FLQS30H6GRWV____;1109.405884;1108.798096;2251.424561;2249.888672
FLQS30HZGRWY____;1110.190308;1107.934814;2252.60083;2251.304932
FLQS30J0GRWV____;1110.796753;1108.053955;2252.315918;2251.596191
FLQS30JCGRWV____;1109.204956;1108.487549;2251.936035;2252.481934
FLQS30K1GRWY____;1113.995117;1109.995605;2252.425537;2251.101074
FLQS30K3GRWY____;1113.812256;1111.840576;2252.804932;2252.003662
FLQS30K5GRWY____;1115.379883;1115.005493;2250.681152;2250.920166
FLQS30KNGRWV____;1113.091187;1112.57666;2252.378906;2250.943115
FLQS30LFGRWY____;1114.863892;1108.002563;2251.746338;2250.278809
FLQS30MEGRWV____;1117.337402;1110.995483;2252.660645;2250.268311
FLQS30MJGRWV____;1109.253052;1107.722778;2252.246094;2250.732666
FLQS30MKGRWV____;1111.606812;1108.251831;2251.12793;2250.496094
FLQS30MRGRWY____;1110.192383;1108.177368;2252.388428;2251.118408
FLQS30NWGRWV____;1109.733643;1107.900146;2252.073486;2250.766846
FLQS30PHGRWY____;1109.90979;1107.947021;2251.393799;2251.723145
FLQS30Q2GRWV____;1110.496216;1107.050415;2252.781494;2250.187988
FLQS30Q3GRWV____;1111.048462;1115.691284;2252.52832;2251.39917
FLQS30Q9GRWV____;1107.800049;1106.268311;2250.40332;2250.074463
FLQS30Q9GRWY____;1110.996094;1110.673706;2252.722656;2252.626709
FLQS30QMGRWV____;1109.635864;1109.827881;2252.416504;2250.877441
FLQS30QPGRWV____;1111.266724;1110.749756;2250.755859;2250.859863
FLQS30QXGRWV____;1109.427246;1108.949951;2252.743164;2250.491211
FLQS30R2GRWV____;1111.041382;1109.890381;2252.215088;2250.468018
FLQS30RRGRWV____;1110.51123;1109.080444;2252.503906;2250.88623
FLQS30S7GRWV____;1109.400513;1107.936768;2253.158691;2250.866211
FLQS30T7GRWV____;1114.473022;1110.295898;2252.760498;2250.850586
FLQS30TYGRWV____;1110.880005;1108.685181;2252.475342;2250.702881
FLQS30UFGRWV____;1113.334961;1108.560669;2251.725342;2249.603027
FLQS30VBGRWV____;1112.076294;1112.669922;2251.980225;2250.516113
FLQS30WFGRWV____;1109.182129;1107.515259;2251.764404;2250.979004
FLQS30X6GRWV____;1108.614502;1108.11438;2252.765137;2249.790039
FLQS30X6GRWY____;1111.762817;1110.490723;2252.478027;2251.599365
FLQS30YUGRWV____;1110.980469;1110.08374;2252.080811;2252.277344
FLQS30ZQGRWV____;1110.162476;1108.83728;2252.482666;2251.332031
FLQS3106GRWV____;1109.160034;1109.838135;2252.081787;2250.580811
FLQS310RGRWV____;1109.466553;1107.640259;2252.839355;2250.782715
FLQS3115GRWV____;1109.461792;1107.680664;2251.819824;2249.879395
FLQS3126GRWV____;1114.498291;1109.219238;2252.199707;2250.749268
FLQS3160GRWY____;1109.020508;1107.94165;2252.924561;2251.156006
FLQS317CGRWY____;1110.479858;1107.352905;2252.614014;2251.966064
FLQS319HGRWY____;1108.850464;1109.105347;2252.316162;2251.11377
FLQS319LGRWY____;1110.660767;1110.248535;2252.841064;2251.69751
FLQS31CRGRWY____;1110.235596;1107.522217;2250.708984;2251.243652
FLQS31FWGRWY____;1110.772339;1108.996948;2252.73291;2251.486816
FLQS31J6GRWY____;1110.352051;1107.385254;2252.585693;2251.38208
